index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2019-12-13,,20200300,1774.5,20200200
2019-12-16,1790.0,20200300,1787.5,20200200
2019-12-17,1780.0,20200400,1780.5,20200300
2019-12-18,1801.25,20200400,1799.5,20200300
2019-12-19,1820.75,20200400,1811.25,20200300
2019-12-20,,20200400,1820.0,20200300
2019-12-23,,20200400,1824.75,20200300
2019-12-27,,20200400,1842.0,20200300
2019-12-30,1854.0,20200400,1846.0,20200300
2019-12-31,,20200400,1841.75,20200300
2020-01-03,1842.25,20200400,1837.25,20200300
2020-01-06,1855.0,20200400,1852.0,20200300
2020-01-07,,20200400,1829.75,20200300
2020-01-08,1816.5,20200400,1812.75,20200300
2020-01-09,1822.25,20200400,1817.5,20200300
2020-01-10,,20200400,1825.5,20200300
2020-01-13,,20200400,1812.0,20200300
2020-01-14,1822.5,20200400,1821.5,20200300
2020-01-15,1819.0,20200400,1815.75,20200300
2020-01-16,1829.5,20200400,1824.75,20200300
2020-01-17,1827.0,20200400,,20200300
2020-01-21,1856.25,20200400,,20200300
2020-01-22,1831.0,20200400,,20200300
2020-01-23,1806.25,20200400,,20200300
2020-01-24,1806.75,20200400,1803.75,20200300
2020-01-27,1788.25,20200400,,20200300
2020-01-28,1779.75,20200500,1783.0,20200400
2020-01-29,,20200500,1757.0,20200400
2020-01-30,,20200500,1757.75,20200400
2020-02-03,,20200500,1715.75,20200400
2020-02-04,,20200500,1722.75,20200400
2020-02-05,,20200500,1734.0,20200400
2020-02-06,1773.0,20200500,1762.5,20200400
2020-02-07,,20200500,1735.5,20200400
2020-02-10,,20200500,1731.5,20200400
2020-02-11,1755.0,20200500,1748.25,20200400
2020-02-12,1764.0,20200500,1758.25,20200400
2020-02-13,1773.5,20200500,1750.75,20200400
2020-02-14,,20200500,1759.25,20200400
2020-02-18,1740.0,20200500,1729.0,20200400
2020-02-19,1743.0,20200500,1735.0,20200400
2020-02-20,1734.5,20200500,1722.25,20200400
2020-02-21,1723.5,20200500,1709.5,20200400
2020-02-24,1715.5,20200500,1708.0,20200400
2020-02-25,1711.25,20200500,1720.0,20200400
2020-02-26,1705.0,20200500,,20200400
2020-02-27,1687.0,20200500,1688.5,20200400
2020-02-28,1693.25,20200500,1692.75,20200400
2020-03-02,1716.0,20200500,1716.75,20200400
2020-03-03,,20200600,1725.5,20200500
2020-03-04,,20200600,1729.0,20200500
2020-03-05,,20200600,1715.0,20200500
2020-03-06,,20200600,1683.0,20200500
2020-03-09,,20200600,1674.25,20200500
2020-03-10,,20200600,1695.5,20200500
2020-03-11,,20200600,1685.25,20200500
2020-03-12,,20200600,1663.75,20200500
2020-03-13,,20200600,1678.75,20200500
2020-03-16,1690.75,20200600,,20200500
2020-03-17,1666.5,20200600,,20200500
2020-03-18,1638.5,20200600,,20200500
2020-03-19,1645.25,20200600,1640.75,20200500
2020-03-20,1600.75,20200600,,20200500
2020-03-23,1572.0,20200600,,20200500
2020-03-24,1573.25,20200600,,20200500
2020-03-26,1554.5,20200600,,20200500
2020-03-27,1552.0,20200600,,20200500
2020-03-30,1539.0,20200600,1530.0,20200500
2020-03-31,1536.0,20200700,1521.0,20200600
2020-04-01,,20200700,1502.0,20200600
2020-04-02,,20200700,1512.0,20200600
2020-04-03,,20200700,1502.75,20200600
2020-04-06,,20200700,1477.5,20200600
2020-04-07,,20200700,1475.0,20200600
2020-04-08,,20200700,1470.5,20200600
2020-04-09,,20200700,1480.0,20200600
2020-04-14,,20200700,1494.0,20200600
2020-04-15,,20200700,1504.0,20200600
2020-04-16,,20200700,1526.0,20200600
2020-04-28,1525.75,20200700,,20200600
2020-04-29,1530.5,20200800,1526.25,20200700
2020-05-04,,20200800,1505.25,20200700
2020-05-05,,20200800,1502.75,20200700
2020-05-06,1515.75,20200800,1505.0,20200700
2020-05-07,,20200800,1503.0,20200700
2020-05-11,,20200800,1506.5,20200700
2020-05-12,,20200800,1493.5,20200700
2020-05-13,,20200800,1491.25,20200700
2020-05-18,1509.25,20200800,,20200700
2020-05-19,1510.5,20200800,,20200700
2020-05-20,1531.0,20200800,,20200700
2020-05-21,1536.5,20200800,,20200700
2020-05-22,1519.25,20200800,,20200700
2020-05-27,1543.75,20200800,,20200700
2020-06-01,1547.5,20200800,,20200700
2020-06-02,1540.75,20200800,,20200700
2020-06-04,1571.0,20200800,,20200700
2020-06-05,1614.25,20200800,,20200700
2020-06-08,1627.75,20200900,1627.75,20200800
2020-06-09,,20200900,1617.0,20200800
2020-06-10,,20200900,1648.25,20200800
2020-06-11,,20200900,1615.5,20200800
2020-06-15,1589.25,20200900,,20200800
2020-06-16,1624.75,20200900,,20200800
2020-06-17,1630.5,20200900,1625.0,20200800
2020-06-18,1631.75,20200900,,20200800
2020-06-19,1635.75,20200900,,20200800
2020-06-22,1624.0,20200900,,20200800
2020-06-23,1612.25,20200900,,20200800
2020-06-24,1593.0,20200900,,20200800
2020-06-25,1591.25,20200900,,20200800
2020-06-26,1616.5,20200900,,20200800
2020-07-01,1640.75,20200900,,20200800
2020-07-02,1628.75,20200900,,20200800
2020-07-06,1656.25,20201000,1643.0,20200900
2020-07-07,,20201000,1642.25,20200900
2020-07-08,,20201000,1641.5,20200900
2020-07-09,,20201000,1658.0,20200900
2020-07-10,,20201000,1660.0,20200900
2020-07-13,,20201000,1701.0,20200900
2020-07-14,,20201000,1674.75,20200900
2020-07-15,1679.0,20201000,1660.25,20200900
2020-07-16,1685.75,20201000,,20200900
2020-07-17,1674.5,20201000,,20200900
2020-07-20,1676.75,20201000,1671.25,20200900
2020-07-21,1682.0,20201000,,20200900
2020-07-22,1706.75,20201000,,20200900
2020-07-23,1708.5,20201000,,20200900
2020-07-24,1697.5,20201000,,20200900
2020-07-27,1713.5,20201000,,20200900
2020-07-28,1718.5,20201000,,20200900
2020-07-29,1734.75,20201000,,20200900
2020-07-30,1736.0,20201000,,20200900
2020-07-31,1730.0,20201100,1730.75,20201000
2020-08-03,,20201100,1770.25,20201000
2020-08-04,1800.25,20201100,1795.5,20201000
2020-08-05,1795.5,20201100,1787.0,20201000
2020-08-06,1804.0,20201100,1795.0,20201000
2020-08-07,,20201100,1775.5,20201000
2020-08-10,,20201100,1765.25,20201000
2020-08-11,,20201100,1793.5,20201000
2020-08-12,1814.25,20201100,1799.75,20201000
