index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1987-06-16,0.6972,19871200,0.7092,19870900
1987-06-17,0.7042,19871200,0.7140000000000001,19870900
1987-06-18,0.7027,19871200,0.7125,19870900
1987-06-19,0.7020000000000001,19871200,0.7120000000000001,19870900
1987-06-22,0.7013,19871200,0.7112,19870900
1987-06-23,0.6964,19871200,0.7069,19870900
1987-06-24,0.6985,19871200,0.7085,19870900
1987-06-25,0.7006,19871200,0.7108,19870900
1987-06-26,0.7005,19871200,0.711,19870900
1987-06-29,0.7021,19871200,0.7125,19870900
1987-06-30,0.7026,19871200,0.713,19870900
1987-07-01,0.7038,19871200,0.7135,19870900
1987-07-02,0.7023,19871200,0.7120000000000001,19870900
1987-07-06,0.6927,19871200,0.7037,19870900
1987-07-07,0.6784,19871200,0.6899,19870900
1987-07-08,0.6859999999999999,19871200,0.6976,19870900
1987-07-09,0.6891,19871200,0.7,19870900
1987-07-10,0.688,19871200,0.6994,19870900
1987-07-13,0.69,19871200,0.7006,19870900
1987-07-14,0.6901,19871200,0.7008,19870900
1987-07-15,0.6954,19871200,0.7056,19870900
1987-07-16,0.6965,19871200,0.7065,19870900
1987-07-17,0.6927,19871200,0.7031,19870900
1987-07-20,0.6894,19871200,0.6998,19870900
1987-07-21,0.6921,19871200,0.7025,19870900
1987-07-22,0.6938,19871200,0.7042,19870900
1987-07-23,0.6940000000000001,19871200,0.7044,19870900
1987-07-24,0.6924,19871200,0.7026,19870900
1987-07-27,0.6891,19871200,0.6986,19870900
1987-07-28,0.6865,19871200,0.6965,19870900
1987-07-29,0.6829999999999999,19871200,0.6934,19870900
1987-07-30,0.6848,19871200,0.6949,19870900
1987-07-31,0.6822,19871200,0.6923,19870900
1987-08-03,0.6844,19871200,0.6945,19870900
1987-08-04,0.6845,19871200,0.6946,19870900
1987-08-05,0.6872,19871200,0.6972,19870900
1987-08-06,0.6847,19871200,0.6945,19870900
1987-08-07,0.6847,19871200,0.6945,19870900
1987-08-10,0.6844,19871200,0.6944,19870900
1987-08-11,0.6892,19871200,0.6990000000000001,19870900
1987-08-12,0.6908,19871200,0.7,19870900
1987-08-13,0.6932,19871200,0.7022,19870900
1987-08-14,0.6966,19871200,0.7056,19870900
1987-08-17,0.6994,19871200,0.7086,19870900
1987-08-18,0.7046,19871200,0.7138,19870900
1987-08-19,0.6984,19871200,0.7074,19870900
