index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2006-12-12,,20070600,168.0,20070300
2006-12-13,,20070600,168.2,20070300
2006-12-14,,20070600,169.7,20070300
2006-12-15,,20070600,168.7,20070300
2006-12-18,,20070600,166.8,20070300
2006-12-19,,20070600,167.6,20070300
2006-12-20,,20070600,166.8,20070300
2006-12-21,,20070600,166.1,20070300
2006-12-22,,20070600,166.6,20070300
2006-12-26,,20070600,166.3,20070300
2006-12-27,,20070600,165.7,20070300
2006-12-28,,20070600,166.4,20070300
2006-12-29,,20070600,166.4,20070300
2007-01-03,,20070600,161.2,20070300
2007-01-04,,20070600,159.6,20070300
2007-01-05,,20070600,157.7,20070300
2007-01-08,,20070600,156.8,20070300
2007-01-09,,20070600,155.9,20070300
2007-01-10,,20070600,157.4,20070300
2007-01-11,,20070600,157.3,20070300
2007-01-12,,20070600,159.5,20070300
2007-01-16,,20070600,158.7,20070300
2007-01-17,,20070600,158.4,20070300
2007-01-18,,20070600,158.5,20070300
2007-01-19,,20070600,159.9,20070300
2007-01-22,,20070600,161.5,20070300
2007-01-23,,20070600,164.5,20070300
2007-01-24,,20070600,163.7,20070300
2007-01-25,,20070600,162.6,20070300
2007-01-26,,20070600,163.1,20070300
2007-01-29,,20070600,160.0,20070300
2007-01-30,,20070600,165.0,20070300
2007-01-31,,20070600,166.6,20070300
2007-02-01,,20070600,165.1,20070300
2007-02-02,,20070600,165.1,20070300
2007-02-05,,20070600,166.0,20070300
2007-02-06,,20070600,165.8,20070300
2007-02-07,,20070600,164.7,20070300
2007-02-08,,20070600,166.2,20070300
2007-02-09,,20070600,167.7,20070300
2007-02-12,,20070600,164.1,20070300
2007-02-13,,20070600,166.2,20070300
2007-02-14,,20070600,165.7,20070300
2007-02-15,,20070600,167.0,20070300
2007-02-16,,20070600,168.0,20070300
2007-02-20,,20070600,166.8,20070300
2007-02-21,,20070600,169.6,20070300
2007-02-22,,20070600,171.8,20070300
2007-02-23,,20070600,173.1,20070300
2007-02-26,,20070600,173.5,20070300
2007-02-27,,20070600,171.8,20070300
2007-02-28,,20070600,171.4,20070300
2007-03-01,,20070600,172.0,20070300
2007-03-02,167.6,20070600,167.9,20070300
2007-03-05,166.1,20070600,165.6,20070300
2007-03-06,167.7,20070600,167.5,20070300
2007-03-07,169.5,20070600,169.2,20070300
2007-03-08,169.9,20070600,169.9,20070300
2007-03-09,168.1,20070600,168.2,20070300
2007-03-12,167.1,20070600,166.9,20070300
2007-03-13,,20070900,166.2,20070600
2007-03-14,,20070900,166.4,20070600
2007-03-15,,20070900,166.4,20070600
2007-03-16,,20070900,166.6,20070600
2007-03-19,,20070900,166.2,20070600
2007-03-20,,20070900,166.4,20070600
2007-03-21,,20070900,167.3,20070600
2007-03-22,,20070900,170.0,20070600
2007-03-23,,20070900,169.4,20070600
2007-03-26,,20070900,169.9,20070600
2007-03-27,,20070900,169.4,20070600
2007-03-28,,20070900,171.1,20070600
2007-03-29,,20070900,172.0,20070600
2007-03-30,,20070900,171.5,20070600
2007-04-02,,20070900,171.1,20070600
2007-04-03,,20070900,170.6,20070600
2007-04-04,,20070900,172.7,20070600
2007-04-05,,20070900,172.9,20070600
2007-04-09,,20070900,172.8,20070600
2007-04-10,,20070900,174.3,20070600
2007-04-11,,20070900,174.0,20070600
2007-04-12,,20070900,173.9,20070600
2007-04-13,,20070900,174.1,20070600
2007-04-16,,20070900,172.7,20070600
2007-04-17,,20070900,172.0,20070600
2007-04-18,,20070900,171.4,20070600
2007-04-19,,20070900,171.0,20070600
2007-04-20,,20070900,172.4,20070600
2007-04-23,,20070900,173.6,20070600
2007-04-24,,20070900,171.8,20070600
2007-04-25,,20070900,173.7,20070600
2007-04-26,,20070900,171.9,20070600
2007-04-27,,20070900,173.3,20070600
2007-04-30,,20070900,173.5,20070600
2007-05-01,,20070900,173.0,20070600
2007-05-02,,20070900,172.5,20070600
2007-05-03,,20070900,174.0,20070600
2007-05-04,,20070900,174.0,20070600
2007-05-07,,20070900,172.7,20070600
2007-05-08,,20070900,172.1,20070600
2007-05-09,,20070900,171.6,20070600
2007-05-10,,20070900,170.6,20070600
2007-05-11,,20070900,173.6,20070600
2007-05-14,,20070900,172.6,20070600
2007-05-15,,20070900,173.0,20070600
2007-05-16,,20070900,172.2,20070600
2007-05-17,,20070900,173.1,20070600
2007-05-18,,20070900,172.9,20070600
2007-05-21,,20070900,174.8,20070600
2007-05-22,,20070900,171.5,20070600
2007-05-23,,20070900,171.2,20070600
2007-05-24,,20070900,170.4,20070600
2007-05-25,,20070900,171.7,20070600
2007-05-29,,20070900,170.3,20070600
2007-05-30,,20070900,171.3,20070600
2007-05-31,,20070900,172.6,20070600
2007-06-01,,20070900,173.9,20070600
2007-06-04,175.4,20070900,175.6,20070600
2007-06-05,175.0,20070900,175.1,20070600
2007-06-06,173.9,20070900,173.9,20070600
2007-06-07,173.4,20070900,173.0,20070600
2007-06-08,170.3,20070900,170.4,20070600
2007-06-11,171.9,20070900,172.0,20070600
2007-06-12,,20071200,170.9,20070900
2007-06-13,,20071200,172.2,20070900
2007-06-14,,20071200,174.6,20070900
2007-06-15,,20071200,176.1,20070900
2007-06-18,,20071200,176.3,20070900
2007-06-19,,20071200,173.9,20070900
2007-06-20,,20071200,173.3,20070900
2007-06-21,,20071200,172.4,20070900
2007-06-22,,20071200,171.0,20070900
2007-06-25,,20071200,170.6,20070900
2007-06-26,,20071200,168.0,20070900
2007-06-27,,20071200,168.7,20070900
2007-06-28,,20071200,169.1,20070900
2007-06-29,,20071200,170.2,20070900
2007-07-02,,20071200,171.0,20070900
2007-07-03,,20071200,170.2,20070900
2007-07-05,,20071200,170.9,20070900
2007-07-06,,20071200,171.9,20070900
2007-07-09,,20071200,171.9,20070900
2007-07-10,,20071200,173.0,20070900
2007-07-11,,20071200,173.5,20070900
2007-07-12,,20071200,173.5,20070900
2007-07-13,,20071200,174.8,20070900
2007-07-16,,20071200,171.2,20070900
2007-07-17,,20071200,169.6,20070900
2007-07-18,,20071200,172.7,20070900
2007-07-19,,20071200,174.0,20070900
2007-07-20,,20071200,173.7,20070900
2007-07-23,,20071200,170.5,20070900
2007-07-24,,20071200,169.7,20070900
2007-07-25,,20071200,169.4,20070900
2007-07-26,,20071200,168.6,20070900
2007-07-27,,20071200,170.6,20070900
2007-07-30,,20071200,171.3,20070900
2007-07-31,,20071200,172.3,20070900
2007-08-01,,20071200,171.2,20070900
2007-08-02,,20071200,170.7,20070900
2007-08-03,,20071200,170.0,20070900
2007-08-06,,20071200,167.8,20070900
2007-08-07,,20071200,167.9,20070900
2007-08-08,,20071200,168.6,20070900
2007-08-09,,20071200,167.8,20070900
2007-08-10,,20071200,167.9,20070900
2007-08-13,,20071200,168.4,20070900
2007-08-14,,20071200,167.5,20070900
2007-08-15,,20071200,167.4,20070900
2007-08-16,,20071200,161.6,20070900
2007-08-17,,20071200,163.7,20070900
2007-08-20,,20071200,162.3,20070900
2007-08-21,,20071200,161.4,20070900
2007-08-22,,20071200,161.8,20070900
2007-08-23,,20071200,162.9,20070900
2007-08-24,,20071200,164.4,20070900
2007-08-27,,20071200,163.7,20070900
2007-08-28,,20071200,163.4,20070900
2007-08-29,,20071200,164.5,20070900
2007-08-30,,20071200,165.1,20070900
2007-08-31,,20071200,166.0,20070900
2007-09-04,167.4,20071200,167.3,20070900
2007-09-05,167.4,20071200,166.9,20070900
2007-09-06,167.3,20071200,166.8,20070900
2007-09-07,167.6,20071200,167.3,20070900
2007-09-10,168.6,20071200,168.8,20070900
2007-09-11,170.3,20071200,170.3,20070900
2007-09-12,,20080300,172.6,20071200
