index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2017-12-22,14150.0,20180300,14250.0,20180200
2017-12-26,16065.0,20180300,15690.0,20180200
2017-12-27,15515.0,20180300,15135.0,20180200
2017-12-28,14205.0,20180300,14105.0,20180200
2017-12-29,14585.0,20180300,14810.0,20180200
2018-01-02,15060.0,20180300,14790.0,20180200
2018-01-03,15200.0,20180300,15005.0,20180200
2018-01-04,15140.0,20180300,15090.0,20180200
2018-01-05,16780.0,20180300,16840.0,20180200
2018-01-07,16415.0,20180300,16305.0,20180200
2018-01-08,15100.0,20180300,14940.0,20180200
2018-01-09,14300.0,20180300,14290.0,20180200
2018-01-10,14890.0,20180300,14825.0,20180200
2018-01-11,13440.0,20180300,13000.0,20180200
2018-01-12,13920.0,20180300,13810.0,20180200
2018-01-14,,20180300,13755.0,20180200
2018-01-15,13995.0,20180300,13505.0,20180200
2018-01-16,11515.0,20180300,11300.0,20180200
2018-01-17,11200.0,20180300,11235.0,20180200
2018-01-18,11200.0,20180300,11760.0,20180200
2018-01-19,11585.0,20180300,11530.0,20180200
2018-01-21,11455.0,20180300,11395.0,20180200
2018-01-22,10270.0,20180300,10800.0,20180200
2018-01-23,10945.0,20180300,10850.0,20180200
2018-01-24,10725.0,20180400,11260.0,20180300
2018-01-25,,20180400,11230.0,20180300
2018-01-26,,20180400,10885.0,20180300
2018-01-28,,20180400,11695.0,20180300
2018-01-29,,20180400,11220.0,20180300
2018-01-30,,20180400,9940.0,20180300
2018-01-31,,20180400,10000.0,20180300
2018-02-01,,20180400,9110.0,20180300
2018-02-02,8695.0,20180400,8490.0,20180300
2018-02-04,,20180400,8220.0,20180300
2018-02-05,7400.0,20180400,6850.0,20180300
2018-02-06,7280.0,20180400,7825.0,20180300
2018-02-07,8360.0,20180400,8160.0,20180300
2018-02-08,,20180400,8265.0,20180300
2018-02-09,8600.0,20180400,8475.0,20180300
2018-02-11,,20180400,8135.0,20180300
2018-02-12,,20180400,8950.0,20180300
2018-02-13,,20180400,8520.0,20180300
2018-02-14,9300.0,20180400,9510.0,20180300
2018-02-15,9895.0,20180400,10075.0,20180300
2018-02-16,10170.0,20180400,10145.0,20180300
2018-02-18,,20180400,10395.0,20180300
2018-02-19,11090.0,20180400,11225.0,20180300
2018-02-20,11310.0,20180400,11200.0,20180300
2018-02-21,10990.0,20180500,10655.0,20180400
2018-02-23,,20180500,10090.0,20180400
2018-02-26,,20180500,10255.0,20180400
2018-02-27,,20180500,10580.0,20180400
2018-02-28,,20180500,10315.0,20180400
2018-03-01,,20180500,10975.0,20180400
2018-03-02,,20180500,11080.0,20180400
2018-03-04,,20180500,11495.0,20180400
2018-03-05,,20180500,11430.0,20180400
2018-03-06,,20180500,10785.0,20180400
2018-03-07,,20180500,9990.0,20180400
2018-03-08,,20180500,9355.0,20180400
2018-03-09,,20180500,9105.0,20180400
2018-03-11,,20180500,9610.0,20180400
2018-03-12,,20180500,8770.0,20180400
2018-03-13,,20180500,9105.0,20180400
2018-03-14,8300.0,20180500,8185.0,20180400
2018-03-15,8100.0,20180500,8265.0,20180400
2018-03-16,8525.0,20180500,8610.0,20180400
2018-03-19,8410.0,20180500,8445.0,20180400
2018-03-20,8950.0,20180500,8985.0,20180400
2018-03-21,8885.0,20180500,8890.0,20180400
2018-03-22,8610.0,20180500,8620.0,20180400
2018-03-23,8635.0,20180600,8660.0,20180500
2018-03-26,8240.0,20180600,7905.0,20180500
2018-03-27,,20180600,8100.0,20180500
2018-03-28,7910.0,20180600,7900.0,20180500
2018-03-29,7100.0,20180600,7075.0,20180500
2018-04-01,,20180600,6785.0,20180500
2018-04-02,6960.0,20180600,6880.0,20180500
2018-04-03,7430.0,20180600,7400.0,20180500
2018-04-04,6840.0,20180600,6865.0,20180500
2018-04-05,6820.0,20180600,6810.0,20180500
2018-04-06,6605.0,20180600,6615.0,20180500
2018-04-08,7085.0,20180600,7065.0,20180500
2018-04-09,6635.0,20180600,6635.0,20180500
2018-04-10,6810.0,20180600,6785.0,20180500
2018-04-11,,20180600,6910.0,20180500
