index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2016-03-02,,20160900,138.94,20160600
2016-03-03,,20160900,138.95,20160600
2016-03-04,,20160900,138.8,20160600
2016-03-07,,20160900,138.53,20160600
2016-03-08,,20160900,138.83,20160600
2016-03-09,,20160900,138.71,20160600
2016-03-10,,20160900,138.2,20160600
2016-03-11,,20160900,139.73,20160600
2016-03-14,,20160900,139.85,20160600
2016-03-15,,20160900,139.33,20160600
2016-03-16,,20160900,139.6,20160600
2016-03-17,,20160900,140.32,20160600
2016-03-18,,20160900,140.14,20160600
2016-03-21,,20160900,140.2,20160600
2016-03-22,,20160900,140.31,20160600
2016-03-23,,20160900,139.93,20160600
2016-03-24,,20160900,140.16,20160600
2016-03-29,,20160900,141.2,20160600
2016-03-30,,20160900,141.38,20160600
2016-03-31,,20160900,141.19,20160600
2016-04-01,,20160900,141.18,20160600
2016-04-04,,20160900,140.94,20160600
2016-04-05,,20160900,141.06,20160600
2016-04-06,,20160900,140.38,20160600
2016-04-07,,20160900,140.32,20160600
2016-04-08,,20160900,139.48,20160600
2016-04-11,,20160900,140.14,20160600
2016-04-12,,20160900,140.3,20160600
2016-04-13,,20160900,140.13,20160600
2016-04-14,,20160900,141.12,20160600
2016-04-15,,20160900,140.7,20160600
2016-04-18,,20160900,140.53,20160600
2016-04-19,,20160900,140.34,20160600
2016-04-20,,20160900,140.4,20160600
2016-04-21,,20160900,140.04,20160600
2016-04-22,,20160900,139.54,20160600
2016-04-25,,20160900,139.42,20160600
2016-04-26,,20160900,139.2,20160600
2016-04-27,,20160900,139.36,20160600
2016-04-28,,20160900,139.6,20160600
2016-04-29,,20160900,139.71,20160600
2016-05-02,,20160900,139.88,20160600
2016-05-03,,20160900,139.96,20160600
2016-05-04,,20160900,139.8,20160600
2016-05-05,,20160900,139.56,20160600
2016-05-06,,20160900,139.78,20160600
2016-05-09,,20160900,139.67,20160600
2016-05-10,,20160900,139.98,20160600
2016-05-11,,20160900,139.5,20160600
2016-05-12,,20160900,139.91,20160600
2016-05-13,,20160900,139.89,20160600
2016-05-16,,20160900,139.67,20160600
2016-05-17,,20160900,139.7,20160600
2016-05-18,,20160900,140.1,20160600
