index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1995-12-01,1.0235,19960200,1.029,19960100
1995-12-04,1.0229,19960200,1.0291,19960100
1995-12-05,1.0226,19960200,1.0287,19960100
1995-12-06,1.0226,19960200,1.0289,19960100
1995-12-07,1.0223,19960200,1.0287,19960100
1995-12-08,1.0223,19960200,1.0286,19960100
1995-12-11,1.0223,19960200,1.0287,19960100
1995-12-12,1.0223,19960200,1.0287,19960100
1995-12-13,1.0219,19960200,1.0285,19960100
1995-12-14,1.0212,19960200,1.0278,19960100
1995-12-15,1.0215,19960200,1.0281,19960100
1995-12-18,1.0222,19960200,1.0288,19960100
1995-12-19,1.0221,19960200,1.0289,19960100
1995-12-20,1.0224,19960200,1.029,19960100
1995-12-21,1.023,19960200,1.0294,19960100
1995-12-22,1.0232,19960200,1.0297,19960100
1995-12-26,1.0228,19960200,1.0295,19960100
1995-12-27,1.023,19960200,1.0293,19960100
1995-12-28,1.0215,19960200,1.0282,19960100
1995-12-29,1.0214,19960200,1.0283,19960100
1996-01-02,1.0152,19960300,1.0213,19960200
1996-01-03,1.0153,19960300,1.0216,19960200
1996-01-04,1.0152,19960300,1.0215,19960200
1996-01-05,1.0154,19960300,1.0215,19960200
1996-01-08,1.0154,19960300,1.0217,19960200
1996-01-09,1.0155,19960300,1.0219,19960200
1996-01-10,1.0151,19960300,1.0215,19960200
1996-01-11,1.0149,19960300,1.0214,19960200
1996-01-12,1.015,19960300,1.0216,19960200
1996-01-15,1.0154,19960300,1.0219,19960200
1996-01-16,1.0158,19960300,1.0222,19960200
1996-01-17,1.0157,19960300,1.022,19960200
1996-01-18,1.0157,19960300,1.0221,19960200
1996-01-19,1.0161,19960300,1.0224,19960200
1996-01-22,1.0163,19960300,1.0226,19960200
1996-01-23,1.016,19960300,1.0222,19960200
1996-01-24,1.0149,19960300,1.0215,19960200
1996-01-25,1.0153,19960300,1.0219,19960200
1996-01-26,1.0138,19960300,1.021,19960200
1996-01-29,1.0135,19960300,1.021,19960200
1996-01-30,1.0144,19960300,1.0215,19960200
1996-01-31,1.0138,19960300,1.0218,19960200
1996-02-01,1.0066,19960400,1.0141,19960300
1996-02-02,1.007,19960400,1.0143,19960300
1996-02-05,1.0073,19960400,1.0145,19960300
1996-02-06,1.0071,19960400,1.0144,19960300
1996-02-07,1.0072,19960400,1.0143,19960300
1996-02-08,1.0078,19960400,1.0147,19960300
1996-02-09,1.0078,19960400,1.0148,19960300
1996-02-12,1.0086,19960400,1.0153,19960300
1996-02-13,1.0087,19960400,1.0153,19960300
1996-02-14,1.0087,19960400,1.0151,19960300
1996-02-15,1.0087,19960400,1.0151,19960300
1996-02-16,1.0089,19960400,1.0154,19960300
1996-02-20,1.0089,19960400,1.0154,19960300
1996-02-21,1.0089,19960400,1.0154,19960300
1996-02-22,1.0093,19960400,1.0157,19960300
1996-02-23,1.0102,19960400,1.0164,19960300
1996-02-26,1.0099,19960400,1.0161,19960300
1996-02-27,1.0093,19960400,1.0154,19960300
1996-02-28,1.0099,19960400,1.0162,19960300
1996-02-29,1.0089,19960400,1.0165,19960300
1996-03-01,1.0025,19960500,1.009,19960400
1996-03-04,1.0035,19960500,1.0098,19960400
1996-03-05,1.0033,19960500,1.0095,19960400
1996-03-06,1.003,19960500,1.0095,19960400
1996-03-07,1.0028,19960500,1.0095,19960400
1996-03-08,1.0033,19960500,1.0095,19960400
1996-03-11,1.0032,19960500,1.0096,19960400
1996-03-12,1.0035,19960500,1.0098,19960400
1996-03-13,1.0035,19960500,1.0101,19960400
1996-03-14,1.0035,19960500,1.0099,19960400
1996-03-15,1.0035,19960500,1.01,19960400
1996-03-18,1.0032,19960500,1.0098,19960400
1996-03-19,1.0033,19960500,1.0097,19960400
1996-03-20,1.0035,19960500,1.0098,19960400
1996-03-21,1.0036,19960500,1.01,19960400
1996-03-22,1.0038,19960500,1.0102,19960400
1996-03-25,1.0039,19960500,1.0104,19960400
1996-03-26,1.0041,19960500,1.0105,19960400
1996-03-27,1.0049,19960500,1.0109,19960400
1996-03-28,1.0055,19960500,1.0115,19960400
1996-03-29,1.0064,19960500,1.0123,19960400
1996-04-01,1.0015,19960600,1.0067,19960500
1996-04-02,1.0015,19960600,1.0067,19960500
1996-04-03,1.0022,19960600,1.0071,19960500
1996-04-04,1.0022,19960600,1.0071,19960500
1996-04-05,1.0022,19960600,1.0071,19960500
1996-04-08,1.002,19960600,1.0071,19960500
1996-04-09,1.002,19960600,1.0071,19960500
1996-04-10,1.0022,19960600,1.0074,19960500
1996-04-11,1.0022,19960600,1.0073,19960500
1996-04-12,1.0024,19960600,1.0074,19960500
1996-04-15,1.002,19960600,1.0073,19960500
1996-04-16,1.0023,19960600,1.0073,19960500
1996-04-17,1.0027,19960600,1.0077,19960500
1996-04-18,1.0025,19960600,1.008,19960500
1996-04-19,1.0023,19960600,1.0072,19960500
1996-04-22,1.0025,19960600,1.0073,19960500
1996-04-23,1.0026,19960600,1.0073,19960500
1996-04-24,1.0025,19960600,1.0074,19960500
1996-04-25,1.0028,19960600,1.0078,19960500
1996-04-26,1.0022,19960600,1.0073,19960500
1996-04-29,1.0017,19960600,1.0071,19960500
1996-04-30,1.0016,19960600,1.0073,19960500
1996-05-01,0.9966,19960700,1.0016,19960600
1996-05-02,0.9964001,19960700,1.0017,19960600
1996-05-03,0.9964001,19960700,1.0018,19960600
1996-05-06,0.9959001,19960700,1.0014,19960600
1996-05-07,0.9944001,19960700,1.0009,19960600
1996-05-08,0.9944001,19960700,1.0012,19960600
1996-05-09,0.9948,19960700,1.0014,19960600
1996-05-10,0.9948,19960700,1.0013,19960600
1996-05-13,0.9950001,19960700,1.0013,19960600
1996-05-14,0.9952,19960700,1.0013,19960600
1996-05-15,0.9952,19960700,1.0015,19960600
1996-05-16,0.9955,19960700,1.0015,19960600
1996-05-17,0.9955,19960700,1.0015,19960600
1996-05-20,0.9955,19960700,1.0015,19960600
1996-05-21,0.9957001,19960700,1.0019,19960600
1996-05-22,0.9957001,19960700,1.0019,19960600
1996-05-23,0.9960001,19960700,1.002,19960600
1996-05-24,0.9960001,19960700,1.002,19960600
1996-05-28,0.9963,19960700,1.0022,19960600
1996-05-29,0.9964001,19960700,1.0023,19960600
1996-05-30,0.9964001,19960700,1.002,19960600
1996-05-31,0.9950001,19960700,1.0018,19960600
1996-06-03,0.9885001,19960800,0.9950001,19960700
1996-06-04,0.9888,19960800,0.9950001,19960700
1996-06-05,0.9892001,19960800,0.9954001,19960700
1996-06-06,0.9895,19960800,0.9954001,19960700
1996-06-07,0.989,19960800,0.9953001,19960700
1996-06-10,0.989,19960800,0.9953001,19960700
1996-06-11,0.989,19960800,0.9951,19960700
1996-06-12,0.989,19960800,0.9951,19960700
1996-06-13,0.9888,19960800,0.9951,19960700
1996-06-14,0.9888,19960800,0.9950001,19960700
1996-06-17,0.9888,19960800,0.9950001,19960700
1996-06-18,0.9885001,19960800,0.9950001,19960700
1996-06-19,0.9885001,19960800,0.9950001,19960700
1996-06-20,0.989,19960800,0.9954001,19960700
1996-06-21,0.9892001,19960800,0.9955,19960700
1996-06-24,0.9893,19960800,0.9956,19960700
1996-06-25,0.9894001,19960800,0.9956,19960700
1996-06-26,0.9894001,19960800,0.9956,19960700
1996-06-27,0.9896,19960800,0.9959001,19960700
1996-06-28,0.989,19960800,0.9956,19960700
1996-07-01,0.983,19960900,0.9893,19960800
1996-07-02,0.9828,19960900,0.989,19960800
1996-07-03,0.9828,19960900,0.989,19960800
1996-07-05,0.9828,19960900,0.9888,19960800
1996-07-08,0.9828,19960900,0.989,19960800
1996-07-09,0.9828,19960900,0.9889001,19960800
1996-07-10,0.9828,19960900,0.9889001,19960800
1996-07-11,0.9828,19960900,0.9892001,19960800
1996-07-12,0.9828,19960900,0.9892001,19960800
1996-07-15,0.9828,19960900,0.9892001,19960800
1996-07-16,0.9829001,19960900,0.9891,19960800
1996-07-17,0.9829001,19960900,0.9892001,19960800
1996-07-18,0.9829001,19960900,0.9892001,19960800
1996-07-19,0.9831,19960900,0.9894001,19960800
1996-07-22,0.9831,19960900,0.9894001,19960800
1996-07-23,0.9832001,19960900,0.9896,19960800
