index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2020-08-27,45.6,20201100,46.01,20201200
2020-08-28,45.81,20201100,46.25,20201200
2020-08-31,45.28,20201100,45.66,20201200
2020-09-01,45.58,20201100,46.0,20201200
2020-09-02,44.43,20201100,44.87,20201200
2020-09-03,44.07,20201100,44.59,20201200
2020-09-04,42.66,20201100,43.18,20201200
2020-09-08,39.78,20201100,40.36,20201200
2020-09-09,40.79,20201100,41.34,20201200
2020-09-10,40.06,20201100,40.63,20201200
2020-09-11,39.83,20201100,40.43,20201200
2020-09-14,39.61,20201100,40.28,20201200
2020-09-15,40.53,20201100,41.15,20201200
2020-09-16,42.22,20201100,42.79,20201200
2020-09-17,43.3,20201100,43.82,20201200
2020-09-18,43.15,20201100,43.68,20201200
2020-09-21,41.44,20201100,41.96,20201200
2020-09-22,42.19,20201200,42.58,20210100
2020-09-23,42.26,20201200,42.66,20210100
2020-09-24,42.46,20201200,42.91,20210100
2020-09-25,42.41,20201200,42.84,20210100
2020-09-28,42.87,20201200,43.26,20210100
2020-09-29,41.56,20201200,41.98,20210100
2020-09-30,42.3,20201200,42.75,20210100
2020-10-01,40.93,20201200,41.44,20210100
2020-10-02,39.27,20201200,39.81,20210100
2020-10-05,41.29,20201200,41.82,20210100
2020-10-06,42.65,20201200,43.13,20210100
2020-10-07,41.99,20201200,42.46,20210100
2020-10-08,43.34,20201200,43.77,20210100
2020-10-09,42.85,20201200,43.32,20210100
2020-10-12,41.72,20201200,42.2,20210100
2020-10-13,42.45,20201200,42.9,20210100
2020-10-14,43.32,20201200,43.7,20210100
2020-10-15,43.16,20201200,43.52,20210100
2020-10-16,42.93,20201200,43.27,20210100
2020-10-19,42.62,20201200,42.98,20210100
2020-10-20,43.16,20201200,43.53,20210100
2020-10-21,41.73,20201200,42.07,20210100
2020-10-22,42.78,20210100,43.07,20210200
2020-10-23,42.07,20210100,42.35,20210200
2020-10-26,40.81,20210100,41.16,20210200
2020-10-27,41.61,20210100,41.95,20210200
2020-10-28,39.64,20210100,40.03,20210200
2020-10-29,38.26,20210100,38.69,20210200
