index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2010-03-04,115.37,20100900,115.34,20100600
2010-03-05,115.41,20100900,115.38,20100600
2010-03-08,114.3,20100900,115.4,20100600
2010-03-09,114.57,20100900,115.67,20100600
2010-03-10,114.62,20100900,115.72,20100600
2010-03-11,114.35,20100900,115.45,20100600
2010-03-12,114.42,20100900,115.52,20100600
2010-03-15,114.51,20100900,115.61,20100600
2010-03-16,114.67,20100900,115.77,20100600
2010-03-17,114.9,20100900,116.0,20100600
2010-03-18,114.54,20100900,115.64,20100600
2010-03-19,114.53,20100900,115.63,20100600
2010-03-22,114.8,20100900,115.9,20100600
2010-03-23,115.03,20100900,116.13,20100600
2010-03-24,114.95,20100900,116.05,20100600
2010-03-25,114.88,20100900,115.98,20100600
2010-03-26,115.14,20100900,116.24,20100600
2010-03-29,115.28,20100900,116.38,20100600
2010-03-30,115.46,20100900,116.56,20100600
2010-03-31,115.65,20100900,116.75,20100600
2010-04-01,115.92,20100900,117.02,20100600
2010-04-06,115.3,20100900,116.4,20100600
2010-04-07,115.46,20100900,116.56,20100600
2010-04-08,115.63,20100900,116.73,20100600
2010-04-09,115.51,20100900,116.61,20100600
2010-04-12,115.66,20100900,116.76,20100600
2010-04-13,115.7,20100900,116.8,20100600
2010-04-14,115.62,20100900,116.72,20100600
2010-04-15,115.73,20100900,116.83,20100600
2010-04-16,115.91,20100900,117.01,20100600
2010-04-19,115.91,20100900,117.01,20100600
2010-04-20,115.72,20100900,116.82,20100600
2010-04-21,115.48,20100900,116.58,20100600
2010-04-22,115.17,20100900,116.27,20100600
2010-04-23,115.04,20100900,116.14,20100600
2010-04-26,115.01,20100900,116.11,20100600
2010-04-27,114.6,20100900,115.7,20100600
2010-04-28,113.79,20100900,114.89,20100600
2010-04-29,114.13,20100900,115.23,20100600
2010-04-30,114.72,20100900,115.82,20100600
2010-05-03,114.88,20100900,115.98,20100600
2010-05-04,114.63,20100900,115.73,20100600
2010-05-05,114.49,20100900,115.59,20100600
2010-05-06,112.42,20100900,113.52,20100600
2010-05-07,111.85,20100900,113.1,20100600
2010-05-10,114.77,20100900,116.02,20100600
2010-05-11,114.95,20100900,116.2,20100600
2010-05-12,115.1,20100900,116.35,20100600
2010-05-13,115.58,20100900,116.83,20100600
2010-05-14,115.22,20100900,116.47,20100600
2010-05-17,115.2,20100900,116.45,20100600
2010-05-18,115.27,20100900,116.52,20100600
2010-05-19,115.39,20100900,116.64,20100600
2010-05-20,115.0,20100900,116.25,20100600
2010-05-21,115.2,20100900,116.6,20100600
2010-05-24,115.23,20100900,116.73,20100600
2010-05-25,114.92,20100900,116.42,20100600
2010-05-26,114.38,20100900,115.88,20100600
2010-05-27,113.94,20100900,115.44,20100600
2010-05-28,113.8,20100900,115.3,20100600
2010-05-31,113.3,20100900,115.2,20100600
2010-06-01,112.99,20100900,115.01,20100600
2010-06-02,112.27,20100900,114.34,20100600
2010-06-03,112.0,20100900,114.04,20100600
2010-06-04,109.81,20101200,111.81,20100900
2010-06-07,108.93,20101200,111.2,20100900
2010-06-08,109.53,20101200,111.8,20100900
2010-06-09,110.61,20101200,112.88,20100900
2010-06-10,111.76,20101200,114.03,20100900
2010-06-11,111.7,20101200,113.97,20100900
2010-06-14,111.02,20101200,113.29,20100900
2010-06-15,111.23,20101200,113.5,20100900
2010-06-16,111.21,20101200,113.48,20100900
2010-06-17,111.73,20101200,114.0,20100900
2010-06-18,112.28,20101200,114.55,20100900
2010-06-21,112.62,20101200,114.89,20100900
2010-06-22,112.29,20101200,114.56,20100900
2010-06-23,112.08,20101200,114.35,20100900
2010-06-24,112.03,20101200,114.3,20100900
2010-06-25,111.78,20101200,114.05,20100900
2010-06-28,111.59,20101200,113.86,20100900
2010-06-29,111.61,20101200,113.88,20100900
2010-06-30,111.86,20101200,114.13,20100900
2010-07-01,111.9,20101200,114.17,20100900
2010-07-02,112.46,20101200,114.73,20100900
2010-07-05,112.7,20101200,114.97,20100900
2010-07-06,112.23,20101200,114.5,20100900
2010-07-07,112.06,20101200,114.33,20100900
2010-07-08,112.24,20101200,114.51,20100900
2010-07-09,112.56,20101200,114.83,20100900
2010-07-12,112.5,20101200,114.77,20100900
2010-07-13,112.31,20101200,114.58,20100900
2010-07-14,111.85,20101200,114.12,20100900
2010-07-15,111.92,20101200,114.19,20100900
2010-07-16,112.45,20101200,114.72,20100900
2010-07-19,112.57,20101200,114.84,20100900
2010-07-20,113.02,20101200,115.29,20100900
2010-07-21,113.13,20101200,115.4,20100900
2010-07-22,113.15,20101200,115.42,20100900
2010-07-23,113.15,20101200,115.42,20100900
2010-07-26,113.43,20101200,115.7,20100900
2010-07-27,113.78,20101200,116.05,20100900
2010-07-28,113.62,20101200,115.89,20100900
2010-07-29,113.97,20101200,116.24,20100900
2010-07-30,114.12,20101200,116.39,20100900
2010-08-02,114.36,20101200,116.63,20100900
2010-08-03,114.77,20101200,117.07,20100900
2010-08-04,114.99,20101200,117.29,20100900
2010-08-05,115.34,20101200,117.64,20100900
2010-08-06,115.73,20101200,118.03,20100900
2010-08-09,115.76,20101200,118.03,20100900
2010-08-10,115.17,20101200,117.44,20100900
2010-08-11,115.4,20101200,117.9,20100900
2010-08-12,115.13,20101200,117.63,20100900
2010-08-13,114.85,20101200,117.35,20100900
2010-08-16,115.01,20101200,117.51,20100900
2010-08-17,115.29,20101200,117.79,20100900
2010-08-18,116.02,20101200,118.52,20100900
2010-08-19,116.03,20101200,118.33,20100900
2010-08-20,116.57,20101200,118.32,20100900
2010-08-23,116.65,20101200,118.4,20100900
2010-08-24,116.98,20101200,118.73,20100900
