index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2011-09-07,,20120300,102.42,20111200
2011-09-08,,20120300,102.46,20111200
2011-09-09,,20120300,102.15,20111200
2011-09-12,,20120300,101.28,20111200
2011-09-13,,20120300,100.96,20111200
2011-09-14,,20120300,101.3,20111200
2011-09-15,,20120300,101.43,20111200
2011-09-16,,20120300,101.9,20111200
2011-09-19,,20120300,101.85,20111200
2011-09-20,,20120300,101.7,20111200
2011-09-21,,20120300,101.62,20111200
2011-09-22,,20120300,101.9,20111200
2011-09-23,,20120300,101.95,20111200
2011-09-26,,20120300,101.76,20111200
2011-09-27,,20120300,101.94,20111200
2011-09-28,,20120300,101.85,20111200
2011-09-29,,20120300,102.01,20111200
2011-09-30,,20120300,102.14,20111200
2011-10-03,,20120300,102.23,20111200
2011-10-04,,20120300,102.32,20111200
2011-10-05,,20120300,102.38,20111200
2011-10-06,,20120300,102.62,20111200
2011-10-07,,20120300,102.68,20111200
2011-10-10,,20120300,102.68,20111200
2011-10-11,,20120300,102.58,20111200
2011-10-12,,20120300,102.44,20111200
2011-10-13,,20120300,102.19,20111200
2011-10-14,,20120300,102.17,20111200
2011-10-17,,20120300,102.12,20111200
2011-10-18,,20120300,101.9,20111200
2011-10-19,,20120300,101.8,20111200
2011-10-20,,20120300,101.6,20111200
2011-10-21,,20120300,101.83,20111200
2011-10-24,,20120300,101.77,20111200
2011-10-25,,20120300,101.71,20111200
2011-10-26,,20120300,101.7,20111200
2011-10-27,,20120300,101.91,20111200
2011-10-28,,20120300,101.28,20111200
2011-10-31,,20120300,100.68,20111200
2011-11-01,,20120300,100.23,20111200
2011-11-02,,20120300,100.22,20111200
2011-11-03,,20120300,100.16,20111200
2011-11-04,,20120300,99.47,20111200
2011-11-07,,20120300,98.34,20111200
2011-11-08,,20120300,97.85,20111200
2011-11-09,,20120300,95.7,20111200
2011-11-10,,20120300,97.67,20111200
2011-11-11,,20120300,99.05,20111200
