index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2006-12-01,118.49,20070600,118.92,20070300
2006-12-04,118.43,20070600,118.89,20070300
2006-12-05,118.37,20070600,118.83,20070300
2006-12-06,118.13,20070600,118.65,20070300
2006-12-07,117.91,20070600,118.42,20070300
2006-12-08,117.65,20070600,118.08,20070300
2006-12-11,117.62,20070600,118.08,20070300
2006-12-12,117.65,20070600,118.12,20070300
2006-12-13,117.33,20070600,117.84,20070300
2006-12-14,117.03,20070600,117.58,20070300
2006-12-15,116.81,20070600,117.33,20070300
2006-12-18,116.61,20070600,117.15,20070300
2006-12-19,116.33,20070600,116.82,20070300
2006-12-20,116.37,20070600,116.89,20070300
2006-12-21,116.45,20070600,116.95,20070300
2006-12-22,116.15,20070600,116.68,20070300
2006-12-27,115.77,20070600,116.24,20070300
2006-12-28,115.61,20070600,116.12,20070300
2006-12-29,115.69,20070600,116.03,20070300
2007-01-02,115.8,20070600,116.24,20070300
2007-01-03,115.74,20070600,116.25,20070300
2007-01-04,115.8,20070600,116.36,20070300
2007-01-05,115.48,20070600,115.99,20070300
2007-01-08,115.48,20070600,115.98,20070300
2007-01-09,115.19,20070600,115.65,20070300
2007-01-10,115.14,20070600,115.58,20070300
2007-01-11,115.3,20070600,115.5,20070300
2007-01-12,114.72,20070600,115.19,20070300
2007-01-15,114.8,20070600,115.28,20070300
2007-01-16,114.96,20070600,115.41,20070300
2007-01-17,114.83,20070600,115.31,20070300
2007-01-18,114.81,20070600,115.39,20070300
2007-01-19,114.76,20070600,115.25,20070300
2007-01-22,115.04,20070600,115.52,20070300
2007-01-23,114.9,20070600,115.38,20070300
2007-01-24,114.87,20070600,115.36,20070300
2007-01-25,114.51,20070600,115.0,20070300
2007-01-26,114.46,20070600,114.9,20070300
2007-01-29,114.16,20070600,114.67,20070300
2007-01-30,114.3,20070600,114.86,20070300
2007-01-31,114.46,20070600,114.99,20070300
2007-02-01,114.47,20070600,114.96,20070300
2007-02-02,114.7,20070600,115.28,20070300
2007-02-05,114.91,20070600,115.47,20070300
2007-02-06,115.1,20070600,115.62,20070300
2007-02-07,115.08,20070600,115.6,20070300
2007-02-08,114.87,20070600,115.4,20070300
2007-02-09,114.46,20070600,115.0,20070300
2007-02-12,114.33,20070600,114.84,20070300
2007-02-13,114.22,20070600,114.74,20070300
