index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2015-12-03,,20160600,151.26,20160300
2015-12-04,,20160600,150.24,20160300
2015-12-07,,20160600,152.76,20160300
2015-12-08,,20160600,153.76,20160300
2015-12-09,,20160600,152.78,20160300
2015-12-10,,20160600,153.26,20160300
2015-12-11,,20160600,154.6,20160300
2015-12-14,,20160600,154.04,20160300
2015-12-15,,20160600,152.14,20160300
2015-12-16,,20160600,151.68,20160300
2015-12-17,,20160600,153.8,20160300
2015-12-18,,20160600,155.28,20160300
2015-12-21,,20160600,155.24,20160300
2015-12-22,,20160600,153.32,20160300
2015-12-23,,20160600,151.78,20160300
2015-12-24,,20160600,151.78,20160300
2015-12-28,,20160600,154.22,20160300
2015-12-29,,20160600,150.82,20160300
2015-12-30,,20160600,151.4,20160300
2015-12-31,,20160600,151.1,20160300
2016-01-04,,20160600,152.72,20160300
2016-01-05,,20160600,152.84,20160300
2016-01-06,,20160600,153.92,20160300
2016-01-07,,20160600,152.76,20160300
2016-01-08,,20160600,153.82,20160300
2016-01-11,,20160600,153.7,20160300
2016-01-12,,20160600,154.56,20160300
2016-01-13,,20160600,155.2,20160300
2016-01-14,,20160600,154.6,20160300
2016-01-15,,20160600,155.96,20160300
2016-01-18,,20160600,155.66,20160300
2016-01-19,,20160600,155.3,20160300
2016-01-20,,20160600,157.88,20160300
2016-01-21,,20160600,158.14,20160300
2016-01-22,,20160600,157.14,20160300
2016-01-25,,20160600,157.82,20160300
2016-01-26,,20160600,158.88,20160300
2016-01-27,,20160600,159.26,20160300
2016-01-28,,20160600,160.6,20160300
2016-01-29,,20160600,162.64,20160300
2016-02-01,,20160600,162.08,20160300
2016-02-02,,20160600,162.58,20160300
2016-02-03,,20160600,164.46,20160300
2016-02-04,,20160600,163.62,20160300
2016-02-05,,20160600,163.68,20160300
2016-02-08,,20160600,167.3,20160300
2016-02-09,,20160600,166.6,20160300
2016-02-11,,20160600,169.16,20160300
2016-02-12,,20160600,166.62,20160300
2016-02-15,,20160600,166.64,20160300
2016-02-16,,20160600,165.44,20160300
2016-02-17,,20160600,165.1,20160300
2016-02-18,,20160600,167.3,20160300
2016-02-19,,20160600,167.56,20160300
2016-02-22,,20160600,168.38,20160300
2016-02-23,,20160600,168.76,20160300
2016-02-24,,20160600,169.98,20160300
2016-02-25,,20160600,169.92,20160300
2016-02-26,,20160600,168.88,20160300
2016-02-29,,20160600,169.72,20160300
2016-03-01,,20160600,167.3,20160300
2016-03-02,163.8,20160600,165.06,20160300
2016-03-03,,20160900,164.72,20160600
2016-03-04,,20160900,163.32,20160600
2016-03-07,,20160900,163.5,20160600
2016-03-08,,20160900,164.76,20160600
2016-03-09,,20160900,163.14,20160600
2016-03-10,,20160900,161.32,20160600
2016-03-11,,20160900,162.8,20160600
2016-03-14,,20160900,163.06,20160600
2016-03-15,,20160900,161.86,20160600
2016-03-16,,20160900,162.8,20160600
2016-03-17,,20160900,165.22,20160600
2016-03-18,,20160900,165.8,20160600
2016-03-21,,20160900,165.42,20160600
2016-03-22,,20160900,166.12,20160600
2016-03-23,,20160900,166.44,20160600
2016-03-24,,20160900,167.66,20160600
2016-03-28,,20160900,167.66,20160600
2016-03-29,,20160900,169.04,20160600
2016-03-30,,20160900,168.16,20160600
2016-03-31,,20160900,168.54,20160600
2016-04-01,,20160900,169.64,20160600
2016-04-04,,20160900,170.66,20160600
2016-04-05,,20160900,171.72,20160600
2016-04-06,,20160900,170.6,20160600
2016-04-07,,20160900,171.78,20160600
2016-04-08,,20160900,170.88,20160600
2016-04-11,,20160900,169.54,20160600
2016-04-12,,20160900,167.8,20160600
2016-04-13,,20160900,168.88,20160600
2016-04-14,,20160900,168.4,20160600
2016-04-15,,20160900,169.34,20160600
2016-04-18,,20160900,168.48,20160600
2016-04-19,,20160900,167.38,20160600
2016-04-20,,20160900,168.64,20160600
2016-04-21,,20160900,165.84,20160600
2016-04-22,,20160900,165.2,20160600
2016-04-25,,20160900,164.18,20160600
2016-04-26,,20160900,163.3,20160600
2016-04-27,,20160900,162.92,20160600
2016-04-28,,20160900,164.08,20160600
2016-04-29,,20160900,163.46,20160600
2016-05-02,,20160900,164.2,20160600
2016-05-03,,20160900,166.7,20160600
2016-05-04,,20160900,166.38,20160600
2016-05-05,,20160900,167.62,20160600
2016-05-06,,20160900,168.48,20160600
2016-05-09,,20160900,169.06,20160600
2016-05-10,,20160900,169.52,20160600
2016-05-11,,20160900,169.1,20160600
2016-05-12,,20160900,167.94,20160600
2016-05-13,,20160900,169.06,20160600
2016-05-16,,20160900,168.4,20160600
2016-05-17,,20160900,168.98,20160600
2016-05-18,,20160900,167.56,20160600
2016-05-19,,20160900,167.76,20160600
2016-05-20,,20160900,167.36,20160600
2016-05-23,,20160900,166.92,20160600
2016-05-24,,20160900,167.08,20160600
2016-05-25,,20160900,168.28,20160600
2016-05-26,,20160900,168.52,20160600
2016-05-27,,20160900,168.42,20160600
2016-05-30,,20160900,167.42,20160600
2016-05-31,,20160900,168.3,20160600
2016-06-01,,20160900,168.96,20160600
2016-06-02,179.0,20160900,169.8,20160600
2016-06-03,,20161200,181.32,20160900
2016-06-06,,20161200,181.24,20160900
2016-06-07,,20161200,183.02,20160900
2016-06-08,,20161200,183.7,20160900
