index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2009-04-16,2937.0,20090600,3003.0,20090500
2009-04-17,3000.0,20090600,3040.0,20090500
2009-04-20,2850.0,20090600,2896.5,20090500
2009-04-21,2900.0,20090600,2959.5,20090500
2009-04-22,2905.0,20090600,2941.5,20090500
2009-04-23,2927.0,20090600,2999.5,20090500
2009-04-24,3016.0,20090600,3060.5,20090500
2009-04-27,2992.5,20090600,3041.0,20090500
2009-04-28,2961.0,20090600,3014.5,20090500
2009-04-29,3030.0,20090600,3072.0,20090500
2009-04-30,3053.5,20090600,3090.0,20090500
2009-05-04,3149.0,20090600,3228.0,20090500
2009-05-05,3159.0,20090600,3216.0,20090500
2009-05-06,3235.0,20090600,3300.5,20090500
2009-05-07,3202.0,20090600,3235.0,20090500
2009-05-08,3267.0,20090600,3325.5,20090500
2009-05-11,3170.5,20090600,3224.0,20090500
2009-05-12,3183.5,20090600,3238.5,20090500
2009-05-13,3094.5,20090600,3145.0,20090500
2009-05-14,3110.5,20090600,3161.0,20090500
2009-05-15,3092.5,20090700,3099.0,20090600
2009-05-18,3188.0,20090700,3213.0,20090600
2009-05-19,3224.0,20090700,3226.5,20090600
2009-05-20,3232.0,20090700,3233.0,20090600
2009-05-21,3184.0,20090700,3204.0,20090600
2009-05-22,3203.0,20090700,3196.5,20090600
2009-05-25,3219.0,20090700,3224.0,20090600
2009-05-26,3252.0,20090700,3258.5,20090600
2009-05-27,3227.5,20090700,3228.5,20090600
2009-05-28,3269.0,20090700,3283.0,20090600
2009-05-29,3267.5,20090700,3299.0,20090600
2009-06-01,3354.0,20090700,3310.0,20090600
2009-06-02,3367.0,20090700,3373.0,20090600
2009-06-03,3280.0,20090700,3304.0,20090600
2009-06-04,3321.0,20090700,3328.0,20090600
2009-06-05,3333.0,20090700,3329.0,20090600
2009-06-08,3309.0,20090700,3312.5,20090600
2009-06-09,3303.0,20090700,3305.0,20090600
2009-06-10,3291.0,20090700,3298.5,20090600
2009-06-11,3312.5,20090700,3316.0,20090600
2009-06-12,3330.0,20090700,3340.5,20090600
2009-06-15,3230.0,20090700,3229.0,20090600
2009-06-16,3199.5,20090800,3178.0,20090700
2009-06-17,3166.5,20090800,3161.5,20090700
2009-06-18,3191.0,20090800,3186.5,20090700
2009-06-19,3214.0,20090800,3204.0,20090700
2009-06-22,3116.0,20090800,3108.0,20090700
2009-06-23,3125.5,20090800,3115.0,20090700
2009-06-24,3150.0,20090800,3135.0,20090700
2009-06-25,3180.0,20090800,3188.0,20090700
2009-06-26,3132.0,20090800,3187.0,20090700
2009-06-29,3184.0,20090800,3183.5,20090700
2009-06-30,3152.5,20090800,3150.0,20090700
2009-07-01,3193.0,20090800,3155.0,20090700
2009-07-02,3118.0,20090800,3112.5,20090700
2009-07-03,3112.5,20090800,3125.5,20090700
2009-07-06,3095.0,20090800,3105.0,20090700
2009-07-07,3032.0,20090800,3031.0,20090700
2009-07-08,3007.0,20090800,3015.5,20090700
2009-07-09,3030.5,20090800,3020.0,20090700
2009-07-10,2996.5,20090800,2995.0,20090700
2009-07-13,3066.0,20090800,3069.0,20090700
2009-07-14,3085.5,20090800,3084.0,20090700
2009-07-15,3178.0,20090800,3177.0,20090700
2009-07-16,3231.0,20090900,3234.0,20090800
2009-07-17,3223.5,20090900,3236.5,20090800
2009-07-20,3278.5,20090900,3278.5,20090800
2009-07-21,3291.0,20090900,3306.5,20090800
2009-07-22,3295.5,20090900,3290.5,20090800
2009-07-23,3366.0,20090900,3373.0,20090800
2009-07-24,3379.5,20090900,3387.0,20090800
2009-07-27,3364.0,20090900,3384.0,20090800
2009-07-28,3356.0,20090900,3363.0,20090800
2009-07-29,3362.5,20090900,3372.0,20090800
2009-07-30,3408.0,20090900,3414.0,20090800
2009-07-31,3421.0,20090900,3425.5,20090800
2009-08-03,3480.0,20090900,3490.0,20090800
2009-08-04,3473.0,20090900,3484.0,20090800
2009-08-05,3480.0,20090900,3481.5,20090800
2009-08-06,3450.5,20090900,3468.5,20090800
2009-08-07,3506.5,20090900,3511.0,20090800
2009-08-10,3491.0,20090900,3499.0,20090800
2009-08-11,3461.5,20090900,3467.0,20090800
2009-08-12,3499.0,20090900,3502.5,20090800
2009-08-13,3521.0,20090900,3534.5,20090800
2009-08-14,3510.5,20090900,3516.5,20090800
2009-08-17,3402.0,20091000,3407.5,20090900
2009-08-18,3435.0,20091000,3444.5,20090900
2009-08-19,3452.5,20091000,3466.5,20090900
2009-08-20,3497.5,20091000,3502.0,20090900
2009-08-21,3613.0,20091000,3610.0,20090900
2009-08-24,3625.0,20091000,3623.0,20090900
2009-08-25,3663.5,20091000,3660.0,20090900
2009-08-26,3667.5,20091000,3667.5,20090900
2009-08-27,3656.5,20091000,3676.0,20090900
2009-08-28,3687.5,20091000,3694.0,20090900
2009-08-31,3657.0,20091000,3668.0,20090900
2009-09-01,3576.0,20091000,3569.5,20090900
2009-09-02,3566.5,20091000,3561.5,20090900
2009-09-03,3552.5,20091000,3569.0,20090900
2009-09-04,3622.0,20091000,3617.5,20090900
2009-09-07,3654.5,20091000,3650.0,20090900
2009-09-08,3662.0,20091000,3662.0,20090900
2009-09-09,3699.5,20091000,3699.5,20090900
2009-09-10,3729.0,20091000,3728.5,20090900
2009-09-11,3733.0,20091000,3727.5,20090900
2009-09-14,3745.0,20091000,3744.5,20090900
2009-09-15,3764.0,20091000,3762.0,20090900
2009-09-16,3807.5,20091100,3830.0,20091000
2009-09-17,3797.0,20091100,3823.0,20091000
2009-09-18,3828.0,20091100,3842.5,20091000
2009-09-21,3786.0,20091100,3821.5,20091000
2009-09-22,3816.0,20091100,3827.5,20091000
2009-09-23,3794.5,20091100,3803.5,20091000
2009-09-24,3810.0,20091100,3759.0,20091000
2009-09-25,3714.0,20091100,3734.0,20091000
2009-09-28,3814.0,20091100,3826.5,20091000
2009-09-29,3815.0,20091100,3816.0,20091000
2009-09-30,3803.0,20091100,3806.0,20091000
2009-10-01,3710.0,20091100,3825.0,20091000
2009-10-02,3651.5,20091100,3647.5,20091000
2009-10-05,3676.5,20091100,3641.5,20091000
2009-10-06,3748.0,20091100,3760.0,20091000
2009-10-07,3737.0,20091100,3766.0,20091000
2009-10-08,3790.0,20091100,3796.0,20091000
2009-10-09,3788.0,20091100,3803.5,20091000
2009-10-12,3814.5,20091100,3831.0,20091000
2009-10-13,3802.5,20091100,3816.5,20091000
2009-10-14,3871.5,20091100,3800.0,20091000
2009-10-15,3888.5,20091100,3903.0,20091000
2009-10-16,3813.0,20091200,3824.0,20091100
2009-10-19,3862.0,20091200,3871.5,20091100
2009-10-20,3848.5,20091200,3853.5,20091100
2009-10-21,3801.0,20091200,3811.0,20091100
2009-10-22,3829.5,20091200,3836.0,20091100
2009-10-23,3785.0,20091200,3793.0,20091100
2009-10-26,3717.5,20091200,3726.0,20091100
2009-10-27,3712.0,20091200,3711.5,20091100
2009-10-28,3620.0,20091200,3629.5,20091100
2009-10-29,3708.0,20091200,3715.0,20091100
2009-10-30,3566.0,20091200,3569.5,20091100
2009-11-02,3591.0,20091200,3598.5,20091100
2009-11-03,3585.5,20091200,3595.0,20091100
2009-11-04,3615.5,20091200,3599.0,20091100
2009-11-05,3692.5,20091200,3611.5,20091100
2009-11-06,3698.5,20091200,3707.5,20091100
2009-11-09,3778.0,20091200,3784.5,20091100
2009-11-10,3777.0,20091200,3784.0,20091100
2009-11-11,3796.0,20091200,3777.5,20091100
2009-11-12,3771.5,20091200,3780.0,20091100
2009-11-13,3801.0,20091200,3805.0,20091100
2009-11-16,3834.5,20100100,3841.0,20091200
2009-11-17,,20100100,3846.0,20091200
2009-11-18,,20100100,3833.0,20091200
2009-11-19,3757.5,20100100,3776.5,20091200
2009-11-20,3733.0,20100100,3741.0,20091200
2009-11-23,3789.5,20100100,3785.0,20091200
