index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1972-09-14,,19730300,1.0173,19721200
1972-09-15,,19730300,1.0184,19721200
1972-09-18,,19730300,1.0181,19721200
1972-09-19,,19730300,1.0176,19721200
1972-09-20,,19730300,1.0171,19721200
1972-09-21,,19730300,1.0179,19721200
1972-09-22,,19730300,1.0179,19721200
1972-09-25,,19730300,1.0177,19721200
1972-09-26,,19730300,1.017,19721200
1972-09-27,,19730300,1.0167,19721200
1972-09-28,,19730300,1.0167,19721200
1972-09-29,,19730300,1.0165,19721200
1972-10-02,,19730300,1.0159,19721200
1972-10-03,,19730300,1.0163,19721200
1972-10-04,,19730300,1.0166,19721200
1972-10-05,,19730300,1.0164,19721200
1972-10-06,,19730300,1.0163,19721200
1972-10-09,,19730300,1.0163,19721200
1972-10-10,,19730300,1.017,19721200
1972-10-11,,19730300,1.0173,19721200
1972-10-12,,19730300,1.0172,19721200
1972-10-13,,19730300,1.0175,19721200
1972-10-16,,19730300,1.0181,19721200
1972-10-17,,19730300,1.0186,19721200
1972-10-18,,19730300,1.018,19721200
1972-10-19,,19730300,1.0182,19721200
1972-10-20,,19730300,1.0181,19721200
1972-10-23,,19730300,1.0178,19721200
1972-10-24,,19730300,1.0176,19721200
1972-10-25,,19730300,1.0178,19721200
1972-10-26,,19730300,1.0178,19721200
1972-10-27,,19730300,1.0177,19721200
1972-10-30,,19730300,1.0176,19721200
1972-10-31,,19730300,1.017,19721200
1972-11-01,,19730300,1.0159,19721200
1972-11-02,,19730300,1.0146,19721200
1972-11-03,,19730300,1.0139,19721200
1972-11-06,,19730300,1.014,19721200
1972-11-08,,19730300,1.0138,19721200
1972-11-09,,19730300,1.0139,19721200
1972-11-10,,19730300,1.014,19721200
1972-11-13,,19730300,1.0143,19721200
1972-11-14,,19730300,1.0141,19721200
1972-11-15,,19730300,1.014,19721200
1972-11-16,,19730300,1.0141,19721200
1972-11-17,,19730300,1.0142,19721200
1972-11-20,,19730300,1.014,19721200
1972-11-21,,19730300,1.014,19721200
1972-11-22,,19730300,1.0137,19721200
1972-11-27,,19730300,1.0123,19721200
1972-11-28,,19730300,1.0092,19721200
1972-11-29,,19730300,1.0073,19721200
1972-11-30,,19730300,1.005,19721200
1972-12-01,1.0054,19730300,1.0054,19721200
1972-12-04,1.0046,19730300,1.0048,19721200
1972-12-05,1.0035,19730300,1.0038,19721200
1972-12-06,1.0011,19730300,1.0016,19721200
1972-12-07,0.9987,19730300,0.9986,19721200
1972-12-08,0.999,19730300,0.9988,19721200
1972-12-11,0.9994,19730300,0.9994,19721200
1972-12-12,1.0025,19730300,1.0022,19721200
1972-12-13,1.0038,19730300,1.0031,19721200
1972-12-14,,19730600,1.0035,19730300
1972-12-15,,19730600,1.0036,19730300
1972-12-18,,19730600,1.0035,19730300
1972-12-19,,19730600,1.0054,19730300
1972-12-20,,19730600,1.0084,19730300
1972-12-21,,19730600,1.0078,19730300
1972-12-22,,19730600,1.0053,19730300
1972-12-26,,19730600,1.004,19730300
1972-12-27,,19730600,1.0052,19730300
1972-12-29,,19730600,1.0051,19730300
1973-01-02,,19730600,1.004,19730300
1973-01-03,,19730600,1.0024,19730300
1973-01-04,,19730600,1.0023,19730300
1973-01-05,,19730600,1.0026,19730300
1973-01-08,,19730600,1.002,19730300
