index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2010-07-08,1.5659999999999998,20100800,1.595,20100900
2010-07-09,1.56,20100800,1.5930000000000002,20100900
2010-07-12,1.582,20100800,1.604,20100900
2010-07-13,1.575,20100800,1.604,20100900
2010-07-14,1.588,20100800,1.604,20100900
2010-07-15,1.598,20100800,1.614,20100900
2010-07-16,1.587,20100800,1.595,20100900
2010-07-19,1.587,20100800,1.595,20100900
2010-07-20,1.587,20100800,1.595,20100900
2010-07-21,1.589,20100800,1.598,20100900
2010-07-22,1.581,20100800,1.598,20100900
2010-07-23,1.581,20100800,1.611,20100900
2010-07-26,1.581,20100800,1.6230000000000002,20100900
2010-07-27,1.584,20100800,1.626,20100900
2010-07-28,1.584,20100800,1.626,20100900
2010-07-29,1.584,20100800,1.626,20100900
2010-07-30,1.584,20100800,1.63,20100900
2010-08-02,1.582,20100800,1.63,20100900
2010-08-03,1.582,20100800,1.62,20100900
2010-08-04,1.582,20100800,1.61,20100900
2010-08-05,1.582,20100800,1.61,20100900
2010-08-06,1.585,20100800,1.6130000000000002,20100900
2010-08-09,1.63,20100900,1.598,20101000
2010-08-10,1.6369999999999998,20100900,1.602,20101000
2010-08-11,1.639,20100900,1.6030000000000002,20101000
2010-08-12,1.635,20100900,1.606,20101000
2010-08-13,1.635,20100900,1.606,20101000
2010-08-16,1.63,20100900,1.605,20101000
2010-08-17,1.601,20100900,1.5830000000000002,20101000
2010-08-18,1.611,20100900,1.585,20101000
2010-08-19,1.601,20100900,1.578,20101000
2010-08-20,1.62,20100900,1.585,20101000
2010-08-23,1.62,20100900,1.588,20101000
2010-08-24,1.6230000000000002,20100900,1.602,20101000
2010-08-25,1.625,20100900,1.606,20101000
2010-08-26,1.638,20100900,1.619,20101000
2010-08-27,1.641,20100900,1.625,20101000
2010-08-30,1.641,20100900,1.602,20101000
2010-08-31,1.67,20100900,1.635,20101000
2010-09-01,1.683,20100900,1.6469999999999998,20101000
2010-09-02,1.683,20100900,1.634,20101000
2010-09-03,1.683,20100900,1.632,20101000
2010-09-07,1.686,20100900,1.632,20101000
2010-09-08,1.638,20101000,1.596,20101100
2010-09-09,1.6369999999999998,20101000,1.596,20101100
2010-09-10,1.642,20101000,1.61,20101100
2010-09-13,1.654,20101000,1.645,20101100
2010-09-14,1.654,20101000,1.645,20101100
2010-09-15,1.665,20101000,1.645,20101100
2010-09-16,1.676,20101000,1.659,20101100
2010-09-17,1.681,20101000,1.662,20101100
2010-09-20,1.6969999999999998,20101000,1.6909999999999998,20101100
2010-09-21,1.703,20101000,1.6909999999999998,20101100
2010-09-22,1.703,20101000,1.689,20101100
2010-09-23,1.7080000000000002,20101000,1.6880000000000002,20101100
2010-09-24,1.71,20101000,1.6880000000000002,20101100
2010-09-27,1.712,20101000,1.6880000000000002,20101100
2010-09-28,1.712,20101000,1.666,20101100
2010-09-29,1.717,20101000,1.666,20101100
2010-09-30,1.721,20101000,1.672,20101100
2010-10-01,1.721,20101000,1.683,20101100
2010-10-04,1.721,20101000,1.683,20101100
2010-10-05,1.726,20101000,1.693,20101100
2010-10-06,1.734,20101000,1.699,20101100
2010-10-07,1.734,20101000,1.703,20101100
2010-10-08,1.703,20101100,1.626,20101200
2010-10-11,1.703,20101100,1.626,20101200
2010-10-12,1.703,20101100,1.616,20101200
2010-10-13,1.696,20101100,1.611,20101200
2010-10-14,1.696,20101100,1.611,20101200
2010-10-15,1.649,20101100,1.575,20101200
2010-10-18,1.6369999999999998,20101100,1.575,20101200
2010-10-19,1.6369999999999998,20101100,1.5590000000000002,20101200
2010-10-20,1.665,20101100,1.5730000000000002,20101200
2010-10-21,1.665,20101100,1.5730000000000002,20101200
2010-10-22,1.665,20101100,1.5730000000000002,20101200
2010-10-25,1.665,20101100,1.5730000000000002,20101200
2010-10-26,1.665,20101100,1.5719999999999998,20101200
2010-10-27,1.665,20101100,1.5719999999999998,20101200
2010-10-28,1.634,20101100,1.5619999999999998,20101200
2010-10-29,1.636,20101100,1.523,20101200
2010-11-01,1.621,20101100,1.4980000000000002,20101200
2010-11-02,1.621,20101100,1.4980000000000002,20101200
2010-11-03,1.621,20101100,1.4880000000000002,20101200
2010-11-04,1.631,20101100,1.4880000000000002,20101200
2010-11-05,1.622,20101100,1.446,20101200
2010-11-08,1.43,20101200,1.4340000000000002,20110100
2010-11-09,1.445,20101200,1.466,20110100
2010-11-10,1.431,20101200,1.4509999999999998,20110100
2010-11-11,1.41,20101200,1.4409999999999998,20110100
2010-11-12,1.41,20101200,1.4340000000000002,20110100
2010-11-15,1.419,20101200,1.4340000000000002,20110100
2010-11-16,1.4409999999999998,20101200,1.43,20110100
2010-11-17,1.462,20101200,1.455,20110100
2010-11-18,1.483,20101200,1.472,20110100
2010-11-19,1.473,20101200,1.454,20110100
2010-11-22,1.473,20101200,1.4480000000000002,20110100
2010-11-23,1.46,20101200,1.435,20110100
2010-11-24,1.455,20101200,1.4169999999999998,20110100
2010-11-26,1.455,20101200,1.4169999999999998,20110100
2010-11-29,1.455,20101200,1.436,20110100
2010-11-30,1.472,20101200,1.444,20110100
2010-12-01,1.472,20101200,1.4480000000000002,20110100
2010-12-02,1.465,20101200,1.442,20110100
2010-12-03,1.465,20101200,1.442,20110100
2010-12-06,1.465,20101200,1.43,20110100
2010-12-07,1.465,20101200,1.418,20110100
2010-12-08,1.4,20110100,1.4,20110200
2010-12-09,1.384,20110100,1.401,20110200
2010-12-10,1.384,20110100,1.396,20110200
2010-12-13,1.384,20110100,1.408,20110200
2010-12-14,1.384,20110100,1.4,20110200
2010-12-15,1.402,20110100,1.41,20110200
2010-12-16,1.409,20110100,1.41,20110200
2010-12-17,1.403,20110100,1.41,20110200
2010-12-20,1.3869999999999998,20110100,1.41,20110200
2010-12-21,1.3869999999999998,20110100,1.405,20110200
2010-12-22,1.378,20110100,1.405,20110200
2010-12-23,1.382,20110100,1.405,20110200
2010-12-27,1.382,20110100,1.405,20110200
2010-12-28,1.382,20110100,1.405,20110200
2010-12-29,1.386,20110100,1.4280000000000002,20110200
2010-12-30,1.391,20110100,1.444,20110200
2010-12-31,1.398,20110100,1.439,20110200
2011-01-03,1.392,20110100,1.43,20110200
2011-01-04,1.389,20110100,1.4269999999999998,20110200
2011-01-05,1.382,20110100,1.4269999999999998,20110200
2011-01-06,1.384,20110100,1.4369999999999998,20110200
2011-01-07,1.384,20110100,1.453,20110200
2011-01-10,1.48,20110200,1.47,20110300
2011-01-11,1.5319999999999998,20110200,1.523,20110300
2011-01-12,1.54,20110200,1.535,20110300
2011-01-13,1.54,20110200,1.531,20110300
2011-01-14,1.5419999999999998,20110200,1.535,20110300
2011-01-18,1.5530000000000002,20110200,1.536,20110300
2011-01-19,1.526,20110200,1.52,20110300
2011-01-20,1.57,20110200,1.5530000000000002,20110300
2011-01-21,1.634,20110200,1.605,20110300
2011-01-24,1.67,20110200,1.662,20110300
2011-01-25,1.67,20110200,1.682,20110300
2011-01-26,1.67,20110200,1.733,20110300
2011-01-27,1.67,20110200,1.733,20110300
2011-01-28,1.676,20110200,1.743,20110300
2011-01-31,1.702,20110200,1.8,20110300
2011-02-01,1.702,20110200,1.839,20110300
2011-02-02,1.686,20110200,1.81,20110300
2011-02-03,1.6969999999999998,20110200,1.821,20110300
