index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1972-09-14,,19730300,0.2671,19721200
1972-09-15,,19730300,0.2666,19721200
1972-09-18,,19730300,0.2657,19721200
1972-09-19,,19730300,0.2662,19721200
1972-09-20,,19730300,0.2659,19721200
1972-09-21,,19730300,0.2662,19721200
1972-09-22,,19730300,0.2666,19721200
1972-09-25,,19730300,0.2662,19721200
1972-09-26,,19730300,0.2653,19721200
1972-09-27,,19730300,0.2654,19721200
1972-09-28,,19730300,0.2648,19721200
1972-09-29,,19730300,0.2652,19721200
1972-10-02,,19730300,0.2642,19721200
1972-10-03,,19730300,0.265,19721200
1972-10-04,,19730300,0.2657,19721200
1972-10-05,,19730300,0.2657,19721200
1972-10-06,,19730300,0.2656,19721200
1972-10-09,,19730300,0.2659,19721200
1972-10-10,,19730300,0.2652,19721200
1972-10-11,,19730300,0.2645,19721200
1972-10-12,,19730300,0.2644,19721200
1972-10-13,,19730300,0.2643,19721200
1972-10-16,,19730300,0.2646,19721200
1972-10-17,,19730300,0.2643,19721200
1972-10-18,,19730300,0.2646,19721200
1972-10-19,,19730300,0.2645,19721200
1972-10-20,,19730300,0.2642,19721200
1972-10-23,,19730300,0.2637,19721200
1972-10-24,,19730300,0.2635,19721200
1972-10-25,,19730300,0.2639,19721200
1972-10-26,,19730300,0.2637,19721200
1972-10-27,,19730300,0.2637,19721200
1972-10-30,,19730300,0.2638,19721200
1972-10-31,,19730300,0.2638,19721200
1972-11-01,,19730300,0.2642,19721200
1972-11-02,,19730300,0.2641,19721200
1972-11-03,,19730300,0.2641,19721200
1972-11-06,,19730300,0.264,19721200
1972-11-08,,19730300,0.2635,19721200
1972-11-09,,19730300,0.2634,19721200
1972-11-10,,19730300,0.2634,19721200
1972-11-13,,19730300,0.2634,19721200
1972-11-14,,19730300,0.2634,19721200
1972-11-15,,19730300,0.2634,19721200
1972-11-16,,19730300,0.2633,19721200
1972-11-17,,19730300,0.2631,19721200
1972-11-20,,19730300,0.263,19721200
1972-11-21,,19730300,0.2632,19721200
1972-11-22,,19730300,0.2632,19721200
1972-11-27,,19730300,0.2646,19721200
1972-11-28,,19730300,0.264,19721200
1972-11-29,,19730300,0.2644,19721200
1972-11-30,,19730300,0.2645,19721200
1972-12-01,0.2658,19730300,0.2648,19721200
1972-12-04,0.2654,19730300,0.2648,19721200
1972-12-05,0.2655,19730300,0.2648,19721200
1972-12-06,0.265,19730300,0.2647,19721200
1972-12-07,0.265,19730300,0.2647,19721200
1972-12-08,0.265,19730300,0.2647,19721200
1972-12-11,0.2654,19730300,0.265,19721200
1972-12-12,0.2649,19730300,0.2647,19721200
1972-12-13,0.2651,19730300,0.2647,19721200
1972-12-14,,19730600,0.2652,19730300
1972-12-15,,19730600,0.2651,19730300
1972-12-18,,19730600,0.2649,19730300
1972-12-19,,19730600,0.2652,19730300
1972-12-20,,19730600,0.2656,19730300
1972-12-21,,19730600,0.2665,19730300
1972-12-22,,19730600,0.2664,19730300
1972-12-26,,19730600,0.266,19730300
1972-12-27,,19730600,0.2663,19730300
1972-12-29,,19730600,0.2657,19730300
1973-01-02,,19730600,0.2655,19730300
1973-01-03,,19730600,0.266,19730300
1973-01-04,,19730600,0.2658,19730300
1973-01-05,,19730600,0.266,19730300
1973-01-08,,19730600,0.2658,19730300
1973-01-09,,19730600,0.2659,19730300
1973-01-10,,19730600,0.2661,19730300
1973-01-11,,19730600,0.2661,19730300
1973-01-12,,19730600,0.266,19730300
1973-01-15,,19730600,0.2659,19730300
1973-01-16,,19730600,0.2661,19730300
1973-01-17,,19730600,0.2661,19730300
1973-01-18,,19730600,0.2663,19730300
1973-01-19,,19730600,0.2665,19730300
1973-01-22,,19730600,0.2685,19730300
1973-01-23,,19730600,0.269,19730300
1973-01-24,,19730600,0.271,19730300
1973-01-26,,19730600,0.273,19730300
1973-01-29,,19730600,0.275,19730300
1973-01-30,,19730600,0.277,19730300
1973-01-31,,19730600,0.2772,19730300
1973-02-01,,19730600,0.2787,19730300
1973-02-02,,19730600,0.2773,19730300
1973-02-05,,19730600,0.2785,19730300
1973-02-06,,19730600,0.2803,19730300
1973-02-07,,19730600,0.2798,19730300
1973-02-08,,19730600,0.2818,19730300
1973-02-09,,19730600,0.2822,19730300
1973-02-12,,19730600,0.2842,19730300
1973-02-13,,19730600,0.2862,19730300
1973-02-14,,19730600,0.2882,19730300
1973-02-15,,19730600,0.2965,19730300
1973-02-16,,19730600,0.2968,19730300
1973-02-20,,19730600,0.2975,19730300
1973-02-21,,19730600,0.2995,19730300
1973-02-22,,19730600,0.3015,19730300
1973-02-23,,19730600,0.3035,19730300
1973-02-26,,19730600,0.3055,19730300
1973-02-27,,19730600,0.3075,19730300
1973-02-28,,19730600,0.3095,19730300
1973-03-01,,19730600,0.3115,19730300
1973-03-02,0.3229999999999999,19730600,0.3224,19730300
1973-03-05,0.321,19730600,0.3204,19730300
1973-03-06,0.319,19730600,0.3184,19730300
1973-03-07,0.3163,19730600,0.3154,19730300
1973-03-08,0.3178,19730600,0.3164,19730300
1973-03-09,0.3177,19730600,0.3156,19730300
1973-03-12,0.3157,19730600,0.3136,19730300
1973-03-13,0.3127,19730600,0.3106,19730300
1973-03-14,,19730900,0.312,19730600
1973-03-15,,19730900,0.3155,19730600
1973-03-16,,19730900,0.3135,19730600
1973-03-19,,19730900,0.312,19730600
1973-03-20,,19730900,0.3128,19730600
1973-03-21,,19730900,0.312,19730600
1973-03-22,,19730900,0.3119,19730600
1973-03-23,,19730900,0.3115,19730600
1973-03-26,,19730900,0.3135,19730600
1973-03-27,,19730900,0.3135,19730600
1973-03-28,,19730900,0.3133,19730600
1973-03-29,,19730900,0.3129,19730600
1973-03-30,,19730900,0.3118,19730600
1973-04-02,,19730900,0.31,19730600
1973-04-03,,19730900,0.31,19730600
1973-04-04,,19730900,0.312,19730600
1973-04-05,,19730900,0.3123,19730600
1973-04-06,,19730900,0.3117,19730600
1973-04-09,,19730900,0.312,19730600
1973-04-10,,19730900,0.3121,19730600
1973-04-11,,19730900,0.3126,19730600
1973-04-12,,19730900,0.3126,19730600
1973-04-13,,19730900,0.3122,19730600
1973-04-16,,19730900,0.312,19730600
1973-04-17,,19730900,0.3124,19730600
1973-04-18,,19730900,0.3118,19730600
1973-04-19,,19730900,0.3112,19730600
1973-04-23,,19730900,0.3111,19730600
1973-04-24,,19730900,0.3108,19730600
1973-04-25,,19730900,0.3106,19730600
1973-04-26,,19730900,0.3108,19730600
1973-04-27,,19730900,0.3102,19730600
1973-04-30,,19730900,0.3103,19730600
1973-05-01,,19730900,0.3107,19730600
1973-05-02,,19730900,0.3107,19730600
1973-05-03,,19730900,0.3102,19730600
1973-05-04,,19730900,0.3101,19730600
1973-05-07,,19730900,0.3097,19730600
1973-05-08,,19730900,0.3104,19730600
1973-05-09,,19730900,0.3114,19730600
1973-05-10,,19730900,0.3109,19730600
1973-05-11,,19730900,0.3112,19730600
1973-05-14,,19730900,0.3132,19730600
1973-05-15,,19730900,0.3152,19730600
1973-05-16,,19730900,0.3182,19730600
1973-05-17,,19730900,0.3187,19730600
1973-05-18,,19730900,0.3192,19730600
1973-05-21,,19730900,0.3212,19730600
1973-05-22,,19730900,0.3242,19730600
1973-05-23,,19730900,0.3247,19730600
1973-05-24,,19730900,0.3227,19730600
1973-05-25,,19730900,0.3209,19730600
1973-05-29,,19730900,0.3237,19730600
1973-05-30,,19730900,0.3246,19730600
1973-05-31,,19730900,0.3258,19730600
1973-06-01,,19730900,0.326,19730600
