index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2013-05-07,6.1753,20130700,6.168499,20130600
2013-05-08,6.1582,20130700,6.1505,20130600
2013-05-09,6.162999999999999,20130700,6.1553,20130600
2013-05-10,6.1746,20130700,6.1659,20130600
2013-05-13,6.1672,20130700,6.1569,20130600
2013-05-14,6.1632,20130700,6.1542,20130600
2013-05-15,6.1659,20130700,6.1564,20130600
2013-05-16,6.167000000000002,20130700,6.1569,20130600
2013-05-17,6.1693,20130700,6.1596,20130600
2013-05-20,6.1567,20130700,6.1461,20130600
2013-05-21,6.153,20130700,6.143,20130600
2013-05-22,6.1542,20130700,6.1444,20130600
2013-05-23,6.1489,20130700,6.1382,20130600
2013-05-24,6.1424,20130700,6.1327,20130600
2013-05-28,6.140399,20130700,6.1299,20130600
2013-05-29,6.1507,20130700,6.1417,20130600
2013-05-30,6.1533,20130700,6.1423,20130600
2013-05-31,6.1648,20130700,6.1537,20130600
2013-06-03,6.1437,20130700,6.1331,20130600
2013-06-04,6.1458,20130700,6.134699,20130600
2013-06-05,6.1466,20130700,6.135,20130600
2013-06-06,6.1433,20130700,6.1308,20130600
2013-06-07,6.1705,20130800,6.1566,20130700
2013-06-10,6.1825,20130800,6.167000000000002,20130700
2013-06-11,6.1825,20130800,6.1676,20130700
2013-06-12,6.1787,20130800,6.1634,20130700
2013-06-13,6.1732,20130800,6.1575,20130700
2013-06-14,6.1679,20130800,6.1515,20130700
2013-06-17,6.1603,20130800,6.1449,20130700
2013-06-18,6.1702,20130800,6.1527,20130700
2013-06-19,6.165999,20130800,6.149198999999999,20130700
2013-06-20,6.1791,20130800,6.1568,20130700
2013-06-21,6.178,20130800,6.1560000000000015,20130700
2013-06-24,6.1842,20130800,6.1619,20130700
2013-06-25,6.1757,20130800,6.158,20130700
2013-06-26,6.1843,20130800,6.1635,20130700
2013-06-27,6.1753,20130800,6.1560000000000015,20130700
2013-06-28,6.163599,20130800,6.1457,20130700
2013-07-01,6.1605,20130800,6.1428,20130700
2013-07-02,6.1598,20130800,6.140399,20130700
2013-07-03,6.1574,20130800,6.138999999999999,20130700
2013-07-05,6.157198999999999,20130800,6.1413,20130700
2013-07-08,6.165999,20130900,6.1531,20130800
2013-07-09,6.1642,20130900,6.1524,20130800
2013-07-10,6.1651,20130900,6.1529,20130800
2013-07-11,6.1618,20130900,6.1504,20130800
2013-07-12,6.1663,20130900,6.1542,20130800
2013-07-15,6.165999,20130900,6.1546,20130800
2013-07-16,6.1588,20130900,6.1488,20130800
2013-07-17,6.159699,20130900,6.15,20130800
2013-07-18,6.1666,20130900,6.1569,20130800
2013-07-19,6.160399,20130900,6.1489,20130800
