index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1995-09-01,1.3015,19960100,1.3205,19951200
1995-09-05,1.298,19960100,1.315,19951200
1995-09-06,1.308,19960100,1.325,19951200
1995-09-07,1.3005,19960100,1.3175,19951200
1995-09-08,1.2919999999999998,19960100,1.307,19951200
1995-09-11,1.3090000000000002,19960100,1.3235,19951200
1995-09-12,1.279,19960100,1.2915,19951200
1995-09-13,1.267,19960100,1.279,19951200
1995-09-14,1.267,19960100,1.277,19951200
1995-09-15,1.275,19960100,1.2875,19951200
1995-09-18,1.275,19960100,1.2875,19951200
1995-09-19,1.2915,19960100,1.3055,19951200
1995-09-20,1.288,19960100,1.3015,19951200
1995-09-21,1.31,19960100,1.3259999999999998,19951200
1995-09-22,1.307,19960100,1.3230000000000002,19951200
1995-09-25,1.2995,19960100,1.3145,19951200
1995-09-26,1.3055,19960100,1.3219999999999998,19951200
1995-09-27,1.283,19960100,1.298,19951200
1995-09-28,1.2985,19960100,1.3135,19951200
1995-09-29,1.301,19960100,1.3165,19951200
1995-10-02,1.2885,19960100,1.3005,19951200
1995-10-03,1.284,19960100,1.2945,19951200
1995-10-04,1.2935,19960100,1.3065,19951200
1995-10-05,1.2685,19960100,1.2775,19951200
1995-10-06,1.265,19960100,1.275,19951200
1995-10-09,1.258,19960100,1.267,19951200
1995-10-10,1.229,19960100,1.236,19951200
1995-10-11,1.241,19960100,1.2505,19951200
1995-10-12,1.26,19960100,1.27,19951200
1995-10-13,1.256,19960100,1.266,19951200
1995-10-16,1.2605,19960100,1.2705,19951200
1995-10-17,1.2315,19960100,1.2385,19951200
1995-10-18,1.2045,19960100,1.211,19951200
1995-10-19,1.2375,19960100,1.2485,19951200
1995-10-20,1.2195,19960100,1.2305,19951200
1995-10-23,1.2435,19960100,1.2535,19951200
1995-10-24,1.2295,19960100,1.2395,19951200
1995-10-25,1.232,19960100,1.244,19951200
1995-10-26,1.238,19960100,1.25,19951200
1995-10-27,1.225,19960100,1.237,19951200
1995-10-30,1.2255,19960100,1.2365,19951200
1995-10-31,1.2335,19960100,1.2475,19951200
1995-11-01,1.2715,19960100,1.2885,19951200
1995-11-02,1.3055,19960100,1.325,19951200
1995-11-03,1.3090000000000002,19960100,1.3295,19951200
1995-11-06,1.301,19960100,1.3230000000000002,19951200
1995-11-07,1.3095,19960100,1.3405,19951200
1995-11-08,1.296,19960100,1.321,19951200
1995-11-09,1.3045,19960100,1.3355,19951200
1995-11-10,1.3185,19960100,1.3505,19951200
1995-11-13,1.3030000000000002,19960100,1.335,19951200
1995-11-14,1.2895,19960100,1.318,19951200
1995-11-15,1.272,19960100,1.3019999999999998,19951200
1995-11-16,1.2815,19960100,1.3155,19951200
1995-11-17,1.278,19960100,1.315,19951200
1995-11-20,1.2915,19960100,1.3315,19951200
1995-11-21,1.2875,19960100,1.3175,19951200
1995-11-22,1.288,19960100,1.3145,19951200
1995-11-27,1.293,19960100,1.314,19951200
1995-11-28,1.286,19960100,1.306,19951200
1995-11-29,1.2865,19960100,1.3045,19951200
1995-11-30,1.2965,19960100,1.3225,19951200
1995-12-01,1.215,19960400,1.23,19960300
1995-12-04,1.216,19960400,1.229,19960300
1995-12-05,1.208,19960400,1.2215,19960300
1995-12-06,1.1775,19960400,1.1905,19960300
1995-12-07,1.2015,19960400,1.2165,19960300
1995-12-08,1.1935,19960400,1.208,19960300
1995-12-11,1.214,19960400,1.2285,19960300
1995-12-12,1.2005,19960400,1.2155,19960300
1995-12-13,1.2195,19960400,1.2365,19960300
1995-12-14,1.248,19960400,1.2745,19960300
1995-12-15,1.219,19960400,1.239,19960300
1995-12-18,1.2115,19960400,1.2315,19960300
1995-12-19,1.213,19960400,1.233,19960300
1995-12-20,1.2195,19960400,1.2405,19960300
1995-12-21,1.216,19960400,1.236,19960300
1995-12-22,1.203,19960400,1.2215,19960300
1995-12-26,1.205,19960400,1.22,19960300
1995-12-27,1.202,19960400,1.217,19960300
1995-12-28,1.204,19960400,1.2175,19960300
1995-12-29,1.1915,19960400,1.2055,19960300
1996-01-02,1.169,19960400,1.181,19960300
1996-01-03,1.157,19960400,1.169,19960300
1996-01-04,1.133,19960400,1.147,19960300
1996-01-05,1.1575,19960400,1.1705,19960300
1996-01-09,1.1295,19960400,1.1405,19960300
1996-01-10,1.137,19960400,1.148,19960300
1996-01-11,1.1435,19960400,1.1535,19960300
1996-01-12,1.121,19960400,1.127,19960300
1996-01-15,1.1065,19960400,1.1165,19960300
1996-01-16,1.1135,19960400,1.1255,19960300
1996-01-17,1.1055,19960400,1.1165,19960300
1996-01-18,1.1345,19960400,1.148,19960300
1996-01-19,1.1105,19960400,1.1215,19960300
1996-01-22,1.1155,19960400,1.1275,19960300
1996-01-23,1.1385,19960400,1.1525,19960300
1996-01-24,1.148,19960400,1.162,19960300
1996-01-25,1.1225,19960400,1.136,19960300
1996-01-26,1.116,19960400,1.129,19960300
1996-01-29,1.118,19960400,1.131,19960300
1996-01-30,1.138,19960400,1.1545,19960300
1996-01-31,1.134,19960400,1.148,19960300
1996-02-01,1.161,19960400,1.1740000000000002,19960300
1996-02-02,1.161,19960400,1.1740000000000002,19960300
1996-02-05,1.1525,19960400,1.1645,19960300
1996-02-06,1.1515,19960400,1.1635,19960300
1996-02-07,1.1685,19960400,1.181,19960300
1996-02-08,1.162,19960400,1.172,19960300
1996-02-09,1.162,19960400,1.172,19960300
1996-02-12,1.15,19960400,1.158,19960300
1996-02-13,1.13,19960400,1.134,19960300
1996-02-14,1.134,19960400,1.141,19960300
1996-02-15,1.1305,19960400,1.1365,19960300
1996-02-16,1.118,19960400,1.125,19960300
1996-02-20,1.1325,19960400,1.1375,19960300
1996-02-21,1.1355,19960400,1.1405,19960300
1996-02-22,1.146,19960400,1.16,19960300
1996-02-23,1.15,19960400,1.162,19960300
1996-02-26,1.139,19960400,1.1495,19960300
1996-02-27,1.148,19960400,1.161,19960300
1996-02-28,1.135,19960400,1.1455,19960300
1996-02-29,1.1595,19960400,1.1675,19960300
1996-03-01,1.112,19960900,1.133,19960700
1996-03-04,1.1235,19960900,1.1455,19960700
1996-03-05,1.1155,19960900,1.1355,19960700
1996-03-06,1.1185,19960900,1.1385,19960700
1996-03-07,1.118,19960900,1.14,19960700
1996-03-08,1.1435,19960900,1.1665,19960700
1996-03-11,1.135,19960900,1.158,19960700
1996-03-12,1.1405,19960900,1.1645,19960700
1996-03-13,1.132,19960900,1.155,19960700
1996-03-14,1.1275,19960900,1.147,19960700
1996-03-15,1.125,19960900,1.1435,19960700
1996-03-18,1.133,19960900,1.1525,19960700
1996-03-19,1.127,19960900,1.145,19960700
1996-03-20,1.135,19960900,1.15,19960700
1996-03-21,1.133,19960900,1.148,19960700
1996-03-22,1.1165,19960900,1.133,19960700
1996-03-25,1.113,19960900,1.129,19960700
1996-03-26,1.127,19960900,1.143,19960700
1996-03-27,1.124,19960900,1.14,19960700
1996-03-28,1.131,19960900,1.146,19960700
1996-03-29,1.1305,19960900,1.143,19960700
1996-04-01,1.12,19960900,1.1325,19960700
1996-04-02,1.113,19960900,1.124,19960700
1996-04-03,1.1075,19960900,1.1165,19960700
1996-04-04,1.1105,19960900,1.1225,19960700
1996-04-08,1.109,19960900,1.121,19960700
1996-04-09,1.1105,19960900,1.1205,19960700
1996-04-10,1.125,19960900,1.138,19960700
1996-04-11,1.152,19960900,1.168,19960700
1996-04-12,1.156,19960900,1.175,19960700
1996-04-15,1.144,19960900,1.1605,19960700
1996-04-16,1.15,19960900,1.166,19960700
1996-04-17,1.157,19960900,1.1740000000000002,19960700
1996-04-18,1.1655,19960900,1.183,19960700
1996-04-19,1.183,19960900,1.205,19960700
1996-04-22,1.1795,19960900,1.2015,19960700
1996-04-23,1.172,19960900,1.195,19960700
1996-04-24,1.183,19960900,1.207,19960700
1996-04-25,1.183,19960900,1.209,19960700
1996-04-26,1.179,19960900,1.207,19960700
1996-04-29,1.1725,19960900,1.1985,19960700
1996-04-30,1.1685,19960900,1.1915,19960700
1996-05-01,1.182,19960900,1.206,19960700
1996-05-02,1.1745,19960900,1.2005,19960700
1996-05-03,1.189,19960900,1.222,19960700
1996-05-06,1.182,19960900,1.213,19960700
1996-05-07,1.208,19960900,1.249,19960700
1996-05-08,1.2045,19960900,1.2545,19960700
1996-05-09,1.2009999999999998,19960900,1.2495,19960700
1996-05-10,1.2,19960900,1.245,19960700
1996-05-13,1.207,19960900,1.2555,19960700
1996-05-14,1.193,19960900,1.241,19960700
1996-05-15,1.1915,19960900,1.2365,19960700
1996-05-16,1.1925,19960900,1.2365,19960700
1996-05-17,1.124,19960900,1.156,19960700
1996-05-20,1.094,19960900,1.112,19960700
1996-05-21,1.0985,19960900,1.1155,19960700
1996-05-22,1.105,19960900,1.1355,19960700
1996-05-23,1.0975,19960900,1.1365,19960700
1996-05-24,1.0925,19960900,1.1265,19960700
1996-05-28,1.0985,19960900,1.136,19960700
1996-05-29,1.123,19960900,1.162,19960700
1996-05-30,1.117,19960900,1.155,19960700
1996-05-31,1.1115,19960900,1.15,19960700
1996-06-03,1.1055,19960900,1.1365,19960700
1996-06-04,1.081,19960900,1.107,19960700
1996-06-05,1.0025,19960900,1.0205,19960700
