index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1972-10-18,142.75,19730900,137.75,19731200
1972-10-19,143.0,19730900,138.0,19731200
1972-10-20,144.0,19730900,139.25,19731200
1972-10-23,144.0,19730900,138.5,19731200
1972-10-24,144.0,19730900,139.75,19731200
1972-10-25,143.0,19730900,138.5,19731200
1972-10-26,144.37,19730900,139.37,19731200
1972-10-27,144.75,19730900,139.5,19731200
1972-10-30,146.0,19730900,141.5,19731200
1972-10-31,143.5,19730900,138.75,19731200
1972-11-01,144.25,19730900,139.5,19731200
1972-11-02,143.5,19730900,138.5,19731200
1972-11-03,143.5,19730900,138.37,19731200
1972-11-06,141.75,19730900,137.0,19731200
1972-11-08,142.75,19730900,138.0,19731200
1972-11-09,142.75,19730900,137.75,19731200
1972-11-10,141.5,19730900,137.25,19731200
1972-11-13,144.5,19730900,139.87,19731200
1972-11-14,143.5,19730900,139.5,19731200
1972-11-15,145.0,19730900,141.0,19731200
1972-11-16,144.0,19730900,139.25,19731200
1972-11-17,143.75,19730900,139.5,19731200
1972-11-20,142.25,19730900,137.75,19731200
1972-11-21,143.25,19730900,138.62,19731200
1972-11-22,142.5,19730900,138.37,19731200
1972-11-24,144.75,19730900,139.75,19731200
1972-11-27,145.37,19730900,141.25,19731200
1972-11-28,144.25,19730900,140.0,19731200
1972-11-29,144.25,19730900,137.87,19731200
1972-11-30,146.5,19730900,140.75,19731200
1972-12-01,149.5,19730900,143.5,19731200
1972-12-04,156.0,19730900,149.25,19731200
1972-12-05,158.5,19730900,149.75,19731200
1972-12-06,154.5,19730900,146.75,19731200
1972-12-07,157.0,19730900,148.0,19731200
1972-12-08,161.5,19730900,150.5,19731200
1972-12-11,159.25,19730900,148.0,19731200
1972-12-12,161.0,19730900,149.0,19731200
1972-12-13,156.5,19730900,146.5,19731200
1972-12-14,155.0,19730900,146.0,19731200
1972-12-15,151.0,19730900,144.75,19731200
1972-12-18,144.25,19730900,138.75,19731200
1972-12-19,145.5,19730900,139.75,19731200
1972-12-20,149.25,19730900,143.62,19731200
1972-12-21,149.5,19730900,144.75,19731200
1972-12-22,146.5,19730900,142.25,19731200
1972-12-26,146.5,19730900,142.75,19731200
1972-12-27,146.5,19730900,142.62,19731200
1972-12-29,148.0,19730900,144.87,19731200
1973-01-02,145.5,19730900,142.62,19731200
1973-01-03,146.5,19730900,143.0,19731200
1973-01-04,144.0,19730900,140.5,19731200
1973-01-05,143.25,19730900,139.0,19731200
1973-01-08,140.5,19730900,136.5,19731200
1973-01-09,142.0,19730900,138.5,19731200
1973-01-10,144.25,19730900,140.0,19731200
1973-01-11,138.75,19730900,134.75,19731200
1973-01-12,137.75,19730900,134.0,19731200
1973-01-15,137.0,19730900,134.0,19731200
1973-01-16,139.5,19730900,136.37,19731200
1973-01-17,138.25,19730900,134.75,19731200
1973-01-18,138.25,19730900,134.25,19731200
1973-01-19,137.5,19730900,135.0,19731200
1973-01-22,137.75,19730900,135.75,19731200
1973-01-23,140.0,19730900,137.75,19731200
1973-01-24,141.75,19730900,138.5,19731200
1973-01-26,139.5,19730900,135.25,19731200
1973-01-29,139.12,19730900,134.5,19731200
1973-01-30,139.0,19730900,134.0,19731200
1973-01-31,139.75,19730900,134.5,19731200
1973-02-01,138.5,19730900,132.25,19731200
1973-02-02,139.75,19730900,134.25,19731200
1973-02-05,141.0,19730900,135.75,19731200
1973-02-06,139.5,19730900,134.0,19731200
1973-02-07,137.75,19730900,133.5,19731200
1973-02-08,137.0,19730900,133.5,19731200
1973-02-09,138.5,19730900,134.75,19731200
1973-02-12,142.0,19730900,138.0,19731200
1973-02-13,142.75,19730900,139.25,19731200
1973-02-14,140.37,19730900,136.62,19731200
1973-02-15,141.75,19730900,137.25,19731200
1973-02-16,143.75,19730900,138.5,19731200
1973-02-20,144.75,19730900,139.5,19731200
1973-02-21,151.5,19730900,144.5,19731200
1973-02-22,153.5,19730900,146.5,19731200
1973-02-23,151.5,19730900,143.75,19731200
1973-02-26,149.75,19730900,142.75,19731200
1973-02-27,148.25,19730900,142.0,19731200
1973-02-28,149.5,19730900,143.5,19731200
1973-03-01,154.5,19730900,148.5,19731200
1973-03-02,152.75,19730900,146.5,19731200
1973-03-05,154.5,19730900,148.87,19731200
1973-03-06,155.0,19730900,149.0,19731200
1973-03-07,154.5,19730900,149.5,19731200
1973-03-08,153.0,19730900,146.5,19731200
1973-03-09,154.0,19730900,147.25,19731200
1973-03-12,151.5,19730900,144.75,19731200
1973-03-13,149.25,19730900,144.25,19731200
1973-03-14,150.5,19730900,145.5,19731200
1973-03-15,151.5,19730900,146.5,19731200
1973-03-16,151.75,19730900,146.75,19731200
1973-03-19,149.5,19730900,145.0,19731200
1973-03-20,150.0,19730900,145.75,19731200
1973-03-21,151.0,19730900,146.0,19731200
1973-03-22,155.0,19730900,149.0,19731200
1973-03-23,153.0,19730900,147.25,19731200
1973-03-26,152.25,19730900,146.5,19731200
1973-03-27,150.0,19730900,144.75,19731200
1973-03-28,152.0,19730900,146.87,19731200
1973-03-29,151.25,19730900,147.0,19731200
1973-03-30,151.37,19730900,147.5,19731200
1973-04-02,155.5,19730900,153.0,19731200
1973-04-03,154.0,19730900,151.0,19731200
1973-04-04,155.25,19730900,152.5,19731200
1973-04-05,154.25,19730900,151.12,19731200
1973-04-06,153.5,19730900,150.37,19731200
1973-04-09,157.25,19730900,153.87,19731200
1973-04-10,155.25,19730900,152.5,19731200
1973-04-11,154.62,19730900,151.87,19731200
1973-04-12,156.0,19730900,153.37,19731200
1973-04-13,156.25,19730900,153.5,19731200
1973-04-16,157.62,19730900,155.25,19731200
1973-04-17,157.0,19730900,154.5,19731200
1973-04-18,158.5,19730900,157.5,19731200
1973-04-19,159.62,19730900,158.25,19731200
1973-04-23,162.5,19730900,160.75,19731200
1973-04-24,161.0,19730900,158.5,19731200
1973-04-25,164.25,19730900,162.5,19731200
1973-04-26,162.25,19730900,158.75,19731200
1973-04-27,159.5,19730900,158.25,19731200
1973-04-30,164.62,19730900,163.25,19731200
1973-05-01,169.0,19730900,168.0,19731200
1973-05-02,166.75,19730900,164.5,19731200
1973-05-03,170.0,19730900,167.75,19731200
1973-05-04,169.75,19730900,167.5,19731200
1973-05-07,174.25,19730900,171.75,19731200
1973-05-08,178.5,19730900,173.0,19731200
1973-05-09,179.25,19730900,173.5,19731200
1973-05-10,172.0,19730900,167.5,19731200
1973-05-11,172.5,19730900,168.0,19731200
1973-05-14,175.0,19730900,170.0,19731200
1973-05-15,176.5,19730900,170.25,19731200
1973-05-16,174.0,19730900,167.75,19731200
1973-05-17,172.5,19730900,167.0,19731200
1973-05-18,177.75,19730900,171.25,19731200
1973-05-21,184.5,19730900,179.0,19731200
1973-05-22,186.0,19730900,180.25,19731200
1973-05-23,187.0,19730900,181.0,19731200
1973-05-24,189.5,19730900,182.25,19731200
1973-05-25,197.62,19730900,190.5,19731200
1973-05-29,205.62,19730900,198.5,19731200
1973-05-30,197.62,19730900,191.0,19731200
1973-05-31,206.25,19730900,193.5,19731200
1973-06-01,213.25,19730900,198.5,19731200
1973-06-04,223.75,19730900,208.75,19731200
1973-06-05,233.5,19730900,218.75,19731200
1973-06-06,223.5,19730900,208.75,19731200
1973-06-07,213.5,19730900,198.75,19731200
1973-06-08,212.0,19730900,202.75,19731200
1973-06-11,221.5,19730900,212.37,19731200
1973-06-12,225.0,19730900,214.5,19731200
1973-06-13,220.5,19730900,211.5,19731200
1973-06-14,211.0,19730900,201.75,19731200
1973-06-15,202.0,19730900,194.0,19731200
1973-06-18,212.0,19730900,203.75,19731200
1973-06-19,221.0,19730900,208.0,19731200
1973-06-20,216.0,19730900,201.0,19731200
1973-06-21,226.5,19730900,207.5,19731200
1973-06-22,222.0,19730900,201.0,19731200
1973-06-25,220.5,19730900,203.25,19731200
1973-06-26,210.25,19730900,195.75,19731200
1973-06-27,209.0,19730900,195.0,19731200
1973-06-28,198.75,19730900,185.12,19731200
1973-06-29,199.5,19730900,192.0,19731200
1973-07-02,209.75,19730900,202.25,19731200
1973-07-03,215.0,19730900,203.0,19731200
1973-07-05,204.5,19730900,193.5,19731200
1973-07-06,201.0,19730900,196.0,19731200
1973-07-09,203.0,19730900,197.25,19731200
1973-07-10,198.5,19730900,192.75,19731200
1973-07-11,209.0,19730900,203.12,19731200
1973-07-12,215.0,19730900,204.75,19731200
1973-07-13,222.5,19730900,210.75,19731200
1973-07-16,231.5,19730900,219.25,19731200
1973-07-17,223.5,19730900,214.0,19731200
1973-07-18,227.0,19730900,215.5,19731200
1973-07-19,236.87,19730900,226.0,19731200
1973-07-20,246.87,19730900,236.0,19731200
1973-07-23,256.87,19730900,244.0,19731200
1973-07-24,261.0,19730900,239.0,19731200
1973-07-25,271.75,19730900,248.0,19731200
1973-07-26,276.0,19730900,254.0,19731200
1973-07-27,268.0,19730900,244.0,19731200
1973-07-30,278.0,19730900,254.5,19731200
1973-07-31,288.0,19730900,264.5,19731200
1973-08-01,278.0,19730900,261.0,19731200
1973-08-02,270.5,19730900,259.5,19731200
1973-08-03,281.25,19730900,269.0,19731200
1973-08-06,291.25,19730900,279.0,19731200
1973-08-07,301.25,19730900,289.0,19731200
1973-08-08,311.25,19730900,298.5,19731200
1973-08-09,317.0,19730900,296.0,19731200
1973-08-10,327.75,19730900,305.5,19731200
1973-08-13,337.75,19730900,315.5,19731200
1973-08-14,347.75,19730900,325.5,19731200
1973-08-15,337.75,19730900,315.5,19731200
1973-08-16,327.75,19730900,305.5,19731200
1973-08-17,319.0,19730900,304.0,19731200
1973-08-20,311.0,19730900,299.0,19731200
1973-08-21,301.5,19730900,289.5,19731200
1973-08-22,291.5,19730900,279.5,19731200
1973-08-23,281.5,19730900,269.5,19731200
1973-08-24,289.0,19730900,279.5,19731200
1973-08-27,280.0,19730900,269.25,19731200
1973-08-28,270.0,19730900,259.25,19731200
1973-08-29,265.0,19730900,260.0,19731200
1973-08-30,254.5,19730900,248.0,19731200
1973-08-31,250.0,19730900,249.0,19731200
1973-09-04,239.75,19730900,240.5,19731200
1973-09-05,229.75,19730900,230.5,19731200
1973-09-06,239.75,19730900,236.0,19731200
1973-09-07,249.75,19730900,247.0,19731200
1973-09-10,247.5,19730900,243.5,19731200
1973-09-11,251.5,19730900,248.0,19731200
1973-09-12,241.5,19730900,238.75,19731200
1973-09-13,243.0,19730900,241.0,19731200
1973-09-14,252.5,19730900,249.5,19731200
1973-09-17,262.5,19730900,259.75,19731200
1973-09-18,253.75,19730900,249.75,19731200
1973-09-19,243.75,19730900,249.0,19731200
1973-09-20,,19730900,250.5,19731200
1973-09-21,,19730900,248.0,19731200
1973-09-24,,19730900,258.5,19731200
1973-09-25,,19730900,261.0,19731200
1973-09-26,,19730900,252.0,19731200
1973-09-27,,19730900,250.5,19731200
1973-09-28,,19730900,252.5,19731200
1973-10-01,,19730900,248.0,19731200
1973-10-02,,19730900,242.0,19731200
1973-10-03,,19730900,251.5,19731200
1973-10-04,,19730900,243.5,19731200
1973-10-05,,19730900,245.0,19731200
1973-10-09,,19730900,255.5,19731200
1973-10-10,,19730900,263.0,19731200
1973-10-11,,19730900,264.0,19731200
1973-10-12,,19730900,253.5,19731200
1973-10-15,,19730900,243.5,19731200
1973-10-16,,19730900,240.25,19731200
1973-10-17,,19730900,245.5,19731200
1973-10-18,254.0,19740900,236.5,19741200
1973-10-19,251.0,19740900,233.0,19741200
1973-10-22,250.0,19740900,229.0,19741200
1973-10-23,249.75,19740900,229.0,19741200
1973-10-24,254.0,19740900,230.5,19741200
1973-10-25,258.0,19740900,235.5,19741200
1973-10-26,252.0,19740900,229.0,19741200
1973-10-29,242.0,19740900,219.0,19741200
1973-10-30,240.0,19740900,219.0,19741200
1973-10-31,240.0,19740900,221.5,19741200
1973-11-01,244.0,19740900,223.0,19741200
1973-11-02,242.0,19740900,222.5,19741200
1973-11-05,243.5,19740900,225.0,19741200
1973-11-06,241.0,19740900,221.75,19741200
1973-11-07,239.0,19740900,222.5,19741200
1973-11-08,241.5,19740900,223.75,19741200
1973-11-09,242.5,19740900,224.0,19741200
1973-11-12,252.25,19740900,230.0,19741200
1973-11-13,256.0,19740900,231.75,19741200
1973-11-14,256.0,19740900,229.75,19741200
1973-11-15,258.0,19740900,230.5,19741200
1973-11-16,259.0,19740900,231.0,19741200
1973-11-19,262.0,19740900,234.0,19741200
1973-11-20,272.0,19740900,244.0,19741200
1973-11-21,276.0,19740900,248.0,19741200
1973-11-23,275.0,19740900,246.0,19741200
1973-11-26,265.0,19740900,237.0,19741200
1973-11-27,255.75,19740900,237.5,19741200
1973-11-28,265.75,19740900,247.5,19741200
1973-11-29,265.0,19740900,251.0,19741200
1973-11-30,264.0,19740900,248.5,19741200
1973-12-03,261.5,19740900,245.75,19741200
1973-12-04,270.0,19740900,250.5,19741200
1973-12-05,260.0,19740900,243.75,19741200
1973-12-06,264.0,19740900,249.0,19741200
1973-12-07,265.0,19740900,250.25,19741200
1973-12-10,263.0,19740900,250.5,19741200
1973-12-11,271.0,19740900,258.25,19741200
1973-12-12,268.0,19740900,253.75,19741200
1973-12-13,269.75,19740900,255.25,19741200
1973-12-14,270.5,19740900,256.0,19741200
1973-12-17,271.0,19740900,258.0,19741200
1973-12-18,268.0,19740900,252.75,19741200
1973-12-19,271.75,19740900,255.75,19741200
1973-12-20,270.75,19740900,255.75,19741200
1973-12-21,269.0,19740900,254.25,19741200
1973-12-26,264.0,19740900,248.75,19741200
1973-12-27,268.0,19740900,252.0,19741200
1973-12-28,268.5,19740900,251.25,19741200
1973-12-31,266.5,19740900,249.25,19741200
1974-01-02,272.0,19740900,253.0,19741200
1974-01-03,269.75,19740900,252.0,19741200
1974-01-04,272.25,19740900,255.25,19741200
1974-01-07,280.5,19740900,262.5,19741200
1974-01-08,282.0,19740900,264.5,19741200
1974-01-09,275.75,19740900,258.0,19741200
1974-01-10,285.0,19740900,267.5,19741200
1974-01-11,284.0,19740900,265.75,19741200
1974-01-14,287.0,19740900,269.0,19741200
1974-01-15,287.0,19740900,270.5,19741200
1974-01-16,288.5,19740900,271.75,19741200
1974-01-17,291.5,19740900,275.75,19741200
1974-01-18,289.25,19740900,273.25,19741200
1974-01-21,288.75,19740900,272.5,19741200
1974-01-22,284.0,19740900,266.25,19741200
1974-01-23,278.5,19740900,261.75,19741200
1974-01-24,282.25,19740900,263.5,19741200
1974-01-25,292.25,19740900,273.5,19741200
1974-01-28,296.0,19740900,273.0,19741200
1974-01-29,292.5,19740900,269.25,19741200
1974-01-30,296.0,19740900,271.25,19741200
1974-01-31,298.0,19740900,272.75,19741200
1974-02-01,299.25,19740900,273.25,19741200
1974-02-04,299.0,19740900,272.0,19741200
1974-02-05,297.0,19740900,270.75,19741200
1974-02-06,294.5,19740900,269.75,19741200
1974-02-07,297.0,19740900,271.5,19741200
1974-02-08,302.0,19740900,275.75,19741200
1974-02-11,306.75,19740900,280.0,19741200
1974-02-13,303.75,19740900,276.25,19741200
1974-02-14,308.75,19740900,279.75,19741200
1974-02-15,312.5,19740900,282.75,19741200
1974-02-19,321.75,19740900,292.75,19741200
1974-02-20,325.25,19740900,300.25,19741200
1974-02-21,324.0,19740900,301.5,19741200
1974-02-22,331.0,19740900,310.5,19741200
1974-02-25,341.0,19740900,320.5,19741200
1974-02-26,339.0,19740900,319.75,19741200
1974-02-27,329.0,19740900,309.75,19741200
1974-02-28,319.0,19740900,299.75,19741200
1974-03-01,328.75,19740900,308.5,19741200
1974-03-04,318.75,19740900,298.5,19741200
1974-03-05,308.75,19740900,288.5,19741200
1974-03-06,304.0,19740900,284.0,19741200
1974-03-07,313.25,19740900,293.75,19741200
1974-03-08,303.25,19740900,283.75,19741200
1974-03-11,298.0,19740900,280.75,19741200
1974-03-12,303.75,19740900,286.75,19741200
1974-03-13,303.0,19740900,284.5,19741200
1974-03-14,299.0,19740900,282.5,19741200
1974-03-15,289.0,19740900,272.5,19741200
1974-03-18,298.25,19740900,277.25,19741200
1974-03-19,302.0,19740900,276.75,19741200
1974-03-20,294.0,19740900,273.25,19741200
1974-03-21,293.75,19740900,273.25,19741200
1974-03-22,294.75,19740900,275.5,19741200
1974-03-25,284.75,19740900,265.75,19741200
1974-03-26,282.25,19740900,265.75,19741200
1974-03-27,272.5,19740900,257.25,19741200
1974-03-28,273.0,19740900,258.75,19741200
1974-03-29,270.5,19740900,257.75,19741200
1974-04-01,260.5,19740900,247.75,19741200
1974-04-02,250.5,19740900,237.75,19741200
1974-04-03,260.0,19740900,247.75,19741200
1974-04-04,251.5,19740900,241.5,19741200
1974-04-05,249.25,19740900,239.25,19741200
1974-04-08,252.5,19740900,241.5,19741200
1974-04-09,261.5,19740900,248.25,19741200
1974-04-10,262.0,19740900,248.75,19741200
1974-04-11,252.0,19740900,241.75,19741200
1974-04-15,262.0,19740900,251.75,19741200
1974-04-16,259.0,19740900,248.0,19741200
1974-04-17,257.0,19740900,245.25,19741200
1974-04-18,258.0,19740900,246.25,19741200
1974-04-19,262.0,19740900,247.25,19741200
1974-04-22,263.75,19740900,248.5,19741200
1974-04-23,262.5,19740900,247.75,19741200
1974-04-24,266.5,19740900,251.75,19741200
1974-04-25,276.5,19740900,261.75,19741200
1974-04-26,278.25,19740900,259.5,19741200
1974-04-29,269.75,19740900,252.75,19741200
1974-04-30,269.75,19740900,253.75,19741200
1974-05-01,263.5,19740900,246.25,19741200
1974-05-02,262.75,19740900,247.75,19741200
1974-05-03,254.75,19740900,241.25,19741200
1974-05-06,244.75,19740900,231.25,19741200
1974-05-07,243.25,19740900,231.25,19741200
1974-05-08,248.5,19740900,234.25,19741200
1974-05-09,246.25,19740900,232.25,19741200
1974-05-10,252.5,19740900,237.75,19741200
1974-05-13,255.75,19740900,241.5,19741200
1974-05-14,253.25,19740900,238.5,19741200
1974-05-15,257.0,19740900,240.5,19741200
1974-05-16,261.5,19740900,245.75,19741200
1974-05-17,262.0,19740900,246.75,19741200
1974-05-20,252.25,19740900,238.25,19741200
1974-05-21,256.5,19740900,242.5,19741200
1974-05-22,252.75,19740900,239.0,19741200
1974-05-23,250.25,19740900,236.0,19741200
1974-05-24,251.75,19740900,236.5,19741200
1974-05-28,253.5,19740900,239.25,19741200
1974-05-29,262.25,19740900,247.5,19741200
1974-05-30,259.25,19740900,244.25,19741200
1974-05-31,254.5,19740900,236.75,19741200
1974-06-03,249.75,19740900,232.5,19741200
1974-06-04,251.0,19740900,234.5,19741200
1974-06-05,259.25,19740900,241.0,19741200
1974-06-06,257.5,19740900,239.25,19741200
1974-06-07,262.5,19740900,243.25,19741200
1974-06-10,261.75,19740900,242.25,19741200
1974-06-11,260.5,19740900,239.25,19741200
1974-06-12,262.75,19740900,243.0,19741200
1974-06-13,262.25,19740900,241.75,19741200
1974-06-14,260.25,19740900,241.25,19741200
1974-06-17,269.25,19740900,251.0,19741200
1974-06-18,266.75,19740900,247.5,19741200
1974-06-19,274.5,19740900,255.0,19741200
1974-06-20,271.75,19740900,256.5,19741200
1974-06-21,281.75,19740900,266.5,19741200
1974-06-24,291.75,19740900,276.5,19741200
1974-06-25,281.75,19740900,268.5,19741200
1974-06-26,291.75,19740900,278.5,19741200
1974-06-27,287.75,19740900,275.75,19741200
1974-06-28,289.25,19740900,274.25,19741200
1974-07-01,299.25,19740900,284.25,19741200
1974-07-02,295.5,19740900,284.25,19741200
1974-07-03,300.25,19740900,288.25,19741200
1974-07-05,300.25,19740900,287.25,19741200
1974-07-08,310.25,19740900,297.25,19741200
1974-07-09,305.5,19740900,290.5,19741200
1974-07-10,297.75,19740900,283.25,19741200
1974-07-11,302.0,19740900,286.0,19741200
1974-07-12,310.75,19740900,294.75,19741200
1974-07-15,320.75,19740900,303.75,19741200
1974-07-16,318.0,19740900,300.75,19741200
1974-07-17,314.25,19740900,300.0,19741200
1974-07-18,324.25,19740900,310.0,19741200
1974-07-19,332.25,19740900,320.0,19741200
1974-07-22,327.5,19740900,318.5,19741200
1974-07-23,333.25,19740900,326.75,19741200
1974-07-24,343.25,19740900,336.75,19741200
1974-07-25,353.25,19740900,346.75,19741200
1974-07-26,363.25,19740900,356.75,19741200
1974-07-29,373.25,19740900,366.75,19741200
1974-07-30,369.5,19740900,357.25,19741200
1974-07-31,379.5,19740900,367.0,19741200
1974-08-01,369.5,19740900,357.0,19741200
