index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1988-11-03,13.9,19881200,14.33,19891100
1988-11-04,14.04,19881200,14.14,19891100
1988-11-07,14.06,19881200,14.29,19891100
1988-11-08,13.8,19881200,14.28,19891100
1988-11-09,13.86,19881200,14.25,19891100
1988-11-10,13.98,19881200,14.24,19891100
1988-11-11,13.95,19881200,14.14,19891100
1988-11-14,14.27,19881200,14.25,19891100
1988-11-15,13.9,19881200,13.93,19891100
1988-11-16,13.67,19881200,13.61,19891100
1988-11-17,13.29,19881200,12.7,19891100
1988-11-18,13.6,19881200,12.74,19891100
1988-11-21,12.77,19891100,12.77,19891200
1988-11-22,13.69,19891100,13.69,19891200
1988-11-23,13.85,19891100,13.85,19891200
1988-11-28,14.85,19891100,14.85,19891200
1988-11-29,15.0,19891100,15.0,19891200
1988-11-30,15.05,19891100,15.05,19891200
1988-12-01,15.15,19891100,15.15,19891200
1988-12-02,15.19,19891100,15.19,19891200
1988-12-05,14.84,19891100,14.84,19891200
1988-12-06,14.92,19891100,14.92,19891200
1988-12-07,15.21,19891100,15.21,19891200
1988-12-08,14.95,19891100,14.95,19891200
1988-12-09,15.28,19891100,15.28,19891200
1988-12-12,15.3,19891100,15.3,19891200
1988-12-13,14.99,19891100,14.99,19891200
1988-12-14,15.33,19891100,15.33,19891200
1988-12-15,14.95,19891100,14.95,19891200
1988-12-16,15.19,19891100,15.19,19891200
1988-12-19,15.05,19891100,15.05,19891200
1988-12-20,15.17,19891100,15.15,19891200
1988-12-21,15.19,19891100,15.17,19891200
1988-12-22,15.44,19891100,15.42,19891200
1988-12-23,15.63,19891100,15.61,19891200
1988-12-27,15.81,19891100,15.79,19891200
1988-12-28,15.53,19891100,15.49,19891200
1988-12-29,15.31,19891100,15.27,19891200
1988-12-30,15.41,19891100,15.36,19891200
1989-01-03,15.74,19891100,15.69,19891200
1989-01-04,15.71,19891100,15.66,19891200
1989-01-05,15.87,19891100,15.82,19891200
1989-01-06,15.98,19891100,15.94,19891200
1989-01-09,16.07,19891100,16.04,19891200
1989-01-10,16.06,19891100,16.03,19891200
1989-01-11,16.16,19891100,16.12,19891200
1989-01-12,16.32,19891100,16.3,19891200
1989-01-13,16.2,19891100,16.16,19891200
1989-01-16,16.24,19891100,16.2,19891200
1989-01-17,16.54,19891100,16.5,19891200
1989-01-18,17.53,19891100,17.49,19891200
1989-01-19,17.05,19891100,16.97,19891200
1989-01-20,16.77,19891100,16.7,19891200
1989-01-23,16.08,19891100,16.03,19891200
1989-01-24,16.39,19891100,16.36,19891200
1989-01-25,16.65,19891100,16.6,19891200
1989-01-26,16.26,19891100,16.22,19891200
1989-01-27,16.27,19891100,16.25,19891200
1989-01-30,15.97,19891100,15.94,19891200
1989-01-31,15.81,19891100,15.78,19891200
1989-02-01,16.37,19891100,16.35,19891200
1989-02-02,16.37,19891100,16.34,19891200
1989-02-03,15.93,19891100,15.89,19891200
1989-02-06,15.7,19891100,15.66,19891200
1989-02-07,15.86,19891100,15.81,19891200
1989-02-08,15.7,19891100,15.66,19891200
1989-02-09,15.78,19891100,15.75,19891200
1989-02-10,15.61,19891100,15.58,19891200
1989-02-13,15.82,19891100,15.79,19891200
1989-02-14,15.55,19891100,15.52,19891200
1989-02-15,15.9,19891100,15.85,19891200
1989-02-16,16.1,19891100,16.06,19891200
1989-02-17,16.23,19891100,16.19,19891200
1989-02-21,16.14,19891100,16.1,19891200
1989-02-22,16.43,19891100,16.39,19891200
1989-02-23,16.39,19891100,16.35,19891200
1989-02-24,16.49,19891100,16.44,19891200
1989-02-27,16.44,19891100,16.37,19891200
1989-02-28,16.5,19891100,16.44,19891200
1989-03-01,16.6,19891100,16.54,19891200
1989-03-02,16.81,19891100,16.74,19891200
1989-03-03,16.61,19891100,16.55,19891200
1989-03-06,16.82,19891100,16.76,19891200
1989-03-07,16.59,19891100,16.53,19891200
1989-03-08,17.04,19891100,16.98,19891200
1989-03-09,17.01,19891100,16.95,19891200
1989-03-10,16.96,19891100,16.9,19891200
1989-03-13,17.2,19891100,17.11,19891200
1989-03-14,17.18,19891100,17.07,19891200
1989-03-15,17.39,19891100,17.25,19891200
1989-03-16,17.45,19891100,17.3,19891200
1989-03-17,17.5,19891100,17.34,19891200
1989-03-20,17.5,19891100,17.34,19891200
1989-03-21,17.96,19891100,17.75,19891200
1989-03-22,17.94,19891100,17.73,19891200
1989-03-23,18.02,19891100,17.81,19891200
1989-03-27,18.22,19891100,17.99,19891200
1989-03-28,17.65,19891100,17.45,19891200
1989-03-29,17.92,19891100,17.72,19891200
1989-03-30,18.35,19891100,18.13,19891200
1989-03-31,17.66,19891100,17.44,19891200
1989-04-03,17.35,19891100,17.13,19891200
1989-04-04,17.57,19891100,17.35,19891200
1989-04-05,17.01,19891100,16.79,19891200
1989-04-06,17.14,19891100,16.96,19891200
1989-04-07,17.54,19891100,17.39,19891200
1989-04-10,17.73,19891100,17.55,19891200
1989-04-11,17.58,19891100,17.37,19891200
1989-04-12,17.6,19891100,17.39,19891200
1989-04-13,17.31,19891100,17.12,19891200
1989-04-14,17.75,19891100,17.56,19891200
1989-04-17,17.93,19891100,17.72,19891200
1989-04-18,17.93,19891100,17.71,19891200
1989-04-19,18.03,19891100,17.79,19891200
1989-04-20,18.09,19891100,17.84,19891200
1989-04-21,18.33,19891100,18.09,19891200
1989-04-24,17.66,19891100,17.47,19891200
1989-04-25,17.76,19891100,17.53,19891200
1989-04-26,17.53,19891100,17.33,19891200
1989-04-27,17.45,19891100,17.26,19891200
1989-04-28,17.91,19891100,17.72,19891200
1989-05-01,18.04,19891100,17.85,19891200
1989-05-02,17.49,19891100,17.34,19891200
1989-05-03,17.92,19891100,17.78,19891200
1989-05-04,17.97,19891100,17.77,19891200
1989-05-05,17.65,19891100,17.48,19891200
1989-05-08,17.37,19891100,17.23,19891200
1989-05-09,17.46,19891100,17.3,19891200
1989-05-10,17.45,19891100,17.32,19891200
1989-05-11,17.5,19891100,17.35,19891200
1989-05-12,17.43,19891100,17.29,19891200
1989-05-15,17.39,19891100,17.24,19891200
1989-05-16,17.56,19891100,17.4,19891200
1989-05-17,17.25,19891100,17.12,19891200
1989-05-18,17.36,19891100,17.21,19891200
1989-05-19,17.36,19891100,17.22,19891200
1989-05-22,17.11,19891100,16.98,19891200
1989-05-23,17.28,19891100,17.13,19891200
1989-05-24,17.79,19891100,17.6,19891200
1989-05-25,17.8,19891100,17.62,19891200
1989-05-26,17.94,19891100,17.77,19891200
1989-05-30,17.9,19891100,17.7,19891200
1989-05-31,17.82,19891100,17.63,19891200
1989-06-01,17.84,19891100,17.65,19891200
1989-06-02,18.37,19891100,18.22,19891200
1989-06-05,18.74,19891100,18.58,19891200
1989-06-06,18.7,19891100,18.51,19891200
1989-06-07,18.08,19891100,17.92,19891200
1989-06-08,18.23,19891100,18.07,19891200
1989-06-09,17.94,19891100,17.79,19891200
1989-06-12,17.36,19891100,17.23,19891200
1989-06-13,17.16,19891100,17.03,19891200
1989-06-14,17.28,19891100,17.12,19891200
1989-06-15,17.45,19891100,17.29,19891200
1989-06-16,17.26,19891100,17.13,19891200
1989-06-19,17.3,19891100,17.14,19891200
1989-06-20,17.31,19891100,17.14,19891200
1989-06-21,17.72,19891100,17.53,19891200
1989-06-22,17.82,19891100,17.63,19891200
1989-06-23,18.2,19891100,17.99,19891200
1989-06-26,18.51,19891100,18.25,19891200
1989-06-27,18.7,19891100,18.43,19891200
1989-06-28,18.41,19891100,18.15,19891200
1989-06-29,18.57,19891100,18.3,19891200
1989-06-30,18.58,19891100,18.31,19891200
1989-07-05,18.86,19891100,18.57,19891200
1989-07-06,18.39,19891100,18.12,19891200
1989-07-07,18.54,19891100,18.23,19891200
1989-07-10,18.41,19891100,18.12,19891200
1989-07-11,18.5,19891100,18.22,19891200
1989-07-12,18.43,19891100,18.18,19891200
1989-07-13,18.86,19891100,18.61,19891200
1989-07-14,18.8,19891100,18.58,19891200
1989-07-17,19.2,19891100,19.02,19891200
1989-07-18,18.93,19891100,18.74,19891200
1989-07-19,18.82,19891100,18.62,19891200
1989-07-20,18.99,19891100,18.84,19891200
1989-07-21,18.98,19891100,18.83,19891200
1989-07-24,18.31,19891100,18.22,19891200
1989-07-25,18.23,19891100,18.16,19891200
1989-07-26,18.13,19891100,18.13,19891200
1989-07-27,18.0,19891100,18.03,19891200
1989-07-28,17.9,19891100,17.91,19891200
1989-07-31,18.14,19891100,18.11,19891200
1989-08-01,17.89,19891100,17.84,19891200
1989-08-02,18.0,19891100,17.94,19891200
1989-08-03,17.87,19891100,17.8,19891200
1989-08-04,17.66,19891100,17.61,19891200
1989-08-07,17.6,19891100,17.56,19891200
1989-08-08,17.73,19891100,17.67,19891200
1989-08-09,17.88,19891100,17.82,19891200
1989-08-10,18.17,19891100,18.1,19891200
1989-08-11,18.05,19891100,17.96,19891200
1989-08-14,18.02,19891100,17.9,19891200
1989-08-15,18.07,19891100,17.96,19891200
1989-08-16,18.25,19891100,18.13,19891200
1989-08-17,18.18,19891100,18.08,19891200
1989-08-18,18.23,19891100,18.11,19891200
1989-08-21,18.43,19891100,18.3,19891200
1989-08-22,18.5,19891100,18.39,19891200
1989-08-23,18.59,19891100,18.45,19891200
1989-08-24,18.4,19891100,18.25,19891200
1989-08-25,18.29,19891100,18.18,19891200
1989-08-28,18.41,19891100,18.31,19891200
1989-08-29,18.39,19891100,18.28,19891200
1989-08-30,18.63,19891100,18.51,19891200
1989-08-31,18.71,19891100,18.62,19891200
1989-09-01,18.72,19891100,18.61,19891200
1989-09-05,18.89,19891100,18.75,19891200
1989-09-06,19.08,19891100,18.94,19891200
1989-09-07,19.12,19891100,18.93,19891200
1989-09-08,19.41,19891100,19.22,19891200
1989-09-11,19.44,19891100,19.26,19891200
1989-09-12,19.37,19891100,19.18,19891200
1989-09-13,19.47,19891100,19.24,19891200
