index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1984-03-23,87.36,19850600,87.13,19850900
1984-03-26,87.43,19850600,87.2,19850900
1984-03-27,87.42,19850600,87.18,19850900
1984-03-28,87.43,19850600,87.18,19850900
1984-03-29,87.4,19850600,87.15,19850900
1984-03-30,87.28,19850600,87.04,19850900
1984-04-02,87.23,19850600,86.99,19850900
1984-04-03,87.08,19850600,86.83,19850900
1984-04-04,87.08,19850600,86.85,19850900
1984-04-05,87.04,19850600,86.79,19850900
1984-04-06,87.11,19850600,86.84,19850900
1984-04-09,87.13,19850600,86.84,19850900
1984-04-10,87.1,19850600,86.82,19850900
1984-04-11,87.15,19850600,86.86,19850900
1984-04-12,87.22,19850600,86.93,19850900
1984-04-13,87.08,19850600,86.8,19850900
1984-04-16,87.01,19850600,86.73,19850900
1984-04-17,87.11,19850600,86.81,19850900
1984-04-18,87.0,19850600,86.71,19850900
1984-04-19,86.86,19850600,86.57,19850900
1984-04-23,86.82,19850600,86.52,19850900
1984-04-24,86.82,19850600,86.5,19850900
1984-04-25,86.91,19850600,86.6,19850900
1984-04-26,86.94,19850600,86.62,19850900
1984-04-27,86.81,19850600,86.51,19850900
1984-04-30,86.8,19850600,86.49,19850900
1984-05-01,86.86,19850600,86.56,19850900
1984-05-02,86.86,19850600,86.58,19850900
1984-05-03,86.8,19850600,86.52,19850900
1984-05-04,86.6,19850600,86.33,19850900
1984-05-07,86.5,19850600,86.24,19850900
1984-05-08,86.4,19850600,86.15,19850900
1984-05-09,86.19,19850600,85.91,19850900
1984-05-10,86.01,19850600,85.71,19850900
1984-05-11,85.86,19850600,85.56,19850900
1984-05-14,85.86,19850600,85.56,19850900
1984-05-15,85.91,19850600,85.61,19850900
1984-05-16,85.95,19850600,85.64,19850900
1984-05-17,85.88,19850600,85.58,19850900
1984-05-18,86.0,19850600,85.7,19850900
1984-05-21,86.02,19850600,85.72,19850900
1984-05-22,85.77,19850600,85.48,19850900
1984-05-23,85.66,19850600,85.38,19850900
1984-05-24,85.2,19850600,84.93,19850900
1984-05-25,85.19,19850600,84.89,19850900
1984-05-29,85.14,19850600,84.85,19850900
1984-05-30,84.85,19850600,84.55,19850900
1984-05-31,84.99,19850600,84.72,19850900
1984-06-01,85.42,19850600,85.18,19850900
1984-06-04,85.82,19850600,85.56,19850900
1984-06-05,85.78,19850600,85.52,19850900
1984-06-06,85.65,19850600,85.39,19850900
1984-06-07,85.56,19850600,85.31,19850900
1984-06-08,85.58,19850600,85.33,19850900
1984-06-11,85.5,19850600,85.27,19850900
1984-06-12,85.58,19850600,85.34,19850900
1984-06-13,85.84,19850600,85.59,19850900
1984-06-14,85.94,19850600,85.67,19850900
1984-06-15,86.01,19850600,85.74,19850900
1984-06-18,86.09,19850600,85.84,19850900
1984-06-19,86.03,19850600,85.8,19850900
1984-06-20,85.59,19850600,85.34,19850900
1984-06-21,85.41,19850600,85.18,19850900
1984-06-22,85.06,19850900,84.88,19851200
1984-06-25,85.12,19850900,84.94,19851200
1984-06-26,85.18,19850900,85.0,19851200
1984-06-27,85.3,19850900,85.12,19851200
1984-06-28,85.13,19850900,84.96,19851200
1984-06-29,85.09,19850900,84.91,19851200
1984-07-02,85.14,19850900,84.96,19851200
1984-07-03,85.26,19850900,85.09,19851200
1984-07-05,85.34,19850900,85.17,19851200
1984-07-06,85.39,19850900,85.22,19851200
1984-07-09,85.6,19850900,85.43,19851200
1984-07-10,85.56,19850900,85.38,19851200
1984-07-11,85.54,19850900,85.37,19851200
1984-07-12,85.75,19850900,85.58,19851200
1984-07-13,85.96,19850900,85.79,19851200
1984-07-16,85.82,19850900,85.65,19851200
1984-07-17,85.74,19850900,85.57,19851200
1984-07-18,85.78,19850900,85.63,19851200
1984-07-19,85.86,19850900,85.71,19851200
1984-07-20,85.85,19850900,85.7,19851200
1984-07-23,85.9,19850900,85.73,19851200
1984-07-24,86.09,19850900,85.94,19851200
1984-07-25,86.44,19850900,86.28,19851200
1984-07-26,86.79,19850900,86.62,19851200
1984-07-27,86.66,19850900,86.49,19851200
1984-07-30,86.53,19850900,86.35,19851200
1984-07-31,86.6,19850900,86.42,19851200
1984-08-01,86.72,19850900,86.55,19851200
1984-08-02,86.79,19850900,86.62,19851200
1984-08-03,87.05,19850900,86.88,19851200
1984-08-06,86.76,19850900,86.59,19851200
1984-08-07,86.98,19850900,86.82,19851200
1984-08-08,86.96,19850900,86.79,19851200
1984-08-09,86.98,19850900,86.82,19851200
1984-08-10,87.04,19850900,86.9,19851200
1984-08-13,87.02,19850900,86.88,19851200
1984-08-14,87.1,19850900,86.96,19851200
1984-08-15,87.08,19850900,86.94,19851200
1984-08-16,87.03,19850900,86.89,19851200
1984-08-17,87.01,19850900,86.85,19851200
1984-08-20,86.91,19850900,86.75,19851200
1984-08-21,86.93,19850900,86.76,19851200
1984-08-22,86.97,19850900,86.81,19851200
1984-08-23,86.93,19850900,86.77,19851200
1984-08-24,86.95,19850900,86.79,19851200
1984-08-27,86.7,19850900,86.53,19851200
1984-08-28,86.7,19850900,86.53,19851200
1984-08-29,86.69,19850900,86.5,19851200
1984-08-30,86.69,19850900,86.48,19851200
1984-08-31,86.75,19850900,86.53,19851200
1984-09-04,86.37,19851200,86.2,19860300
1984-09-05,86.37,19851200,86.18,19860300
1984-09-06,86.62,19851200,86.43,19860300
1984-09-07,86.78,19851200,86.61,19860300
1984-09-10,87.03,19851200,86.86,19860300
1984-09-11,87.0,19851200,86.83,19860300
1984-09-12,86.82,19851200,86.68,19860300
1984-09-13,87.04,19851200,86.87,19860300
1984-09-14,87.17,19851200,87.01,19860300
1984-09-17,87.23,19851200,87.06,19860300
1984-09-18,87.48,19851200,87.3,19860300
1984-09-19,87.64,19860300,87.49,19860600
1984-09-20,87.6,19860300,87.44,19860600
1984-09-21,87.31,19860300,87.17,19860600
1984-09-24,87.12,19860300,86.94,19860600
1984-09-25,87.07,19860300,86.9,19860600
1984-09-26,87.18,19860300,87.02,19860600
1984-09-27,87.39,19860300,87.22,19860600
1984-09-28,87.05,19860300,86.85,19860600
1984-10-01,86.99,19860300,86.79,19860600
1984-10-02,86.99,19860300,86.79,19860600
1984-10-03,86.93,19860300,86.73,19860600
1984-10-04,87.04,19860300,86.84,19860600
1984-10-05,87.16,19860300,86.96,19860600
1984-10-08,87.22,19860300,87.02,19860600
1984-10-09,87.21,19860300,86.99,19860600
1984-10-10,87.24,19860300,87.01,19860600
1984-10-11,87.3,19860300,87.07,19860600
1984-10-12,87.36,19860300,87.12,19860600
1984-10-15,87.28,19860300,87.04,19860600
1984-10-16,87.27,19860300,87.03,19860600
1984-10-17,87.46,19860300,87.19,19860600
1984-10-18,87.67,19860300,87.4,19860600
1984-10-19,87.77,19860300,87.4,19860600
1984-10-22,87.72,19860300,87.44,19860600
1984-10-23,87.54,19860600,87.29,19860900
1984-10-24,87.72,19860600,87.45,19860900
1984-10-25,87.49,19860600,87.22,19860900
1984-10-26,87.15,19860600,86.88,19860900
1984-10-29,87.18,19860600,86.91,19860900
