index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2021-02-11,1903.5,20210400,1803.75,20210300
2021-02-12,1890.5,20210400,1861.75,20210300
2021-02-14,,20210400,1870.0,20210300
2021-02-15,,20210400,1877.75,20210300
2021-02-16,1822.75,20210400,1850.0,20210300
2021-02-17,1924.75,20210400,1816.5,20210300
2021-02-18,2020.75,20210400,1960.0,20210300
2021-02-19,2045.5,20210400,1994.0,20210300
2021-02-21,,20210400,1963.5,20210300
2021-02-22,2000.0,20210400,1921.0,20210300
2021-02-23,1585.0,20210400,1630.0,20210300
2021-02-24,1683.0,20210400,1645.0,20210300
2021-02-25,1608.25,20210400,1636.0,20210300
2021-02-26,1499.0,20210400,1473.75,20210300
2021-02-28,,20210400,1417.5,20210300
2021-03-01,1554.5,20210400,1433.0,20210300
2021-03-02,1492.5,20210400,1556.75,20210300
2021-03-03,1602.75,20210400,1577.75,20210300
2021-03-04,1595.5,20210400,1549.5,20210300
2021-03-05,1496.25,20210400,1487.75,20210300
2021-03-07,1761.75,20210400,1735.0,20210300
2021-03-08,1788.0,20210400,1733.5,20210300
2021-03-09,1862.0,20210400,1860.0,20210300
2021-03-10,1854.0,20210400,1814.0,20210300
2021-03-11,1906.0,20210500,1885.0,20210400
2021-03-12,,20210500,1781.5,20210400
2021-03-14,1966.0,20210500,1930.0,20210400
2021-03-15,1849.5,20210500,1854.5,20210400
2021-03-16,1863.0,20210500,1797.5,20210400
2021-03-17,1832.5,20210500,1824.75,20210400
2021-03-18,1890.75,20210500,1858.0,20210400
2021-03-19,1884.5,20210500,1775.5,20210400
2021-03-21,,20210500,1817.5,20210400
2021-03-22,,20210500,1780.5,20210400
2021-03-23,1695.0,20210500,1676.75,20210400
2021-03-24,1643.5,20210500,1710.75,20210400
2021-03-25,1641.0,20210500,1620.5,20210400
2021-03-26,1695.5,20210500,1641.5,20210400
2021-03-28,1714.5,20210500,1707.0,20210400
2021-03-29,1853.5,20210500,1718.0,20210400
2021-03-30,1865.0,20210500,1839.25,20210400
2021-03-31,1867.0,20210500,1887.25,20210400
2021-04-01,1960.5,20210500,1940.25,20210400
2021-04-02,2008.5,20210500,2028.5,20210400
2021-04-04,2125.25,20210500,2112.5,20210400
2021-04-05,2158.25,20210500,2045.25,20210400
2021-04-06,2186.75,20210500,2154.25,20210400
2021-04-07,2138.25,20210500,2108.75,20210400
2021-04-08,2052.75,20210500,2033.25,20210400
2021-04-09,2113.0,20210500,2089.75,20210400
2021-04-11,2217.5,20210600,2168.5,20210500
2021-04-12,2253.75,20210600,2222.5,20210500
2021-04-13,2361.0,20210600,2326.5,20210500
2021-04-14,2462.25,20210600,2348.75,20210500
2021-04-15,2585.5,20210600,2508.0,20210500
2021-04-16,2500.5,20210600,2435.25,20210500
2021-04-18,2271.5,20210600,2272.5,20210500
2021-04-19,2296.75,20210600,2301.75,20210500
2021-04-20,2157.75,20210600,2126.0,20210500
2021-04-21,2405.0,20210600,2354.0,20210500
2021-04-22,2539.75,20210600,2506.0,20210500
2021-04-23,2248.5,20210600,2213.75,20210500
2021-04-25,,20210600,2330.0,20210500
2021-04-26,2471.5,20210600,2511.0,20210500
2021-04-27,2686.25,20210600,2595.0,20210500
2021-04-28,2758.75,20210600,2629.5,20210500
2021-04-29,2794.0,20210600,2775.0,20210500
2021-04-30,2862.75,20210600,2836.75,20210500
2021-05-02,3011.0,20210600,2990.25,20210500
2021-05-03,3151.75,20210600,3129.0,20210500
2021-05-04,3390.0,20210600,3359.75,20210500
2021-05-05,3312.75,20210600,3290.0,20210500
2021-05-06,3468.0,20210600,3423.0,20210500
2021-05-07,3494.75,20210600,3468.25,20210500
2021-05-09,3970.75,20210600,3950.0,20210500
2021-05-10,4164.0,20210600,4130.0,20210500
2021-05-11,3952.0,20210700,4021.0,20210600
2021-05-12,4094.0,20210700,4366.75,20210600
2021-05-13,3699.0,20210700,4063.5,20210600
2021-05-14,3870.0,20210700,3869.0,20210600
2021-05-16,3601.75,20210700,3627.0,20210600
2021-05-17,3613.25,20210700,3424.0,20210600
2021-05-18,3458.25,20210700,3583.75,20210600
2021-05-19,3068.25,20210700,2981.0,20210600
2021-05-20,2229.5,20210700,2697.0,20210600
2021-05-21,2396.5,20210700,2800.0,20210600
2021-05-23,2135.0,20210700,2132.75,20210600
2021-05-24,2165.0,20210700,2214.75,20210600
2021-05-25,2535.5,20210700,2704.5,20210600
2021-05-26,2940.0,20210700,2912.75,20210600
2021-05-27,2706.0,20210700,2780.0,20210600
2021-05-28,2571.0,20210700,2573.5,20210600
2021-05-30,2443.5,20210700,2411.75,20210600
2021-05-31,2758.0,20210700,2412.25,20210600
