index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2015-06-15,,20151200,612.5,20150900
2015-06-16,,20151200,615.9,20150900
2015-06-17,,20151200,607.1,20150900
2015-06-18,,20151200,608.4,20150900
2015-06-19,,20151200,613.4,20150900
2015-06-22,,20151200,635.4,20150900
2015-06-23,,20151200,643.5,20150900
2015-06-24,,20151200,637.0,20150900
2015-06-25,,20151200,639.2,20150900
2015-06-26,,20151200,643.3,20150900
2015-06-29,,20151200,617.5,20150900
2015-06-30,,20151200,610.0,20150900
2015-07-01,,20151200,627.5,20150900
2015-07-02,,20151200,619.0,20150900
2015-07-03,,20151200,617.5,20150900
2015-07-06,,20151200,608.0,20150900
2015-07-07,,20151200,597.1,20150900
2015-07-08,,20151200,581.9,20150900
2015-07-09,,20151200,597.0,20150900
2015-07-10,,20151200,607.1,20150900
2015-07-13,,20151200,611.0,20150900
2015-07-14,,20151200,603.8,20150900
2015-07-15,,20151200,603.5,20150900
2015-07-16,,20151200,615.8,20150900
2015-07-17,,20151200,612.2,20150900
2015-07-20,,20151200,617.0,20150900
2015-07-21,,20151200,614.6,20150900
2015-07-22,,20151200,610.0,20150900
2015-07-23,,20151200,607.9,20150900
2015-07-24,,20151200,594.0,20150900
2015-07-27,,20151200,577.3,20150900
2015-07-28,,20151200,583.5,20150900
2015-07-29,,20151200,581.9,20150900
2015-07-30,,20151200,578.7,20150900
2015-07-31,,20151200,583.0,20150900
2015-08-03,,20151200,585.8,20150900
2015-08-04,,20151200,591.5,20150900
2015-08-05,,20151200,606.0,20150900
2015-08-06,,20151200,602.1,20150900
2015-08-07,,20151200,602.3,20150900
2015-08-10,,20151200,605.9,20150900
2015-08-11,,20151200,580.9,20150900
2015-08-12,,20151200,562.1,20150900
2015-08-13,,20151200,562.0,20150900
2015-08-14,,20151200,563.4,20150900
2015-08-17,,20151200,561.5,20150900
2015-08-18,,20151200,556.8,20150900
2015-08-19,,20151200,544.5,20150900
2015-08-20,,20151200,530.8,20150900
2015-08-21,,20151200,521.0,20150900
2015-08-24,,20151200,507.8,20150900
2015-08-25,,20151200,520.9,20150900
2015-08-26,,20151200,517.2,20150900
2015-08-27,,20151200,534.8,20150900
2015-08-28,,20151200,530.0,20150900
2015-08-31,,20151200,524.9,20150900
2015-09-01,514.0,20151200,511.3,20150900
2015-09-02,,20151200,508.1,20150900
2015-09-03,,20151200,527.7,20150900
2015-09-04,,20151200,514.0,20150900
2015-09-07,,20151200,517.5,20150900
2015-09-08,533.8,20151200,531.8,20150900
2015-09-09,548.7,20151200,538.6,20150900
2015-09-10,539.3,20151200,536.4,20150900
2015-09-11,529.3,20160300,536.0,20151200
2015-09-14,,20160300,533.4,20151200
2015-09-15,,20160300,541.5,20151200
2015-09-16,,20160300,544.3,20151200
2015-09-17,,20160300,546.9,20151200
2015-09-18,,20160300,530.0,20151200
2015-09-21,,20160300,505.5,20151200
2015-09-22,,20160300,468.5,20151200
2015-09-23,,20160300,473.0,20151200
2015-09-24,,20160300,456.6,20151200
2015-09-25,,20160300,468.3,20151200
2015-09-28,,20160300,451.5,20151200
2015-09-29,,20160300,449.8,20151200
2015-09-30,,20160300,464.2,20151200
2015-10-01,,20160300,463.7,20151200
2015-10-02,,20160300,462.6,20151200
2015-10-05,,20160300,478.0,20151200
2015-10-06,,20160300,485.4,20151200
2015-10-07,,20160300,502.1,20151200
2015-10-08,,20160300,510.4,20151200
2015-10-09,,20160300,514.0,20151200
2015-10-12,,20160300,519.4,20151200
2015-10-13,,20160300,511.5,20151200
2015-10-14,,20160300,505.8,20151200
2015-10-15,,20160300,511.9,20151200
2015-10-16,,20160300,507.8,20151200
2015-10-19,,20160300,511.5,20151200
2015-10-20,,20160300,509.0,20151200
2015-10-21,,20160300,514.0,20151200
2015-10-22,,20160300,534.7,20151200
2015-10-23,,20160300,546.4,20151200
2015-10-26,,20160300,541.0,20151200
2015-10-27,,20160300,538.4,20151200
2015-10-28,,20160300,541.5,20151200
2015-10-29,,20160300,537.9,20151200
2015-10-30,,20160300,548.3,20151200
2015-11-02,,20160300,555.5,20151200
2015-11-03,,20160300,552.2,20151200
2015-11-04,,20160300,542.0,20151200
2015-11-05,,20160300,544.5,20151200
2015-11-06,,20160300,555.8,20151200
2015-11-09,,20160300,542.0,20151200
2015-11-10,,20160300,545.5,20151200
2015-11-11,,20160300,542.8,20151200
2015-11-12,,20160300,536.5,20151200
2015-11-13,,20160300,534.0,20151200
2015-11-16,,20160300,536.2,20151200
2015-11-17,,20160300,547.0,20151200
2015-11-18,,20160300,550.4,20151200
2015-11-19,,20160300,555.0,20151200
2015-11-20,,20160300,560.7,20151200
2015-11-23,,20160300,557.4,20151200
2015-11-24,,20160300,555.3,20151200
2015-11-25,,20160300,566.3,20151200
2015-11-26,,20160300,578.9,20151200
2015-11-27,,20160300,580.1,20151200
2015-11-30,,20160300,593.0,20151200
2015-12-01,,20160300,586.0,20151200
2015-12-02,,20160300,580.6,20151200
2015-12-03,571.6,20160300,556.0,20151200
2015-12-04,,20160300,568.8,20151200
2015-12-07,,20160300,572.5,20151200
2015-12-08,,20160300,558.9,20151200
2015-12-09,,20160300,556.7,20151200
2015-12-10,563.4,20160600,565.2,20160300
2015-12-14,,20160600,528.4,20160300
2015-12-15,,20160600,543.5,20160300
2015-12-16,,20160600,551.4,20160300
2015-12-17,,20160600,563.9,20160300
2015-12-18,,20160600,557.8,20160300
2015-12-21,,20160600,556.6,20160300
2015-12-22,,20160600,557.0,20160300
2015-12-23,,20160600,570.5,20160300
2015-12-28,,20160600,564.2,20160300
2015-12-29,,20160600,569.9,20160300
2015-12-30,,20160600,566.9,20160300
2016-01-04,,20160600,539.0,20160300
2016-01-05,,20160600,540.0,20160300
2016-01-06,,20160600,522.2,20160300
2016-01-07,,20160600,505.5,20160300
2016-01-08,,20160600,500.0,20160300
2016-01-11,,20160600,502.0,20160300
2016-01-12,,20160600,511.9,20160300
2016-01-13,,20160600,504.2,20160300
2016-01-14,,20160600,486.9,20160300
2016-01-15,,20160600,471.4,20160300
2016-01-18,,20160600,472.3,20160300
2016-01-19,,20160600,479.0,20160300
2016-01-20,,20160600,465.0,20160300
2016-01-21,,20160600,481.0,20160300
2016-01-22,,20160600,487.5,20160300
2016-01-25,,20160600,478.7,20160300
2016-01-26,,20160600,486.8,20160300
2016-01-27,,20160600,490.1,20160300
2016-01-28,,20160600,474.0,20160300
2016-01-29,,20160600,471.0,20160300
2016-02-01,,20160600,469.7,20160300
2016-02-02,,20160600,457.7,20160300
2016-02-03,,20160600,457.9,20160300
2016-02-04,,20160600,446.1,20160300
2016-02-05,,20160600,451.9,20160300
2016-02-08,,20160600,433.5,20160300
2016-02-09,,20160600,430.2,20160300
2016-02-10,,20160600,436.8,20160300
2016-02-11,,20160600,428.0,20160300
2016-02-12,,20160600,431.1,20160300
2016-02-15,,20160600,452.1,20160300
2016-02-16,,20160600,451.5,20160300
2016-02-17,,20160600,471.2,20160300
2016-02-18,,20160600,469.9,20160300
2016-02-19,,20160600,465.2,20160300
2016-02-22,,20160600,473.7,20160300
2016-02-23,,20160600,464.1,20160300
2016-02-24,,20160600,446.8,20160300
2016-02-25,,20160600,450.1,20160300
2016-02-26,,20160600,462.9,20160300
2016-02-29,,20160600,466.1,20160300
2016-03-01,,20160600,487.9,20160300
2016-03-02,,20160600,494.0,20160300
2016-03-03,,20160600,500.3,20160300
2016-03-04,,20160600,505.3,20160300
2016-03-07,,20160600,500.6,20160300
2016-03-08,480.2,20160600,489.8,20160300
2016-03-09,473.8,20160600,487.8,20160300
2016-03-10,455.5,20160600,467.2,20160300
2016-03-11,467.5,20160900,474.6,20160600
2016-03-14,,20160900,483.4,20160600
2016-03-15,,20160900,479.1,20160600
2016-03-16,,20160900,489.2,20160600
2016-03-17,,20160900,483.6,20160600
2016-03-18,,20160900,489.3,20160600
2016-03-21,,20160900,486.8,20160600
2016-03-22,,20160900,491.1,20160600
2016-03-23,,20160900,491.0,20160600
2016-03-24,,20160900,479.5,20160600
2016-03-29,,20160900,484.0,20160600
2016-03-30,,20160900,494.6,20160600
2016-03-31,,20160900,488.8,20160600
2016-04-01,,20160900,475.8,20160600
2016-04-04,,20160900,472.5,20160600
2016-04-05,,20160900,454.5,20160600
2016-04-06,,20160900,454.8,20160600
2016-04-07,,20160900,447.1,20160600
2016-04-08,,20160900,453.3,20160600
2016-04-11,,20160900,460.0,20160600
2016-04-12,,20160900,465.0,20160600
2016-04-13,,20160900,481.5,20160600
2016-04-14,,20160900,484.4,20160600
2016-04-15,,20160900,475.9,20160600
2016-04-18,,20160900,483.2,20160600
2016-04-19,,20160900,497.6,20160600
2016-04-20,,20160900,503.2,20160600
2016-04-21,,20160900,506.5,20160600
2016-04-22,,20160900,495.6,20160600
2016-04-25,,20160900,493.4,20160600
2016-04-26,,20160900,496.0,20160600
2016-04-27,,20160900,498.7,20160600
2016-04-28,,20160900,502.8,20160600
2016-04-29,,20160900,484.2,20160600
2016-05-02,,20160900,486.0,20160600
2016-05-03,,20160900,474.2,20160600
2016-05-04,,20160900,468.8,20160600
2016-05-05,,20160900,464.5,20160600
2016-05-06,,20160900,469.1,20160600
2016-05-09,,20160900,471.8,20160600
2016-05-10,,20160900,481.0,20160600
2016-05-11,,20160900,477.0,20160600
2016-05-12,,20160900,472.1,20160600
2016-05-13,,20160900,476.8,20160600
2016-05-16,,20160900,473.2,20160600
2016-05-17,,20160900,462.1,20160600
2016-05-18,,20160900,463.6,20160600
2016-05-19,,20160900,462.2,20160600
2016-05-20,,20160900,466.8,20160600
2016-05-23,,20160900,461.3,20160600
2016-05-24,,20160900,473.7,20160600
2016-05-25,,20160900,481.8,20160600
2016-05-26,,20160900,488.9,20160600
2016-05-27,,20160900,486.2,20160600
2016-05-30,492.0,20160900,492.9,20160600
2016-05-31,,20160900,489.0,20160600
2016-06-01,,20160900,482.4,20160600
2016-06-02,,20160900,488.5,20160600
2016-06-03,,20160900,476.8,20160600
2016-06-06,,20160900,477.4,20160600
2016-06-07,486.5,20160900,486.0,20160600
2016-06-08,,20160900,481.0,20160600
2016-06-09,473.8,20160900,474.0,20160600
2016-06-10,469.0,20160900,467.9,20160600
2016-06-13,,20161200,453.7,20160900
2016-06-14,,20161200,445.5,20160900
2016-06-15,,20161200,447.6,20160900
2016-06-16,,20161200,445.2,20160900
2016-06-17,,20161200,451.6,20160900
2016-06-20,,20161200,472.2,20160900
2016-06-21,,20161200,473.1,20160900
2016-06-22,,20161200,471.5,20160900
2016-06-23,,20161200,481.1,20160900
2016-06-24,,20161200,434.0,20160900
2016-06-27,,20161200,416.2,20160900
2016-06-28,,20161200,421.7,20160900
2016-06-29,,20161200,423.8,20160900
2016-06-30,,20161200,426.0,20160900
2016-07-01,,20161200,438.3,20160900
2016-07-04,,20161200,429.4,20160900
2016-07-05,,20161200,414.5,20160900
2016-07-06,,20161200,411.3,20160900
2016-07-07,,20161200,413.4,20160900
2016-07-08,,20161200,429.1,20160900
2016-07-11,,20161200,438.7,20160900
2016-07-12,,20161200,454.4,20160900
2016-07-13,,20161200,449.2,20160900
2016-07-14,,20161200,459.4,20160900
2016-07-15,,20161200,457.4,20160900
2016-07-18,,20161200,460.2,20160900
2016-07-19,,20161200,452.0,20160900
2016-07-20,,20161200,464.8,20160900
2016-07-21,,20161200,467.4,20160900
2016-07-22,,20161200,464.6,20160900
2016-07-25,,20161200,468.7,20160900
2016-07-26,,20161200,477.2,20160900
2016-07-27,,20161200,486.0,20160900
2016-07-28,,20161200,475.5,20160900
2016-07-29,,20161200,479.4,20160900
2016-08-01,,20161200,478.5,20160900
2016-08-02,,20161200,465.6,20160900
2016-08-03,,20161200,467.4,20160900
2016-08-04,,20161200,468.6,20160900
2016-08-05,,20161200,482.8,20160900
2016-08-08,,20161200,482.0,20160900
2016-08-09,,20161200,492.8,20160900
2016-08-10,,20161200,491.4,20160900
2016-08-11,,20161200,494.8,20160900
2016-08-12,,20161200,490.3,20160900
2016-08-15,,20161200,494.7,20160900
2016-08-16,,20161200,486.8,20160900
2016-08-17,,20161200,481.6,20160900
2016-08-18,,20161200,484.1,20160900
2016-08-19,,20161200,479.3,20160900
2016-08-22,,20161200,479.1,20160900
2016-08-23,,20161200,483.2,20160900
2016-08-24,,20161200,485.4,20160900
2016-08-25,,20161200,477.9,20160900
2016-08-26,,20161200,483.1,20160900
2016-08-29,,20161200,480.2,20160900
2016-08-30,,20161200,485.3,20160900
