index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2018-03-12,,20180900,452.5,20180600
2018-03-13,,20180900,451.2,20180600
2018-03-14,,20180900,456.1,20180600
2018-03-15,,20180900,456.0,20180600
2018-03-16,,20180900,461.1,20180600
2018-03-19,,20180900,446.7,20180600
2018-03-20,,20180900,450.9,20180600
2018-03-21,,20180900,458.4,20180600
2018-03-22,,20180900,442.5,20180600
2018-03-23,,20180900,440.5,20180600
2018-03-26,,20180900,439.5,20180600
2018-03-27,,20180900,445.4,20180600
2018-03-28,,20180900,437.7,20180600
2018-03-29,,20180900,445.8,20180600
2018-04-03,,20180900,444.9,20180600
2018-04-04,,20180900,434.0,20180600
2018-04-05,,20180900,449.1,20180600
2018-04-06,,20180900,442.1,20180600
2018-04-09,,20180900,437.0,20180600
2018-04-10,,20180900,451.5,20180600
2018-04-11,,20180900,449.7,20180600
2018-04-12,,20180900,452.5,20180600
2018-04-13,,20180900,455.6,20180600
2018-04-16,,20180900,452.0,20180600
2018-04-17,,20180900,457.3,20180600
2018-04-18,,20180900,477.0,20180600
2018-04-19,,20180900,478.7,20180600
2018-04-20,,20180900,478.7,20180600
2018-04-23,,20180900,478.0,20180600
2018-04-24,,20180900,480.3,20180600
2018-04-25,,20180900,473.5,20180600
2018-04-26,,20180900,474.8,20180600
2018-04-27,,20180900,474.6,20180600
2018-04-30,,20180900,469.0,20180600
2018-05-02,,20180900,475.8,20180600
2018-05-03,,20180900,474.0,20180600
2018-05-04,,20180900,480.4,20180600
2018-05-07,,20180900,482.6,20180600
2018-05-08,,20180900,481.6,20180600
2018-05-09,,20180900,490.8,20180600
2018-05-10,,20180900,494.0,20180600
2018-05-11,,20180900,500.4,20180600
2018-05-14,,20180900,501.6,20180600
2018-05-15,,20180900,499.7,20180600
2018-05-16,500.5,20180900,516.0,20180600
2018-05-17,,20180900,517.4,20180600
2018-05-18,,20180900,510.2,20180600
2018-05-21,,20180900,514.9,20180600
2018-05-22,,20180900,519.0,20180600
2018-05-23,,20180900,506.0,20180600
2018-05-24,,20180900,500.7,20180600
2018-05-25,,20180900,496.9,20180600
2018-05-28,,20180900,496.0,20180600
2018-05-29,,20180900,491.0,20180600
