index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2009-12-14,1673.5,20100600,1675.5,20100300
2009-12-15,1672.0,20100600,1674.0,20100300
2009-12-16,1696.5,20100600,1697.0,20100300
2009-12-17,1682.0,20100600,1682.0,20100300
2009-12-18,1668.0,20100600,1668.0,20100300
2009-12-21,1687.0,20100600,1694.0,20100300
2009-12-22,1701.5,20100600,1708.5,20100300
2009-12-23,1702.5,20100600,1709.5,20100300
2009-12-28,1711.5,20100600,1718.5,20100300
2009-12-29,1722.5,20100600,1729.5,20100300
2009-12-30,1714.0,20100600,1721.0,20100300
2010-01-04,1751.0,20100600,1758.0,20100300
2010-01-05,1766.5,20100600,1773.5,20100300
2010-01-06,1729.5,20100600,1777.5,20100300
2010-01-07,1732.0,20100600,1779.5,20100300
2010-01-08,1744.0,20100600,1791.5,20100300
2010-01-11,1746.0,20100600,1793.5,20100300
2010-01-12,1714.0,20100600,1762.0,20100300
2010-01-13,1722.0,20100600,1770.0,20100300
2010-01-14,1735.0,20100600,1783.0,20100300
2010-01-15,1714.0,20100600,1762.0,20100300
2010-01-18,1721.5,20100600,1770.0,20100300
2010-01-19,1741.5,20100600,1789.5,20100300
2010-01-20,1700.5,20100600,1749.0,20100300
2010-01-21,1673.5,20100600,1722.0,20100300
2010-01-22,1657.5,20100600,1706.0,20100300
2010-01-25,1650.0,20100600,1698.5,20100300
2010-01-26,1652.5,20100600,1701.0,20100300
2010-01-27,1635.5,20100600,1684.0,20100300
2010-01-28,1617.5,20100600,1666.0,20100300
2010-01-29,1634.5,20100600,1683.0,20100300
2010-02-01,1647.5,20100600,1696.0,20100300
2010-02-02,1668.0,20100600,1716.5,20100300
2010-02-03,1651.0,20100600,1699.5,20100300
2010-02-04,1588.0,20100600,1636.5,20100300
2010-02-05,1553.0,20100600,1601.5,20100300
2010-02-08,1556.0,20100600,1604.5,20100300
2010-02-09,1564.0,20100600,1612.5,20100300
2010-02-10,1589.5,20100600,1638.0,20100300
2010-02-11,1585.0,20100600,1633.5,20100300
2010-02-12,1572.5,20100600,1621.0,20100300
2010-02-15,1576.0,20100600,1624.5,20100300
2010-02-16,1601.5,20100600,1650.0,20100300
2010-02-17,1623.5,20100600,1672.0,20100300
2010-02-18,1638.5,20100600,1687.0,20100300
2010-02-19,1648.0,20100600,1696.5,20100300
2010-02-22,1639.0,20100600,1687.5,20100300
2010-02-23,1607.5,20100600,1656.0,20100300
2010-02-24,1602.5,20100600,1651.0,20100300
2010-02-25,1579.0,20100600,1627.5,20100300
2010-02-26,1606.0,20100600,1654.5,20100300
2010-03-01,1625.5,20100600,1674.0,20100300
2010-03-02,1642.5,20100600,1691.0,20100300
2010-03-03,1663.0,20100600,1711.5,20100300
2010-03-04,1657.0,20100600,1705.5,20100300
2010-03-05,1682.0,20100600,1730.5,20100300
2010-03-08,1692.0,20100600,1740.5,20100300
2010-03-09,1698.0,20100600,1746.5,20100300
2010-03-10,1717.5,20100600,1766.0,20100300
2010-03-11,1688.0,20100600,1758.5,20100300
2010-03-12,1705.0,20100900,1705.0,20100600
2010-03-15,1685.0,20100900,1692.5,20100600
2010-03-16,1698.5,20100900,1704.5,20100600
2010-03-17,1713.0,20100900,1719.5,20100600
2010-03-18,1705.0,20100900,1712.0,20100600
2010-03-19,1693.0,20100900,1685.0,20100600
2010-03-22,1684.0,20100900,1694.0,20100600
2010-03-23,1703.5,20100900,1714.5,20100600
2010-03-24,1694.0,20100900,1705.0,20100600
2010-03-25,1713.0,20100900,1724.0,20100600
2010-03-26,1711.0,20100900,1722.0,20100600
2010-03-29,1715.5,20100900,1728.0,20100600
2010-03-30,1713.0,20100900,1725.5,20100600
2010-03-31,1704.0,20100900,1717.0,20100600
2010-04-01,1731.0,20100900,1744.0,20100600
2010-04-06,1743.0,20100900,1756.0,20100600
2010-04-07,1742.0,20100900,1754.5,20100600
2010-04-08,1721.5,20100900,1734.0,20100600
2010-04-09,1753.5,20100900,1766.0,20100600
2010-04-12,1760.0,20100900,1773.0,20100600
2010-04-13,1754.0,20100900,1767.0,20100600
2010-04-14,1767.5,20100900,1780.5,20100600
2010-04-15,1772.5,20100900,1785.5,20100600
2010-04-16,1746.5,20100900,1759.5,20100600
2010-04-19,1741.0,20100900,1754.0,20100600
2010-04-20,1759.0,20100900,1772.5,20100600
2010-04-21,1749.0,20100900,1762.0,20100600
2010-04-22,1728.5,20100900,1741.5,20100600
2010-04-23,1736.0,20100900,1749.5,20100600
2010-04-26,1741.5,20100900,1755.0,20100600
2010-04-27,1685.0,20100900,1698.0,20100600
2010-04-28,1654.5,20100900,1667.5,20100600
2010-04-29,1682.5,20100900,1696.0,20100600
2010-04-30,1684.0,20100900,1697.5,20100600
2010-05-03,1690.0,20100900,1703.5,20100600
2010-05-04,1639.0,20100900,1652.5,20100600
2010-05-05,1608.0,20100900,1621.5,20100600
2010-05-06,1574.0,20100900,1587.0,20100600
2010-05-07,1517.0,20100900,1529.5,20100600
2010-05-10,1639.5,20100900,1652.5,20100600
2010-05-11,1626.5,20100900,1639.5,20100600
2010-05-12,1655.0,20100900,1668.0,20100600
2010-05-13,1665.0,20100900,1678.5,20100600
2010-05-14,1595.0,20100900,1608.5,20100600
2010-05-17,1586.0,20100900,1599.0,20100600
2010-05-18,1619.5,20100900,1632.5,20100600
2010-05-19,1574.0,20100900,1587.5,20100600
2010-05-20,1544.0,20100900,1557.5,20100600
