index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2016-12-12,,20170600,676.2,20170300
2016-12-13,,20170600,689.0,20170300
2016-12-14,,20170600,681.5,20170300
2016-12-15,,20170600,693.0,20170300
2016-12-16,,20170600,696.6,20170300
2016-12-19,,20170600,698.6,20170300
2016-12-20,,20170600,700.1,20170300
2016-12-21,,20170600,699.7,20170300
2016-12-22,,20170600,697.5,20170300
2016-12-23,,20170600,698.4,20170300
2016-12-27,,20170600,700.4,20170300
2016-12-28,,20170600,703.4,20170300
2016-12-29,,20170600,703.0,20170300
2016-12-30,,20170600,702.6,20170300
2017-01-02,,20170600,709.2,20170300
2017-01-03,,20170600,710.7,20170300
2017-01-04,,20170600,712.8,20170300
2017-01-05,,20170600,719.4,20170300
2017-01-06,,20170600,717.0,20170300
2017-01-09,,20170600,716.4,20170300
2017-01-10,,20170600,716.6,20170300
2017-01-11,,20170600,706.8,20170300
2017-01-12,,20170600,698.8,20170300
2017-01-13,,20170600,707.1,20170300
2017-01-16,,20170600,700.0,20170300
2017-01-17,,20170600,697.9,20170300
2017-01-18,,20170600,701.7,20170300
2017-01-19,,20170600,694.0,20170300
2017-01-20,,20170600,690.1,20170300
2017-01-23,,20170600,684.8,20170300
2017-01-24,,20170600,680.3,20170300
2017-01-25,,20170600,689.1,20170300
2017-01-26,,20170600,701.1,20170300
2017-01-27,,20170600,700.6,20170300
2017-01-30,,20170600,698.5,20170300
2017-01-31,,20170600,697.0,20170300
2017-02-01,,20170600,704.0,20170300
2017-02-02,,20170600,695.9,20170300
2017-02-03,,20170600,701.6,20170300
2017-02-06,,20170600,703.6,20170300
2017-02-07,,20170600,710.3,20170300
2017-02-08,,20170600,711.2,20170300
2017-02-09,,20170600,721.8,20170300
2017-02-10,,20170600,725.1,20170300
2017-02-13,,20170600,728.3,20170300
2017-02-14,,20170600,725.5,20170300
2017-02-15,,20170600,729.2,20170300
2017-02-16,,20170600,733.8,20170300
2017-02-17,,20170600,738.7,20170300
2017-02-20,,20170600,737.3,20170300
2017-02-21,,20170600,743.1,20170300
2017-02-22,,20170600,744.5,20170300
2017-02-23,,20170600,744.8,20170300
2017-02-24,,20170600,743.5,20170300
2017-02-27,,20170600,740.2,20170300
2017-02-28,,20170600,744.6,20170300
2017-03-01,,20170600,750.5,20170300
2017-03-02,,20170600,758.7,20170300
2017-03-03,,20170600,758.8,20170300
2017-03-06,,20170600,753.0,20170300
2017-03-07,738.2,20170600,746.4,20170300
2017-03-08,738.7,20170600,746.1,20170300
2017-03-09,735.8,20170900,737.6,20170600
2017-03-13,,20170900,743.7,20170600
2017-03-14,,20170900,744.7,20170600
2017-03-15,,20170900,743.5,20170600
2017-03-16,,20170900,745.2,20170600
2017-03-17,,20170900,746.3,20170600
