index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2020-09-10,,20210300,251.9,20201200
2020-09-11,,20210300,252.2,20201200
2020-09-14,,20210300,251.4,20201200
2020-09-15,,20210300,252.4,20201200
2020-09-16,,20210300,252.5,20201200
2020-09-17,,20210300,250.5,20201200
2020-09-18,,20210300,248.5,20201200
2020-09-21,,20210300,236.5,20201200
2020-09-22,,20210300,233.6,20201200
2020-09-23,,20210300,233.6,20201200
2020-09-24,,20210300,231.9,20201200
2020-09-25,,20210300,229.2,20201200
2020-09-28,,20210300,237.7,20201200
2020-09-29,,20210300,234.0,20201200
2020-09-30,,20210300,234.3,20201200
2020-10-01,,20210300,233.4,20201200
2020-10-02,,20210300,235.2,20201200
2020-10-05,,20210300,239.5,20201200
2020-10-06,,20210300,242.1,20201200
2020-10-07,,20210300,239.1,20201200
2020-10-08,,20210300,241.6,20201200
2020-10-09,,20210300,240.8,20201200
2020-10-12,,20210300,242.9,20201200
2020-10-13,,20210300,238.0,20201200
2020-10-14,,20210300,237.9,20201200
2020-10-15,,20210300,230.8,20201200
2020-10-16,,20210300,233.1,20201200
2020-10-19,,20210300,234.1,20201200
2020-10-20,,20210300,233.2,20201200
2020-10-21,,20210300,230.4,20201200
2020-10-22,,20210300,230.8,20201200
2020-10-23,,20210300,232.3,20201200
2020-10-26,,20210300,229.0,20201200
2020-10-27,,20210300,223.5,20201200
2020-10-28,,20210300,216.9,20201200
2020-10-29,,20210300,216.2,20201200
2020-10-30,,20210300,218.0,20201200
2020-11-02,,20210300,222.3,20201200
2020-11-03,,20210300,230.3,20201200
2020-11-04,,20210300,233.8,20201200
2020-11-05,,20210300,235.6,20201200
2020-11-06,,20210300,237.2,20201200
2020-11-09,,20210300,257.9,20201200
2020-11-10,,20210300,266.7,20201200
2020-11-11,,20210300,266.1,20201200
2020-11-12,,20210300,262.6,20201200
2020-11-13,,20210300,265.8,20201200
2020-11-16,,20210300,271.7,20201200
2020-11-17,,20210300,274.5,20201200
2020-11-18,,20210300,277.5,20201200
