index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2018-03-12,,20180900,297.8,20180600
2018-03-13,,20180900,296.4,20180600
2018-03-14,,20180900,295.5,20180600
2018-03-15,,20180900,294.3,20180600
2018-03-16,,20180900,298.1,20180600
2018-03-19,,20180900,292.1,20180600
2018-03-20,,20180900,296.7,20180600
2018-03-21,,20180900,300.0,20180600
2018-03-22,,20180900,294.0,20180600
2018-03-23,,20180900,292.5,20180600
2018-03-26,,20180900,296.5,20180600
2018-03-27,,20180900,293.2,20180600
2018-03-28,,20180900,294.4,20180600
2018-03-29,,20180900,298.6,20180600
2018-04-03,,20180900,301.5,20180600
2018-04-04,,20180900,303.0,20180600
2018-04-05,,20180900,309.8,20180600
2018-04-06,,20180900,309.8,20180600
2018-04-09,,20180900,308.4,20180600
2018-04-10,,20180900,314.7,20180600
2018-04-11,,20180900,317.1,20180600
2018-04-12,,20180900,316.9,20180600
2018-04-13,,20180900,319.4,20180600
2018-04-16,,20180900,316.2,20180600
2018-04-17,,20180900,318.0,20180600
2018-04-18,,20180900,322.1,20180600
2018-04-19,,20180900,325.9,20180600
2018-04-20,,20180900,326.5,20180600
2018-04-23,,20180900,328.7,20180600
2018-04-24,,20180900,330.0,20180600
2018-04-25,,20180900,328.1,20180600
2018-04-26,,20180900,333.8,20180600
2018-04-27,,20180900,334.3,20180600
2018-04-30,,20180900,333.8,20180600
2018-05-02,,20180900,335.6,20180600
2018-05-03,,20180900,333.6,20180600
2018-05-04,,20180900,338.2,20180600
2018-05-07,,20180900,342.3,20180600
2018-05-08,,20180900,338.2,20180600
2018-05-09,,20180900,346.6,20180600
2018-05-10,,20180900,345.5,20180600
2018-05-11,,20180900,347.9,20180600
2018-05-14,,20180900,350.9,20180600
2018-05-15,,20180900,353.4,20180600
2018-05-16,,20180900,353.4,20180600
2018-05-17,,20180900,358.5,20180600
2018-05-18,,20180900,359.6,20180600
2018-05-21,,20180900,359.9,20180600
2018-05-22,,20180900,356.5,20180600
2018-05-23,,20180900,349.1,20180600
2018-05-24,,20180900,344.5,20180600
2018-05-25,,20180900,337.3,20180600
2018-05-28,,20180900,334.5,20180600
2018-05-29,,20180900,336.6,20180600
2018-05-30,,20180900,342.9,20180600
2018-05-31,,20180900,346.1,20180600
2018-06-01,,20180900,348.0,20180600
2018-06-04,,20180900,345.3,20180600
2018-06-05,342.0,20180900,346.6,20180600
2018-06-06,342.5,20180900,345.8,20180600
2018-06-07,347.1,20180900,351.5,20180600
2018-06-08,345.0,20180900,347.8,20180600
2018-06-11,345.1,20181200,349.1,20180900
2018-06-12,,20181200,345.3,20180900
2018-06-13,,20181200,342.0,20180900
2018-06-14,,20181200,349.0,20180900
2018-06-15,,20181200,342.0,20180900
2018-06-18,,20181200,342.4,20180900
2018-06-19,,20181200,341.9,20180900
2018-06-20,,20181200,338.5,20180900
2018-06-21,,20181200,336.2,20180900
2018-06-22,,20181200,345.2,20180900
2018-06-25,,20181200,336.0,20180900
2018-06-26,,20181200,339.3,20180900
2018-06-27,,20181200,347.1,20180900
2018-06-28,,20181200,344.7,20180900
2018-06-29,,20181200,344.9,20180900
2018-07-02,,20181200,341.5,20180900
2018-07-03,,20181200,345.2,20180900
2018-07-04,,20181200,349.0,20180900
2018-07-05,,20181200,348.4,20180900
2018-07-06,,20181200,346.2,20180900
2018-07-09,,20181200,350.7,20180900
2018-07-10,,20181200,356.0,20180900
2018-07-11,,20181200,347.3,20180900
2018-07-12,,20181200,348.1,20180900
2018-07-13,,20181200,348.3,20180900
2018-07-16,334.5,20181200,342.7,20180900
2018-07-17,,20181200,343.1,20180900
2018-07-18,,20181200,343.5,20180900
2018-07-19,,20181200,343.0,20180900
2018-07-20,,20181200,343.9,20180900
2018-07-23,,20181200,342.8,20180900
2018-07-24,,20181200,345.2,20180900
2018-07-25,,20181200,345.0,20180900
2018-07-26,,20181200,346.2,20180900
2018-07-27,,20181200,350.0,20180900
2018-07-30,,20181200,350.2,20180900
2018-07-31,,20181200,353.9,20180900
2018-08-01,,20181200,349.8,20180900
2018-08-02,,20181200,347.5,20180900
2018-08-03,,20181200,346.8,20180900
2018-08-06,,20181200,349.6,20180900
2018-08-07,,20181200,354.1,20180900
2018-08-08,,20181200,352.0,20180900
2018-08-09,,20181200,350.1,20180900
2018-08-10,,20181200,346.5,20180900
2018-08-13,,20181200,346.0,20180900
2018-08-14,,20181200,344.6,20180900
2018-08-15,,20181200,335.4,20180900
2018-08-16,,20181200,337.7,20180900
2018-08-17,,20181200,337.5,20180900
2018-08-20,,20181200,339.6,20180900
2018-08-21,,20181200,343.0,20180900
2018-08-22,,20181200,346.5,20180900
2018-08-23,,20181200,346.8,20180900
2018-08-24,,20181200,349.1,20180900
2018-08-27,,20181200,351.3,20180900
2018-08-28,,20181200,348.1,20180900
2018-08-29,,20181200,349.5,20180900
2018-08-30,,20181200,349.0,20180900
2018-08-31,,20181200,346.0,20180900
2018-09-03,,20181200,345.8,20180900
2018-09-04,,20181200,345.5,20180900
2018-09-05,,20181200,340.3,20180900
2018-09-06,,20181200,334.8,20180900
2018-09-07,,20181200,334.9,20180900
2018-09-10,,20181200,335.8,20180900
2018-09-11,,20181200,340.7,20180900
2018-09-12,,20181200,346.0,20180900
2018-09-13,,20181200,344.5,20180900
2018-09-14,,20181200,345.8,20180900
2018-09-17,340.3,20190300,339.6,20181200
2018-09-18,,20190300,341.9,20181200
2018-09-19,,20190300,343.1,20181200
2018-09-20,,20190300,344.5,20181200
2018-09-21,,20190300,346.0,20181200
2018-09-24,,20190300,351.3,20181200
2018-09-25,,20190300,358.2,20181200
2018-09-26,,20190300,357.6,20181200
2018-09-27,,20190300,359.2,20181200
2018-09-28,,20190300,357.7,20181200
2018-10-01,,20190300,360.7,20181200
2018-10-02,,20190300,360.5,20181200
2018-10-03,,20190300,361.3,20181200
2018-10-04,,20190300,360.0,20181200
2018-10-05,,20190300,353.4,20181200
2018-10-08,,20190300,348.7,20181200
2018-10-09,,20190300,356.7,20181200
2018-10-10,,20190300,352.1,20181200
2018-10-11,,20190300,339.1,20181200
2018-10-12,,20190300,340.3,20181200
2018-10-15,,20190300,342.9,20181200
2018-10-16,,20190300,345.2,20181200
2018-10-17,,20190300,342.5,20181200
2018-10-18,,20190300,339.4,20181200
2018-10-19,,20190300,340.3,20181200
2018-10-22,,20190300,335.0,20181200
2018-10-23,,20190300,326.6,20181200
2018-10-24,,20190300,326.8,20181200
2018-10-25,,20190300,327.1,20181200
2018-10-26,,20190300,324.7,20181200
2018-10-29,,20190300,326.8,20181200
2018-10-30,,20190300,326.8,20181200
2018-10-31,,20190300,336.9,20181200
2018-11-01,,20190300,328.6,20181200
2018-11-02,,20190300,326.5,20181200
