index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2018-03-12,,20180900,453.1,20180600
2018-03-13,,20180900,446.5,20180600
2018-03-14,,20180900,446.5,20180600
2018-03-15,,20180900,451.4,20180600
2018-03-16,,20180900,450.2,20180600
2018-03-19,,20180900,438.0,20180600
2018-03-20,,20180900,439.3,20180600
2018-03-21,,20180900,441.8,20180600
2018-03-22,,20180900,430.0,20180600
2018-03-23,,20180900,424.0,20180600
2018-03-26,,20180900,419.9,20180600
2018-03-27,,20180900,429.2,20180600
2018-03-28,,20180900,422.0,20180600
2018-03-29,,20180900,415.4,20180600
2018-04-03,,20180900,420.4,20180600
2018-04-04,,20180900,412.8,20180600
2018-04-05,,20180900,426.4,20180600
2018-04-06,,20180900,424.5,20180600
2018-04-09,,20180900,427.6,20180600
2018-04-10,,20180900,432.3,20180600
2018-04-11,,20180900,430.1,20180600
2018-04-12,,20180900,437.2,20180600
2018-04-13,,20180900,435.2,20180600
2018-04-16,,20180900,433.7,20180600
2018-04-17,,20180900,441.8,20180600
2018-04-18,,20180900,439.2,20180600
2018-04-19,,20180900,433.6,20180600
2018-04-20,,20180900,434.1,20180600
2018-04-23,,20180900,436.3,20180600
2018-04-24,,20180900,438.8,20180600
2018-04-25,,20180900,436.9,20180600
2018-04-26,,20180900,439.4,20180600
2018-04-27,,20180900,443.5,20180600
2018-04-30,,20180900,442.5,20180600
2018-05-02,,20180900,450.6,20180600
2018-05-03,,20180900,448.2,20180600
2018-05-04,,20180900,455.0,20180600
2018-05-07,,20180900,461.0,20180600
2018-05-08,,20180900,462.3,20180600
2018-05-09,,20180900,466.3,20180600
2018-05-10,,20180900,470.3,20180600
2018-05-11,,20180900,468.3,20180600
2018-05-14,,20180900,468.4,20180600
2018-05-15,,20180900,465.9,20180600
2018-05-16,,20180900,468.6,20180600
2018-05-17,,20180900,471.4,20180600
2018-05-18,,20180900,468.2,20180600
2018-05-22,,20180900,471.9,20180600
2018-05-23,,20180900,467.3,20180600
2018-05-24,,20180900,470.0,20180600
2018-05-25,,20180900,473.4,20180600
2018-05-28,,20180900,471.8,20180600
2018-05-29,,20180900,466.3,20180600
2018-05-30,,20180900,466.7,20180600
2018-05-31,,20180900,468.5,20180600
2018-06-01,,20180900,471.7,20180600
2018-06-04,,20180900,476.8,20180600
2018-06-05,,20180900,481.9,20180600
2018-06-06,482.9,20180900,482.7,20180600
2018-06-07,,20180900,482.8,20180600
2018-06-08,480.1,20180900,482.1,20180600
2018-06-11,484.0,20181200,484.1,20180900
2018-06-12,,20181200,485.7,20180900
2018-06-13,,20181200,493.3,20180900
2018-06-14,,20181200,503.8,20180900
2018-06-15,,20181200,498.2,20180900
2018-06-18,,20181200,493.7,20180900
2018-06-19,,20181200,486.6,20180900
2018-06-20,,20181200,487.5,20180900
2018-06-21,,20181200,482.7,20180900
2018-06-22,,20181200,481.1,20180900
2018-06-25,,20181200,468.1,20180900
2018-06-26,,20181200,469.5,20180900
2018-06-27,,20181200,473.7,20180900
2018-06-28,,20181200,459.0,20180900
2018-06-29,,20181200,469.2,20180900
2018-07-02,,20181200,463.8,20180900
2018-07-03,,20181200,462.9,20180900
2018-07-04,,20181200,457.7,20180900
2018-07-05,,20181200,463.7,20180900
2018-07-06,,20181200,464.1,20180900
2018-07-09,,20181200,470.5,20180900
2018-07-10,,20181200,478.0,20180900
2018-07-11,,20181200,470.0,20180900
2018-07-12,,20181200,474.5,20180900
2018-07-13,,20181200,475.5,20180900
2018-07-16,,20181200,477.5,20180900
2018-07-17,,20181200,481.3,20180900
2018-07-18,,20181200,491.3,20180900
2018-07-19,,20181200,485.9,20180900
2018-07-20,,20181200,485.4,20180900
2018-07-23,,20181200,479.8,20180900
2018-07-24,,20181200,484.2,20180900
2018-07-25,,20181200,481.3,20180900
2018-07-26,,20181200,483.0,20180900
2018-07-27,,20181200,483.0,20180900
2018-07-30,,20181200,473.9,20180900
2018-07-31,,20181200,473.7,20180900
2018-08-01,,20181200,470.9,20180900
2018-08-02,,20181200,471.8,20180900
2018-08-03,,20181200,474.3,20180900
2018-08-06,,20181200,474.0,20180900
2018-08-07,,20181200,471.6,20180900
2018-08-08,,20181200,476.1,20180900
2018-08-09,,20181200,475.2,20180900
2018-08-10,,20181200,451.7,20180900
2018-08-13,,20181200,472.8,20180900
2018-08-14,,20181200,472.3,20180900
2018-08-15,,20181200,462.9,20180900
2018-08-16,,20181200,468.2,20180900
2018-08-17,,20181200,466.7,20180900
2018-08-20,,20181200,470.1,20180900
2018-08-21,,20181200,471.7,20180900
2018-08-22,,20181200,472.1,20180900
2018-08-23,,20181200,475.5,20180900
2018-08-24,,20181200,477.4,20180900
2018-08-27,,20181200,484.4,20180900
2018-08-28,,20181200,484.0,20180900
2018-08-29,,20181200,483.5,20180900
2018-08-30,,20181200,481.7,20180900
2018-08-31,,20181200,478.6,20180900
