index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2014-03-14,,20140900,286.0,20140600
2014-03-17,,20140900,293.4,20140600
2014-03-18,,20140900,295.5,20140600
2014-03-19,,20140900,295.0,20140600
2014-03-20,,20140900,295.3,20140600
2014-03-21,,20140900,296.0,20140600
2014-03-24,,20140900,292.9,20140600
2014-03-25,,20140900,295.0,20140600
2014-03-26,,20140900,296.0,20140600
2014-03-27,,20140900,296.6,20140600
2014-03-28,,20140900,301.3,20140600
2014-03-31,,20140900,302.7,20140600
2014-04-01,,20140900,300.5,20140600
2014-04-02,,20140900,299.4,20140600
2014-04-03,,20140900,298.8,20140600
2014-04-04,,20140900,301.7,20140600
2014-04-07,,20140900,300.0,20140600
2014-04-08,,20140900,297.1,20140600
2014-04-09,,20140900,298.0,20140600
2014-04-10,,20140900,292.9,20140600
2014-04-11,,20140900,292.6,20140600
2014-04-14,,20140900,293.8,20140600
2014-04-15,,20140900,293.5,20140600
2014-04-16,,20140900,298.6,20140600
2014-04-17,,20140900,298.7,20140600
2014-04-22,,20140900,301.7,20140600
2014-04-23,,20140900,298.3,20140600
2014-04-24,,20140900,298.3,20140600
2014-04-25,,20140900,295.8,20140600
2014-04-28,,20140900,296.5,20140600
2014-04-29,,20140900,301.2,20140600
2014-04-30,,20140900,299.2,20140600
2014-05-02,,20140900,299.6,20140600
2014-05-05,,20140900,300.3,20140600
2014-05-06,,20140900,299.5,20140600
2014-05-07,,20140900,301.0,20140600
2014-05-08,,20140900,304.8,20140600
2014-05-09,,20140900,305.1,20140600
2014-05-12,,20140900,306.8,20140600
2014-05-13,,20140900,306.1,20140600
2014-05-14,,20140900,305.4,20140600
2014-05-15,,20140900,301.7,20140600
2014-05-16,,20140900,304.7,20140600
2014-05-19,,20140900,306.6,20140600
2014-05-20,,20140900,307.0,20140600
2014-05-21,,20140900,309.6,20140600
2014-05-22,,20140900,309.4,20140600
2014-05-23,,20140900,311.4,20140600
2014-05-26,,20140900,314.0,20140600
2014-05-27,,20140900,314.0,20140600
2014-05-28,,20140900,313.0,20140600
2014-05-29,,20140900,313.5,20140600
2014-05-30,,20140900,315.0,20140600
2014-06-02,,20140900,317.1,20140600
2014-06-03,,20140900,314.9,20140600
2014-06-04,,20140900,313.6,20140600
2014-06-05,,20140900,317.0,20140600
2014-06-06,,20140900,319.5,20140600
2014-06-09,,20140900,320.7,20140600
2014-06-10,,20140900,321.9,20140600
2014-06-11,317.0,20140900,319.7,20140600
2014-06-17,,20141200,318.1,20140900
2014-06-18,,20141200,320.0,20140900
2014-06-19,,20141200,322.3,20140900
2014-06-20,,20141200,322.0,20140900
2014-06-23,,20141200,322.4,20140900
2014-06-24,,20141200,322.6,20140900
2014-06-25,,20141200,319.6,20140900
2014-06-26,,20141200,319.6,20140900
2014-06-27,,20141200,319.9,20140900
2014-06-30,,20141200,319.7,20140900
2014-07-01,,20141200,321.8,20140900
2014-07-02,,20141200,323.7,20140900
2014-07-03,,20141200,323.6,20140900
2014-07-04,,20141200,321.7,20140900
2014-07-07,,20141200,320.0,20140900
2014-07-08,,20141200,317.9,20140900
2014-07-09,,20141200,315.8,20140900
2014-07-10,,20141200,313.3,20140900
2014-07-11,,20141200,313.9,20140900
2014-07-14,,20141200,315.0,20140900
2014-07-15,,20141200,315.6,20140900
2014-07-16,,20141200,319.5,20140900
2014-07-17,,20141200,315.5,20140900
2014-07-18,,20141200,316.7,20140900
2014-07-21,,20141200,317.9,20140900
2014-07-22,,20141200,323.6,20140900
2014-07-23,,20141200,322.4,20140900
2014-07-24,,20141200,323.5,20140900
2014-07-25,,20141200,321.7,20140900
2014-07-28,,20141200,321.9,20140900
2014-07-29,,20141200,324.2,20140900
2014-07-30,,20141200,321.0,20140900
2014-07-31,,20141200,317.2,20140900
2014-08-01,,20141200,311.1,20140900
