index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2005-12-13,,20060600,307.6,20060300
2005-12-14,,20060600,306.6,20060300
2005-12-15,,20060600,305.8,20060300
2005-12-16,,20060600,307.9,20060300
2005-12-19,,20060600,307.9,20060300
2005-12-20,,20060600,309.0,20060300
2005-12-21,,20060600,310.6,20060300
2005-12-22,,20060600,309.5,20060300
2005-12-23,,20060600,309.7,20060300
2005-12-27,,20060600,310.8,20060300
2005-12-28,,20060600,310.4,20060300
2005-12-29,,20060600,312.2,20060300
2005-12-30,,20060600,310.4,20060300
2006-01-02,,20060600,311.5,20060300
2006-01-03,,20060600,313.4,20060300
2006-01-04,,20060600,316.4,20060300
2006-01-05,,20060600,315.3,20060300
2006-01-06,,20060600,317.1,20060300
2006-01-09,,20060600,318.0,20060300
2006-01-10,,20060600,315.5,20060300
2006-01-11,,20060600,317.0,20060300
2006-01-12,,20060600,318.3,20060300
2006-01-13,,20060600,316.9,20060300
2006-01-16,,20060600,317.2,20060300
2006-01-17,,20060600,315.0,20060300
2006-01-18,,20060600,311.5,20060300
2006-01-19,,20060600,313.4,20060300
2006-01-20,,20060600,311.5,20060300
2006-01-23,,20060600,311.6,20060300
2006-01-24,,20060600,310.7,20060300
2006-01-25,,20060600,314.2,20060300
2006-01-26,,20060600,317.5,20060300
2006-01-27,,20060600,320.8,20060300
2006-01-30,,20060600,320.8,20060300
2006-01-31,,20060600,321.6,20060300
2006-02-01,,20060600,324.2,20060300
2006-02-02,,20060600,321.3,20060300
2006-02-03,,20060600,321.5,20060300
2006-02-06,,20060600,322.2,20060300
2006-02-07,,20060600,321.2,20060300
2006-02-08,,20060600,320.5,20060300
2006-02-09,,20060600,323.5,20060300
2006-02-10,,20060600,323.8,20060300
2006-02-13,,20060600,324.1,20060300
2006-02-14,,20060600,323.7,20060300
2006-02-15,,20060600,324.1,20060300
2006-02-16,,20060600,325.9,20060300
2006-02-17,,20060600,327.1,20060300
2006-02-20,,20060600,329.3,20060300
2006-02-21,,20060600,329.0,20060300
2006-02-22,,20060600,330.7,20060300
2006-02-23,,20060600,330.1,20060300
2006-02-24,,20060600,331.4,20060300
2006-02-27,,20060600,332.6,20060300
2006-02-28,,20060600,328.1,20060300
2006-03-01,,20060600,330.4,20060300
2006-03-02,324.8,20060600,327.5,20060300
2006-03-03,324.6,20060600,327.3,20060300
2006-03-06,326.1,20060600,329.1,20060300
2006-03-07,324.2,20060600,327.3,20060300
2006-03-08,321.7,20060600,324.8,20060300
2006-03-09,322.5,20060600,325.6,20060300
2006-03-10,327.1,20060600,330.2,20060300
