index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2014-03-13,2950.0,20140900,2931.0,20140600
2014-03-14,2929.0,20140900,2935.0,20140600
2014-03-17,2977.0,20140900,2982.0,20140600
2014-03-18,2999.0,20140900,3016.25,20140600
2014-03-19,2981.0,20140900,2989.0,20140600
2014-03-20,3010.0,20140900,3019.0,20140600
2014-03-21,2995.0,20140900,3000.0,20140600
2014-03-24,2977.0,20140900,,20140600
2014-03-25,3035.0,20140900,3040.0,20140600
2014-03-26,3047.0,20140900,3049.0,20140600
2014-03-27,3058.0,20140900,3068.0,20140600
2014-03-28,3090.0,20140900,3098.0,20140600
2014-03-31,3091.0,20140900,3096.0,20140600
2014-04-01,3118.0,20140900,3122.0,20140600
2014-04-02,3121.0,20140900,3122.0,20140600
2014-04-03,3133.0,20140900,3138.0,20140600
2014-04-04,3156.0,20140900,,20140600
2014-04-07,3110.0,20140900,3114.0,20140600
2014-04-08,3103.0,20140900,3125.5,20140600
2014-04-09,3111.0,20140900,,20140600
2014-04-10,3050.0,20140900,3055.0,20140600
2014-04-11,3031.0,20140900,3038.0,20140600
2014-04-14,3059.0,20140900,3063.0,20140600
2014-04-15,3041.0,20140900,3045.0,20140600
2014-04-16,3080.0,20140900,3085.0,20140600
2014-04-17,3112.0,20140900,3112.0,20140600
2014-04-22,3136.0,20140900,3141.0,20140600
2014-04-23,3117.0,20140900,3123.0,20140600
2014-04-24,3122.0,20140900,3118.75,20140600
2014-04-25,3087.0,20140900,3095.0,20140600
2014-04-28,3100.0,20140900,3102.0,20140600
2014-04-29,3145.0,20140900,,20140600
2014-04-30,3149.0,20140900,3155.0,20140600
2014-05-02,3126.0,20140900,3133.0,20140600
2014-05-05,3132.0,20140900,3138.0,20140600
2014-05-06,3103.0,20140900,3107.0,20140600
2014-05-07,3124.0,20140900,3130.0,20140600
2014-05-08,3151.0,20140900,3158.0,20140600
2014-05-09,3151.0,20140900,3159.0,20140600
2014-05-12,3178.0,20140900,3185.0,20140600
2014-05-13,3185.0,20140900,3189.0,20140600
2014-05-14,3179.0,20140900,3181.0,20140600
2014-05-15,3144.0,20140900,3149.0,20140600
2014-05-16,3153.0,20140900,3159.0,20140600
2014-05-19,3149.0,20140900,3156.0,20140600
2014-05-20,3135.0,20140900,3148.0,20140600
2014-05-21,3174.0,20140900,3178.0,20140600
2014-05-22,3171.0,20140900,3178.0,20140600
2014-05-23,3192.0,20140900,3198.0,20140600
2014-05-26,3223.0,20140900,3229.0,20140600
2014-05-27,3232.0,20140900,3241.5,20140600
2014-05-28,3232.0,20140900,3237.0,20140600
2014-05-29,3238.0,20140900,3244.0,20140600
2014-05-30,3235.0,20140900,3245.5,20140600
2014-06-02,3245.0,20140900,3253.0,20140600
2014-06-03,3235.0,20140900,3237.0,20140600
2014-06-04,3233.0,20140900,3220.0,20140600
2014-06-05,3269.0,20140900,3273.0,20140600
2014-06-06,3299.0,20140900,3303.0,20140600
2014-06-09,3308.0,20140900,3312.0,20140600
2014-06-10,3310.0,20140900,3315.0,20140600
2014-06-11,3283.0,20140900,3287.0,20140600
2014-06-12,3266.0,20141200,3280.0,20140900
2014-06-13,3265.0,20141200,3280.0,20140900
2014-06-16,3246.0,20141200,3261.0,20140900
2014-06-17,3260.0,20141200,3269.0,20140900
2014-06-18,3284.0,20141200,3300.0,20140900
2014-06-19,3296.0,20141200,3315.0,20140900
2014-06-20,3282.0,20141200,3294.0,20140900
2014-06-23,3263.0,20141200,3285.0,20140900
2014-06-24,3269.0,20141200,3284.5,20140900
2014-06-25,3236.0,20141200,3259.0,20140900
2014-06-26,3229.0,20141200,3244.0,20140900
2014-06-27,3221.0,20141200,3235.0,20140900
2014-06-30,3209.0,20141200,3227.0,20140900
2014-07-01,3241.0,20141200,3254.0,20140900
2014-07-02,3237.0,20141200,3250.0,20140900
2014-07-03,3274.0,20141200,3265.5,20140900
2014-07-04,3258.0,20141200,3275.0,20140900
2014-07-07,3218.0,20141200,3235.0,20140900
2014-07-08,3176.0,20141200,3187.0,20140900
2014-07-09,3194.0,20141200,3208.0,20140900
2014-07-10,3148.0,20141200,3161.0,20140900
2014-07-11,3149.0,20141200,3161.0,20140900
2014-07-14,3166.0,20141200,3178.0,20140900
2014-07-15,3153.0,20141200,3163.0,20140900
2014-07-16,3187.0,20141200,3203.0,20140900
2014-07-17,3121.0,20141200,3136.0,20140900
2014-07-18,3162.0,20141200,3173.0,20140900
2014-07-21,3133.0,20141200,3147.0,20140900
2014-07-22,3173.0,20141200,3181.0,20140900
2014-07-23,3181.0,20141200,3192.0,20140900
2014-07-24,3203.0,20141200,3216.0,20140900
2014-07-25,3160.0,20141200,3175.5,20140900
2014-07-28,3166.0,20141200,3177.0,20140900
2014-07-29,3176.0,20141200,3191.5,20140900
2014-07-30,3159.0,20141200,3175.5,20140900
2014-07-31,3106.0,20141200,3140.5,20140900
2014-08-01,3061.0,20141200,,20140900
2014-08-04,3060.0,20141200,,20140900
2014-08-05,3060.0,20141200,,20140900
2014-08-06,3032.0,20141200,3043.0,20140900
