index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1977-02-01,40.9,19770400,41.85,19770500
1977-02-02,41.7,19770400,42.625,19770500
1977-02-03,40.35,19770400,41.225,19770500
1977-02-04,40.95,19770400,41.65,19770500
1977-02-07,40.725,19770400,41.6,19770500
1977-02-08,40.8,19770400,41.7,19770500
1977-02-09,40.7,19770400,41.5,19770500
1977-02-10,40.75,19770400,41.5,19770500
1977-02-11,40.75,19770400,41.4,19770500
1977-02-14,40.575,19770400,41.325,19770500
1977-02-15,40.7,19770400,41.375,19770500
1977-02-16,40.65,19770400,41.4,19770500
1977-02-17,40.475,19770400,41.225,19770500
1977-02-18,40.5,19770400,40.8,19770500
1977-02-22,40.45,19770400,40.9,19770500
1977-02-23,39.75,19770400,40.3,19770500
1977-02-24,39.35,19770400,39.65,19770500
1977-02-25,38.6,19770400,39.325,19770500
1977-02-28,38.9,19770400,39.8,19770500
1977-03-01,39.275,19770400,40.35,19770500
1977-03-02,39.525,19770400,40.4,19770500
1977-03-03,39.6,19770400,40.425,19770500
1977-03-04,40.375,19770400,41.15,19770500
1977-03-07,40.0,19770400,40.7,19770500
1977-03-08,39.95,19770400,40.675,19770500
1977-03-09,40.3,19770400,41.2,19770500
1977-03-10,40.4,19770400,41.275,19770500
1977-03-11,40.9,19770400,41.825,19770500
1977-03-14,41.075,19770400,42.05,19770500
1977-03-15,41.25,19770400,42.325,19770500
1977-03-16,41.55,19770400,42.625,19770500
1977-03-17,41.45,19770400,42.35,19770500
1977-03-18,41.6,19770400,42.475,19770500
1977-03-21,41.8,19770400,42.6,19770500
1977-03-22,41.85,19770400,42.45,19770500
1977-03-23,41.3,19770400,41.8,19770500
1977-03-24,41.525,19770400,41.9,19770500
1977-03-25,41.275,19770400,41.75,19770500
1977-03-28,41.225,19770400,41.75,19770500
1977-03-29,41.325,19770400,42.05,19770500
1977-03-30,41.3,19770400,42.425,19770500
1977-03-31,41.3,19770400,42.475,19770500
1977-04-01,41.05,19770400,42.1,19770500
1977-04-04,41.15,19770400,42.275,19770500
1977-04-05,41.35,19770400,42.825,19770500
1977-04-06,41.6,19770400,43.025,19770500
1977-04-07,42.4,19770400,43.625,19770500
1977-04-11,42.95,19770400,43.775,19770500
1977-04-12,42.775,19770400,43.5,19770500
1977-04-13,44.0,19770400,44.3,19770500
1977-04-14,43.9,19770400,44.3,19770500
1977-04-15,44.475,19770400,44.9,19770500
1977-04-18,44.9,19770400,44.9,19770500
1977-04-19,45.0,19770400,44.8,19770500
1977-04-20,45.0,19770400,44.525,19770500
1977-04-21,,19770400,45.225,19770500
1977-04-22,,19770400,45.275,19770500
1977-04-25,,19770400,45.325,19770500
1977-04-26,,19770400,45.125,19770500
1977-04-27,,19770400,44.4,19770500
1977-04-28,,19770400,43.65,19770500
1977-04-29,,19770400,43.875,19770500
1977-05-02,,19770400,44.0,19770500
1977-05-03,,19770400,43.15,19770500
1977-05-04,43.0,19770500,44.05,19770800
1977-05-05,43.075,19770500,44.6,19770800
1977-05-06,42.5,19770500,44.05,19770800
1977-05-09,41.9,19770500,43.15,19770800
1977-05-10,42.1,19770500,43.5,19770800
1977-05-11,42.0,19770500,43.25,19770800
1977-05-12,41.3,19770500,43.1,19770800
1977-05-13,41.625,19770500,43.4,19770800
1977-05-16,41.7,19770500,42.95,19770800
1977-05-17,41.825,19770500,42.625,19770800
1977-05-18,41.675,19770500,42.2,19770800
1977-05-19,41.8,19770500,42.075,19770800
1977-05-20,41.675,19770500,41.6,19770800
1977-05-23,,19770500,41.9,19770800
1977-05-24,,19770500,42.0,19770800
1977-05-25,,19770500,42.325,19770800
1977-05-26,,19770500,42.925,19770800
1977-05-27,,19770500,43.15,19770800
1977-05-31,,19770500,42.85,19770800
1977-06-01,,19770500,42.5,19770800
1977-06-02,,19770500,42.775,19770800
1977-06-03,42.75,19770800,42.61,19770900
1977-06-06,41.25,19770800,41.55,19770900
1977-06-07,40.375,19770800,40.7,19770900
1977-06-08,40.35,19770800,40.65,19770900
1977-06-09,39.975,19770800,39.85,19770900
1977-06-10,39.8,19770800,39.65,19770900
1977-06-13,38.65,19770800,39.1,19770900
1977-06-14,39.35,19770800,39.5,19770900
1977-06-15,39.5,19770800,39.85,19770900
1977-06-16,39.525,19770800,39.95,19770900
1977-06-17,39.95,19770800,40.325,19770900
1977-06-20,41.0,19770800,41.325,19770900
1977-06-21,40.75,19770800,41.5,19770900
1977-06-22,41.3,19770800,41.4,19770900
1977-06-23,41.65,19770800,41.65,19770900
1977-06-24,42.0,19770800,42.1,19770900
1977-06-27,42.2,19770800,42.0,19770900
1977-06-28,41.5,19770800,41.3,19770900
1977-06-29,41.8,19770800,41.35,19770900
1977-06-30,42.1,19770800,41.575,19770900
1977-07-01,42.675,19770800,42.35,19770900
1977-07-05,41.975,19770800,42.0,19770900
1977-07-06,41.6,19770900,41.55,19771000
1977-07-07,41.4,19770900,41.5,19771000
1977-07-08,41.4,19770900,41.525,19771000
1977-07-11,41.6,19770900,42.05,19771000
1977-07-12,41.225,19770900,41.675,19771000
1977-07-13,41.9,19770900,42.125,19771000
1977-07-15,41.25,19770900,41.5,19771000
1977-07-18,41.35,19770900,41.65,19771000
1977-07-19,40.8,19770900,41.05,19771000
1977-07-20,40.85,19770900,41.35,19771000
1977-07-21,41.1,19770900,41.275,19771000
1977-07-22,41.65,19770900,41.75,19771000
1977-07-25,41.95,19770900,42.0,19771000
1977-07-26,40.85,19770900,40.975,19771000
1977-07-27,41.15,19770900,41.4,19771000
1977-07-28,40.9,19770900,41.1,19771000
1977-07-29,40.9,19770900,41.0,19771000
1977-08-01,40.0,19770900,40.2,19771000
1977-08-02,40.1,19770900,40.375,19771000
1977-08-03,40.375,19771000,40.975,19771100
1977-08-04,40.7,19771000,40.775,19771100
1977-08-05,40.525,19771000,40.85,19771100
1977-08-08,40.7,19771000,41.15,19771100
1977-08-09,40.6,19771000,40.9,19771100
1977-08-10,40.75,19771000,41.25,19771100
1977-08-11,40.725,19771000,41.0,19771100
1977-08-12,40.6,19771000,40.8,19771100
1977-08-15,39.875,19771000,40.125,19771100
1977-08-16,40.125,19771000,40.2,19771100
1977-08-17,40.45,19771000,40.65,19771100
1977-08-18,40.8,19771000,41.0,19771100
1977-08-19,41.075,19771000,41.25,19771100
1977-08-22,40.625,19771000,40.85,19771100
1977-08-23,40.775,19771000,41.125,19771100
1977-08-24,40.8,19771000,41.1,19771100
1977-08-25,41.2,19771000,41.45,19771100
1977-08-26,41.41,19771000,41.6,19771100
1977-08-29,41.425,19771000,41.5,19771100
1977-08-30,41.675,19771000,41.8,19771100
1977-08-31,41.45,19771000,41.575,19771100
1977-09-01,41.025,19771000,41.175,19771100
1977-09-02,41.275,19771000,41.4,19771100
1977-09-06,41.25,19771000,41.475,19771100
1977-09-07,41.1,19771000,41.4,19771100
1977-09-08,40.8,19771000,41.18,19771100
1977-09-09,40.45,19771000,40.925,19771100
1977-09-12,40.35,19771000,40.95,19771100
1977-09-13,40.41,19771000,40.85,19771100
1977-09-14,40.575,19771000,40.975,19771100
1977-09-15,40.8,19771000,41.25,19771100
1977-09-16,40.875,19771000,41.2,19771100
1977-09-19,41.0,19771000,41.325,19771100
1977-09-20,40.725,19771000,41.175,19771100
1977-09-21,40.6,19771000,41.175,19771100
1977-09-22,40.775,19771000,41.375,19771100
1977-09-23,40.925,19771000,41.6,19771100
1977-09-26,41.1,19771000,41.7,19771100
1977-09-27,41.2,19771000,41.85,19771100
1977-09-28,41.2,19771000,41.9,19771100
1977-09-29,40.675,19771000,41.6,19771100
1977-09-30,40.3,19771000,41.525,19771100
1977-10-03,40.725,19771000,41.55,19771100
1977-10-04,41.35,19771100,41.9,19780100
1977-10-05,41.4,19771100,41.9,19780100
1977-10-06,41.3,19771100,41.9,19780100
1977-10-07,41.4,19771100,41.9,19780100
1977-10-10,41.55,19771100,41.95,19780100
1977-10-11,41.5,19771100,41.95,19780100
1977-10-12,41.4,19771100,41.9,19780100
1977-10-13,41.15,19771100,41.8,19780100
1977-10-14,41.125,19771100,41.55,19780100
1977-10-17,41.05,19771100,41.275,19780100
1977-10-18,40.85,19771100,40.9,19780100
1977-10-19,40.7,19771100,,19780100
1977-10-20,40.9,19771100,41.2,19780100
1977-10-21,41.5,19771100,41.9,19780100
1977-10-24,41.675,19771100,42.45,19780100
1977-10-25,41.325,19771100,42.1,19780100
1977-10-26,41.325,19771100,42.1,19780100
1977-10-27,41.225,19771100,42.1,19780100
1977-10-28,40.925,19771100,41.9,19780100
1977-10-31,40.525,19771100,41.675,19780100
1977-11-01,40.675,19771100,41.675,19780100
1977-11-02,40.6,19771100,41.375,19780100
1977-11-03,40.65,19771100,41.425,19780100
1977-11-04,40.55,19771100,41.5,19780100
1977-11-07,40.45,19771100,41.4,19780100
1977-11-08,40.45,19771100,41.3,19780100
1977-11-09,40.6,19771100,41.25,19780100
1977-11-10,40.75,19771100,41.05,19780100
1977-11-11,41.0,19771100,42.2,19780100
1977-11-14,41.0,19771100,42.0,19780100
1977-11-15,40.875,19771100,41.8,19780100
1977-11-16,41.15,19771100,42.2,19780100
1977-11-17,41.25,19771100,42.1,19780100
1977-11-18,41.15,19771100,42.2,19780100
1977-11-21,,19771100,42.4,19780100
1977-11-22,,19771100,42.2,19780100
1977-11-23,,19771100,42.4,19780100
1977-11-25,,19771100,42.6,19780100
1977-11-28,,19771100,42.5,19780100
1977-11-29,,19771100,42.975,19780100
1977-11-30,,19771100,43.3,19780100
1977-12-01,,19771100,43.0,19780100
1977-12-02,43.75,19780100,43.925,19780300
1977-12-05,44.15,19780100,44.15,19780300
1977-12-06,43.75,19780100,43.825,19780300
1977-12-07,43.6,19780100,43.8,19780300
1977-12-08,43.75,19780100,43.95,19780300
1977-12-09,43.75,19780100,43.9,19780300
1977-12-12,43.7,19780100,43.83,19780300
1977-12-13,44.2,19780100,44.375,19780300
1977-12-14,44.05,19780100,44.35,19780300
1977-12-15,43.9,19780100,44.3,19780300
