index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2011-03-08,9830.0,20110500,9880.0,20110400
2011-03-09,9850.0,20110500,9890.0,20110400
2011-03-10,9620.0,20110500,9655.0,20110400
2011-03-11,9510.0,20110500,9550.0,20110400
2011-03-14,9545.0,20110500,9590.0,20110400
2011-03-15,9335.0,20110500,9385.0,20110400
2011-03-16,9515.0,20110500,9545.0,20110400
2011-03-17,9370.0,20110500,9440.0,20110400
2011-03-18,9430.0,20110500,9460.0,20110400
2011-03-21,9385.0,20110500,9470.0,20110400
2011-03-22,9525.0,20110500,9545.0,20110400
2011-03-23,9530.0,20110500,9590.0,20110400
2011-03-24,9560.0,20110500,9590.0,20110400
2011-03-25,9615.0,20110500,9665.0,20110400
2011-03-28,9625.0,20110500,9675.0,20110400
2011-03-29,9615.0,20110500,9715.0,20110400
2011-03-30,9655.0,20110500,9710.0,20110400
2011-03-31,9630.0,20110500,9635.0,20110400
2011-04-01,9760.0,20110500,9760.0,20110400
2011-04-06,9975.0,20110500,9975.0,20110400
2011-04-07,9990.0,20110600,10005.0,20110500
2011-04-08,10060.0,20110600,10045.0,20110500
2011-04-11,10005.0,20110600,10030.0,20110500
2011-04-12,9930.0,20110600,9935.0,20110500
2011-04-13,10060.0,20110600,10150.0,20110500
2011-04-14,10030.0,20110600,10095.0,20110500
2011-04-15,10030.0,20110600,10115.0,20110500
2011-04-18,10030.0,20110600,10085.0,20110500
2011-04-19,9815.0,20110600,9920.0,20110500
2011-04-20,9845.0,20110600,9910.0,20110500
2011-04-21,9960.0,20110600,9970.0,20110500
2011-04-22,9795.0,20110600,9895.0,20110500
2011-04-25,9710.0,20110600,9830.0,20110500
2011-04-26,9680.0,20110600,9745.0,20110500
2011-04-27,9655.0,20110600,9735.0,20110500
2011-04-28,9625.0,20110600,9685.0,20110500
2011-04-29,9660.0,20110600,9700.0,20110500
2011-05-03,9700.0,20110600,9720.0,20110500
2011-05-04,9420.0,20110600,9415.0,20110500
2011-05-05,9450.0,20110600,9445.0,20110500
2011-05-06,9400.0,20110600,9425.0,20110500
2011-05-09,9350.0,20110700,9420.0,20110600
2011-05-10,9400.0,20110700,9450.0,20110600
2011-05-11,9380.0,20110700,9455.0,20110600
2011-05-12,9230.0,20110700,9315.0,20110600
2011-05-13,9360.0,20110700,9405.0,20110600
2011-05-16,9255.0,20110700,9315.0,20110600
2011-05-17,9280.0,20110700,9350.0,20110600
2011-05-18,9340.0,20110700,9445.0,20110600
2011-05-19,9345.0,20110700,9425.0,20110600
2011-05-20,9340.0,20110700,9405.0,20110600
2011-05-23,9085.0,20110700,9160.0,20110600
2011-05-24,9070.0,20110700,9135.0,20110600
2011-05-25,8980.0,20110700,9050.0,20110600
2011-05-26,9000.0,20110700,9065.0,20110600
