index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2020-12-29,,20210200,20247.5,20210100
2020-12-30,,20210200,20750.0,20210100
2020-12-31,20890.0,20210200,20955.0,20210100
2021-01-21,20890.0,20210300,23400.0,20210200
2021-01-22,20890.0,20210300,23170.0,20210200
2021-01-26,20890.0,20210300,23275.0,20210200
2021-01-27,20890.0,20210300,23035.0,20210200
2021-01-28,20890.0,20210300,22260.0,20210200
2021-01-29,20890.0,20210300,22127.5,20210200
2021-02-01,20890.0,20210300,22660.0,20210200
2021-02-02,20890.0,20210300,23082.5,20210200
2021-02-03,23000.0,20210300,23267.5,20210200
2021-02-22,23000.0,20210400,23377.5,20210300
2021-02-23,23000.0,20210400,23205.0,20210300
2021-02-24,23000.0,20210400,22495.0,20210300
2021-02-25,23000.0,20210400,22895.0,20210300
2021-02-26,23000.0,20210400,21800.0,20210300
2021-02-27,23000.0,20210400,21967.5,20210300
2021-03-01,23000.0,20210400,22375.0,20210300
2021-03-02,23000.0,20210400,22177.5,20210300
2021-03-03,23000.0,20210400,22795.0,20210300
2021-03-04,23000.0,20210400,21950.0,20210300
2021-03-05,23000.0,20210400,21912.5,20210300
2021-03-06,23000.0,20210400,21897.5,20210300
2021-03-08,23000.0,20210400,21120.0,20210300
2021-03-09,23000.0,20210400,20990.0,20210300
2021-03-10,23000.0,20210400,21360.0,20210300
2021-03-11,23000.0,20210400,21935.0,20210300
2021-03-12,23000.0,20210400,21560.0,20210300
2021-03-13,23000.0,20210400,20645.0,20210300
2021-03-15,23000.0,20210400,21310.0,20210300
2021-03-16,23000.0,20210400,21557.5,20210300
2021-03-17,23000.0,20210400,21520.0,20210300
2021-03-18,23000.0,20210400,21762.5,20210300
2021-03-19,23000.0,20210400,21267.5,20210300
2021-03-20,23000.0,20210400,21472.5,20210300
2021-03-22,23000.0,20210400,21395.0,20210300
2021-03-23,23000.0,20210400,20937.5,20210300
2021-03-24,20560.0,20210400,20502.5,20210300
2021-03-25,20560.0,20210500,20090.0,20210400
2021-03-26,20560.0,20210500,20675.0,20210400
2021-03-27,20560.0,20210500,20727.5,20210400
2021-03-29,20560.0,20210500,20580.0,20210400
2021-03-30,20560.0,20210500,20722.5,20210400
2021-03-31,20560.0,20210500,20685.0,20210400
2021-04-01,20560.0,20210500,21332.5,20210400
2021-04-02,20560.0,20210500,21310.0,20210400
2021-04-05,20560.0,20210500,21390.0,20210400
2021-04-07,20560.0,20210500,20967.5,20210400
2021-04-08,20560.0,20210500,21182.5,20210400
2021-04-09,20560.0,20210500,20800.0,20210400
2021-04-10,20560.0,20210500,20835.0,20210400
2021-04-12,20560.0,20210500,20745.0,20210400
2021-04-13,20560.0,20210500,20655.0,20210400
2021-04-14,20560.0,20210500,21042.5,20210400
2021-04-15,20560.0,20210500,20785.0,20210400
2021-04-16,20560.0,20210500,21070.0,20210400
2021-04-17,20560.0,20210500,21007.5,20210400
2021-04-19,20560.0,20210500,21190.0,20210400
2021-04-20,20560.0,20210500,21140.0,20210400
2021-04-21,20560.0,20210500,20780.0,20210400
2021-04-22,20560.0,20210500,20900.0,20210400
2021-04-23,20560.0,20210500,21230.0,20210400
2021-04-24,20560.0,20210500,21270.0,20210400
2021-04-26,20985.0,20210500,21060.0,20210400
2021-04-27,20985.0,20210600,20967.5,20210500
2021-04-28,20985.0,20210600,21052.5,20210500
2021-04-29,20985.0,20210600,21180.0,20210500
2021-04-30,20985.0,20210600,20670.0,20210500
2021-05-01,20985.0,20210600,20665.0,20210500
2021-05-03,20985.0,20210600,20500.0,20210500
2021-05-04,20985.0,20210600,20582.5,20210500
2021-05-05,20985.0,20210600,20455.0,20210500
2021-05-06,20985.0,20210600,20455.0,20210500
2021-05-07,20985.0,20210600,20415.0,20210500
2021-05-10,20985.0,20210600,20262.5,20210500
2021-05-11,20985.0,20210600,19817.5,20210500
2021-05-12,20985.0,20210600,20070.0,20210500
2021-05-13,20985.0,20210600,19630.0,20210500
2021-05-14,20985.0,20210600,19632.5,20210500
2021-05-15,20985.0,20210600,19630.0,20210500
2021-05-17,20985.0,20210600,19870.0,20210500
2021-05-18,20985.0,20210600,20075.0,20210500
2021-05-19,20985.0,20210600,20107.5,20210500
2021-05-20,20985.0,20210600,20207.5,20210500
2021-05-21,20152.5,20210600,20335.0,20210500
2021-05-24,20152.5,20210700,19992.5,20210600
2021-05-25,20152.5,20210700,20425.0,20210600
2021-05-26,20152.5,20210700,20602.5,20210600
2021-05-27,20152.5,20210700,20465.0,20210600
2021-05-28,20152.5,20210700,20402.5,20210600
2021-05-29,20152.5,20210700,20390.0,20210600
2021-05-31,20152.5,20210700,20770.0,20210600
2021-06-01,20152.5,20210700,21082.5,20210600
2021-06-02,20152.5,20210700,20967.5,20210600
2021-06-03,20152.5,20210700,20685.0,20210600
2021-06-04,20152.5,20210700,20622.5,20210600
2021-06-07,20152.5,20210700,20467.5,20210600
2021-06-08,20152.5,20210700,20437.5,20210600
2021-06-09,20152.5,20210700,20425.0,20210600
2021-06-10,20152.5,20210700,20462.5,20210600
2021-06-11,20152.5,20210700,20555.0,20210600
2021-06-12,20152.5,20210700,20517.5,20210600
2021-06-15,20152.5,20210700,20365.0,20210600
2021-06-16,20152.5,20210700,20140.0,20210600
2021-06-17,20152.5,20210700,20137.5,20210600
2021-06-18,20152.5,20210700,20410.0,20210600
2021-06-19,20152.5,20210700,20317.5,20210600
2021-06-21,20152.5,20210700,20210.0,20210600
2021-06-22,20152.5,20210700,20060.0,20210600
2021-06-23,20152.5,20210700,20400.0,20210600
2021-06-24,20380.0,20210700,20510.0,20210600
2021-06-25,20380.0,20210800,20785.0,20210700
2021-06-28,20380.0,20210800,20802.5,20210700
2021-06-29,20380.0,20210800,20607.5,20210700
2021-06-30,20380.0,20210800,20487.5,20210700
2021-07-02,20380.0,20210800,20007.5,20210700
2021-07-05,20380.0,20210800,19777.5,20210700
2021-07-06,20380.0,20210800,19755.0,20210700
2021-07-07,20380.0,20210800,19685.0,20210700
2021-07-08,20380.0,20210800,18990.0,20210700
2021-07-09,20380.0,20210800,19210.0,20210700
2021-07-10,20380.0,20210800,19445.0,20210700
2021-07-12,19402.5,20210800,19400.0,20210700
2021-07-13,19402.5,20210900,19620.0,20210800
2021-07-14,19402.5,20210900,19617.5,20210800
2021-07-15,19402.5,20210900,19862.5,20210800
2021-07-16,19402.5,20210900,19912.5,20210800
2021-07-20,19402.5,20210900,19215.0,20210800
2021-07-21,19402.5,20210900,22445.0,20210800
2021-07-22,19402.5,20210900,19455.0,20210800
2021-07-23,19397.5,20210900,19335.0,20210800
2021-07-24,19397.5,20210900,18907.5,20210800
2021-07-26,19397.5,20210900,18127.5,20210800
2021-07-27,19397.5,20210900,16897.5,20210800
2021-07-28,19397.5,20210900,17410.0,20210800
2021-07-29,19397.5,20210900,18330.0,20210800
2021-07-30,19397.5,20210900,17910.0,20210800
2021-07-31,19397.5,20210900,18052.5,20210800
2021-08-02,19397.5,20210900,18137.5,20210800
2021-08-03,19397.5,20210900,18055.0,20210800
2021-08-04,19397.5,20210900,18310.0,20210800
2021-08-05,19397.5,20210900,18087.5,20210800
2021-08-06,19397.5,20210900,18042.5,20210800
2021-08-07,19397.5,20210900,17902.5,20210800
2021-08-09,19397.5,20210900,18162.5,20210800
2021-08-10,19397.5,20210900,18557.5,20210800
2021-08-11,19397.5,20210900,18610.0,20210800
2021-08-12,19397.5,20210900,18465.0,20210800
2021-08-13,19397.5,20210900,18327.5,20210800
2021-08-14,19397.5,20210900,18257.5,20210800
2021-08-16,19397.5,20210900,18085.0,20210800
2021-08-17,19397.5,20210900,17585.0,20210800
2021-08-18,19397.5,20210900,17740.0,20210800
2021-08-19,19397.5,20210900,17317.5,20210800
2021-08-20,19397.5,20210900,16922.5,20210800
2021-08-21,19397.5,20210900,17155.0,20210800
2021-08-23,19397.5,20210900,17192.5,20210800
2021-08-24,17800.0,20210900,17832.5,20210800
2021-08-25,17800.0,20211000,17910.0,20210900
2021-08-26,17800.0,20211000,17645.0,20210900
2021-08-27,17800.0,20211000,17732.5,20210900
2021-08-28,17800.0,20211000,17747.5,20210900
2021-08-30,17800.0,20211000,17822.5,20210900
2021-08-31,17800.0,20211000,18140.0,20210900
2021-09-01,17800.0,20211000,18310.0,20210900
2021-09-02,17800.0,20211000,18427.5,20210900
2021-09-03,17800.0,20211000,18322.5,20210900
2021-09-04,17800.0,20211000,18297.5,20210900
2021-09-06,17800.0,20211000,18540.0,20210900
2021-09-07,17800.0,20211000,18690.0,20210900
2021-09-08,17800.0,20211000,18582.5,20210900
2021-09-09,17800.0,20211000,18425.0,20210900
2021-09-10,17800.0,20211000,18530.0,20210900
2021-09-13,17800.0,20211000,18372.5,20210900
2021-09-14,17800.0,20211000,18010.0,20210900
2021-09-15,17800.0,20211000,17702.5,20210900
2021-09-16,17262.5,20211000,17540.0,20210900
2021-09-17,17262.5,20211000,17667.5,20210900
2021-09-20,17262.5,20211000,17072.5,20210900
2021-09-21,16952.5,20211000,17180.0,20210900
