index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2020-11-09,1125.75,20210100,1133.25,20201200
2020-11-10,1124.5,20210100,1131.0,20201200
2020-11-11,1142.5,20210100,1148.0,20201200
2020-11-12,1141.25,20210100,1147.0,20201200
2020-11-13,1145.75,20210100,1151.75,20201200
2020-11-16,1164.25,20210100,1172.25,20201200
2020-11-17,1172.0,20210100,1178.5,20201200
2020-11-18,1185.5,20210100,1191.75,20201200
2020-11-19,1187.25,20210100,1192.75,20201200
2020-11-20,1187.5,20210100,1193.0,20201200
2020-11-23,1200.0,20210100,1205.5,20201200
2020-11-24,1194.5,20210100,1200.25,20201200
2020-11-25,1181.75,20210100,1187.75,20201200
2020-11-26,1193.75,20210100,1200.75,20201200
2020-11-27,1198.25,20210100,1204.75,20201200
2020-11-30,1183.0,20210100,1188.5,20201200
2020-12-01,1198.5,20210100,1203.75,20201200
2020-12-02,1208.25,20210100,1213.5,20201200
2020-12-03,1210.75,20210100,1216.25,20201200
2020-12-04,1222.0,20210100,1229.25,20201200
2020-12-07,1228.25,20210100,1235.25,20201200
2020-12-08,1229.5,20210200,1237.5,20210100
2020-12-09,1237.5,20210200,1245.0,20210100
2020-12-10,1225.25,20210200,1230.5,20210100
2020-12-11,1225.0,20210200,1232.75,20210100
2020-12-14,1220.5,20210200,1228.5,20210100
2020-12-15,1211.75,20210200,1219.25,20210100
2020-12-16,1228.5,20210200,1237.25,20210100
2020-12-17,1227.75,20210200,1236.0,20210100
2020-12-18,1224.25,20210200,1231.75,20210100
2020-12-21,1240.5,20210200,1247.75,20210100
2020-12-22,1220.0,20210200,1225.5,20210100
2020-12-23,1225.25,20210200,1230.25,20210100
2020-12-24,1235.75,20210200,1242.25,20210100
2020-12-25,1241.0,20210200,1247.25,20210100
2020-12-28,1248.75,20210200,1257.75,20210100
2020-12-29,1252.25,20210200,1260.0,20210100
2020-12-30,1269.0,20210200,1276.5,20210100
2020-12-31,1268.5,20210200,1275.75,20210100
2021-01-04,1286.25,20210200,1295.0,20210100
2021-01-05,1299.25,20210200,1306.5,20210100
2021-01-06,1294.75,20210200,1302.25,20210100
2021-01-07,1312.5,20210300,1322.75,20210200
2021-01-08,1332.0,20210300,1341.5,20210200
2021-01-11,1341.5,20210300,1350.5,20210200
2021-01-12,1338.75,20210300,1348.0,20210200
2021-01-13,1362.75,20210300,1372.0,20210200
2021-01-14,1363.0,20210300,1371.75,20210200
2021-01-15,1354.0,20210300,1362.0,20210200
2021-01-18,1352.75,20210300,1357.75,20210200
2021-01-19,1373.5,20210300,1378.5,20210200
2021-01-20,1362.75,20210300,1369.5,20210200
2021-01-21,1389.75,20210300,1397.25,20210200
2021-01-22,1389.75,20210300,1395.5,20210200
2021-01-25,1386.5,20210300,1393.5,20210200
2021-01-26,1362.25,20210300,1369.75,20210200
2021-01-27,1367.5,20210300,1375.0,20210200
2021-01-28,1343.0,20210300,1349.0,20210200
2021-01-29,1317.25,20210300,1322.75,20210200
2021-02-01,1339.75,20210300,1346.75,20210200
2021-02-02,1372.25,20210300,1378.25,20210200
2021-02-03,1374.25,20210300,1380.25,20210200
2021-02-04,1367.0,20210300,1373.5,20210200
2021-02-05,1376.5,20210300,1382.5,20210200
2021-02-08,1371.75,20210400,1378.25,20210300
2021-02-09,1382.25,20210400,1389.75,20210300
2021-02-10,1392.75,20210400,1399.25,20210300
2021-02-11,1400.0,20210400,1406.0,20210300
2021-02-12,1412.25,20210400,1418.25,20210300
2021-02-15,1421.5,20210400,1427.25,20210300
2021-02-16,1426.25,20210400,1432.0,20210300
2021-02-17,1421.0,20210400,1426.0,20210300
2021-02-18,1421.5,20210400,1425.75,20210300
2021-02-19,1414.75,20210400,1419.5,20210300
2021-02-22,1419.0,20210400,1425.0,20210300
2021-02-23,1424.25,20210400,1431.5,20210300
2021-02-24,1404.75,20210400,1413.5,20210300
2021-02-25,1424.75,20210400,1432.25,20210300
2021-02-26,1380.25,20210400,1385.5,20210300
2021-03-01,1395.0,20210400,1400.0,20210300
2021-03-02,1383.75,20210400,1389.5,20210300
2021-03-03,1407.25,20210400,1412.5,20210300
2021-03-04,1383.75,20210400,1389.0,20210300
2021-03-05,1379.5,20210400,1384.5,20210300
2021-03-08,1371.5,20210500,1376.0,20210400
2021-03-09,1372.25,20210500,1376.0,20210400
2021-03-10,1377.75,20210500,1381.5,20210400
2021-03-11,1402.75,20210500,1407.75,20210400
2021-03-12,1410.25,20210500,1415.0,20210400
2021-03-15,1406.75,20210500,1409.75,20210400
2021-03-16,1420.25,20210500,1423.5,20210400
2021-03-17,1412.0,20210500,1414.5,20210400
2021-03-18,1421.25,20210500,1423.75,20210400
2021-03-19,1400.75,20210500,1401.5,20210400
2021-03-22,1412.5,20210500,1416.0,20210400
2021-03-23,1411.5,20210500,1416.0,20210400
2021-03-24,1402.75,20210500,1406.25,20210400
2021-03-25,1410.0,20210500,1414.0,20210400
2021-03-26,1431.0,20210500,1435.5,20210400
2021-03-29,1442.0,20210500,1446.5,20210400
2021-03-30,1454.5,20210500,1458.0,20210400
2021-03-31,1444.25,20210500,1448.5,20210400
2021-04-01,1449.75,20210500,1454.5,20210400
2021-04-02,1465.25,20210500,1469.5,20210400
2021-04-05,1467.0,20210500,1471.5,20210400
2021-04-06,1462.25,20210500,1466.5,20210400
2021-04-07,1456.0,20210600,1466.25,20210500
2021-04-08,1470.5,20210600,1479.75,20210500
2021-04-09,1463.75,20210600,1472.5,20210500
2021-04-12,1464.75,20210600,1473.25,20210500
2021-04-13,1463.0,20210600,1471.5,20210500
2021-04-14,1466.75,20210600,1476.5,20210500
2021-04-15,1484.5,20210600,1494.25,20210500
2021-04-16,1494.75,20210600,1505.0,20210500
2021-04-19,1505.5,20210600,1516.25,20210500
2021-04-20,1511.25,20210600,1521.5,20210500
2021-04-21,1501.0,20210600,1511.0,20210500
2021-04-22,1497.75,20210600,1508.0,20210500
2021-04-23,1509.75,20210600,1520.0,20210500
2021-04-26,1535.25,20210600,1547.0,20210500
2021-04-27,1539.75,20210600,1552.25,20210500
2021-04-28,1540.0,20210600,1550.5,20210500
2021-04-29,1550.25,20210600,1559.75,20210500
2021-04-30,1538.25,20210600,1547.25,20210500
2021-05-03,1514.75,20210600,1524.5,20210500
2021-05-04,1487.25,20210600,1497.0,20210500
2021-05-05,1473.25,20210600,1482.5,20210500
2021-05-06,1490.5,20210600,1500.0,20210500
2021-05-07,1487.75,20210700,1518.5,20210600
2021-05-10,1477.5,20210700,1509.75,20210600
2021-05-11,1413.5,20210700,1445.5,20210600
2021-05-12,1343.0,20210700,1373.5,20210600
2021-05-13,1335.75,20210700,1366.75,20210600
2021-05-14,1352.0,20210700,1384.25,20210600
2021-05-17,1315.25,20210700,1344.5,20210600
2021-05-18,1392.25,20210700,1422.5,20210600
2021-05-19,1384.0,20210700,1415.25,20210600
2021-05-20,1380.0,20210700,1410.5,20210600
2021-05-21,1400.25,20210700,1434.0,20210600
2021-05-24,1405.25,20210700,1437.75,20210600
2021-05-25,1431.25,20210700,1465.75,20210600
2021-05-26,1429.75,20210700,1464.5,20210600
2021-05-27,1434.5,20210700,1457.5,20210600
2021-05-28,1470.75,20210700,1485.0,20210600
2021-05-31,1486.0,20210700,1498.0,20210600
2021-06-01,1496.25,20210700,1508.5,20210600
2021-06-02,1489.5,20210700,1502.25,20210600
2021-06-03,1498.25,20210700,1511.75,20210600
2021-06-04,1487.25,20210700,1500.5,20210600
2021-06-07,1488.25,20210700,1501.75,20210600
2021-06-08,1453.0,20210800,1487.5,20210700
2021-06-09,1444.5,20210800,1477.75,20210700
2021-06-10,1459.25,20210800,1493.0,20210700
2021-06-11,1462.25,20210800,1496.0,20210700
2021-06-14,1461.5,20210800,1496.0,20210700
2021-06-15,1471.75,20210800,1504.5,20210700
2021-06-16,1467.75,20210800,1501.25,20210700
2021-06-17,1471.25,20210800,1503.0,20210700
2021-06-18,1466.0,20210800,1498.5,20210700
2021-06-21,1437.0,20210800,1470.0,20210700
2021-06-22,1443.75,20210800,1472.25,20210700
2021-06-23,1465.5,20210800,1491.75,20210700
2021-06-24,1470.75,20210800,1500.25,20210700
2021-06-25,1477.75,20210800,1506.75,20210700
2021-06-28,1494.25,20210800,1512.5,20210700
2021-06-29,1493.5,20210800,1511.75,20210700
2021-06-30,1507.0,20210800,1525.25,20210700
2021-07-01,1502.5,20210800,1520.0,20210700
2021-07-02,1503.25,20210800,1520.75,20210700
2021-07-05,1524.75,20210800,1542.25,20210700
2021-07-06,1523.5,20210800,1541.5,20210700
2021-07-07,1512.5,20210900,1518.5,20210800
2021-07-08,1508.5,20210900,1517.5,20210800
2021-07-09,1493.0,20210900,1502.0,20210800
2021-07-12,1510.0,20210900,1515.75,20210800
2021-07-13,1519.5,20210900,1524.75,20210800
2021-07-14,1520.25,20210900,1525.0,20210800
2021-07-15,1530.25,20210900,1535.0,20210800
2021-07-16,1532.0,20210900,1536.75,20210800
2021-07-19,1513.0,20210900,1517.75,20210800
2021-07-20,1492.0,20210900,1498.25,20210800
2021-07-21,1487.5,20210900,1493.75,20210800
2021-07-22,1502.5,20210900,1508.75,20210800
2021-07-23,1502.0,20210900,1508.25,20210800
2021-07-26,1486.75,20210900,1492.75,20210800
2021-07-27,1485.0,20210900,1491.0,20210800
2021-07-28,1468.0,20210900,1474.0,20210800
2021-07-29,1498.5,20210900,1504.5,20210800
2021-07-30,1490.75,20210900,1494.25,20210800
2021-08-02,1512.75,20210900,1518.75,20210800
2021-08-03,1513.75,20210900,1520.0,20210800
2021-08-04,1525.5,20210900,1532.75,20210800
2021-08-05,1522.75,20210900,1530.5,20210800
2021-08-06,1515.5,20210900,1523.0,20210800
2021-08-09,1506.75,20211000,1510.75,20210900
2021-08-10,1497.5,20211000,1501.5,20210900
2021-08-11,1488.25,20211000,1492.0,20210900
2021-08-12,1485.75,20211000,1489.5,20210900
2021-08-13,1485.75,20211000,1489.5,20210900
2021-08-16,1451.25,20211000,1455.0,20210900
2021-08-17,1438.25,20211000,1442.0,20210900
2021-08-18,1454.75,20211000,1458.5,20210900
2021-08-19,1426.5,20211000,1430.25,20210900
2021-08-20,1412.5,20211000,1416.25,20210900
2021-08-23,1455.25,20211000,1459.0,20210900
2021-08-24,1462.5,20211000,1466.25,20210900
2021-08-25,1478.5,20211000,1482.25,20210900
2021-08-26,1478.25,20211000,1482.0,20210900
2021-08-27,1494.0,20211000,1497.75,20210900
2021-08-30,1511.5,20211000,1515.25,20210900
2021-08-31,1514.5,20211000,1518.25,20210900
2021-09-01,1522.75,20211000,1525.5,20210900
2021-09-02,1512.75,20211000,1515.5,20210900
2021-09-03,1529.25,20211000,1532.0,20210900
2021-09-06,1530.0,20211000,1532.25,20210900
2021-09-07,1520.5,20211000,1524.5,20210900
2021-09-08,1509.5,20211000,1502.25,20210900
2021-09-09,1514.25,20211000,1513.25,20210900
2021-09-10,1520.0,20211000,1521.75,20210900
2021-09-13,1530.0,20211000,1533.0,20210900
2021-09-14,1524.5,20211000,1527.25,20210900
2021-09-15,1524.5,20211000,1528.0,20210900
2021-09-16,1518.0,20211000,1522.0,20210900
2021-09-17,1507.5,20211000,1510.0,20210900
2021-09-20,1460.0,20211000,1466.5,20210900
2021-09-21,1471.5,20211000,1473.5,20210900
2021-09-22,1489.0,20211000,1491.75,20210900
2021-09-23,1508.75,20211000,1511.25,20210900
2021-09-24,1508.5,20211000,1510.75,20210900
2021-09-27,1513.5,20211100,1511.0,20211000
2021-09-28,1488.75,20211100,1480.75,20211000
2021-09-29,1469.5,20211100,1466.75,20211000
2021-09-30,1472.25,20211100,1469.0,20211000
2021-10-01,1455.0,20211100,1459.0,20211000
2021-10-04,1424.0,20211100,1425.25,20211000
2021-10-05,1440.0,20211100,1438.25,20211000
2021-10-06,1437.25,20211100,1439.75,20211000
2021-10-07,1466.75,20211100,1466.5,20211000
2021-10-08,1454.0,20211100,1458.5,20211000
2021-10-11,1456.25,20211100,1451.75,20211000
2021-10-12,1434.25,20211100,1435.75,20211000
2021-10-13,1430.25,20211100,1434.5,20211000
2021-10-14,1444.75,20211100,1450.0,20211000
2021-10-15,1465.75,20211100,1470.0,20211000
2021-10-18,1461.5,20211100,1464.25,20211000
2021-10-19,1476.5,20211100,1480.0,20211000
2021-10-20,1471.75,20211100,1475.0,20211000
2021-10-21,1467.0,20211100,1472.75,20211000
2021-10-22,1459.25,20211100,1461.0,20211000
2021-10-25,1475.25,20211200,1473.75,20211100
2021-10-26,1475.25,20211200,1479.0,20211100
2021-10-27,1475.25,20211200,1481.25,20211100
2021-10-28,1486.5,20211200,1489.75,20211100
2021-10-29,1467.5,20211200,1480.0,20211100
2021-11-01,1484.25,20211200,1490.25,20211100
2021-11-02,1488.0,20211200,1493.0,20211100
2021-11-03,1497.75,20211200,1498.5,20211100
2021-11-04,1491.75,20211200,1496.25,20211100
2021-11-05,1505.75,20211200,1508.0,20211100
2021-11-08,1526.75,20211200,1530.5,20211100
2021-11-09,1527.75,20211200,1531.5,20211100
2021-11-10,1517.0,20211200,1519.5,20211100
2021-11-11,1523.25,20211200,1527.5,20211100
2021-11-12,1534.5,20211200,1538.75,20211100
2021-11-15,1540.25,20211200,1545.5,20211100
2021-11-16,1543.75,20211200,1548.25,20211100
2021-11-17,1550.75,20211200,1553.25,20211100
2021-11-18,1568.0,20211200,1571.75,20211100
2021-11-19,1557.5,20211200,1558.0,20211100
2021-11-22,1554.25,20211200,1558.25,20211100
2021-11-23,1540.75,20211200,1542.25,20211100
2021-11-24,1543.75,20220100,1547.25,20211200
2021-11-25,1543.75,20220100,1545.25,20211200
2021-11-26,1543.75,20220100,1494.5,20211200
2021-11-29,1518.0,20220100,1519.5,20211200
2021-11-30,1505.75,20220100,1514.75,20211200
2021-12-01,1540.75,20220100,1535.0,20211200
2021-12-02,1551.0,20220100,1554.75,20211200
2021-12-03,1540.25,20220100,1544.5,20211200
2021-12-06,1551.0,20220100,1555.25,20211200
2021-12-07,1570.75,20220100,1575.75,20211200
2021-12-08,1570.25,20220100,1573.75,20211200
2021-12-09,1567.5,20220100,1567.5,20211200
2021-12-10,1566.25,20220100,1567.75,20211200
2021-12-13,1546.0,20220100,1547.25,20211200
2021-12-14,1537.75,20220100,1541.25,20211200
2021-12-15,1556.0,20220100,1563.0,20211200
2021-12-16,1552.5,20220100,1555.25,20211200
2021-12-17,1561.0,20220100,1560.75,20211200
2021-12-20,1545.0,20220200,1547.0,20220100
2021-12-21,1551.25,20220200,1566.75,20220100
2021-12-22,1562.25,20220200,1577.25,20220100
2021-12-23,1571.5,20220200,1580.25,20220100
2021-12-24,1571.5,20220200,1582.25,20220100
2021-12-27,1584.0,20220200,1595.25,20220100
2021-12-28,1584.0,20220200,1601.25,20220100
2021-12-29,1603.5,20220200,1609.0,20220100
2021-12-30,1599.0,20220200,1607.25,20220100
2021-12-31,1599.0,20220200,1603.0,20220100
2022-01-03,1600.25,20220200,1609.75,20220100
2022-01-04,1623.75,20220200,1622.0,20220100
2022-01-05,1609.5,20220200,1611.5,20220100
2022-01-06,1613.5,20220200,1613.5,20220100
2022-01-07,1585.0,20220200,1590.75,20220100
2022-01-10,1587.0,20220200,1594.75,20220100
2022-01-11,1610.0,20220200,1615.0,20220100
2022-01-12,1615.0,20220200,1617.25,20220100
2022-01-13,1621.25,20220200,1624.5,20220100
2022-01-14,1603.75,20220200,1607.0,20220100
2022-01-15,1611.25,20220200,1616.5,20220100
2022-01-17,1615.25,20220200,1617.25,20220100
2022-01-18,1598.75,20220200,1601.0,20220100
2022-01-19,1581.5,20220300,1586.5,20220200
2022-01-20,1581.5,20220300,1579.25,20220200
2022-01-21,1562.0,20220300,1565.5,20220200
2022-01-22,1562.0,20220300,1548.0,20220200
2022-01-24,1557.25,20220300,1562.75,20220200
2022-01-25,1538.0,20220300,1540.25,20220200
2022-01-26,1537.0,20220300,1530.25,20220200
2022-01-27,1506.0,20220300,1504.75,20220200
2022-01-28,1487.0,20220300,1491.5,20220200
2022-01-31,1543.5,20220300,1560.5,20220200
2022-02-01,1554.0,20220300,1570.0,20220200
2022-02-02,1568.5,20220300,1571.75,20220200
2022-02-03,1548.5,20220300,1558.0,20220200
2022-02-04,1557.5,20220300,1555.75,20220200
2022-02-07,1560.0,20220300,1566.25,20220200
2022-02-08,1575.75,20220300,1583.0,20220200
2022-02-09,1599.25,20220300,1604.0,20220200
2022-02-10,1593.25,20220300,1597.5,20220200
2022-02-11,1597.75,20220400,1581.5,20220300
2022-02-14,1597.75,20220400,1563.75,20220300
2022-02-15,1597.75,20220400,1588.0,20220300
2022-02-16,1597.75,20220400,1597.25,20220300
2022-02-17,1584.25,20220400,1580.0,20220300
