index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2006-12-26,6.332999999999998,20070200,6.417999999999998,20070300
2006-12-27,6.142,20070200,6.2570000000000014,20070300
2006-12-28,6.247999999999998,20070200,6.392,20070300
2006-12-29,6.299,20070200,6.502999999999999,20070300
2007-01-03,6.162999999999999,20070200,6.325,20070300
2007-01-04,6.162000000000001,20070200,6.33,20070300
2007-01-05,6.184,20070200,6.347,20070300
2007-01-08,6.377999999999999,20070200,6.547999999999999,20070300
2007-01-09,6.631,20070200,6.744,20070300
2007-01-10,6.755000999999999,20070200,6.831,20070300
2007-01-11,6.292000000000002,20070200,6.397,20070300
2007-01-12,6.601,20070200,6.698,20070300
2007-01-16,6.638,20070200,6.686,20070300
2007-01-17,6.234,20070200,6.31,20070300
2007-01-18,6.324,20070200,6.3610000000000015,20070300
2007-01-19,6.886,20070200,6.92,20070300
2007-01-22,7.311,20070300,7.336,20070400
2007-01-23,7.562,20070300,7.492000000000001,20070400
2007-01-24,7.379,20070300,7.319,20070400
2007-01-25,6.91,20070300,6.95,20070400
2007-01-26,7.158,20070300,7.198,20070400
2007-01-29,6.937,20070300,7.012001,20070400
2007-01-30,7.74,20070300,7.695,20070400
2007-01-31,7.667000000000002,20070300,7.655,20070400
2007-02-01,7.53,20070300,7.58,20070400
2007-02-02,7.476,20070300,7.521,20070400
2007-02-05,7.633999999999999,20070300,7.638,20070400
2007-02-06,7.616001,20070300,7.609,20070400
2007-02-07,7.709,20070300,7.702000000000001,20070400
2007-02-08,7.871,20070300,7.855,20070400
2007-02-09,7.827000000000001,20070300,7.8370000000000015,20070400
2007-02-12,7.226,20070300,7.329,20070400
2007-02-13,7.367000000000001,20070300,7.44,20070400
2007-02-14,7.241001,20070300,7.308,20070400
2007-02-15,7.292000000000002,20070300,7.34,20070400
2007-02-16,7.502999999999999,20070300,7.532999999999999,20070400
2007-02-20,7.585,20070300,7.617000000000001,20070400
2007-02-21,7.715,20070400,7.79,20070500
2007-02-22,7.803,20070400,7.880000999999999,20070500
2007-02-23,7.806,20070400,7.886,20070500
2007-02-26,7.7029999999999985,20070400,7.784,20070500
2007-02-27,7.532999999999999,20070400,7.6179999999999986,20070500
2007-02-28,7.3,20070400,7.405,20070500
2007-03-01,7.2879999999999985,20070400,7.405,20070500
2007-03-02,7.2429999999999986,20070400,7.369,20070500
2007-03-05,7.254,20070400,7.37,20070500
2007-03-06,7.472,20070400,7.587999999999999,20070500
2007-03-07,7.366001,20070400,7.491001,20070500
2007-03-08,7.239,20070400,7.372000000000001,20070500
2007-03-09,7.082999999999998,20070400,7.232,20070500
2007-03-12,6.912000000000001,20070400,7.055,20070500
2007-03-13,6.892,20070400,7.032,20070500
2007-03-14,7.082999999999998,20070400,7.189,20070500
2007-03-15,6.959,20070400,7.093,20070500
2007-03-16,6.924,20070400,7.046,20070500
2007-03-19,6.847,20070400,6.975,20070500
2007-03-20,6.91,20070400,7.02,20070500
2007-03-21,7.16,20070400,7.265,20070500
2007-03-22,7.32,20070400,7.435,20070500
2007-03-23,7.4060000000000015,20070500,7.557,20070600
2007-03-26,7.382999999999999,20070500,7.53,20070600
2007-03-27,7.615,20070500,7.752999999999999,20070600
2007-03-28,7.6720000000000015,20070500,7.813,20070600
2007-03-29,7.609,20070500,7.751,20070600
2007-03-30,7.73,20070500,7.87,20070600
2007-04-02,7.671,20070500,7.809,20070600
2007-04-03,7.426,20070500,7.564,20070600
2007-04-04,7.515,20070500,7.649,20070600
2007-04-05,7.607,20070500,7.747000000000001,20070600
2007-04-09,7.546,20070500,7.701,20070600
2007-04-10,7.869,20070500,8.014,20070600
2007-04-11,7.855,20070500,7.999,20070600
2007-04-12,7.923999999999999,20070500,8.062000000000001,20070600
2007-04-13,7.801,20070500,7.947999999999999,20070600
2007-04-16,7.53,20070500,7.669,20070600
2007-04-17,7.417999999999998,20070500,7.544,20070600
2007-04-18,7.497000000000001,20070500,7.631,20070600
2007-04-19,7.492000000000001,20070500,7.627000000000002,20070600
2007-04-20,7.381,20070500,7.5139999999999985,20070600
2007-04-23,7.562,20070500,7.687,20070600
2007-04-24,7.707999999999998,20070600,7.862999999999999,20070700
2007-04-25,7.7810000000000015,20070600,7.937,20070700
2007-04-26,7.602,20070600,7.7639999999999985,20070700
2007-04-27,7.831,20070600,7.979,20070700
2007-04-30,7.862999999999999,20070600,8.016001,20070700
2007-05-01,7.718,20070600,7.87,20070700
2007-05-02,7.73,20070600,7.87,20070700
2007-05-03,7.947,20070600,8.080001,20070700
2007-05-04,7.938,20070600,8.079,20070700
2007-05-07,7.779,20070600,7.944,20070700
2007-05-08,7.637001,20070600,7.798999999999999,20070700
2007-05-09,7.72,20070600,7.881,20070700
2007-05-10,7.726,20070600,7.877000000000002,20070700
2007-05-11,7.899,20070600,8.051001,20070700
2007-05-14,7.952000000000001,20070600,8.1,20070700
2007-05-15,7.864,20070600,8.022,20070700
2007-05-16,7.89,20070600,8.051001,20070700
2007-05-17,8.075,20070600,8.241,20070700
2007-05-18,7.944,20070600,8.134,20070700
2007-05-21,7.9129999999999985,20070600,8.091001,20070700
2007-05-22,7.801,20070600,7.984,20070700
2007-05-23,7.941,20070700,8.078,20070800
2007-05-24,7.85,20070700,7.987,20070800
2007-05-25,7.795,20070700,7.933,20070800
2007-05-29,7.731,20070700,7.8610000000000015,20070800
2007-05-30,7.941,20070700,8.062999999999999,20070800
2007-05-31,7.935,20070700,8.057,20070800
2007-06-01,7.877999999999999,20070700,8.011001,20070800
2007-06-04,8.191001,20070700,8.323001,20070800
2007-06-05,8.064,20070700,8.203,20070800
2007-06-06,8.080001,20070700,8.219000999999999,20070800
2007-06-07,7.825,20070700,7.965,20070800
2007-06-08,7.6629999999999985,20070700,7.802,20070800
2007-06-11,7.608,20070700,7.746,20070800
2007-06-12,7.682,20070700,7.822999999999999,20070800
2007-06-13,7.608,20070700,7.748000999999999,20070800
2007-06-14,7.808,20070700,7.942,20070800
2007-06-15,7.917999999999998,20070700,8.06,20070800
2007-06-18,7.69,20070700,7.8279999999999985,20070800
2007-06-19,7.5190009999999985,20070700,7.652,20070800
2007-06-20,7.391,20070700,7.5190009999999985,20070800
2007-06-21,7.348000999999999,20070700,7.482,20070800
2007-06-22,7.130000999999999,20070700,7.26,20070800
2007-06-25,7.079,20070800,7.1720000000000015,20070900
2007-06-26,7.002000000000002,20070800,7.093,20070900
2007-06-27,7.082999999999998,20070800,7.174,20070900
