index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1985-01-15,0.6895,19850300,0.6935,19850400
1985-01-16,0.6779999999999999,19850300,0.6814,19850400
1985-01-17,0.6853,19850300,0.6875,19850400
1985-01-18,0.684,19850300,0.685,19850400
1985-01-21,0.6875,19850300,0.6861,19850400
1985-01-22,0.6769999,19850300,0.6739,19850400
1985-01-23,0.669,19850300,0.6609999999999999,19850400
1985-01-24,0.6743,19850300,0.6683,19850400
1985-01-25,0.6809999999999999,19850300,0.6775,19850400
1985-01-28,0.695,19850300,0.6907,19850400
1985-01-29,0.705,19850300,0.7,19850400
1985-01-30,0.7185,19850300,0.7135,19850400
1985-01-31,0.7225,19850300,0.716,19850400
1985-02-01,0.7155,19850300,0.7169999,19850400
1985-02-04,0.71,19850300,0.7125,19850400
1985-02-05,0.716,19850300,0.7175,19850400
1985-02-06,0.7275,19850300,0.7275,19850400
1985-02-07,0.7275,19850300,0.726,19850400
1985-02-08,0.7333,19850300,0.7340000000000001,19850400
1985-02-11,0.747,19850300,0.74,19850400
1985-02-12,0.73,19850300,0.7244999,19850400
1985-02-13,0.745,19850300,0.7419998999999999,19850400
1985-02-14,0.748,19850300,0.7440000000000001,19850400
1985-02-15,0.753,19850400,0.743,19850500
1985-02-19,0.7559999999999999,19850400,0.748,19850500
1985-02-20,0.7615,19850400,0.7494,19850500
1985-02-21,0.7565,19850400,0.7475,19850500
1985-02-22,0.7373999,19850400,0.728,19850500
1985-02-25,0.7334999,19850400,0.7219999,19850500
1985-02-26,0.7416,19850400,0.7344999,19850500
1985-02-27,0.743,19850400,0.7325,19850500
1985-02-28,0.7490000000000001,19850400,0.7376999,19850500
1985-03-01,0.7498,19850400,0.7359998999999999,19850500
1985-03-04,0.76,19850400,0.7525,19850500
1985-03-05,0.7494,19850400,0.748,19850500
1985-03-06,0.7505,19850400,0.7495,19850500
1985-03-07,0.7605,19850400,0.758,19850500
1985-03-08,0.76,19850400,0.755,19850500
1985-03-11,0.7595,19850400,0.7545,19850500
1985-03-12,0.7775,19850400,0.7659999999999999,19850500
1985-03-13,0.7875,19850400,0.7745,19850500
1985-03-14,0.79,19850400,0.7775,19850500
1985-03-15,0.79,19850400,0.7819999,19850500
1985-03-18,0.8,19850500,0.78,19850600
1985-03-19,0.8009999,19850500,0.7905999,19850600
1985-03-20,0.8001,19850500,0.7875,19850600
1985-03-21,0.8140000000000001,19850500,0.7929999999999999,19850600
1985-03-22,0.81,19850500,0.79,19850600
