index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1990-05-23,1.602,19900700,1.669,19900900
1990-05-24,1.6,19900700,1.666,19900900
1990-05-25,1.592,19900700,1.662,19900900
1990-05-29,1.585,19900700,1.656,19900900
1990-05-30,1.585,19900700,1.664,19900900
1990-05-31,1.59,19900700,1.669,19900900
1990-06-01,1.585,19900700,1.6669999999999998,19900900
1990-06-04,1.582,19900700,1.6669999999999998,19900900
1990-06-05,1.567,19900700,1.655,19900900
1990-06-06,1.56,19900700,1.652,19900900
1990-06-07,1.5730000000000002,19900700,1.665,19900900
1990-06-08,1.575,19900700,1.658,19900900
1990-06-11,1.5719999999999998,19900700,1.6469999999999998,19900900
1990-06-12,1.558,19900700,1.638,19900900
1990-06-13,1.545,19900700,1.622,19900900
1990-06-14,1.547,19900700,1.621,19900900
1990-06-15,1.547,19900700,1.62,19900900
1990-06-18,1.54,19900700,1.608,19900900
1990-06-19,1.536,19900700,1.595,19900900
1990-06-20,1.51,19900700,1.582,19900900
1990-06-21,1.56,19900900,1.63,19901000
1990-06-22,1.551,19900900,1.615,19901000
1990-06-25,1.547,19900900,1.61,19901000
1990-06-26,1.5419999999999998,19900900,1.607,19901000
1990-06-27,1.53,19900900,1.591,19901000
1990-06-28,1.538,19900900,1.585,19901000
1990-06-29,1.546,19900900,1.595,19901000
1990-07-02,1.544,19900900,1.592,19901000
1990-07-03,1.55,19900900,1.595,19901000
1990-07-05,1.537,19900900,1.586,19901000
1990-07-06,1.52,19900900,1.569,19901000
1990-07-09,1.503,19900900,1.5419999999999998,19901000
1990-07-10,1.508,19900900,1.54,19901000
1990-07-11,1.52,19900900,1.551,19901000
1990-07-12,1.5219999999999998,19900900,1.558,19901000
1990-07-13,1.53,19900900,1.575,19901000
1990-07-16,1.537,19900900,1.595,19901000
1990-07-17,1.515,19900900,1.585,19901000
1990-07-18,1.5219999999999998,19900900,1.62,19901000
1990-07-19,1.505,19900900,1.605,19901000
1990-07-20,1.482,19900900,1.58,19901000
1990-07-23,1.46,19900900,1.5619999999999998,19901000
1990-07-24,1.44,19900900,1.543,19901000
1990-07-25,1.44,19900900,1.51,19901000
1990-07-26,1.435,19900900,1.51,19901000
1990-07-27,1.439,19900900,1.5219999999999998,19901000
1990-07-30,1.43,19900900,1.518,19901000
1990-07-31,1.411,19900900,1.501,19901000
1990-08-01,1.402,19900900,1.492,19901000
1990-08-02,1.432,19900900,1.53,19901000
1990-08-03,1.51,19900900,1.615,19901000
1990-08-06,1.588,19900900,1.705,19901000
1990-08-07,1.477,19900900,1.605,19901000
1990-08-08,1.475,19900900,1.565,19901000
1990-08-09,1.47,19900900,1.565,19901000
1990-08-10,1.49,19900900,1.595,19901000
1990-08-14,1.4480000000000002,19900900,1.575,19901000
1990-08-15,1.4280000000000002,19900900,1.54,19901000
1990-08-16,1.43,19900900,1.545,19901000
1990-08-17,1.44,19900900,1.565,19901000
1990-08-20,1.4169999999999998,19900900,1.547,19901000
1990-08-21,1.42,19900900,1.557,19901000
1990-08-22,1.4280000000000002,19900900,1.555,19901000
1990-08-23,1.545,19901000,2.255,19901200
1990-08-24,1.525,19901000,2.255,19901200
1990-08-27,1.5019999999999998,19901000,2.215,19901200
1990-08-28,1.5,19901000,2.19,19901200
1990-08-29,1.505,19901000,2.152,19901200
1990-08-30,1.537,19901000,2.197,19901200
1990-08-31,1.5,19901000,2.2,19901200
1990-09-04,1.51,19901000,2.22,19901200
1990-09-05,1.514,19901000,2.24,19901200
1990-09-06,1.53,19901000,2.25,19901200
1990-09-07,1.51,19901000,2.235,19901200
1990-09-10,1.525,19901000,2.23,19901200
1990-09-11,1.525,19901000,2.227,19901200
1990-09-12,1.543,19901000,2.225,19901200
1990-09-13,1.54,19901000,2.231,19901200
1990-09-14,1.52,19901000,2.24,19901200
1990-09-17,1.537,19901000,2.25,19901200
1990-09-18,1.56,19901000,2.25,19901200
1990-09-19,1.555,19901000,2.232,19901200
1990-09-20,2.246,19901200,2.42,19910100
1990-09-21,2.272,19901200,2.467,19910100
1990-09-24,2.34,19901200,2.54,19910100
1990-09-25,2.335,19901200,2.543,19910100
1990-09-26,2.365,19901200,2.585,19910100
1990-09-27,2.398,19901200,2.6180000000000003,19910100
1990-09-28,2.49,19901200,2.685,19910100
1990-10-01,2.44,19901200,2.66,19910100
1990-10-02,2.355,19901200,2.575,19910100
1990-10-03,2.4290000000000003,19901200,2.641,19910100
1990-10-04,2.468,19901200,2.689,19910100
1990-10-05,2.525,19901200,2.741,19910100
1990-10-08,2.55,19901200,2.81,19910100
1990-10-09,2.572,19901200,2.888,19910100
1990-10-10,2.525,19901200,2.807,19910100
1990-10-11,2.51,19901200,2.843,19910100
1990-10-12,2.506,19901200,2.805,19910100
1990-10-15,2.417,19901200,2.73,19910100
1990-10-16,2.435,19901200,2.78,19910100
1990-10-17,2.395,19901200,2.74,19910100
1990-10-18,2.404,19901200,2.73,19910100
1990-10-19,2.37,19901200,2.64,19910100
1990-10-22,2.37,19901200,2.572,19910100
1990-10-23,2.52,19901200,2.672,19910100
1990-10-24,2.44,19901200,2.652,19910100
1990-10-25,2.446,19901200,2.708,19910100
1990-10-26,2.448,19901200,2.735,19910100
1990-10-29,2.434,19901200,2.674,19910100
1990-10-30,2.408,19901200,2.71,19910100
1990-10-31,2.36,19901200,2.68,19910100
1990-11-01,2.35,19901200,2.66,19910100
1990-11-02,2.358,19901200,2.66,19910100
1990-11-05,2.385,19901200,2.693,19910100
1990-11-06,2.383,19901200,2.72,19910100
1990-11-07,2.45,19901200,2.785,19910100
