index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1975-12-16,1.978,19760600,1.9935,19760300
1975-12-17,1.975,19760600,1.997,19760300
1975-12-18,1.975,19760600,1.998,19760300
1975-12-19,1.969,19760600,1.995,19760300
1975-12-22,1.972,19760600,1.994,19760300
1975-12-23,1.974,19760600,1.9975,19760300
1975-12-24,1.976,19760600,1.9975,19760300
1975-12-29,1.981,19760600,2.003,19760300
1975-12-30,1.979,19760600,2.003,19760300
1975-12-31,1.98,19760600,2.0045,19760300
1976-01-02,1.98,19760600,2.0055,19760300
1976-01-05,1.995,19760600,2.015,19760300
1976-01-06,1.994,19760600,2.016,19760300
1976-01-07,1.996,19760600,2.018,19760300
1976-01-08,1.996,19760600,2.016,19760300
1976-01-09,1.991,19760600,2.0135,19760300
1976-01-12,1.99,19760600,2.012,19760300
1976-01-13,1.987,19760600,2.007,19760300
1976-01-14,1.989,19760600,2.011,19760300
1976-01-15,1.99,19760600,2.012,19760300
1976-01-16,1.992,19760600,2.012,19760300
1976-01-19,1.9955,19760600,2.0155,19760300
1976-01-20,1.994,19760600,2.015,19760300
1976-01-21,1.988,19760600,2.0085,19760300
1976-01-22,1.985,19760600,2.007,19760300
1976-01-23,1.985,19760600,2.011,19760300
1976-01-26,1.988,19760600,2.012,19760300
1976-01-27,1.9885,19760600,2.012,19760300
1976-01-28,1.993,19760600,2.016,19760300
1976-01-29,1.996,19760600,2.019,19760300
1976-01-30,1.996,19760600,2.018,19760300
1976-02-02,1.996,19760600,2.018,19760300
1976-02-03,1.995,19760600,2.018,19760300
1976-02-04,1.995,19760600,2.02,19760300
1976-02-05,1.9975,19760600,2.0205,19760300
1976-02-06,2.0,19760600,2.0205,19760300
1976-02-09,2.001,19760600,2.021,19760300
1976-02-10,1.9975,19760600,2.018,19760300
1976-02-11,2.0,19760600,2.02,19760300
1976-02-12,1.997,19760600,2.019,19760300
1976-02-13,1.995,19760600,2.016,19760300
1976-02-17,1.9975,19760600,2.0165,19760300
1976-02-18,2.0,19760600,2.018,19760300
1976-02-19,2.0,19760600,2.0185,19760300
1976-02-20,2.0,19760600,2.0195,19760300
1976-02-23,2.004,19760600,2.0205,19760300
1976-02-24,2.003,19760600,2.0215,19760300
1976-02-25,2.004,19760600,2.021,19760300
1976-02-26,2.007,19760600,2.024,19760300
1976-02-27,2.007,19760600,2.023,19760300
1976-03-01,2.0055,19760600,2.022,19760300
1976-03-02,2.008,19760600,2.0215,19760300
1976-03-03,2.005,19760600,2.022,19760300
1976-03-04,1.992,19760600,2.009,19760300
1976-03-05,1.9425,19760600,1.966,19760300
1976-03-08,1.9205,19760600,1.94,19760300
1976-03-09,1.918,19760600,1.938,19760300
1976-03-10,1.898,19760600,1.917,19760300
1976-03-11,1.911,19760600,1.934,19760300
1976-03-12,1.8925,19760600,1.9235,19760300
1976-03-15,1.899,19760600,1.9245,19760300
1976-03-16,1.87,19760900,1.887,19760600
1976-03-17,1.868,19760900,1.8935,19760600
1976-03-18,1.875,19760900,1.893,19760600
1976-03-19,1.869,19760900,1.889,19760600
1976-03-22,1.877,19760900,1.8965,19760600
1976-03-23,1.883,19760900,1.903,19760600
1976-03-24,1.887,19760900,1.905,19760600
1976-03-25,1.885,19760900,1.905,19760600
1976-03-26,1.883,19760900,1.9,19760600
1976-03-29,1.877,19760900,1.8955,19760600
1976-03-30,1.876,19760900,1.896,19760600
1976-03-31,1.878,19760900,1.899,19760600
1976-04-01,1.845,19760900,1.864,19760600
1976-04-02,1.83,19760900,1.8535,19760600
1976-04-05,1.82,19760900,1.8425,19760600
1976-04-06,1.821,19760900,1.8455,19760600
1976-04-07,1.825,19760900,1.848,19760600
1976-04-08,1.804,19760900,1.824,19760600
1976-04-09,1.795,19760900,1.816,19760600
1976-04-12,1.808,19760900,1.831,19760600
1976-04-13,1.8145,19760900,1.8365,19760600
1976-04-14,1.82,19760900,1.841,19760600
1976-04-15,1.818,19760900,1.836,19760600
1976-04-19,1.822,19760900,1.841,19760600
1976-04-20,1.81,19760900,1.8305,19760600
1976-04-21,1.802,19760900,1.826,19760600
1976-04-22,1.79,19760900,1.8085,19760600
1976-04-23,1.769,19760900,1.7885,19760600
1976-04-26,1.78,19760900,1.804,19760600
1976-04-27,1.789,19760900,1.81,19760600
1976-04-28,1.797,19760900,1.8205,19760600
1976-04-29,1.806,19760900,1.827,19760600
1976-04-30,1.805,19760900,1.828,19760600
1976-05-03,1.796,19760900,1.8135,19760600
1976-05-04,1.798,19760900,1.819,19760600
1976-05-05,1.786,19760900,1.8095,19760600
1976-05-06,1.7875,19760900,1.811,19760600
1976-05-07,1.788,19760900,1.812,19760600
1976-05-10,1.798,19760900,1.821,19760600
1976-05-11,1.805,19760900,1.828,19760600
1976-05-12,1.808,19760900,1.829,19760600
1976-05-13,1.798,19760900,1.819,19760600
1976-05-14,1.785,19760900,1.81,19760600
1976-05-17,1.777,19760900,1.797,19760600
1976-05-18,1.7835,19760900,1.805,19760600
1976-05-19,1.7819999999999998,19760900,1.8055,19760600
1976-05-20,1.7725,19760900,1.794,19760600
1976-05-21,1.741,19760900,1.763,19760600
1976-05-24,1.764,19760900,1.787,19760600
1976-05-25,1.754,19760900,1.777,19760600
1976-05-26,1.749,19760900,1.77,19760600
1976-05-27,1.743,19760900,1.768,19760600
1976-05-28,1.731,19760900,1.756,19760600
