index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2021-12-13,149.71,20220600,149.96,20220300
2021-12-14,150.01,20220600,150.27,20220300
2021-12-15,150.58,20220600,150.85,20220300
2021-12-16,150.74,20220600,151.04,20220300
2021-12-17,150.21,20220600,150.51,20220300
2021-12-20,149.68,20220600,149.99,20220300
2021-12-21,150.9,20220600,151.21,20220300
2021-12-22,152.05,20220600,152.37,20220300
2021-12-23,153.06,20220600,153.39,20220300
2021-12-27,154.04,20220600,154.35,20220300
2021-12-28,153.71,20220600,154.03,20220300
2021-12-29,154.62,20220600,154.95,20220300
2021-12-30,154.99,20220600,155.32,20220300
2021-12-31,155.24,20220600,155.56,20220300
2022-01-03,155.06,20220600,155.39,20220300
2022-01-04,156.72,20220600,157.05,20220300
2022-01-05,157.08,20220600,157.4,20220300
2022-01-06,156.38,20220600,156.7,20220300
2022-01-07,156.69,20220600,157.0,20220300
2022-01-10,155.9,20220600,156.22,20220300
2022-01-11,156.77,20220600,157.09,20220300
2022-01-12,156.43,20220600,156.73,20220300
2022-01-13,156.08,20220600,156.39,20220300
2022-01-14,155.69,20220600,156.0,20220300
2022-01-17,,20220600,156.29,20220300
2022-01-18,155.42,20220600,155.73,20220300
2022-01-19,155.23,20220600,155.56,20220300
2022-01-20,155.01,20220600,155.33,20220300
2022-01-21,153.65,20220600,153.96,20220300
2022-01-24,152.98,20220600,153.29,20220300
2022-01-25,153.58,20220600,153.89,20220300
2022-01-26,153.82,20220600,154.14,20220300
2022-01-27,153.76,20220600,154.1,20220300
2022-01-28,153.79,20220600,154.12,20220300
2022-01-31,154.33,20220600,154.67,20220300
2022-02-01,154.62,20220600,154.96,20220300
2022-02-02,154.95,20220600,155.28,20220300
2022-02-03,155.7,20220600,156.1,20220300
2022-02-04,155.4,20220600,155.84,20220300
2022-02-07,155.28,20220600,155.71,20220300
2022-02-08,155.95,20220600,156.39,20220300
2022-02-09,155.8,20220600,156.23,20220300
2022-02-10,156.78,20220600,157.26,20220300
2022-02-11,155.61,20220600,156.08,20220300
2022-02-14,155.83,20220600,156.3,20220300
2022-02-15,155.97,20220600,156.44,20220300
2022-02-16,156.44,20220600,156.88,20220300
2022-02-17,156.0,20220600,156.43,20220300
2022-02-18,156.06,20220600,156.5,20220300
2022-02-21,,20220600,156.12,20220300
2022-02-22,155.93,20220600,156.36,20220300
2022-02-23,155.2,20220600,155.6,20220300
2022-02-24,154.38,20220600,154.79,20220300
2022-02-25,154.59,20220600,154.98,20220300
2022-02-28,153.69,20220600,154.07,20220300
2022-03-01,152.49,20220600,152.86,20220300
2022-03-02,154.14,20220600,154.54,20220300
2022-03-03,153.47,20220600,153.89,20220300
2022-03-04,151.24,20220600,151.67,20220300
2022-03-07,150.66,20220600,151.08,20220300
2022-03-08,151.25,20220600,151.68,20220300
2022-03-09,152.27,20220600,152.69,20220300
2022-03-10,151.64,20220600,152.05,20220300
2022-03-11,152.6,20220600,153.01,20220300
2022-03-14,152.58,20220900,153.33,20220600
2022-03-15,153.04,20220900,153.8,20220600
2022-03-16,154.47,20220900,155.26,20220600
2022-03-17,154.93,20220900,155.63,20220600
2022-03-18,156.07,20220900,156.75,20220600
2022-03-21,156.17,20220900,156.87,20220600
2022-03-22,158.93,20220900,159.65,20220600
2022-03-23,158.87,20220900,159.56,20220600
2022-03-24,160.09,20220900,160.8,20220600
2022-03-25,159.93,20220900,160.66,20220600
2022-03-28,160.77,20220900,161.48,20220600
2022-03-29,159.92,20220900,160.62,20220600
2022-03-30,158.89,20220900,159.6,20220600
2022-03-31,158.7,20220900,159.41,20220600
2022-04-01,159.69,20220900,160.4,20220600
2022-04-04,160.05,20220900,160.75,20220600
2022-04-05,160.67,20220900,161.36,20220600
2022-04-06,160.75,20220900,161.45,20220600
2022-04-07,161.07,20220900,161.76,20220600
2022-04-08,161.14,20220900,161.85,20220600
2022-04-11,162.47,20220900,163.19,20220600
2022-04-12,161.91,20220900,162.63,20220600
2022-04-13,163.64,20220900,164.38,20220600
2022-04-14,163.72,20220900,164.46,20220600
2022-04-18,164.16,20220900,164.92,20220600
2022-04-19,166.33,20220900,167.09,20220600
2022-04-20,165.82,20220900,166.58,20220600
2022-04-21,165.99,20220900,166.82,20220600
2022-04-22,163.86,20220900,164.65,20220600
2022-04-25,162.01,20220900,162.77,20220600
2022-04-26,159.6,20220900,160.35,20220600
2022-04-27,159.99,20220900,160.73,20220600
2022-04-28,162.17,20220900,162.92,20220600
2022-04-29,162.13,20220900,162.88,20220600
2022-05-02,161.35,20220900,162.13,20220600
2022-05-03,161.6,20220900,162.4,20220600
2022-05-04,161.02,20220900,161.74,20220600
2022-05-05,160.14,20220900,160.86,20220600
2022-05-06,160.15,20220900,160.85,20220600
2022-05-09,159.97,20220900,160.67,20220600
2022-05-10,159.7,20220900,160.41,20220600
2022-05-11,158.34,20220900,159.04,20220600
2022-05-12,155.1,20220900,155.8,20220600
2022-05-13,157.52,20220900,158.22,20220600
2022-05-16,158.23,20220900,158.9,20220600
2022-05-17,160.66,20220900,161.4,20220600
2022-05-18,157.31,20220900,158.03,20220600
2022-05-19,158.82,20220900,159.54,20220600
2022-05-20,158.57,20220900,159.28,20220600
2022-05-23,160.07,20220900,160.78,20220600
2022-05-24,157.88,20220900,158.56,20220600
2022-05-25,159.44,20220900,160.12,20220600
2022-05-26,159.41,20220900,160.11,20220600
2022-05-27,159.7,20220900,160.4,20220600
2022-05-30,,20220900,161.44,20220600
2022-05-31,161.38,20220900,162.09,20220600
2022-06-01,161.8,20220900,162.51,20220600
2022-06-02,162.43,20220900,163.15,20220600
2022-06-03,162.78,20220900,163.51,20220600
2022-06-06,164.7,20220900,165.43,20220600
2022-06-07,166.09,20220900,166.83,20220600
2022-06-08,167.47,20220900,168.23,20220600
2022-06-09,167.18,20220900,167.94,20220600
2022-06-10,164.7,20220900,165.47,20220600
2022-06-13,161.22,20221200,162.27,20220900
2022-06-14,160.06,20221200,161.14,20220900
2022-06-15,160.78,20221200,161.84,20220900
2022-06-16,161.26,20221200,162.37,20220900
2022-06-17,162.94,20221200,164.11,20220900
2022-06-20,,20221200,164.63,20220900
2022-06-21,165.66,20221200,166.86,20220900
2022-06-22,165.24,20221200,166.38,20220900
2022-06-23,163.56,20221200,164.66,20220900
2022-06-24,164.17,20221200,165.25,20220900
2022-06-27,164.47,20221200,165.58,20220900
2022-06-28,164.25,20221200,165.38,20220900
2022-06-29,163.67,20221200,164.78,20220900
2022-06-30,163.41,20221200,164.51,20220900
2022-07-01,161.93,20221200,162.98,20220900
2022-07-04,161.93,20221200,162.98,20220900
2022-07-05,160.43,20221200,161.48,20220900
2022-07-06,160.48,20221200,161.53,20220900
2022-07-07,161.86,20221200,162.94,20220900
2022-07-08,162.13,20221200,163.23,20220900
2022-07-11,161.69,20221200,162.77,20220900
2022-07-12,161.1,20221200,162.16,20220900
2022-07-13,161.8,20221200,162.93,20220900
2022-07-14,162.55,20221200,163.74,20220900
2022-07-15,162.61,20221200,163.76,20220900
2022-07-18,163.32,20221200,164.49,20220900
2022-07-19,164.12,20221200,165.29,20220900
2022-07-20,163.81,20221200,164.95,20220900
2022-07-21,163.11,20221200,164.24,20220900
2022-07-22,161.54,20221200,162.66,20220900
2022-07-25,163.13,20221200,164.25,20220900
2022-07-26,162.82,20221200,163.95,20220900
2022-07-27,164.33,20221200,165.47,20220900
2022-07-28,161.74,20221200,162.79,20220900
2022-07-29,160.9,20221200,161.93,20220900
2022-08-01,160.08,20221200,161.1,20220900
2022-08-02,160.35,20221200,161.42,20220900
2022-08-03,161.41,20221200,162.48,20220900
2022-08-04,160.36,20221200,161.43,20220900
2022-08-05,161.51,20221200,162.61,20220900
2022-08-08,161.36,20221200,162.43,20220900
2022-08-09,161.71,20221200,162.8,20220900
2022-08-10,161.06,20221200,162.14,20220900
2022-08-11,160.76,20221200,161.85,20220900
2022-08-12,160.67,20221200,161.75,20220900
2022-08-15,159.31,20221200,160.39,20220900
2022-08-16,160.89,20221200,161.98,20220900
2022-08-17,161.45,20221200,162.61,20220900
2022-08-18,160.72,20221200,161.88,20220900
2022-08-19,160.31,20221200,161.45,20220900
2022-08-22,160.22,20221200,161.38,20220900
2022-08-23,160.34,20221200,161.51,20220900
2022-08-24,160.21,20221200,161.37,20220900
2022-08-25,160.04,20221200,161.19,20220900
2022-08-26,159.98,20221200,161.14,20220900
2022-08-29,161.06,20221200,162.25,20220900
2022-08-30,160.29,20221200,161.48,20220900
2022-08-31,159.77,20221200,160.96,20220900
2022-09-01,160.44,20221200,161.65,20220900
2022-09-02,160.0,20221200,161.21,20220900
2022-09-05,160.0,20221200,161.21,20220900
2022-09-06,163.3,20221200,164.55,20220900
2022-09-07,164.41,20221200,165.67,20220900
2022-09-08,164.25,20221200,165.5,20220900
2022-09-09,164.08,20221200,165.31,20220900
2022-09-12,165.37,20221200,166.63,20220900
2022-09-13,163.16,20230300,164.78,20221200
2022-09-14,162.24,20230300,163.86,20221200
2022-09-15,161.65,20230300,163.28,20221200
2022-09-16,160.31,20230300,161.94,20221200
2022-09-19,160.77,20230300,162.38,20221200
2022-09-20,160.45,20230300,162.11,20221200
2022-09-21,159.99,20230300,161.63,20221200
2022-09-22,157.62,20230300,159.2,20221200
2022-09-23,152.57,20230300,154.33,20221200
2022-09-26,151.35,20230300,153.27,20221200
2022-09-27,152.09,20230300,154.08,20221200
2022-09-28,153.69,20230300,155.66,20221200
2022-09-29,156.47,20230300,158.46,20221200
2022-09-30,158.56,20230300,160.57,20221200
2022-10-03,160.65,20230300,162.57,20221200
2022-10-04,162.22,20230300,164.12,20221200
2022-10-05,160.92,20230300,162.82,20221200
2022-10-06,158.79,20230300,160.71,20221200
2022-10-07,158.09,20230300,159.99,20221200
