index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1980-02-19,0.7475,19800400,0.7625,19800500
1980-02-20,0.7454,19800400,0.7575,19800500
1980-02-21,0.764,19800400,0.7775,19800500
1980-02-22,0.754,19800400,0.764,19800500
1980-02-25,0.76,19800400,0.7725,19800500
1980-02-26,0.755,19800400,0.77,19800500
1980-02-27,0.7675,19800400,0.7776,19800500
1980-02-28,0.755,19800400,0.775,19800500
1980-02-29,0.7525,19800400,0.77,19800500
1980-03-03,0.7426999,19800400,0.7675,19800500
1980-03-04,0.747,19800400,0.769,19800500
1980-03-05,0.748,19800400,0.767,19800500
1980-03-06,0.747,19800400,0.7608,19800500
1980-03-07,0.74,19800400,0.7535,19800500
1980-03-10,0.7355,19800400,0.7465,19800500
1980-03-11,0.725,19800400,0.7319998999999999,19800500
1980-03-12,0.7325,19800400,0.7365,19800500
1980-03-13,0.7415,19800400,0.7425,19800500
1980-03-14,0.7425,19800400,0.748,19800500
1980-03-17,0.755,19800400,0.7625,19800500
1980-03-18,0.755,19800500,0.7585,19800600
1980-03-19,0.748,19800500,0.7559999999999999,19800600
1980-03-20,0.7525,19800500,0.764,19800600
1980-03-21,0.75,19800500,0.7625,19800600
1980-03-24,0.75,19800500,0.755,19800600
1980-03-25,0.7495,19800500,0.752,19800600
1980-03-26,0.755,19800500,0.7575,19800600
1980-03-27,0.7575,19800500,0.768,19800600
1980-03-28,0.7538,19800500,0.762,19800600
1980-03-31,0.758,19800500,0.765,19800600
1980-04-01,0.7625,19800500,0.77,19800600
1980-04-02,0.7709999999999999,19800500,0.78,19800600
1980-04-03,0.785,19800500,0.795,19800600
1980-04-07,0.777,19800500,0.7869999,19800600
1980-04-08,0.7809999999999999,19800500,0.7919999,19800600
1980-04-09,0.7759999999999999,19800500,0.7865,19800600
1980-04-10,0.78,19800500,0.7875,19800600
1980-04-11,0.78,19800500,0.79,19800600
1980-04-14,0.7705,19800500,0.7829999999999999,19800600
1980-04-15,0.7659999999999999,19800500,0.7785,19800600
1980-04-16,0.77,19800500,0.7822,19800600
1980-04-17,0.785,19800600,0.804,19800700
1980-04-18,0.785,19800600,0.8025,19800700
1980-04-21,0.785,19800600,0.8009999,19800700
1980-04-22,0.785,19800600,0.8009999,19800700
1980-04-23,0.7829999999999999,19800600,0.8,19800700
1980-04-24,0.775,19800600,0.7909999,19800700
1980-04-25,0.7879999999999999,19800600,0.8009999,19800700
1980-04-28,0.778,19800600,0.7875,19800700
1980-04-29,0.7765,19800600,0.789,19800700
1980-04-30,0.7805,19800600,0.7925,19800700
1980-05-01,0.78,19800600,0.794,19800700
1980-05-02,0.78,19800600,0.794,19800700
1980-05-05,0.7825,19800600,0.7969999,19800700
1980-05-06,0.7879999999999999,19800600,0.8025,19800700
1980-05-07,0.7859999999999999,19800600,0.8029999999999999,19800700
1980-05-08,0.785,19800600,0.8011,19800700
1980-05-09,0.7829999999999999,19800600,0.8005,19800700
1980-05-12,0.7819999,19800600,0.7984998999999999,19800700
1980-05-13,0.778,19800600,0.7932,19800700
1980-05-14,0.7855,19800600,0.8029999999999999,19800700
1980-05-15,0.7829999999999999,19800600,0.7979999999999999,19800700
1980-05-16,0.7809999999999999,19800600,0.7959999,19800700
1980-05-19,0.8005,19800700,0.8145,19800800
1980-05-20,0.8025,19800700,0.816,19800800
1980-05-21,0.804,19800700,0.82,19800800
1980-05-22,0.8044998999999999,19800700,0.8175,19800800
1980-05-23,0.7984998999999999,19800700,0.8190000000000001,19800800
1980-05-27,0.7965,19800700,0.8170000000000001,19800800
1980-05-28,0.799,19800700,0.815,19800800
1980-05-29,0.7969999,19800700,0.815,19800800
1980-05-30,0.7934998999999999,19800700,0.8125,19800800
1980-06-02,0.7875,19800700,0.81,19800800
1980-06-03,0.7855,19800700,0.8069999,19800800
1980-06-04,0.7844999,19800700,0.805,19800800
1980-06-05,0.7775,19800700,0.7979999999999999,19800800
1980-06-06,0.7775,19800700,0.7929999999999999,19800800
1980-06-09,0.777,19800700,0.795,19800800
1980-06-10,0.7735,19800700,0.7944998999999999,19800800
1980-06-11,0.7759999999999999,19800700,0.7929999999999999,19800800
1980-06-12,0.7725,19800700,0.7885,19800800
1980-06-13,0.7709999999999999,19800700,0.7859999999999999,19800800
1980-06-16,0.7683,19800700,0.7809999999999999,19800800
1980-06-17,0.7735,19800800,0.7929999999999999,19800900
1980-06-18,0.775,19800800,0.7925,19800900
1980-06-19,0.775,19800800,0.789,19800900
1980-06-20,0.775,19800800,0.785,19800900
1980-06-23,0.7709999999999999,19800800,0.7819999,19800900
1980-06-24,0.7759999999999999,19800800,0.7875,19800900
1980-06-25,0.775,19800800,0.79,19800900
1980-06-26,0.774,19800800,0.7909999,19800900
