index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2015-11-09,148.51,20160100,149.2,20151200
2015-11-10,148.86,20160100,149.48,20151200
2015-11-11,149.4,20160100,150.02,20151200
2015-11-12,149.49,20160100,150.11,20151200
2015-11-13,149.6,20160100,150.06,20151200
2015-11-16,149.85,20160100,150.31,20151200
2015-11-17,150.18,20160100,150.43,20151200
2015-11-18,149.27,20160100,149.75,20151200
2015-11-19,150.13,20160100,150.27,20151200
2015-11-20,149.96,20160100,150.27,20151200
2015-11-23,149.53,20160100,149.53,20151200
2015-11-24,149.76,20160100,150.03,20151200
2015-11-25,149.68,20160100,149.68,20151200
2015-11-26,149.22,20160100,149.44,20151200
2015-11-27,148.28,20160100,149.01,20151200
2015-11-30,148.52,20160100,149.25,20151200
2015-12-01,148.97,20160100,149.63,20151200
2015-12-02,148.77,20160100,149.52,20151200
2015-12-03,148.99,20160100,149.51,20151200
2015-12-04,148.64,20160100,149.3,20151200
2015-12-07,148.83,20160100,149.34,20151200
2015-12-08,147.93,20160200,148.42,20160100
2015-12-09,147.87,20160200,148.35,20160100
2015-12-10,147.82,20160200,148.43,20160100
2015-12-11,147.81,20160200,148.32,20160100
2015-12-14,147.23,20160200,147.74,20160100
2015-12-15,147.79,20160200,148.29,20160100
2015-12-16,148.64,20160200,148.88,20160100
2015-12-17,149.36,20160200,149.47,20160100
2015-12-18,149.58,20160200,149.68,20160100
2015-12-21,149.66,20160200,149.72,20160100
2015-12-22,149.74,20160200,149.85,20160100
2015-12-23,150.08,20160200,150.43,20160100
2015-12-24,150.46,20160200,150.66,20160100
2015-12-25,150.47,20160200,150.67,20160100
2015-12-28,150.08,20160200,150.57,20160100
2015-12-29,149.63,20160200,150.13,20160100
2015-12-30,149.64,20160200,150.17,20160100
2015-12-31,150.14,20160200,150.69,20160100
2016-01-04,149.14,20160200,149.69,20160100
2016-01-05,149.15,20160200,149.75,20160100
2016-01-06,148.71,20160200,149.19,20160100
2016-01-07,147.87,20160300,148.46,20160200
2016-01-08,148.51,20160300,149.03,20160200
2016-01-11,148.2,20160300,148.7,20160200
2016-01-12,148.11,20160300,148.54,20160200
2016-01-13,148.19,20160300,148.6,20160200
2016-01-14,147.03,20160300,147.3,20160200
2016-01-15,146.23,20160300,146.75,20160200
2016-01-18,146.29,20160300,146.87,20160200
2016-01-19,146.57,20160300,146.96,20160200
2016-01-20,145.04,20160300,145.94,20160200
2016-01-21,145.53,20160300,146.05,20160200
2016-01-22,146.84,20160300,147.12,20160200
2016-01-25,146.46,20160300,146.69,20160200
