index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2014-01-03,131.0,20140200,127.75,20140300
2014-01-06,129.88,20140200,126.81,20140300
2014-01-07,129.38,20140200,126.5,20140300
2014-01-08,129.25,20140200,126.25,20140300
2014-01-09,126.75,20140200,124.33,20140300
2014-01-10,126.58,20140200,124.25,20140300
2014-01-13,125.0,20140200,122.67,20140300
2014-01-14,126.83,20140200,124.17,20140300
2014-01-15,126.42,20140200,123.83,20140300
2014-01-16,124.92,20140200,122.17,20140300
2014-01-17,123.42,20140200,121.25,20140300
2014-01-20,120.92,20140200,118.75,20140300
2014-01-21,120.31,20140200,118.5,20140300
2014-01-22,123.5,20140200,121.0,20140300
2014-01-23,125.75,20140200,123.33,20140300
2014-01-24,124.5,20140200,122.5,20140300
2014-01-27,122.75,20140200,120.44,20140300
2014-01-28,120.06,20140300,118.88,20140400
2014-01-29,120.08,20140300,118.75,20140400
2014-01-30,119.88,20140300,118.5,20140400
2014-01-31,119.79,20140300,118.42,20140400
2014-02-03,119.84,20140300,118.5,20140400
2014-02-04,119.56,20140300,118.19,20140400
2014-02-05,119.25,20140300,118.0,20140400
2014-02-06,119.5,20140300,118.25,20140400
2014-02-07,118.63,20140300,117.38,20140400
2014-02-10,118.33,20140300,117.17,20140400
2014-02-11,117.81,20140300,116.81,20140400
2014-02-12,118.83,20140300,117.83,20140400
2014-02-13,121.0,20140300,119.17,20140400
2014-02-14,121.56,20140300,119.69,20140400
2014-02-17,124.5,20140300,122.37,20140400
2014-02-18,121.94,20140300,120.25,20140400
2014-02-19,121.92,20140300,120.17,20140400
2014-02-20,119.94,20140300,118.44,20140400
2014-02-21,120.0,20140300,118.62,20140400
2014-02-24,116.44,20140300,115.19,20140400
2014-02-25,115.13,20140300,114.06,20140400
2014-02-26,115.19,20140300,114.19,20140400
2014-02-27,116.5,20140300,115.5,20140400
2014-02-28,114.5,20140400,113.94,20140500
2014-03-03,113.44,20140400,112.75,20140500
2014-03-04,112.75,20140400,112.17,20140500
2014-03-05,113.31,20140400,112.75,20140500
2014-03-06,112.5,20140400,111.94,20140500
2014-03-07,108.56,20140400,107.94,20140500
2014-03-10,102.08,20140400,101.83,20140500
2014-03-11,106.08,20140400,105.67,20140500
2014-03-12,107.25,20140400,106.92,20140500
2014-03-13,111.56,20140400,110.75,20140500
2014-03-14,108.67,20140400,108.08,20140500
2014-03-17,107.67,20140400,107.25,20140500
2014-03-18,109.81,20140400,108.31,20140500
2014-03-19,109.25,20140400,107.83,20140500
2014-03-20,108.75,20140400,107.38,20140500
2014-03-21,108.63,20140400,107.38,20140500
2014-03-24,110.08,20140400,108.5,20140500
2014-03-25,112.42,20140400,110.92,20140500
2014-03-26,112.83,20140400,111.25,20140500
2014-03-27,112.92,20140400,111.08,20140500
2014-03-28,114.62,20140400,113.12,20140500
2014-03-31,115.75,20140500,114.0,20140600
2014-04-01,114.92,20140500,113.25,20140600
2014-04-02,112.25,20140500,111.0,20140600
2014-04-03,113.44,20140500,112.06,20140600
2014-04-04,114.56,20140500,113.19,20140600
2014-04-07,117.19,20140500,115.62,20140600
2014-04-08,118.31,20140500,116.87,20140600
2014-04-09,117.19,20140500,115.94,20140600
2014-04-10,115.88,20140500,114.5,20140600
2014-04-11,115.38,20140500,114.25,20140600
2014-04-14,114.83,20140500,113.25,20140600
2014-04-15,114.0,20140500,112.67,20140600
2014-04-16,113.83,20140500,112.33,20140600
2014-04-17,113.83,20140500,112.5,20140600
2014-04-21,112.0,20140500,110.67,20140600
2014-04-22,111.25,20140500,109.5,20140600
2014-04-23,111.75,20140500,110.06,20140600
2014-04-24,112.5,20140500,110.75,20140600
2014-04-25,111.13,20140500,109.56,20140600
2014-04-28,107.33,20140500,105.5,20140600
2014-04-29,107.75,20140500,106.08,20140600
2014-04-30,104.0,20140600,103.0,20140700
2014-05-01,104.0,20140600,103.0,20140700
2014-05-02,105.19,20140600,104.06,20140700
2014-05-05,105.33,20140600,104.0,20140700
2014-05-06,105.19,20140600,103.81,20140700
2014-05-07,103.0,20140600,102.25,20140700
2014-05-08,101.92,20140600,100.92,20140700
2014-05-09,101.58,20140600,100.67,20140700
2014-05-12,103.31,20140600,102.5,20140700
2014-05-13,102.75,20140600,102.0,20140700
2014-05-14,103.92,20140600,103.08,20140700
2014-05-15,102.25,20140600,101.58,20140700
2014-05-16,99.58,20140600,99.0,20140700
2014-05-19,97.13,20140600,96.75,20140700
2014-05-20,96.83,20140600,96.33,20140700
2014-05-21,98.42,20140600,97.75,20140700
2014-05-22,100.08,20140600,99.42,20140700
2014-05-23,97.25,20140600,96.83,20140700
2014-05-26,99.25,20140600,98.5,20140700
2014-05-27,98.67,20140600,98.08,20140700
2014-05-28,96.31,20140600,95.81,20140700
2014-05-29,95.67,20140600,95.0,20140700
2014-05-30,92.83,20140700,92.75,20140800
2014-06-02,93.58,20140700,93.5,20140800
2014-06-03,93.83,20140700,93.67,20140800
2014-06-04,95.83,20140700,95.67,20140800
2014-06-05,94.25,20140700,94.13,20140800
2014-06-06,95.17,20140700,95.08,20140800
2014-06-09,94.19,20140700,94.25,20140800
2014-06-10,93.0,20140700,93.0,20140800
2014-06-11,92.75,20140700,92.75,20140800
2014-06-12,90.58,20140700,90.58,20140800
2014-06-13,89.75,20140700,89.83,20140800
2014-06-16,88.17,20140700,88.33,20140800
2014-06-17,89.5,20140700,89.69,20140800
2014-06-18,89.08,20140700,89.25,20140800
2014-06-19,90.62,20140700,90.69,20140800
2014-06-20,92.87,20140700,93.0,20140800
2014-06-23,94.0,20140700,93.87,20140800
2014-06-24,94.12,20140700,93.75,20140800
2014-06-25,95.75,20140700,95.25,20140800
2014-06-26,97.31,20140700,96.69,20140800
2014-06-27,96.0,20140700,95.75,20140800
2014-06-30,93.58,20140700,93.67,20140800
2014-07-01,94.94,20140800,94.94,20140900
2014-07-02,96.62,20140800,96.62,20140900
2014-07-03,96.67,20140800,96.5,20140900
2014-07-04,95.92,20140800,95.92,20140900
2014-07-07,95.25,20140800,95.25,20140900
