index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2020-09-11,,20210300,1358.3,20201200
2020-09-14,,20210300,1370.2,20201200
2020-09-15,,20210300,1386.3,20201200
2020-09-16,,20210300,1379.7,20201200
2020-09-17,,20210300,1355.4,20201200
2020-09-18,,20210300,1378.4,20201200
2020-09-21,,20210300,1342.7,20201200
2020-09-22,,20210300,1286.1,20201200
2020-09-23,,20210300,1292.7,20201200
2020-09-24,,20210300,1232.0,20201200
2020-09-25,,20210300,1228.5,20201200
2020-09-28,,20210300,1278.0,20201200
2020-09-29,,20210300,1291.2,20201200
2020-10-05,,20210300,1312.5,20201200
2020-10-06,,20210300,1307.4,20201200
2020-10-07,,20210300,1316.5,20201200
2020-10-08,,20210300,1312.7,20201200
2020-10-12,,20210300,1320.2,20201200
2020-10-13,,20210300,1308.7,20201200
2020-10-14,,20210300,1285.8,20201200
2020-10-15,,20210300,1250.0,20201200
2020-10-16,,20210300,1242.0,20201200
2020-10-19,,20210300,1225.0,20201200
2020-10-20,,20210300,1242.0,20201200
2020-10-21,,20210300,1254.4,20201200
2020-10-22,,20210300,1213.0,20201200
2020-10-23,,20210300,1202.1,20201200
2020-10-26,,20210300,1164.1,20201200
2020-10-27,,20210300,1176.9,20201200
2020-10-28,,20210300,1214.8,20201200
2020-10-29,,20210300,1242.0,20201200
2020-10-30,,20210300,1187.7,20201200
2020-11-02,,20210300,1209.0,20201200
2020-11-03,,20210300,1234.5,20201200
2020-11-04,,20210300,1259.4,20201200
2020-11-05,,20210300,1282.4,20201200
2020-11-06,,20210300,1260.2,20201200
2020-11-09,,20210300,1274.6,20201200
2020-11-10,,20210300,1249.6,20201200
2020-11-11,,20210300,1257.9,20201200
2020-11-12,,20210300,1250.9,20201200
2020-11-13,,20210300,1255.9,20201200
2020-11-16,,20210300,1272.6,20201200
2020-11-17,,20210300,1255.1,20201200
2020-11-18,,20210300,1275.9,20201200
2020-11-19,,20210300,1294.0,20201200
2020-11-20,,20210300,1308.8,20201200
2020-11-23,,20210300,1316.5,20201200
2020-11-24,,20210300,1306.5,20201200
2020-11-25,,20210300,1302.0,20201200
2020-11-26,,20210300,1322.9,20201200
2020-11-27,,20210300,1344.5,20201200
2020-11-30,,20210300,1342.5,20201200
2020-12-01,,20210300,1353.3,20201200
2020-12-02,,20210300,1367.2,20201200
2020-12-03,1380.0,20210300,1395.0,20201200
2020-12-04,1410.2,20210300,1423.8,20201200
2020-12-07,1464.7,20210300,1471.8,20201200
2020-12-08,1402.0,20210300,1412.5,20201200
2020-12-09,1416.0,20210300,1424.5,20201200
2020-12-10,1433.3,20210300,1453.7,20201200
2020-12-11,,20210600,1448.8,20210300
2020-12-14,,20210600,1455.5,20210300
2020-12-15,,20210600,1449.0,20210300
2020-12-16,,20210600,1463.0,20210300
2020-12-17,,20210600,1474.4,20210300
2020-12-18,,20210600,1475.5,20210300
2020-12-21,,20210600,1500.0,20210300
2020-12-22,,20210600,1446.9,20210300
