index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2014-03-13,,20140900,252.7,20140600
2014-03-14,251.8,20140900,,20140600
2014-03-17,252.2,20140900,251.2,20140600
2014-03-18,254.2,20140900,251.8375,20140600
2014-03-19,254.3,20140900,252.9,20140600
2014-03-20,251.2,20140900,249.75,20140600
2014-03-21,253.2,20140900,251.7,20140600
2014-03-24,254.5,20140900,,20140600
2014-03-25,254.3,20140900,253.05,20140600
2014-03-26,257.85,20140900,256.45,20140600
2014-03-27,259.1,20140900,257.55,20140600
2014-03-28,259.25,20140900,257.85,20140600
2014-03-31,259.75,20140900,258.4,20140600
2014-04-01,261.05,20140900,259.85,20140600
2014-04-02,262.0,20140900,260.5,20140600
2014-04-03,261.95,20140900,260.7,20140600
2014-04-04,262.8,20140900,261.4,20140600
2014-04-07,261.85,20140900,260.55,20140600
2014-04-08,263.8,20140900,262.175,20140600
2014-04-09,263.85,20140900,,20140600
2014-04-10,264.25,20140900,,20140600
2014-04-11,262.5,20140900,260.85,20140600
2014-04-14,263.3,20140900,261.75,20140600
2014-04-15,262.0,20140900,260.6,20140600
2014-04-16,262.75,20140900,261.25,20140600
2014-04-17,262.35,20140900,260.85,20140600
2014-04-18,264.2,20140900,262.75,20140600
2014-04-21,263.8,20140900,262.4,20140600
2014-04-22,263.55,20140900,262.25,20140600
2014-04-23,263.35,20140900,261.95,20140600
2014-04-24,263.15,20140900,261.25,20140600
2014-04-25,259.05,20140900,257.8,20140600
2014-04-28,259.35,20140900,258.375,20140600
2014-04-29,258.05,20140900,258.075,20140600
2014-04-30,256.9,20140900,255.4,20140600
2014-05-02,257.1,20140900,255.7,20140600
2014-05-07,253.95,20140900,252.45,20140600
2014-05-08,255.05,20140900,253.85,20140600
2014-05-09,255.55,20140900,254.0,20140600
2014-05-12,257.05,20140900,255.75,20140600
2014-05-13,260.65,20140900,259.25,20140600
2014-05-14,264.5,20140900,263.05,20140600
2014-05-15,264.2,20140900,262.85,20140600
2014-05-16,264.3,20140900,262.9,20140600
2014-05-19,264.4,20140900,262.95,20140600
2014-05-20,264.3,20140900,262.8,20140600
2014-05-21,264.4,20140900,263.1,20140600
2014-05-22,265.55,20140900,264.1,20140600
2014-05-23,265.4,20140900,263.85,20140600
2014-05-26,264.55,20140900,263.15,20140600
2014-05-27,261.95,20140900,260.425,20140600
2014-05-28,264.95,20140900,263.55,20140600
2014-05-29,264.5,20140900,263.1,20140600
2014-05-30,262.35,20140900,261.975,20140600
2014-06-02,262.9,20140900,261.5,20140600
2014-06-03,263.1,20140900,261.6,20140600
2014-06-05,261.35,20140900,259.9,20140600
2014-06-09,261.5,20140900,260.0,20140600
2014-06-10,264.3,20140900,262.7,20140600
2014-06-11,263.95,20140900,262.4,20140600
2014-06-12,265.0,20141200,263.15,20140900
2014-06-13,260.75,20141200,259.45,20140900
2014-06-16,262.1,20141200,260.375,20140900
2014-06-17,262.8,20141200,261.4,20140900
2014-06-18,261.3,20141200,259.9,20140900
