index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2014-03-19,,20140900,105.86,20140600
2014-03-20,,20140900,105.74,20140600
2014-03-21,,20140900,105.67,20140600
2014-03-25,,20140900,105.71,20140600
2014-03-26,,20140900,105.69,20140600
2014-03-27,,20140900,105.7,20140600
2014-03-28,,20140900,105.73,20140600
2014-03-31,,20140900,105.73,20140600
2014-04-01,,20140900,105.69,20140600
2014-04-02,,20140900,105.69,20140600
2014-04-03,,20140900,105.67,20140600
2014-04-04,,20140900,105.67,20140600
2014-04-07,,20140900,105.75,20140600
2014-04-08,,20140900,105.73,20140600
2014-04-09,,20140900,105.8,20140600
2014-04-10,,20140900,105.76,20140600
2014-04-11,,20140900,105.79,20140600
2014-04-14,,20140900,105.75,20140600
2014-04-15,,20140900,105.73,20140600
2014-04-16,,20140900,105.7,20140600
2014-04-17,,20140900,105.76,20140600
2014-04-18,,20140900,105.71,20140600
2014-04-21,,20140900,105.7,20140600
2014-04-22,,20140900,105.72,20140600
2014-04-23,,20140900,105.73,20140600
2014-04-24,,20140900,105.74,20140600
2014-04-25,,20140900,105.77,20140600
2014-04-28,,20140900,105.77,20140600
2014-04-29,,20140900,105.78,20140600
2014-04-30,,20140900,105.78,20140600
2014-05-02,,20140900,105.84,20140600
2014-05-07,,20140900,105.91,20140600
2014-05-08,,20140900,105.91,20140600
2014-05-09,,20140900,105.98,20140600
2014-05-12,,20140900,105.95,20140600
2014-05-13,,20140900,105.9,20140600
2014-05-14,,20140900,105.92,20140600
2014-05-15,,20140900,106.02,20140600
2014-05-16,,20140900,105.98,20140600
2014-05-19,,20140900,106.0,20140600
2014-05-20,,20140900,105.99,20140600
2014-05-21,,20140900,105.98,20140600
2014-05-22,,20140900,105.95,20140600
2014-05-23,,20140900,106.01,20140600
2014-05-26,,20140900,106.04,20140600
2014-05-27,,20140900,106.065,20140600
2014-05-28,,20140900,106.05,20140600
2014-05-29,,20140900,106.13,20140600
2014-05-30,,20140900,106.07,20140600
2014-06-02,,20140900,106.05,20140600
2014-06-03,,20140900,106.03,20140600
2014-06-05,,20140900,106.02,20140600
2014-06-09,,20140900,106.04,20140600
2014-06-10,105.96,20140900,106.13,20140600
2014-06-11,105.95,20140900,106.1,20140600
2014-06-12,106.07,20140900,106.21,20140600
2014-06-13,106.23,20140900,106.34,20140600
2014-06-16,106.24,20140900,106.355,20140600
2014-06-17,106.2,20140900,106.37,20140600
2014-06-18,,20141200,106.2,20140900
2014-06-19,,20141200,106.29,20140900
2014-06-20,,20141200,106.42,20140900
2014-06-23,,20141200,106.36,20140900
2014-06-24,,20141200,106.35,20140900
2014-06-25,,20141200,106.34,20140900
2014-06-26,,20141200,106.33,20140900
2014-06-27,,20141200,106.41,20140900
2014-06-30,,20141200,106.46,20140900
2014-07-01,,20141200,106.45,20140900
2014-07-02,,20141200,106.7,20140900
2014-07-03,,20141200,106.685,20140900
2014-07-04,,20141200,106.66,20140900
2014-07-07,,20141200,106.68,20140900
2014-07-08,,20141200,106.57,20140900
2014-07-09,,20141200,106.66,20140900
2014-07-10,,20141200,106.79,20140900
2014-07-11,,20141200,106.77,20140900
2014-07-14,,20141200,106.75,20140900
2014-07-15,,20141200,106.76,20140900
2014-07-16,,20141200,106.81,20140900
2014-07-17,,20141200,107.02,20140900
2014-07-18,,20141200,106.97,20140900
2014-07-21,,20141200,106.98,20140900
2014-07-22,,20141200,106.97,20140900
2014-07-23,,20141200,107.09,20140900
2014-07-24,,20141200,107.01,20140900
2014-07-25,,20141200,107.03,20140900
2014-07-28,,20141200,107.01,20140900
2014-07-29,,20141200,106.96,20140900
2014-07-30,106.85,20141200,106.99,20140900
2014-07-31,,20141200,106.97,20140900
2014-08-01,,20141200,106.88,20140900
2014-08-04,,20141200,106.88,20140900
2014-08-05,,20141200,106.97,20140900
2014-08-06,,20141200,106.91,20140900
2014-08-07,,20141200,106.96,20140900
2014-08-08,,20141200,107.075,20140900
2014-08-11,,20141200,107.04,20140900
2014-08-12,,20141200,106.99,20140900
2014-08-13,,20141200,106.98,20140900
2014-08-14,,20141200,106.92,20140900
2014-08-18,,20141200,106.84,20140900
2014-08-19,,20141200,106.78,20140900
2014-08-20,,20141200,106.8,20140900
2014-08-21,,20141200,106.78,20140900
2014-08-22,,20141200,106.78,20140900
2014-08-25,,20141200,106.85,20140900
2014-08-26,,20141200,106.95,20140900
2014-08-27,,20141200,106.99,20140900
2014-08-28,,20141200,106.99,20140900
2014-08-29,,20141200,107.02,20140900
2014-09-01,,20141200,107.01,20140900
2014-09-02,,20141200,107.02,20140900
2014-09-03,,20141200,106.95,20140900
2014-09-04,106.9,20141200,106.95,20140900
2014-09-05,106.87,20141200,107.04,20140900
2014-09-11,106.92,20141200,107.1,20140900
2014-09-12,107.21,20141200,107.34,20140900
2014-09-15,107.21,20141200,107.36,20140900
2014-09-16,107.31,20141200,107.38,20140900
2014-09-17,,20150300,107.28,20141200
2014-09-18,,20150300,107.3,20141200
2014-09-19,,20150300,107.31,20141200
2014-09-22,,20150300,107.35,20141200
2014-09-23,,20150300,107.36,20141200
2014-09-24,,20150300,107.41,20141200
2014-09-25,,20150300,107.46,20141200
2014-09-26,,20150300,107.52,20141200
2014-09-29,,20150300,107.52,20141200
2014-09-30,,20150300,107.62,20141200
2014-10-01,,20150300,107.88,20141200
2014-10-02,,20150300,107.81,20141200
2014-10-06,,20150300,107.735,20141200
2014-10-07,,20150300,107.67,20141200
2014-10-08,,20150300,107.64,20141200
2014-10-10,,20150300,107.75,20141200
2014-10-13,,20150300,107.76,20141200
2014-10-14,107.66,20150300,107.72,20141200
2014-10-15,,20150300,107.65,20141200
2014-10-16,,20150300,107.76,20141200
2014-10-17,,20150300,107.76,20141200
2014-10-20,,20150300,107.72,20141200
2014-10-21,,20150300,107.75,20141200
2014-10-22,,20150300,107.78,20141200
2014-10-23,107.76,20150300,107.85,20141200
2014-12-22,,20150600,107.995,20150300
2014-12-23,,20150600,108.01,20150300
2014-12-24,,20150600,108.05,20150300
2014-12-29,,20150600,108.075,20150300
2014-12-30,,20150600,108.2,20150300
2015-01-02,,20150600,108.115,20150300
2015-01-05,,20150600,108.085,20150300
2015-01-06,,20150600,108.315,20150300
2015-01-07,,20150600,108.375,20150300
2015-01-08,,20150600,108.315,20150300
2015-01-09,,20150600,108.385,20150300
2015-01-12,108.45,20150600,108.555,20150300
2015-01-13,,20150600,108.525,20150300
2015-01-14,,20150600,108.625,20150300
2015-01-15,,20150600,108.485,20150300
2015-01-16,,20150600,108.675,20150300
2015-01-19,,20150600,108.51,20150300
2015-01-20,,20150600,108.545,20150300
2015-01-21,,20150600,108.495,20150300
2015-01-22,,20150600,108.375,20150300
2015-01-23,,20150600,108.545,20150300
2015-01-26,,20150600,108.665,20150300
2015-01-27,,20150600,108.545,20150300
2015-01-28,,20150600,108.635,20150300
2015-01-29,,20150600,108.635,20150300
2015-01-30,,20150600,108.7,20150300
2015-02-02,,20150600,108.705,20150300
2015-02-03,,20150600,108.885,20150300
2015-02-04,,20150600,108.755,20150300
2015-02-05,108.8,20150600,108.765,20150300
2015-02-06,,20150600,108.715,20150300
2015-02-09,,20150600,108.705,20150300
2015-02-10,,20150600,108.465,20150300
2015-02-11,,20150600,108.475,20150300
2015-02-12,108.35,20150600,108.405,20150300
2015-02-13,,20150600,108.425,20150300
2015-02-16,108.25,20150600,,20150300
2015-02-17,,20150600,108.44,20150300
2015-02-23,,20150600,108.43,20150300
2015-02-24,,20150600,108.41,20150300
2015-02-25,,20150600,108.51,20150300
2015-02-26,,20150600,108.5,20150300
2015-02-27,,20150600,108.545,20150300
2015-03-02,,20150600,108.66,20150300
2015-03-03,,20150600,108.67,20150300
2015-03-04,,20150600,108.69,20150300
2015-03-05,,20150600,108.72,20150300
2015-03-06,108.75,20150600,108.83,20150300
2015-03-09,,20150600,108.85,20150300
2015-03-10,,20150600,108.79,20150300
2015-03-11,,20150600,108.91,20150300
2015-03-12,108.92,20150600,108.93,20150300
2015-03-13,108.97,20150600,109.03,20150300
2015-03-16,109.0,20150600,109.05,20150300
2015-03-17,,20150900,108.95,20150600
2015-03-18,,20150900,109.02,20150600
2015-03-19,109.05,20150900,109.13,20150600
2015-03-20,,20150900,109.22,20150600
2015-03-23,,20150900,109.22,20150600
2015-03-24,,20150900,109.25,20150600
2015-03-25,,20150900,109.28,20150600
2015-03-26,,20150900,109.28,20150600
2015-03-27,,20150900,109.33,20150600
2015-03-30,,20150900,109.4,20150600
2015-03-31,,20150900,109.48,20150600
2015-04-01,,20150900,109.47,20150600
2015-04-02,,20150900,109.48,20150600
2015-04-03,,20150900,109.52,20150600
2015-04-06,,20150900,109.52,20150600
2015-04-07,,20150900,109.49,20150600
2015-04-08,,20150900,109.46,20150600
2015-04-09,,20150900,109.53,20150600
2015-04-10,,20150900,109.52,20150600
2015-04-13,,20150900,109.46,20150600
2015-04-14,,20150900,109.46,20150600
2015-04-15,,20150900,109.49,20150600
2015-04-16,,20150900,109.48,20150600
2015-04-17,109.56,20150900,109.58,20150600
2015-04-20,,20150900,109.57,20150600
2015-04-21,,20150900,109.51,20150600
2015-04-22,,20150900,109.5,20150600
2015-04-23,,20150900,109.37,20150600
2015-04-24,,20150900,109.28,20150600
2015-04-27,,20150900,109.25,20150600
2015-04-28,,20150900,109.1,20150600
2015-04-29,,20150900,109.02,20150600
2015-04-30,,20150900,109.02,20150600
2015-05-04,,20150900,108.93,20150600
2015-05-06,,20150900,108.55,20150600
2015-05-07,,20150900,108.54,20150600
2015-05-08,,20150900,108.8,20150600
2015-05-11,,20150900,108.84,20150600
2015-05-12,,20150900,108.64,20150600
2015-05-13,,20150900,108.79,20150600
2015-05-14,,20150900,108.86,20150600
2015-05-15,,20150900,108.81,20150600
2015-05-18,,20150900,108.82,20150600
2015-05-19,,20150900,108.74,20150600
2015-05-20,,20150900,108.85,20150600
2015-05-21,,20150900,108.86,20150600
2015-05-22,,20150900,108.88,20150600
2015-05-26,,20150900,108.98,20150600
2015-05-27,,20150900,109.11,20150600
2015-05-28,,20150900,109.14,20150600
2015-05-29,,20150900,109.36,20150600
2015-06-01,,20150900,109.37,20150600
2015-06-02,,20150900,109.44,20150600
2015-06-03,,20150900,109.24,20150600
2015-06-04,,20150900,109.19,20150600
2015-06-05,,20150900,109.27,20150600
2015-06-08,,20150900,109.32,20150600
2015-06-09,,20150900,109.33,20150600
2015-06-10,109.2,20150900,109.27,20150600
2015-06-11,108.97,20150900,109.11,20150600
2015-06-12,109.13,20150900,109.24,20150600
2015-06-15,109.19,20150900,109.29,20150600
2015-06-16,,20151200,109.14,20150900
2015-06-17,,20151200,108.99,20150900
2015-06-18,,20151200,109.08,20150900
2015-06-19,,20151200,109.13,20150900
2015-06-22,,20151200,109.04,20150900
2015-06-23,,20151200,109.01,20150900
2015-06-24,,20151200,108.98,20150900
2015-06-25,,20151200,109.02,20150900
2015-06-26,,20151200,108.99,20150900
2015-06-29,,20151200,109.1,20150900
2015-06-30,,20151200,109.09,20150900
2015-07-01,,20151200,109.03,20150900
2015-07-02,,20151200,108.92,20150900
2015-07-03,,20151200,108.92,20150900
2015-07-06,,20151200,109.01,20150900
2015-07-07,,20151200,109.02,20150900
2015-07-08,,20151200,109.09,20150900
2015-07-09,,20151200,109.06,20150900
2015-07-10,,20151200,109.01,20150900
2015-07-13,,20151200,109.02,20150900
2015-07-14,,20151200,109.05,20150900
2015-07-15,,20151200,109.1,20150900
2015-07-16,,20151200,109.09,20150900
2015-07-17,,20151200,109.12,20150900
2015-07-20,,20151200,109.16,20150900
2015-07-21,,20151200,109.19,20150900
2015-07-22,,20151200,109.25,20150900
2015-07-23,,20151200,109.39,20150900
2015-07-24,,20151200,109.41,20150900
2015-07-27,,20151200,109.42,20150900
2015-07-28,,20151200,109.34,20150900
2015-07-29,,20151200,109.36,20150900
2015-07-30,,20151200,109.33,20150900
2015-07-31,,20151200,109.2,20150900
2015-08-03,,20151200,109.26,20150900
2015-08-04,,20151200,109.24,20150900
2015-08-05,,20151200,109.12,20150900
2015-08-06,,20151200,109.14,20150900
2015-08-07,,20151200,109.17,20150900
2015-08-10,,20151200,109.28,20150900
2015-08-11,,20151200,109.36,20150900
2015-08-12,,20151200,109.47,20150900
2015-08-13,,20151200,109.37,20150900
2015-08-17,,20151200,109.41,20150900
2015-08-18,,20151200,109.43,20150900
2015-08-19,,20151200,109.37,20150900
2015-08-20,,20151200,109.46,20150900
2015-08-21,,20151200,109.49,20150900
2015-08-24,,20151200,109.56,20150900
2015-08-25,,20151200,109.49,20150900
2015-08-26,,20151200,109.44,20150900
2015-08-27,,20151200,109.48,20150900
2015-08-28,,20151200,109.46,20150900
2015-08-31,,20151200,109.42,20150900
2015-09-01,,20151200,109.45,20150900
2015-09-02,,20151200,109.53,20150900
2015-09-03,,20151200,109.57,20150900
2015-09-04,,20151200,109.69,20150900
2015-09-07,,20151200,109.66,20150900
2015-09-08,,20151200,109.6,20150900
2015-09-09,109.52,20151200,109.58,20150900
2015-09-10,109.57,20151200,109.65,20150900
2015-09-11,109.54,20151200,109.62,20150900
2015-09-14,109.53,20151200,109.58,20150900
2015-09-15,,20160300,109.56,20151200
2015-09-16,,20160300,109.5,20151200
2015-09-17,,20160300,109.44,20151200
2015-09-18,,20160300,109.66,20151200
2015-09-21,,20160300,109.755,20151200
2015-09-22,,20160300,109.72,20151200
2015-09-23,,20160300,109.74,20151200
2015-09-24,,20160300,109.7,20151200
2015-09-25,,20160300,109.75,20151200
2015-09-30,,20160300,109.93,20151200
2015-10-01,,20160300,109.82,20151200
2015-10-02,,20160300,109.83,20151200
2015-10-05,,20160300,109.91,20151200
2015-10-06,,20160300,109.85,20151200
2015-10-07,,20160300,109.78,20151200
2015-10-08,,20160300,109.75,20151200
2015-10-12,,20160300,109.65,20151200
2015-10-13,,20160300,109.66,20151200
2015-10-14,,20160300,109.6,20151200
2015-10-15,,20160300,109.73,20151200
2015-10-16,,20160300,109.73,20151200
2015-10-19,,20160300,109.73,20151200
2015-10-20,,20160300,109.66,20151200
2015-10-21,,20160300,109.64,20151200
2015-10-22,,20160300,109.62,20151200
2015-10-23,,20160300,109.62,20151200
2015-10-26,,20160300,109.66,20151200
2015-10-27,,20160300,109.71,20151200
2015-10-28,,20160300,109.72,20151200
2015-10-29,,20160300,109.665,20151200
2015-11-02,,20160300,109.61,20151200
2015-11-03,,20160300,109.57,20151200
2015-11-04,,20160300,109.51,20151200
2015-11-05,,20160300,109.47,20151200
2015-11-06,,20160300,109.34,20151200
2015-11-09,,20160300,109.12,20151200
2015-11-10,,20160300,109.15,20151200
2015-11-11,,20160300,109.05,20151200
2015-11-12,,20160300,109.15,20151200
2015-11-13,,20160300,109.125,20151200
2015-11-16,,20160300,109.28,20151200
2015-11-17,,20160300,109.24,20151200
2015-11-18,,20160300,109.25,20151200
2015-11-19,,20160300,109.33,20151200
2015-11-20,,20160300,109.27,20151200
2015-11-23,,20160300,109.25,20151200
2015-11-24,,20160300,109.22,20151200
2015-11-25,,20160300,109.24,20151200
2015-11-26,,20160300,109.23,20151200
2015-11-27,,20160300,109.17,20151200
2015-11-30,,20160300,109.24,20151200
2015-12-01,,20160300,109.22,20151200
2015-12-02,,20160300,109.22,20151200
2015-12-03,,20160300,109.26,20151200
2015-12-04,109.05,20160300,109.18,20151200
2015-12-07,,20160300,109.17,20151200
2015-12-08,109.18,20160300,109.31,20151200
2015-12-09,109.25,20160300,109.33,20151200
2015-12-10,109.33,20160300,109.4,20151200
2015-12-11,109.3,20160300,109.35,20151200
2015-12-14,109.35,20160300,109.4,20151200
2015-12-15,,20160600,109.37,20160300
2015-12-16,,20160600,109.3,20160300
2015-12-17,,20160600,109.39,20160300
2015-12-18,,20160600,109.54,20160300
2015-12-21,,20160600,109.63,20160300
2015-12-22,,20160600,109.55,20160300
2015-12-23,,20160600,109.58,20160300
2015-12-24,,20160600,109.6,20160300
2015-12-28,,20160600,109.58,20160300
2015-12-29,,20160600,109.64,20160300
2015-12-30,,20160600,109.61,20160300
2016-01-04,,20160600,109.74,20160300
2016-01-05,,20160600,109.69,20160300
2016-01-06,,20160600,109.7,20160300
2016-01-07,,20160600,109.7,20160300
2016-01-08,,20160600,109.62,20160300
