index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1974-07-22,43.35,19750600,44.0,19750700
1974-07-23,44.85,19750600,45.5,19750700
1974-07-24,46.35,19750600,47.0,19750700
1974-07-25,47.5,19750600,48.5,19750700
1974-07-26,46.7,19750600,47.9,19750700
1974-07-29,48.2,19750600,49.4,19750700
1974-07-30,48.425,19750600,50.0,19750700
1974-07-31,49.3,19750600,50.475,19750700
1974-08-01,47.8,19750600,48.975,19750700
1974-08-02,46.3,19750600,47.475,19750700
1974-08-05,44.8,19750600,45.975,19750700
1974-08-06,46.3,19750600,47.475,19750700
1974-08-07,47.8,19750600,48.7,19750700
1974-08-08,46.3,19750600,47.2,19750700
1974-08-09,44.8,19750600,45.7,19750700
1974-08-12,43.3,19750600,44.2,19750700
1974-08-13,44.8,19750600,45.7,19750700
1974-08-14,46.3,19750600,47.2,19750700
1974-08-15,44.8,19750600,45.7,19750700
1974-08-16,44.0,19750600,45.1,19750700
1974-08-19,43.7,19750600,45.0,19750700
1974-08-20,45.2,19750600,46.5,19750700
1974-08-21,43.7,19750600,45.0,19750700
1974-08-22,44.25,19750600,45.9,19750700
1974-08-23,45.675,19750600,47.25,19750700
1974-08-26,45.75,19750600,47.25,19750700
1974-08-27,44.25,19750600,45.75,19750700
1974-08-28,42.925,19750600,44.25,19750700
1974-08-29,43.05,19750600,44.45,19750700
1974-08-30,41.575,19750600,43.3,19750700
1974-09-03,40.075,19750600,41.8,19750700
1974-09-04,38.575,19750600,40.3,19750700
1974-09-05,40.075,19750600,41.8,19750700
1974-09-06,41.575,19750600,43.3,19750700
1974-09-09,42.925,19750600,44.45,19750700
1974-09-10,41.425,19750600,42.95,19750700
1974-09-11,40.4,19750600,41.7,19750700
1974-09-12,41.9,19750600,43.2,19750700
1974-09-13,43.4,19750600,44.7,19750700
1974-09-16,41.95,19750600,43.2,19750700
1974-09-17,43.45,19750600,44.7,19750700
1974-09-18,44.95,19750600,46.2,19750700
1974-09-19,45.85,19750600,46.825,19750700
1974-09-20,45.075,19750600,46.1,19750700
1974-09-23,45.0,19750600,45.7,19750700
1974-09-24,46.4,19750600,47.0,19750700
1974-09-25,47.175,19750600,47.9,19750700
1974-09-26,46.85,19750600,48.1,19750700
1974-09-27,47.325,19750600,48.5,19750700
1974-09-30,48.825,19750600,50.0,19750700
1974-10-01,47.6,19750600,48.525,19750700
1974-10-02,47.2,19750600,48.0,19750700
1974-10-03,48.15,19750600,49.1,19750700
1974-10-04,48.4,19750600,49.4,19750700
1974-10-07,46.9,19750600,47.95,19750700
1974-10-08,46.6,19750600,47.45,19750700
1974-10-09,48.1,19750600,48.95,19750700
1974-10-10,48.85,19750600,49.65,19750700
1974-10-11,47.9,19750600,48.825,19750700
1974-10-14,46.75,19750600,47.75,19750700
1974-10-15,48.2,19750600,49.25,19750700
1974-10-16,48.8,19750600,49.7,19750700
1974-10-17,48.15,19750600,49.3,19750700
1974-10-18,47.6,19750600,48.7,19750700
1974-10-21,49.1,19750600,50.075,19750700
1974-10-22,48.85,19750600,49.9,19750700
1974-10-23,48.4,19750600,49.225,19750700
1974-10-24,47.45,19750600,48.5,19750700
1974-10-25,47.05,19750600,48.25,19750700
1974-10-28,46.6,19750600,47.65,19750700
1974-10-29,45.25,19750600,46.3,19750700
1974-10-30,44.05,19750600,45.1,19750700
1974-10-31,45.45,19750600,46.6,19750700
1974-11-01,45.0,19750600,46.2,19750700
1974-11-04,46.1,19750600,47.175,19750700
1974-11-06,47.275,19750600,48.025,19750700
1974-11-07,46.7,19750600,47.6,19750700
1974-11-08,45.95,19750600,46.75,19750700
1974-11-11,44.625,19750600,45.55,19750700
1974-11-12,43.5,19750600,44.4,19750700
1974-11-13,42.925,19750600,44.0,19750700
1974-11-14,43.55,19750600,44.6,19750700
1974-11-15,44.425,19750600,45.25,19750700
1974-11-18,42.925,19750600,43.75,19750700
1974-11-19,43.925,19750600,44.9,19750700
1974-11-20,45.05,19750600,45.9,19750700
1974-11-21,44.55,19750600,45.35,19750700
1974-11-22,45.7,19750600,46.3,19750700
1974-11-25,45.25,19750600,46.0,19750700
1974-11-26,45.95,19750600,46.7,19750700
1974-11-27,46.225,19750600,47.0,19750700
1974-11-29,46.4,19750600,47.225,19750700
1974-12-02,45.45,19750600,46.2,19750700
1974-12-03,46.8,19750600,47.425,19750700
1974-12-04,46.775,19750600,47.45,19750700
1974-12-05,47.825,19750600,48.45,19750700
1974-12-06,47.35,19750600,48.0,19750700
1974-12-09,48.325,19750600,48.8,19750700
1974-12-10,48.7,19750600,49.35,19750700
1974-12-11,48.425,19750600,49.0,19750700
1974-12-12,47.95,19750600,48.7,19750700
1974-12-13,48.7,19750600,49.35,19750700
1974-12-16,48.45,19750600,48.7,19750700
1974-12-17,48.875,19750600,49.15,19750700
1974-12-18,47.45,19750600,47.85,19750700
1974-12-19,48.025,19750600,48.45,19750700
1974-12-20,47.225,19750600,47.675,19750700
1974-12-23,47.4,19750600,47.975,19750700
1974-12-24,45.95,19750600,46.9,19750700
1974-12-26,44.875,19750600,45.65,19750700
1974-12-27,45.125,19750600,45.775,19750700
1974-12-30,43.675,19750600,44.275,19750700
1974-12-31,44.65,19750600,45.225,19750700
1975-01-02,45.275,19750600,45.9,19750700
1975-01-03,44.75,19750600,45.475,19750700
1975-01-06,44.65,19750600,45.45,19750700
1975-01-07,45.05,19750600,45.825,19750700
1975-01-08,44.15,19750600,45.1,19750700
1975-01-09,44.55,19750600,45.55,19750700
1975-01-10,44.85,19750600,46.1,19750700
1975-01-13,44.475,19750600,45.6,19750700
1975-01-14,44.15,19750600,45.3,19750700
1975-01-15,42.65,19750600,43.95,19750700
1975-01-16,41.275,19750600,42.75,19750700
1975-01-17,39.775,19750600,41.25,19750700
1975-01-20,41.275,19750600,42.75,19750700
1975-01-21,40.15,19750600,41.4,19750700
1975-01-22,41.075,19750600,42.15,19750700
1975-01-23,42.55,19750600,43.65,19750700
1975-01-24,42.15,19750600,43.225,19750700
1975-01-27,43.175,19750600,43.975,19750700
1975-01-28,43.85,19750600,44.725,19750700
1975-01-29,45.125,19750600,46.0,19750700
1975-01-30,44.375,19750600,45.4,19750700
1975-01-31,43.025,19750600,43.95,19750700
1975-02-03,43.325,19750600,44.25,19750700
1975-02-04,44.55,19750600,45.375,19750700
1975-02-05,43.15,19750600,43.875,19750700
1975-02-06,42.45,19750600,43.5,19750700
1975-02-07,42.95,19750600,43.9,19750700
1975-02-10,42.725,19750600,43.7,19750700
1975-02-11,42.425,19750600,43.3,19750700
1975-02-12,41.65,19750600,42.825,19750700
1975-02-13,42.9,19750600,43.9,19750700
1975-02-14,42.825,19750600,43.975,19750700
1975-02-18,43.975,19750600,45.025,19750700
1975-02-19,43.55,19750600,44.625,19750700
1975-02-20,42.75,19750600,43.6,19750700
1975-02-21,43.6,19750600,44.35,19750700
1975-02-24,43.375,19750600,44.075,19750700
1975-02-25,43.15,19750600,44.175,19750700
1975-02-26,42.675,19750600,43.45,19750700
1975-02-27,41.7,19750600,42.6,19750700
1975-02-28,41.125,19750600,41.975,19750700
1975-03-03,39.85,19750600,40.875,19750700
