index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1971-10-21,31.2,19720800,31.0,19721000
1971-10-22,31.2,19720800,31.0,19721000
1971-10-25,31.3,19720800,30.55,19721000
1971-10-26,31.45,19720800,31.125,19721000
1971-10-27,31.375,19720800,31.1,19721000
1971-10-28,31.3,19720800,31.1,19721000
1971-10-29,31.325,19720800,31.075,19721000
1971-11-01,31.35,19720800,31.0,19721000
1971-11-02,31.325,19720800,31.0,19721000
1971-11-03,31.35,19720800,30.975,19721000
1971-11-04,31.45,19720800,31.05,19721000
1971-11-05,31.45,19720800,31.075,19721000
1971-11-08,31.4,19720800,30.75,19721000
1971-11-09,31.3,19720800,30.95,19721000
1971-11-10,31.275,19720800,30.95,19721000
1971-11-11,31.325,19720800,30.95,19721000
1971-11-12,31.325,19720800,30.95,19721000
1971-11-15,31.4,19720800,31.025,19721000
1971-11-16,31.4,19720800,31.05,19721000
1971-11-17,31.65,19720800,31.3,19721000
1971-11-18,31.75,19720800,31.3,19721000
1971-11-19,31.9,19720800,31.4,19721000
1971-11-22,32.0,19720800,31.75,19721000
1971-11-23,32.125,19720800,31.75,19721000
1971-11-24,32.0,19720800,31.65,19721000
1971-11-26,31.85,19720800,31.425,19721000
1971-11-29,31.625,19720800,31.2,19721000
1971-11-30,31.6,19720800,31.15,19721000
1971-12-01,31.55,19720800,31.1,19721000
1971-12-02,31.65,19720800,31.275,19721000
1971-12-03,31.8,19720800,31.375,19721000
1971-12-06,31.75,19720800,31.375,19721000
1971-12-07,31.75,19720800,31.35,19721000
1971-12-08,31.55,19720800,31.2,19721000
1971-12-09,31.4,19720800,31.15,19721000
1971-12-10,31.55,19720800,31.15,19721000
1971-12-13,31.4,19720800,31.05,19721000
1971-12-14,31.45,19720800,31.1,19721000
1971-12-15,31.8,19720800,31.25,19721000
1971-12-16,32.0,19720800,31.5,19721000
1971-12-17,32.25,19720800,31.7,19721000
1971-12-20,32.0,19720800,31.6,19721000
1971-12-21,32.075,19720800,31.6,19721000
1971-12-22,31.975,19720800,31.55,19721000
1971-12-23,32.1,19720800,31.575,19721000
1971-12-27,32.1,19720800,31.575,19721000
1971-12-28,32.15,19720800,31.6,19721000
1971-12-29,32.1,19720800,31.5,19721000
1971-12-30,32.175,19720800,31.6,19721000
1972-01-03,32.175,19720800,31.65,19721000
1972-01-04,32.525,19720800,32.0,19721000
1972-01-05,32.8,19720800,32.225,19721000
1972-01-06,32.75,19720800,32.25,19721000
1972-01-07,32.925,19720800,32.225,19721000
1972-01-10,33.05,19720800,32.325,19721000
1972-01-11,32.95,19720800,32.175,19721000
1972-01-12,33.175,19720800,32.35,19721000
1972-01-13,33.375,19720800,32.525,19721000
1972-01-14,33.625,19720800,32.9,19721000
1972-01-17,34.25,19720800,33.4,19721000
1972-01-18,33.25,19720800,32.4,19721000
1972-01-19,33.1,19720800,32.45,19721000
1972-01-20,33.175,19720800,32.7,19721000
1972-01-21,33.35,19720800,32.7,19721000
1972-01-24,33.55,19720800,32.775,19721000
1972-01-25,33.6,19720800,32.825,19721000
1972-01-26,33.4,19720800,32.625,19721000
1972-01-27,33.5,19720800,32.675,19721000
1972-01-28,33.375,19720800,32.6,19721000
1972-01-31,33.25,19720800,32.525,19721000
1972-02-01,32.975,19720800,32.425,19721000
1972-02-02,32.7,19720800,32.1,19721000
1972-02-03,32.85,19720800,32.15,19721000
1972-02-04,33.3,19720800,32.6,19721000
1972-02-07,33.7,19720800,32.975,19721000
