index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2021-03-12,,20210900,790.1,20210600
2021-03-15,,20210900,789.7,20210600
2021-03-16,,20210900,798.0,20210600
2021-03-17,,20210900,789.1,20210600
2021-03-18,,20210900,792.2,20210600
2021-03-19,,20210900,790.1,20210600
2021-03-22,,20210900,794.0,20210600
2021-03-23,,20210900,782.3,20210600
2021-03-24,,20210900,764.7,20210600
2021-03-25,,20210900,761.5,20210600
2021-03-26,,20210900,767.1,20210600
2021-03-29,,20210900,772.7,20210600
2021-03-30,,20210900,777.5,20210600
2021-03-31,,20210900,779.3,20210600
2021-04-01,,20210900,792.3,20210600
2021-04-06,,20210900,797.8,20210600
2021-04-07,,20210900,783.5,20210600
2021-04-08,,20210900,790.1,20210600
2021-04-09,,20210900,780.6,20210600
2021-04-12,,20210900,776.3,20210600
2021-04-13,,20210900,781.5,20210600
2021-04-14,,20210900,786.6,20210600
2021-04-15,,20210900,787.1,20210600
2021-04-16,,20210900,790.6,20210600
2021-04-19,,20210900,787.5,20210600
2021-04-20,,20210900,781.5,20210600
2021-04-21,,20210900,783.0,20210600
2021-04-22,,20210900,786.8,20210600
2021-04-23,,20210900,795.4,20210600
2021-04-26,,20210900,795.5,20210600
2021-04-27,,20210900,798.1,20210600
2021-04-28,,20210900,800.3,20210600
2021-04-29,,20210900,797.5,20210600
2021-04-30,,20210900,788.7,20210600
2021-05-03,,20210900,786.2,20210600
2021-05-04,,20210900,773.4,20210600
2021-05-05,,20210900,780.3,20210600
2021-05-06,,20210900,783.1,20210600
2021-05-07,,20210900,795.0,20210600
2021-05-10,,20210900,778.5,20210600
2021-05-11,,20210900,768.4,20210600
2021-05-12,,20210900,752.9,20210600
2021-05-13,,20210900,749.0,20210600
2021-05-14,,20210900,761.0,20210600
2021-05-17,,20210900,758.9,20210600
2021-05-18,,20210900,775.2,20210600
2021-05-19,,20210900,769.3,20210600
2021-05-20,,20210900,776.8,20210600
2021-05-21,,20210900,769.4,20210600
2021-05-24,,20210900,774.0,20210600
2021-05-25,,20210900,782.5,20210600
2021-05-26,,20210900,787.5,20210600
2021-05-27,,20210900,788.9,20210600
2021-05-28,,20210900,793.8,20210600
2021-05-31,,20210900,799.8,20210600
2021-06-01,,20210900,808.6,20210600
2021-06-02,,20210900,808.7,20210600
2021-06-03,,20210900,801.6,20210600
2021-06-04,,20210900,805.8,20210600
2021-06-07,,20210900,798.8,20210600
2021-06-08,,20210900,795.0,20210600
2021-06-09,,20210900,795.6,20210600
2021-06-10,,20210900,800.1,20210600
2021-06-11,798.2,20210900,798.3,20210600
2021-06-14,,20211200,801.6,20210900
2021-06-15,,20211200,796.8,20210900
2021-06-16,,20211200,794.9,20210900
2021-06-17,,20211200,792.5,20210900
2021-06-18,,20211200,785.5,20210900
2021-06-21,,20211200,785.6,20210900
2021-06-22,,20211200,781.5,20210900
2021-06-23,,20211200,790.9,20210900
2021-06-24,,20211200,796.1,20210900
2021-06-25,,20211200,802.8,20210900
2021-06-28,,20211200,805.4,20210900
2021-06-29,,20211200,800.4,20210900
2021-06-30,,20211200,800.6,20210900
2021-07-01,,20211200,792.7,20210900
2021-07-02,,20211200,789.5,20210900
2021-07-05,,20211200,786.8,20210900
2021-07-06,,20211200,781.7,20210900
2021-07-07,,20211200,778.5,20210900
2021-07-08,,20211200,760.4,20210900
2021-07-09,,20211200,772.2,20210900
2021-07-12,,20211200,773.3,20210900
2021-07-13,,20211200,782.3,20210900
2021-07-14,,20211200,779.9,20210900
2021-07-15,,20211200,784.5,20210900
2021-07-16,,20211200,777.4,20210900
2021-07-19,,20211200,762.5,20210900
2021-07-20,,20211200,764.3,20210900
2021-07-21,,20211200,766.4,20210900
2021-07-22,,20211200,772.0,20210900
2021-07-23,,20211200,755.6,20210900
2021-07-26,,20211200,739.9,20210900
2021-07-27,,20211200,715.8,20210900
2021-07-28,,20211200,737.8,20210900
2021-07-29,,20211200,747.1,20210900
2021-07-30,,20211200,740.6,20210900
2021-08-02,,20211200,748.9,20210900
2021-08-03,,20211200,744.9,20210900
2021-08-04,,20211200,755.3,20210900
2021-08-05,,20211200,754.9,20210900
2021-08-06,,20211200,745.2,20210900
2021-08-09,,20211200,752.0,20210900
2021-08-10,,20211200,749.2,20210900
2021-08-11,,20211200,749.2,20210900
2021-08-12,,20211200,742.6,20210900
2021-08-13,,20211200,738.6,20210900
2021-08-16,,20211200,730.5,20210900
2021-08-17,,20211200,719.7,20210900
2021-08-18,,20211200,724.8,20210900
2021-08-19,,20211200,707.8,20210900
2021-08-20,,20211200,705.8,20210900
2021-08-23,,20211200,714.6,20210900
2021-08-24,,20211200,735.8,20210900
2021-08-25,,20211200,737.0,20210900
2021-08-26,,20211200,732.0,20210900
2021-08-27,,20211200,737.0,20210900
2021-08-30,,20211200,738.9,20210900
2021-08-31,751.6,20211200,751.3,20210900
2021-09-01,,20211200,763.1,20210900
2021-09-02,764.2,20211200,763.9,20210900
2021-09-03,,20211200,764.6,20210900
2021-09-06,,20211200,771.9,20210900
2021-09-07,770.5,20211200,770.4,20210900
2021-09-08,,20211200,759.1,20210900
2021-09-09,,20211200,758.2,20210900
2021-09-10,759.4,20211200,759.3,20210900
2021-09-13,,20220300,756.5,20211200
2021-09-14,,20220300,750.9,20211200
2021-09-15,,20220300,743.4,20211200
2021-09-16,,20220300,738.4,20211200
2021-09-17,,20220300,739.7,20211200
2021-09-20,,20220300,722.0,20211200
2021-09-21,,20220300,721.3,20211200
2021-09-22,,20220300,735.3,20211200
2021-09-23,,20220300,735.9,20211200
2021-09-24,,20220300,729.7,20211200
2021-09-27,,20220300,733.1,20211200
2021-09-28,,20220300,723.8,20211200
2021-09-29,,20220300,720.6,20211200
2021-09-30,,20220300,727.1,20211200
2021-10-01,,20220300,716.8,20211200
2021-10-04,,20220300,704.7,20211200
2021-10-05,,20220300,713.4,20211200
2021-10-06,,20220300,704.2,20211200
2021-10-07,,20220300,726.9,20211200
2021-10-08,,20220300,725.9,20211200
2021-10-11,,20220300,730.7,20211200
2021-10-12,,20220300,723.2,20211200
2021-10-13,,20220300,731.2,20211200
2021-10-14,,20220300,732.9,20211200
2021-10-15,,20220300,743.1,20211200
2021-10-18,,20220300,743.4,20211200
2021-10-19,,20220300,754.9,20211200
2021-10-20,,20220300,754.7,20211200
2021-10-21,,20220300,750.1,20211200
2021-10-22,,20220300,749.5,20211200
2021-10-25,,20220300,752.9,20211200
2021-10-26,,20220300,755.5,20211200
2021-10-27,,20220300,745.0,20211200
2021-10-28,,20220300,742.2,20211200
2021-10-29,,20220300,730.9,20211200
2021-11-01,,20220300,738.7,20211200
2021-11-02,,20220300,732.2,20211200
2021-11-03,,20220300,730.5,20211200
2021-11-04,,20220300,733.2,20211200
