index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2018-06-08,,20181200,1128.0,20180900
2018-06-11,,20181200,1131.0,20180900
2018-06-12,,20181200,1148.0,20180900
2018-06-13,,20181200,1153.0,20180900
2018-06-14,,20181200,1146.0,20180900
2018-06-15,,20181200,1152.0,20180900
2018-06-18,,20181200,1136.0,20180900
2018-06-19,,20181200,1104.0,20180900
2018-06-20,,20181200,1113.0,20180900
2018-06-21,,20181200,1125.0,20180900
2018-06-22,,20181200,1106.0,20180900
2018-06-25,,20181200,1073.0,20180900
2018-06-26,,20181200,1073.0,20180900
2018-06-27,,20181200,1083.0,20180900
2018-06-28,,20181200,1067.0,20180900
2018-06-29,,20181200,1090.0,20180900
2018-07-02,,20181200,1056.0,20180900
2018-07-03,,20181200,1044.0,20180900
2018-07-04,,20181200,1035.0,20180900
2018-07-05,,20181200,996.0,20180900
2018-07-06,,20181200,1025.0,20180900
2018-07-09,,20181200,1048.0,20180900
2018-07-10,,20181200,1042.0,20180900
2018-07-11,,20181200,1030.0,20180900
2018-07-12,,20181200,1040.0,20180900
2018-07-13,,20181200,1047.0,20180900
2018-07-17,,20181200,1031.0,20180900
2018-07-18,,20181200,1050.0,20180900
2018-07-19,,20181200,1045.0,20180900
2018-07-20,,20181200,1048.0,20180900
2018-07-23,,20181200,1040.0,20180900
2018-07-24,,20181200,1058.0,20180900
2018-07-25,,20181200,1064.0,20180900
2018-07-26,,20181200,1057.0,20180900
2018-07-27,,20181200,1058.0,20180900
2018-07-30,,20181200,1039.0,20180900
2018-07-31,,20181200,1039.0,20180900
2018-08-01,,20181200,1033.0,20180900
2018-08-02,,20181200,1034.0,20180900
2018-08-03,,20181200,1020.0,20180900
2018-08-06,,20181200,1007.0,20180900
2018-08-07,,20181200,1010.0,20180900
2018-08-08,,20181200,1027.0,20180900
2018-08-09,,20181200,1028.0,20180900
2018-08-10,,20181200,1004.0,20180900
2018-08-13,,20181200,962.0,20180900
2018-08-14,,20181200,975.0,20180900
2018-08-15,,20181200,955.0,20180900
2018-08-16,,20181200,942.0,20180900
2018-08-17,,20181200,959.0,20180900
2018-08-20,,20181200,952.0,20180900
2018-08-21,,20181200,948.0,20180900
2018-08-22,,20181200,969.0,20180900
2018-08-23,,20181200,976.0,20180900
2018-08-24,,20181200,994.0,20180900
2018-08-27,,20181200,1024.0,20180900
2018-08-28,,20181200,1020.0,20180900
2018-08-29,,20181200,1030.0,20180900
2018-08-30,,20181200,1040.0,20180900
2018-08-31,,20181200,1049.0,20180900
2018-09-03,1032.0,20181200,1033.0,20180900
2018-09-04,1044.0,20181200,1045.0,20180900
2018-09-05,1033.0,20181200,1034.0,20180900
2018-09-06,1009.0,20181200,1010.0,20180900
2018-09-07,1008.0,20181200,1009.0,20180900
2018-09-10,1014.0,20181200,1015.0,20180900
2018-09-11,,20190300,1016.0,20181200
2018-09-12,,20190300,999.0,20181200
2018-09-13,,20190300,998.0,20181200
2018-09-14,,20190300,1017.0,20181200
2018-09-18,,20190300,1025.0,20181200
2018-09-19,,20190300,1029.0,20181200
2018-09-20,,20190300,1025.0,20181200
2018-09-21,,20190300,1039.0,20181200
2018-09-25,,20190300,1048.0,20181200
2018-09-26,,20190300,1071.0,20181200
2018-09-27,,20190300,1067.0,20181200
2018-09-28,,20190300,1078.0,20181200
2018-10-01,,20190300,1075.0,20181200
2018-10-02,,20190300,1054.0,20181200
2018-10-03,,20190300,1054.0,20181200
2018-10-04,,20190300,1045.0,20181200
2018-10-05,,20190300,1022.0,20181200
2018-10-09,,20190300,1000.0,20181200
2018-10-10,,20190300,1001.0,20181200
2018-10-11,,20190300,953.0,20181200
2018-10-12,,20190300,988.0,20181200
