index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1995-09-15,0.141,19960300,0.1492,19951200
1995-09-18,0.1412,19960300,0.1495,19951200
1995-09-19,0.1413,19960300,0.1496,19951200
1995-09-20,0.14085,19960300,0.1493,19951200
1995-09-21,0.1408,19960300,0.1491,19951200
1995-09-22,0.1401,19960300,0.14845,19951200
1995-09-25,0.1395,19960300,0.1475,19951200
1995-09-26,0.1395,19960300,0.1475,19951200
1995-09-27,0.1371,19960300,0.1457,19951200
1995-09-28,0.139,19960300,0.1478,19951200
1995-09-29,0.1393,19960300,0.1479,19951200
1995-10-02,0.1373,19960300,0.1461,19951200
1995-10-03,0.1345,19960300,0.14325,19951200
1995-10-04,0.13355,19960300,0.1427,19951200
1995-10-05,0.1339,19960300,0.14415,19951200
1995-10-06,0.1344,19960300,0.14418,19951200
1995-10-09,0.1349,19960300,0.1443,19951200
1995-10-10,0.1289,19960300,0.1393,19951200
1995-10-11,0.129,19960300,0.1389,19951200
1995-10-12,0.1304,19960300,0.14045,19951200
1995-10-13,0.1286,19960300,0.1384,19951200
1995-10-16,0.1287,19960300,0.13885,19951200
1995-10-17,0.1285,19960300,0.1391,19951200
1995-10-18,0.1305,19960300,0.14115,19951200
1995-10-19,0.1312,19960300,0.1419,19951200
1995-10-20,0.1324,19960300,0.143,19951200
1995-10-23,0.1297,19960300,0.14025,19951200
1995-10-24,0.13,19960300,0.14055,19951200
1995-10-25,0.1292,19960300,0.1398,19951200
1995-10-26,0.1159999999999999,19960300,0.127,19951200
1995-10-27,0.1186,19960300,0.13135,19951200
1995-10-30,0.1255,19960300,0.13705,19951200
1995-10-31,0.1222,19960300,0.1336,19951200
1995-11-01,0.1185,19960300,0.13,19951200
1995-11-02,0.1191,19960300,0.1306,19951200
1995-11-03,0.1158,19960300,0.1275,19951200
1995-11-06,0.1155,19960300,0.1272,19951200
1995-11-07,0.1144,19960300,0.1266,19951200
1995-11-08,0.1094,19960300,0.1211,19951200
1995-11-09,0.1095,19960300,0.1215,19951200
1995-11-10,0.1115,19960300,0.1245,19951200
1995-11-13,0.1061,19960300,0.1201,19951200
1995-11-14,0.1041,19960300,0.1176,19951200
1995-11-15,0.10525,19960300,0.1193,19951200
1995-11-16,0.1105,19960300,0.1235,19951200
1995-11-17,0.1119999999999999,19960300,0.12475,19951200
1995-11-20,0.1115,19960300,0.1245,19951200
1995-11-21,0.1125,19960300,0.1246,19951200
1995-11-22,0.1132,19960300,0.1252,19951200
1995-11-24,0.1153,19960300,0.127,19951200
1995-11-27,0.1151,19960300,0.1268,19951200
1995-11-28,0.1156,19960300,0.12793,19951200
1995-11-29,0.1199,19960300,0.1314,19951200
1995-11-30,0.1189,19960300,0.1302,19951200
1995-12-01,0.1187,19960300,0.12995,19951200
1995-12-04,0.1184,19960300,0.1297,19951200
1995-12-05,0.1168,19960300,0.1286,19951200
1995-12-06,0.1173,19960300,0.12875,19951200
1995-12-07,0.1169999999999999,19960300,0.1284,19951200
1995-12-08,0.1161,19960300,0.1276,19951200
1995-12-11,0.1165,19960300,0.1282,19951200
1995-12-12,0.1168,19960300,0.1285,19951200
1995-12-13,0.1156,19960300,0.1277,19951200
1995-12-14,0.1157,19960300,0.128,19951200
1995-12-15,0.1072,19960600,0.1165,19960300
1995-12-18,0.1081,19960600,0.1166,19960300
1995-12-19,0.1103,19960600,0.11895,19960300
1995-12-20,0.1119,19960600,0.1207,19960300
1995-12-21,0.1114,19960600,0.1202,19960300
1995-12-22,0.1116,19960600,0.1206,19960300
1995-12-26,0.1128,19960600,0.121,19960300
1995-12-27,0.1117,19960600,0.12075,19960300
1995-12-28,0.1115,19960600,0.1202,19960300
1995-12-29,0.1112,19960600,0.1198,19960300
1996-01-02,0.1125,19960600,0.1216,19960300
1996-01-03,0.114,19960600,0.123,19960300
1996-01-04,0.1146,19960600,0.1235,19960300
1996-01-05,0.1145,19960600,0.1235,19960300
1996-01-08,0.1151,19960600,0.1243,19960300
1996-01-09,0.1159999999999999,19960600,0.1249,19960300
1996-01-10,0.1157,19960600,0.1247,19960300
1996-01-11,0.1161,19960600,0.1252,19960300
1996-01-12,0.1165,19960600,0.1257,19960300
1996-01-15,0.1161,19960600,0.1252,19960300
1996-01-16,0.1159999999999999,19960600,0.1252,19960300
1996-01-17,0.1169,19960600,0.1261,19960300
1996-01-18,0.1182,19960600,0.1275,19960300
1996-01-19,0.119,19960600,0.1281,19960300
1996-01-22,0.1206,19960600,0.1296,19960300
1996-01-23,0.1189,19960600,0.12815,19960300
1996-01-24,0.1197,19960600,0.1289,19960300
1996-01-25,0.1201,19960600,0.1293,19960300
1996-01-26,0.1194,19960600,0.1288,19960300
1996-01-29,0.1203,19960600,0.1298,19960300
1996-01-30,0.12015,19960600,0.12975,19960300
1996-01-31,0.12025,19960600,0.13015,19960300
1996-02-01,0.12005,19960600,0.12995,19960300
1996-02-02,0.1204,19960600,0.1302,19960300
1996-02-05,0.1205,19960600,0.1304,19960300
1996-02-06,0.1198,19960600,0.12955,19960300
1996-02-07,0.1196,19960600,0.1293,19960300
1996-02-08,0.1196,19960600,0.1294,19960300
