index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1999-12-14,,20000600,3224.0,20000300
1999-12-15,,20000600,3275.5,20000300
1999-12-16,,20000600,3382.0,20000300
1999-12-17,3466.0,20000600,3414.0,20000300
1999-12-20,3498.5,20000600,3446.5,20000300
1999-12-21,3649.0,20000600,3599.0,20000300
1999-12-22,3670.5,20000600,3619.5,20000300
1999-12-23,3696.0,20000600,3644.0,20000300
1999-12-27,3692.0,20000600,3640.0,20000300
1999-12-28,3674.5,20000600,3622.5,20000300
1999-12-29,3796.5,20000600,3744.5,20000300
1999-12-30,3786.5,20000600,3734.5,20000300
1999-12-31,3806.0,20000600,3754.0,20000300
2000-01-03,3896.5,20000600,3844.5,20000300
2000-01-04,3607.5,20000600,3557.5,20000300
2000-01-05,3562.5,20000600,3512.5,20000300
2000-01-06,3362.5,20000600,3312.5,20000300
2000-01-07,3607.5,20000600,3557.5,20000300
2000-01-10,3820.0,20000600,3770.0,20000300
2000-01-11,3625.0,20000600,3575.0,20000300
2000-01-12,3553.5,20000600,3503.5,20000300
2000-01-13,3702.5,20000600,3652.5,20000300
2000-01-14,3801.5,20000600,3751.5,20000300
2000-01-18,3860.0,20000600,3807.0,20000300
2000-01-19,3902.0,20000600,3850.0,20000300
2000-01-20,3928.5,20000600,3876.5,20000300
2000-01-21,3943.5,20000600,3889.5,20000300
2000-01-24,3736.5,20000600,3683.5,20000300
2000-01-25,3845.5,20000600,3791.5,20000300
2000-01-26,3706.5,20000600,3654.5,20000300
2000-01-27,3688.0,20000600,3636.0,20000300
2000-01-28,3525.0,20000600,3475.0,20000300
2000-01-31,3662.5,20000600,3612.5,20000300
2000-02-01,3687.0,20000600,3719.0,20000300
2000-02-02,3786.0,20000600,3760.0,20000300
2000-02-03,3944.5,20000600,3882.0,20000300
2000-02-04,3960.5,20000600,3908.5,20000300
2000-02-07,4011.5,20000600,3947.5,20000300
2000-02-08,4151.0,20000600,4117.0,20000300
2000-02-09,4032.0,20000600,3971.0,20000300
2000-02-10,4168.5,20000600,4105.0,20000300
2000-02-11,4049.0,20000600,3996.0,20000300
2000-02-14,4060.0,20000600,4006.5,20000300
2000-02-15,4093.0,20000600,4042.0,20000300
2000-02-16,4077.0,20000600,4030.0,20000300
2000-02-17,4163.5,20000600,4104.0,20000300
2000-02-18,4025.5,20000600,3980.0,20000300
2000-02-22,4021.0,20000600,3975.0,20000300
2000-02-23,4245.5,20000600,4180.0,20000300
2000-02-24,4256.0,20000600,4286.5,20000300
2000-02-25,4254.0,20000600,4190.5,20000300
2000-02-28,4218.0,20000600,4163.0,20000300
2000-02-29,4362.0,20000600,4293.0,20000300
2000-03-01,4386.5,20000600,4314.0,20000300
2000-03-02,4290.0,20000600,4234.5,20000300
2000-03-03,4516.5,20000600,4455.5,20000300
2000-03-06,4563.5,20000600,4486.0,20000300
2000-03-07,4428.5,20000600,4397.5,20000300
2000-03-08,4521.5,20000600,4460.0,20000300
2000-03-09,4671.0,20000600,4593.0,20000300
2000-03-10,4667.0,20000600,4600.5,20000300
2000-03-13,4518.0,20000600,4459.5,20000300
2000-03-14,,20000900,4325.0,20000600
2000-03-15,,20000900,4190.0,20000600
2000-03-16,,20000900,4418.0,20000600
2000-03-17,4572.5,20000900,4512.0,20000600
2000-03-20,4408.5,20000900,4347.0,20000600
2000-03-21,4574.0,20000900,4515.0,20000600
2000-03-22,4676.0,20000900,4630.5,20000600
2000-03-23,4788.5,20000900,4734.0,20000600
2000-03-24,4860.0,20000900,4805.0,20000600
2000-03-27,4818.0,20000900,4762.0,20000600
2000-03-28,4730.5,20000900,4662.5,20000600
2000-03-29,4536.5,20000900,4468.5,20000600
2000-03-30,4395.5,20000900,4327.5,20000600
2000-03-31,4523.5,20000900,4457.5,20000600
2000-04-03,4200.0,20000900,4143.0,20000600
2000-04-04,4134.0,20000900,4066.0,20000600
2000-04-05,4120.0,20000900,4060.0,20000600
2000-04-06,4205.0,20000900,4145.0,20000600
2000-04-07,4400.0,20000900,4337.0,20000600
2000-04-10,4088.5,20000900,4025.5,20000600
2000-04-11,4015.0,20000900,3955.0,20000600
2000-04-12,3751.0,20000900,3695.0,20000600
2000-04-13,3635.0,20000900,3585.0,20000600
2000-04-14,3267.5,20000900,3217.5,20000600
2000-04-17,3627.5,20000900,3577.5,20000600
2000-04-18,3800.0,20000900,3750.0,20000600
2000-04-19,3672.5,20000900,3622.5,20000600
2000-04-20,3585.0,20000900,3535.0,20000600
2000-04-24,3467.0,20000900,3417.0,20000600
2000-04-25,3695.0,20000900,3645.0,20000600
2000-04-26,3577.5,20000900,3527.5,20000600
2000-04-27,3738.0,20000900,3685.0,20000600
2000-04-28,3863.0,20000900,3810.0,20000600
2000-05-01,3920.0,20000900,3867.0,20000600
2000-05-02,3691.0,20000900,3638.0,20000600
2000-05-03,3638.0,20000900,3585.0,20000600
2000-05-04,3642.5,20000900,3589.5,20000600
2000-05-05,3748.0,20000900,3695.0,20000600
2000-05-08,3601.5,20000900,3551.5,20000600
2000-05-09,3502.5,20000900,3452.5,20000600
2000-05-10,3302.5,20000900,3252.5,20000600
2000-05-11,3435.5,20000900,3385.5,20000600
2000-05-12,3467.5,20000900,3417.5,20000600
2000-05-15,3609.5,20000900,3559.5,20000600
