index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2011-06-10,9505.0,20110800,9505.0,20110700
2011-06-13,9455.0,20110800,9455.0,20110700
2011-06-14,9535.0,20110800,9535.0,20110700
2011-06-15,9580.0,20110800,9585.0,20110700
2011-06-16,9415.0,20110800,9415.0,20110700
2011-06-17,9345.0,20110800,9340.0,20110700
2011-06-20,9355.0,20110800,9350.0,20110700
2011-06-21,9450.0,20110800,9450.0,20110700
2011-06-22,9615.0,20110800,9610.0,20110700
2011-06-23,9600.0,20110800,9605.0,20110700
2011-06-24,9685.0,20110800,9685.0,20110700
2011-06-27,9590.0,20110800,9590.0,20110700
2011-06-28,9655.0,20110800,9655.0,20110700
2011-06-29,9790.0,20110800,9785.0,20110700
2011-06-30,9820.0,20110800,9815.0,20110700
2011-07-01,9860.0,20110800,9860.0,20110700
2011-07-04,9965.0,20110800,9970.0,20110700
2011-07-05,9970.0,20110800,9970.0,20110700
2011-07-06,10085.0,20110800,10080.0,20110700
2011-07-07,10080.0,20110800,10085.0,20110700
2011-07-08,10160.0,20110900,10165.0,20110800
2011-07-11,10080.0,20110900,10080.0,20110800
2011-07-12,9920.0,20110900,9925.0,20110800
2011-07-13,9950.0,20110900,9955.0,20110800
2011-07-14,9930.0,20110900,9935.0,20110800
2011-07-15,9970.0,20110900,9975.0,20110800
2011-07-19,9890.0,20110900,9895.0,20110800
2011-07-20,10020.0,20110900,10015.0,20110800
2011-07-21,10010.0,20110900,10015.0,20110800
2011-07-22,10140.0,20110900,10135.0,20110800
2011-07-25,10050.0,20110900,10055.0,20110800
2011-07-26,10110.0,20110900,10105.0,20110800
2011-07-27,10040.0,20110900,10050.0,20110800
2011-07-28,9900.0,20110900,9900.0,20110800
2011-07-29,9830.0,20110900,9840.0,20110800
2011-08-01,9970.0,20110900,9970.0,20110800
2011-08-02,9830.0,20110900,9840.0,20110800
2011-08-03,9650.0,20110900,9650.0,20110800
2011-08-04,9670.0,20110900,9665.0,20110800
2011-08-05,9280.0,20110900,9280.0,20110800
2011-08-08,9120.0,20110900,9115.0,20110800
2011-08-09,9000.0,20110900,8995.0,20110800
2011-08-10,9020.0,20110900,9020.0,20110800
2011-08-11,8910.0,20111000,8980.0,20110900
2011-08-12,8895.0,20111000,8960.0,20110900
2011-08-15,8985.0,20111000,9060.0,20110900
2011-08-16,9010.0,20111000,9070.0,20110900
2011-08-17,8980.0,20111000,9040.0,20110900
2011-08-18,8885.0,20111000,8940.0,20110900
2011-08-19,8655.0,20111000,8710.0,20110900
2011-08-22,8560.0,20111000,8620.0,20110900
2011-08-23,8675.0,20111000,8740.0,20110900
2011-08-24,8595.0,20111000,8660.0,20110900
2011-08-25,8720.0,20111000,8780.0,20110900
2011-08-26,8735.0,20111000,8790.0,20110900
2011-08-29,8805.0,20111000,8870.0,20110900
2011-08-30,8890.0,20111000,8950.0,20110900
2011-08-31,8900.0,20111000,8960.0,20110900
2011-09-01,8995.0,20111000,9060.0,20110900
2011-09-02,8885.0,20111000,8940.0,20110900
2011-09-05,8710.0,20111000,8770.0,20110900
2011-09-06,8540.0,20111000,8610.0,20110900
2011-09-07,8710.0,20111000,8780.0,20110900
2011-09-08,8730.0,20111000,8790.0,20110900
2011-09-09,8660.0,20111100,8655.0,20111000
2011-09-12,8480.0,20111100,8485.0,20111000
2011-09-13,8575.0,20111100,8575.0,20111000
2011-09-14,8450.0,20111100,8455.0,20111000
