index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2015-06-11,,20151200,14960.0,20150900
2015-06-12,,20151200,14910.0,20150900
2015-06-15,,20151200,14880.0,20150900
2015-06-16,,20151200,14780.0,20150900
2015-06-17,,20151200,14770.0,20150900
2015-06-18,,20151200,14570.0,20150900
2015-06-19,,20151200,14735.0,20150900
2015-06-22,,20151200,14895.0,20150900
2015-06-23,,20151200,15165.0,20150900
2015-06-24,,20151200,15135.0,20150900
2015-06-25,,20151200,15065.0,20150900
2015-06-26,,20151200,15065.0,20150900
2015-06-29,,20151200,14635.0,20150900
2015-06-30,,20151200,14715.0,20150900
2015-07-01,,20151200,14830.0,20150900
2015-07-02,,20151200,14915.0,20150900
2015-07-03,,20151200,14920.0,20150900
2015-07-06,,20151200,14705.0,20150900
2015-07-07,,20151200,14835.0,20150900
2015-07-08,,20151200,14245.0,20150900
2015-07-09,,20151200,14315.0,20150900
2015-07-10,,20151200,14380.0,20150900
2015-07-13,,20151200,14565.0,20150900
2015-07-14,,20151200,14830.0,20150900
2015-07-15,,20151200,14870.0,20150900
2015-07-16,,20151200,14940.0,20150900
2015-07-17,,20151200,15015.0,20150900
2015-07-21,,20151200,15105.0,20150900
2015-07-22,,20151200,14895.0,20150900
2015-07-23,,20151200,15005.0,20150900
2015-07-24,,20151200,14905.0,20150900
2015-07-27,,20151200,14815.0,20150900
2015-07-28,,20151200,14715.0,20150900
2015-07-29,,20151200,14740.0,20150900
2015-07-30,,20151200,14885.0,20150900
2015-07-31,,20151200,14965.0,20150900
2015-08-03,,20151200,14950.0,20150900
2015-08-04,,20151200,14925.0,20150900
2015-08-05,,20151200,15030.0,20150900
2015-08-06,,20151200,15110.0,20150900
2015-08-07,,20151200,15125.0,20150900
2015-08-10,,20151200,15255.0,20150900
2015-08-11,,20151200,15195.0,20150900
2015-08-12,,20151200,14970.0,20150900
2015-08-13,,20151200,15095.0,20150900
2015-08-14,,20151200,14985.0,20150900
2015-08-17,,20151200,15105.0,20150900
2015-08-18,,20151200,15075.0,20150900
2015-08-19,,20151200,14840.0,20150900
2015-08-20,,20151200,14610.0,20150900
2015-08-21,,20151200,14200.0,20150900
2015-08-24,,20151200,13350.0,20150900
2015-08-25,,20151200,12885.0,20150900
2015-08-26,,20151200,13305.0,20150900
2015-08-27,,20151200,13500.0,20150900
2015-08-28,,20151200,13960.0,20150900
2015-08-31,,20151200,13800.0,20150900
2015-09-01,,20151200,13235.0,20150900
2015-09-02,13070.0,20151200,13235.0,20150900
2015-09-03,13180.0,20151200,13290.0,20150900
2015-09-04,12870.0,20151200,12990.0,20150900
2015-09-07,12940.0,20151200,13005.0,20150900
2015-09-08,12580.0,20151200,12710.0,20150900
