index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2012-09-05,132.97,20130300,132.97,20121200
2012-09-06,132.58,20130300,132.58,20121200
2012-09-07,133.15,20130300,133.15,20121200
2012-09-10,132.75,20130300,132.75,20121200
2012-09-11,133.57,20130300,133.57,20121200
2012-09-12,131.56,20130300,133.28,20121200
2012-09-13,131.93,20130300,133.65,20121200
2012-09-14,131.05,20130300,132.77,20121200
2012-09-17,130.88,20130300,132.6,20121200
2012-09-18,131.2,20130300,132.92,20121200
2012-09-19,131.13,20130300,132.86,20121200
2012-09-20,131.1,20130300,132.83,20121200
2012-09-21,131.11,20130300,132.84,20121200
2012-09-24,131.28,20130300,133.01,20121200
2012-09-25,130.99,20130300,132.72,20121200
2012-09-26,131.85,20130300,133.58,20121200
2012-09-27,131.85,20130300,133.58,20121200
2012-09-28,132.22,20130300,133.95,20121200
2012-10-01,131.94,20130300,133.67,20121200
2012-10-02,131.98,20130300,133.71,20121200
2012-10-03,132.01,20130300,133.75,20121200
2012-10-04,132.13,20130300,133.87,20121200
2012-10-05,132.16,20130300,133.91,20121200
2012-10-08,132.25,20130300,134.0,20121200
2012-10-09,132.66,20130300,134.45,20121200
2012-10-10,133.05,20130300,134.82,20121200
2012-10-11,133.16,20130300,134.95,20121200
2012-10-12,133.5,20130300,135.27,20121200
2012-10-15,133.64,20130300,135.43,20121200
2012-10-16,133.1,20130300,134.87,20121200
2012-10-17,132.65,20130300,134.41,20121200
2012-10-18,132.75,20130300,134.51,20121200
2012-10-19,133.09,20130300,134.85,20121200
2012-10-22,132.91,20130300,134.7,20121200
2012-10-23,132.83,20130300,134.62,20121200
2012-10-24,132.75,20130300,134.54,20121200
2012-10-25,132.65,20130300,134.44,20121200
2012-10-26,132.75,20130300,134.54,20121200
2012-10-29,132.78,20130300,134.57,20121200
2012-10-30,132.85,20130300,134.64,20121200
2012-10-31,132.82,20130300,134.61,20121200
2012-11-01,133.02,20130300,134.81,20121200
2012-11-02,133.07,20130300,134.86,20121200
2012-11-05,133.2,20130300,134.98,20121200
2012-11-06,133.38,20130300,135.16,20121200
2012-11-07,133.58,20130300,135.36,20121200
2012-11-08,133.83,20130300,135.59,20121200
2012-11-09,134.14,20130300,135.9,20121200
2012-11-12,134.44,20130300,136.21,20121200
2012-11-13,134.72,20130300,136.49,20121200
2012-11-14,134.46,20130300,136.23,20121200
2012-11-15,134.63,20130300,136.4,20121200
2012-11-16,134.77,20130300,136.52,20121200
2012-11-19,134.76,20130300,136.51,20121200
2012-11-20,133.95,20130300,135.7,20121200
2012-11-21,133.72,20130300,135.5,20121200
2012-11-22,133.68,20130300,135.45,20121200
2012-11-23,133.95,20130300,135.72,20121200
