index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1977-06-01,50.3,19771200,48.85,19770900
1977-06-02,48.55,19771200,48.5,19770900
1977-06-03,47.6,19771200,46.85,19770900
1977-06-06,46.05,19771200,46.0,19770900
1977-06-07,45.2,19771200,44.05,19770900
1977-06-08,44.3,19771200,43.35,19770900
1977-06-09,43.0,19771200,42.0,19770900
1977-06-10,45.5,19771200,44.6,19770900
1977-06-13,43.0,19771200,42.5,19770900
1977-06-14,43.2,19771200,42.2,19770900
1977-06-15,44.6,19771200,44.4,19770900
1977-06-16,46.15,19771200,45.5,19770900
1977-06-17,45.35,19771200,44.9,19770900
1977-06-20,45.5,19771200,44.75,19770900
1977-06-21,45.8,19771200,45.2,19770900
1977-06-22,46.0,19771200,45.25,19770900
1977-06-23,45.95,19771200,45.25,19770900
1977-06-24,46.2,19771200,45.45,19770900
1977-06-27,46.25,19771200,45.85,19770900
1977-06-28,46.25,19771200,45.75,19770900
1977-06-29,46.55,19771200,45.8,19770900
1977-06-30,46.75,19771200,45.8,19770900
1977-07-01,46.0,19771200,45.3,19770900
1977-07-05,46.05,19771200,45.2,19770900
1977-07-06,45.8,19771200,45.4,19770900
1977-07-07,45.5,19771200,45.0,19770900
1977-07-08,45.4,19771200,44.7,19770900
1977-07-11,44.8,19771200,44.5,19770900
1977-07-12,44.8,19771200,44.4,19770900
1977-07-13,44.5,19771200,44.0,19770900
1977-07-15,44.8,19771200,43.75,19770900
1977-07-18,44.9,19771200,44.3,19770900
1977-07-19,45.0,19771200,44.5,19770900
1977-07-20,44.6,19771200,44.1,19770900
1977-07-21,44.6,19771200,44.1,19770900
1977-07-22,44.5,19771200,44.0,19770900
1977-07-25,44.85,19771200,44.25,19770900
1977-07-26,44.65,19771200,44.0,19770900
1977-07-27,43.75,19771200,43.25,19770900
1977-07-28,43.7,19771200,43.0,19770900
1977-07-29,43.7,19771200,43.0,19770900
1977-08-01,43.25,19771200,42.5,19770900
1977-08-02,43.0,19771200,43.0,19770900
1977-08-04,43.4,19771200,42.95,19770900
1977-08-05,43.7,19771200,42.6,19770900
1977-08-08,43.0,19771200,42.5,19770900
1977-08-09,42.6,19771200,42.6,19770900
1977-08-10,43.0,19771200,42.35,19770900
1977-08-11,42.85,19771200,42.2,19770900
1977-08-12,42.5,19771200,42.2,19770900
1977-08-15,42.5,19771200,41.7,19770900
1977-08-16,42.2,19771200,41.7,19770900
1977-08-17,42.2,19771200,41.7,19770900
1977-08-18,42.2,19771200,41.65,19770900
1977-08-19,42.2,19771200,41.7,19770900
1977-08-22,42.0,19771200,41.75,19770900
1977-08-23,42.2,19771200,41.9,19770900
