index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1970-06-30,149.0,19710100,147.6,19701000
1970-07-01,150.5,19710100,147.5,19701000
1970-07-02,148.5,19710100,146.0,19701000
1970-07-06,143.0,19710100,141.5,19701000
1970-07-07,142.7,19710100,142.0,19701000
1970-07-08,144.5,19710100,143.0,19701000
1970-07-09,144.0,19710100,143.0,19701000
1970-07-10,142.5,19710100,142.5,19701000
1970-07-13,141.4,19710100,139.0,19701000
1970-07-14,144.0,19710100,140.0,19701000
1970-07-15,147.0,19710100,144.3,19701000
1970-07-16,147.0,19710100,143.3,19701000
1970-07-17,142.6,19710100,139.6,19701000
1970-07-20,144.5,19710100,142.2,19701000
1970-07-21,144.0,19710100,140.5,19701000
1970-07-22,145.0,19710100,143.0,19701000
1970-07-23,144.3,19710100,142.0,19701000
1970-07-24,144.3,19710100,141.0,19701000
1970-07-27,144.0,19710100,140.0,19701000
1970-07-28,148.0,19710100,144.4,19701000
1970-07-29,147.7,19710100,144.5,19701000
1970-07-30,147.5,19710100,145.1,19701000
1970-07-31,147.5,19710100,143.5,19701000
1970-08-03,144.0,19710100,140.5,19701000
1970-08-04,145.0,19710100,142.0,19701000
1970-08-05,141.3,19710100,139.0,19701000
1970-08-06,141.6,19710100,139.5,19701000
1970-08-07,143.0,19710100,139.0,19701000
1970-08-10,142.0,19710100,139.1,19701000
1970-08-11,143.5,19710100,140.0,19701000
1970-08-12,142.5,19710100,140.0,19701000
1970-08-13,141.9,19710100,137.9,19701000
1970-08-14,143.7,19710100,137.0,19701000
1970-08-17,146.4,19710100,142.5,19701000
1970-08-18,145.0,19710100,140.5,19701000
1970-08-19,146.0,19710100,142.5,19701000
1970-08-20,145.0,19710100,141.5,19701000
1970-08-21,146.0,19710100,142.5,19701000
1970-08-24,147.0,19710100,143.0,19701000
1970-08-25,145.9,19710100,142.0,19701000
1970-08-26,148.0,19710100,143.6,19701000
1970-08-27,146.8,19710100,143.0,19701000
1970-08-28,144.7,19710100,141.0,19701000
1970-08-31,144.1,19710100,139.0,19701000
1970-09-01,144.0,19710100,140.5,19701000
1970-09-02,142.0,19710100,138.0,19701000
1970-09-03,143.1,19710100,139.0,19701000
1970-09-04,144.0,19710100,139.5,19701000
1970-09-08,143.1,19710100,139.3,19701000
1970-09-09,143.8,19710100,140.0,19701000
1970-09-10,143.1,19710100,139.0,19701000
1970-09-11,142.9,19710100,138.6,19701000
1970-09-14,143.2,19710100,138.3,19701000
1970-09-15,141.1,19710100,137.0,19701000
1970-09-16,142.0,19710100,137.5,19701000
1970-09-17,141.5,19710100,138.0,19701000
1970-09-18,134.0,19710100,132.0,19701000
1970-09-21,130.0,19710100,127.0,19701000
1970-09-22,129.5,19710100,127.5,19701000
1970-09-23,131.6,19710100,129.2,19701000
1970-09-24,131.1,19710100,128.5,19701000
1970-09-25,129.5,19710100,127.0,19701000
1970-09-28,127.1,19710100,125.0,19701000
1970-09-29,128.6,19710100,125.6,19701000
1970-09-30,127.0,19710400,125.0,19710100
1970-10-01,128.6,19710400,125.6,19710100
1970-10-02,130.0,19710400,128.2,19710100
1970-10-05,130.7,19710400,129.0,19710100
1970-10-06,130.5,19710400,127.5,19710100
1970-10-07,132.0,19710400,129.5,19710100
1970-10-08,132.7,19710400,131.0,19710100
1970-10-09,127.5,19710400,124.5,19710100
1970-10-12,126.5,19710400,123.9,19710100
1970-10-13,126.5,19710400,125.8,19710100
1970-10-14,126.4,19710400,122.6,19710100
1970-10-15,123.5,19710400,121.0,19710100
1970-10-16,125.2,19710400,122.7,19710100
1970-10-19,125.0,19710400,124.0,19710100
1970-10-20,126.0,19710400,123.8,19710100
1970-10-21,125.6,19710400,124.5,19710100
1970-10-22,126.2,19710400,124.5,19710100
1970-10-23,126.5,19710400,123.9,19710100
1970-10-26,125.2,19710400,122.4,19710100
1970-10-27,123.5,19710400,120.7,19710100
1970-10-28,121.1,19710400,119.5,19710100
1970-10-29,120.5,19710400,118.4,19710100
1970-10-30,116.5,19710400,115.0,19710100
1970-11-02,117.0,19710400,114.7,19710100
1970-11-04,115.5,19710400,113.5,19710100
1970-11-05,116.2,19710400,114.1,19710100
1970-11-06,115.0,19710400,113.3,19710100
1970-11-09,116.4,19710400,113.0,19710100
1970-11-10,116.5,19710400,115.5,19710100
1970-11-11,119.0,19710400,117.1,19710100
1970-11-12,117.5,19710400,116.0,19710100
1970-11-13,118.3,19710400,116.0,19710100
1970-11-16,118.8,19710400,117.5,19710100
1970-11-17,121.0,19710400,120.0,19710100
1970-11-18,118.8,19710400,117.5,19710100
1970-11-19,118.0,19710400,117.0,19710100
1970-11-20,118.6,19710400,117.5,19710100
1970-11-23,119.5,19710400,117.4,19710100
1970-11-24,115.3,19710400,113.5,19710100
1970-11-25,115.2,19710400,113.7,19710100
1970-11-27,116.0,19710400,113.5,19710100
1970-11-30,115.5,19710400,113.6,19710100
1970-12-01,114.6,19710400,113.9,19710100
1970-12-02,116.8,19710400,114.2,19710100
1970-12-03,116.5,19710400,114.8,19710100
1970-12-04,115.5,19710400,113.5,19710100
1970-12-07,115.0,19710400,114.0,19710100
1970-12-08,116.0,19710400,114.0,19710100
1970-12-09,115.0,19710400,114.0,19710100
1970-12-10,115.9,19710400,114.3,19710100
1970-12-11,116.8,19710400,115.3,19710100
1970-12-14,116.5,19710400,115.9,19710100
1970-12-15,118.0,19710400,117.9,19710100
1970-12-16,117.2,19710400,116.5,19710100
1970-12-17,118.0,19710400,116.6,19710100
1970-12-18,119.0,19710400,118.0,19710100
1970-12-21,119.8,19710400,120.0,19710100
1970-12-22,124.4,19710400,123.5,19710100
1970-12-23,123.0,19710400,121.0,19710100
1970-12-24,122.0,19710400,120.5,19710100
1970-12-28,121.1,19710400,120.0,19710100
1970-12-29,121.9,19710400,121.0,19710100
1970-12-30,125.5,19710700,123.0,19710400
1970-12-31,124.1,19710700,121.8,19710400
1971-01-04,124.5,19710700,122.9,19710400
1971-01-05,124.4,19710700,122.5,19710400
1971-01-06,124.0,19710700,122.0,19710400
1971-01-07,126.5,19710700,123.5,19710400
1971-01-08,126.0,19710700,123.5,19710400
1971-01-11,125.0,19710700,122.3,19710400
