index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2015-12-10,,20160600,961.3,20160300
2015-12-11,,20160600,943.0,20160300
2015-12-14,,20160600,948.6,20160300
2015-12-15,,20160600,963.7,20160300
2015-12-16,,20160600,976.1,20160300
2015-12-17,,20160600,960.7,20160300
2015-12-18,,20160600,944.1,20160300
2015-12-21,,20160600,946.8,20160300
2015-12-22,,20160600,957.7,20160300
2015-12-23,,20160600,969.0,20160300
2015-12-24,,20160600,968.4,20160300
2015-12-28,,20160600,966.0,20160300
2015-12-29,,20160600,974.8,20160300
2015-12-30,,20160600,966.1,20160300
2015-12-31,,20160600,959.5,20160300
2016-01-04,,20160600,949.7,20160300
2016-01-05,,20160600,951.7,20160300
2016-01-06,,20160600,936.8,20160300
2016-01-07,,20160600,915.3,20160300
2016-01-08,,20160600,904.0,20160300
2016-01-11,,20160600,901.7,20160300
2016-01-12,,20160600,903.9,20160300
2016-01-13,,20160600,884.7,20160300
2016-01-14,,20160600,901.8,20160300
2016-01-15,,20160600,882.6,20160300
2016-01-19,,20160600,878.5,20160300
2016-01-20,,20160600,865.3,20160300
2016-01-21,,20160600,868.5,20160300
2016-01-22,,20160600,886.4,20160300
2016-01-25,,20160600,869.3,20160300
2016-01-26,,20160600,885.9,20160300
2016-01-27,,20160600,881.4,20160300
2016-01-28,,20160600,882.4,20160300
2016-01-29,,20160600,908.6,20160300
2016-02-01,,20160600,904.9,20160300
2016-02-02,,20160600,886.3,20160300
2016-02-03,,20160600,895.7,20160300
2016-02-04,,20160600,898.1,20160300
2016-02-05,,20160600,887.9,20160300
2016-02-08,,20160600,876.8,20160300
2016-02-09,,20160600,873.0,20160300
2016-02-10,,20160600,870.8,20160300
2016-02-11,,20160600,856.2,20160300
2016-02-12,,20160600,874.9,20160300
2016-02-16,,20160600,888.9,20160300
2016-02-17,,20160600,903.8,20160300
2016-02-18,,20160600,902.1,20160300
2016-02-19,,20160600,900.3,20160300
2016-02-22,,20160600,911.5,20160300
2016-02-23,,20160600,900.4,20160300
2016-02-24,,20160600,907.3,20160300
2016-02-25,,20160600,916.6,20160300
2016-02-26,,20160600,914.0,20160300
2016-02-29,,20160600,907.4,20160300
2016-03-01,,20160600,929.7,20160300
2016-03-02,933.3,20160600,937.0,20160300
2016-03-03,939.8,20160600,943.5,20160300
2016-03-04,944.0,20160600,947.7,20160300
2016-03-07,949.9,20160600,953.6,20160300
2016-03-08,937.6,20160600,941.3,20160300
2016-03-09,941.7,20160600,945.4,20160300
2016-03-10,941.7,20160900,940.6,20160600
2016-03-11,941.7,20160900,956.4,20160600
2016-03-14,941.7,20160900,953.3,20160600
2016-03-15,941.7,20160900,950.3,20160600
2016-03-16,941.7,20160900,955.6,20160600
2016-03-17,941.7,20160900,964.0,20160600
2016-03-18,941.7,20160900,968.1,20160600
2016-03-21,941.7,20160900,971.0,20160600
2016-03-22,941.7,20160900,969.9,20160600
2016-03-23,941.7,20160900,961.3,20160600
2016-03-24,941.7,20160900,960.9,20160600
2016-03-28,941.7,20160900,960.2,20160600
2016-03-29,941.7,20160900,967.4,20160600
2016-03-30,941.7,20160900,970.7,20160600
2016-03-31,941.7,20160900,969.8,20160600
2016-04-01,941.7,20160900,972.6,20160600
2016-04-04,941.7,20160900,967.8,20160600
2016-04-05,941.7,20160900,958.8,20160600
2016-04-06,941.7,20160900,966.9,20160600
2016-04-07,941.7,20160900,955.4,20160600
2016-04-08,941.7,20160900,960.4,20160600
2016-04-11,941.7,20160900,958.9,20160600
2016-04-12,941.7,20160900,969.8,20160600
2016-04-13,941.7,20160900,981.8,20160600
2016-04-14,941.7,20160900,982.2,20160600
2016-04-15,941.7,20160900,980.5,20160600
2016-04-18,941.7,20160900,987.2,20160600
2016-04-19,941.7,20160900,995.8,20160600
2016-04-20,941.7,20160900,999.2,20160600
2016-04-21,941.7,20160900,993.9,20160600
2016-04-22,941.7,20160900,997.4,20160600
2016-04-25,941.7,20160900,994.2,20160600
2016-04-26,941.7,20160900,999.8,20160600
2016-04-27,941.7,20160900,1004.3,20160600
2016-04-28,941.7,20160900,995.2,20160600
2016-04-29,941.7,20160900,989.9,20160600
2016-05-02,941.7,20160900,995.9,20160600
2016-05-03,941.7,20160900,985.3,20160600
2016-05-04,941.7,20160900,979.4,20160600
2016-05-05,941.7,20160900,977.8,20160600
2016-05-06,941.7,20160900,981.4,20160600
2016-05-09,941.7,20160900,979.5,20160600
2016-05-10,941.7,20160900,989.2,20160600
2016-05-11,941.7,20160900,983.5,20160600
2016-05-12,941.7,20160900,985.4,20160600
2016-05-13,941.7,20160900,976.9,20160600
2016-05-16,941.7,20160900,985.7,20160600
2016-05-17,941.7,20160900,978.4,20160600
2016-05-18,941.7,20160900,978.3,20160600
2016-05-19,941.7,20160900,972.0,20160600
2016-05-20,941.7,20160900,984.0,20160600
2016-05-23,941.7,20160900,981.6,20160600
2016-05-24,941.7,20160900,994.2,20160600
2016-05-25,941.7,20160900,1002.2,20160600
2016-05-26,941.7,20160900,1002.3,20160600
2016-05-27,941.7,20160900,1005.8,20160600
2016-05-31,941.7,20160900,1004.6,20160600
2016-06-01,941.7,20160900,1006.5,20160600
2016-06-02,1005.6,20160900,1009.3,20160600
2016-06-03,1001.8,20160900,1005.5,20160600
2016-06-06,1008.7,20160900,1012.4,20160600
2016-06-07,1011.4,20160900,1015.1,20160600
2016-06-08,1015.0,20160900,1018.7,20160600
2016-06-09,1010.7,20160900,1015.9,20160600
2016-06-10,1010.7,20161200,1000.9,20160900
2016-06-13,1010.7,20161200,992.1,20160900
2016-06-14,1010.7,20161200,988.2,20160900
2016-06-15,1010.7,20161200,987.3,20160900
2016-06-16,1010.7,20161200,991.1,20160900
2016-06-17,1010.7,20161200,989.4,20160900
2016-06-20,1010.7,20161200,998.0,20160900
2016-06-21,1010.7,20161200,1000.8,20160900
2016-06-22,1010.7,20161200,998.6,20160900
2016-06-23,1010.7,20161200,1014.9,20160900
2016-06-24,1010.7,20161200,975.8,20160900
2016-06-27,1010.7,20161200,954.8,20160900
2016-06-28,1010.7,20161200,972.5,20160900
2016-06-29,1010.7,20161200,989.9,20160900
2016-06-30,1010.7,20161200,1005.5,20160900
2016-07-01,1010.7,20161200,1007.4,20160900
2016-07-05,1010.7,20161200,997.7,20160900
2016-07-06,1010.7,20161200,1003.2,20160900
2016-07-07,1010.7,20161200,1001.4,20160900
2016-07-08,1010.7,20161200,1017.0,20160900
2016-07-11,1010.7,20161200,1020.2,20160900
2016-07-12,1010.7,20161200,1029.8,20160900
2016-07-13,1010.7,20161200,1030.5,20160900
2016-07-14,1010.7,20161200,1036.5,20160900
2016-07-15,1010.7,20161200,1036.0,20160900
2016-07-18,1010.7,20161200,1037.9,20160900
2016-07-19,1010.7,20161200,1035.7,20160900
2016-07-20,1010.7,20161200,1037.8,20160900
2016-07-21,1010.7,20161200,1034.5,20160900
2016-07-22,1010.7,20161200,1039.7,20160900
2016-07-25,1010.7,20161200,1035.0,20160900
2016-07-26,1010.7,20161200,1037.3,20160900
2016-07-27,1010.7,20161200,1033.6,20160900
2016-07-28,1010.7,20161200,1034.4,20160900
2016-07-29,1010.7,20161200,1035.6,20160900
2016-08-01,1010.7,20161200,1029.9,20160900
2016-08-02,1010.7,20161200,1023.4,20160900
2016-08-03,1010.7,20161200,1027.1,20160900
2016-08-04,1010.7,20161200,1026.8,20160900
2016-08-05,1010.7,20161200,1039.2,20160900
2016-08-08,1010.7,20161200,1040.5,20160900
2016-08-09,1010.7,20161200,1040.4,20160900
2016-08-10,1010.7,20161200,1035.8,20160900
2016-08-11,1010.7,20161200,1041.7,20160900
2016-08-12,1010.7,20161200,1041.0,20160900
2016-08-15,1010.7,20161200,1044.6,20160900
2016-08-16,1010.7,20161200,1039.9,20160900
2016-08-17,1010.7,20161200,1042.1,20160900
2016-08-18,1010.7,20161200,1046.9,20160900
2016-08-19,1010.7,20161200,1044.1,20160900
2016-08-22,1010.7,20161200,1042.6,20160900
2016-08-23,1010.7,20161200,1045.6,20160900
2016-08-24,1010.7,20161200,1040.5,20160900
2016-08-25,1010.7,20161200,1040.3,20160900
2016-08-26,1010.7,20161200,1038.3,20160900
2016-08-29,1010.7,20161200,1046.3,20160900
2016-08-30,1010.7,20161200,1046.1,20160900
2016-08-31,1010.7,20161200,1042.4,20160900
2016-09-01,1010.7,20161200,1041.6,20160900
2016-09-02,1043.4,20161200,1047.5,20160900
2016-09-06,1046.4,20161200,1050.5,20160900
2016-09-07,1046.8,20161200,1050.9,20160900
2016-09-08,1047.8,20161200,1051.9,20160900
2016-09-09,1021.6,20161200,1025.8,20160900
2016-09-12,1021.6,20170300,1036.1,20161200
2016-09-13,1021.6,20170300,1017.9,20161200
2016-09-14,1021.6,20170300,1014.1,20161200
2016-09-15,1021.6,20170300,1023.8,20161200
2016-09-16,1021.6,20170300,1018.5,20161200
2016-09-19,1021.6,20170300,1020.3,20161200
2016-09-20,1021.6,20170300,1019.4,20161200
2016-09-21,1021.6,20170300,1031.4,20161200
2016-09-22,1021.6,20170300,1037.9,20161200
2016-09-23,1021.6,20170300,1031.9,20161200
2016-09-26,1021.6,20170300,1022.8,20161200
2016-09-27,1021.6,20170300,1027.3,20161200
2016-09-28,1021.6,20170300,1036.8,20161200
2016-09-29,1021.6,20170300,1026.5,20161200
2016-09-30,1021.6,20170300,1038.2,20161200
2016-10-03,1021.6,20170300,1033.9,20161200
2016-10-04,1021.6,20170300,1028.4,20161200
2016-10-05,1021.6,20170300,1033.6,20161200
2016-10-06,1021.6,20170300,1033.4,20161200
2016-10-07,1021.6,20170300,1030.8,20161200
2016-10-10,1021.6,20170300,1036.4,20161200
2016-10-11,1021.6,20170300,1023.3,20161200
2016-10-12,1021.6,20170300,1023.8,20161200
2016-10-13,1021.6,20170300,1020.4,20161200
2016-10-14,1021.6,20170300,1020.4,20161200
2016-10-17,1021.6,20170300,1016.4,20161200
2016-10-18,1021.6,20170300,1022.7,20161200
2016-10-19,1021.6,20170300,1026.4,20161200
2016-10-20,1021.6,20170300,1025.4,20161200
2016-10-21,1021.6,20170300,1021.1,20161200
2016-10-24,1021.6,20170300,1023.3,20161200
2016-10-25,1021.6,20170300,1021.6,20161200
2016-10-26,1021.6,20170300,1022.2,20161200
2016-10-27,1021.6,20170300,1019.9,20161200
2016-10-28,1021.6,20170300,1016.9,20161200
2016-10-31,1021.6,20170300,1020.4,20161200
2016-11-01,1021.6,20170300,1012.3,20161200
2016-11-02,1021.6,20170300,1004.8,20161200
2016-11-03,1021.6,20170300,1002.8,20161200
2016-11-04,1021.6,20170300,1001.9,20161200
2016-11-07,1021.6,20170300,1023.1,20161200
2016-11-08,1021.6,20170300,1026.9,20161200
2016-11-09,1021.6,20170300,1042.8,20161200
2016-11-10,1021.6,20170300,1052.1,20161200
2016-11-11,1021.6,20170300,1049.9,20161200
2016-11-14,1021.6,20170300,1057.8,20161200
2016-11-15,1021.6,20170300,1065.4,20161200
2016-11-16,1021.6,20170300,1059.8,20161200
2016-11-17,1021.6,20170300,1062.5,20161200
2016-11-18,1021.6,20170300,1062.3,20161200
2016-11-21,1021.6,20170300,1069.3,20161200
2016-11-22,1021.6,20170300,1071.9,20161200
2016-11-23,1021.6,20170300,1073.7,20161200
2016-11-25,1021.6,20170300,1078.2,20161200
2016-11-28,1021.6,20170300,1071.9,20161200
2016-11-29,1021.6,20170300,1071.4,20161200
2016-11-30,1021.6,20170300,1076.3,20161200
2016-12-01,1021.6,20170300,1077.6,20161200
2016-12-02,1021.6,20170300,1078.3,20161200
2016-12-05,1021.6,20170300,1084.5,20161200
2016-12-06,1021.6,20170300,1090.4,20161200
2016-12-07,1021.6,20170300,1106.6,20161200
2016-12-08,1021.6,20170300,1111.2,20161200
2016-12-09,1107.2,20170300,1113.9,20161200
2016-12-12,1110.1,20170300,1119.2,20161200
2016-12-13,1114.4,20170600,1117.1,20170300
2016-12-14,1114.4,20170600,1106.0,20170300
2016-12-15,1114.4,20170600,1109.8,20170300
2016-12-16,1114.4,20170600,1106.7,20170300
2016-12-19,1114.4,20170600,1108.8,20170300
2016-12-20,1114.4,20170600,1112.8,20170300
2016-12-21,1114.4,20170600,1111.3,20170300
2016-12-22,1114.4,20170600,1108.7,20170300
2016-12-23,1114.4,20170600,1110.5,20170300
2016-12-27,1114.4,20170600,1112.3,20170300
2016-12-28,1114.4,20170600,1102.1,20170300
2016-12-29,1114.4,20170600,1102.3,20170300
2016-12-30,1114.4,20170600,1103.8,20170300
2017-01-03,1114.4,20170600,1104.2,20170300
2017-01-04,1114.4,20170600,1115.7,20170300
2017-01-05,1114.4,20170600,1110.1,20170300
2017-01-06,1114.4,20170600,1112.7,20170300
2017-01-09,1114.4,20170600,1105.0,20170300
2017-01-10,1114.4,20170600,1105.4,20170300
2017-01-11,1114.4,20170600,1108.5,20170300
2017-01-12,1114.4,20170600,1106.4,20170300
2017-01-13,1114.4,20170600,1107.8,20170300
2017-01-17,1114.4,20170600,1099.7,20170300
2017-01-18,1114.4,20170600,1102.3,20170300
2017-01-19,1114.4,20170600,1099.7,20170300
2017-01-20,1114.4,20170600,1102.7,20170300
2017-01-23,1114.4,20170600,1098.9,20170300
2017-01-24,1114.4,20170600,1109.2,20170300
2017-01-25,1114.4,20170600,1117.7,20170300
2017-01-26,1114.4,20170600,1116.7,20170300
2017-01-27,1114.4,20170600,1112.8,20170300
2017-01-30,1114.4,20170600,1105.5,20170300
2017-01-31,1114.4,20170600,1105.8,20170300
2017-02-01,1114.4,20170600,1102.7,20170300
2017-02-02,1114.4,20170600,1105.3,20170300
2017-02-03,1114.4,20170600,1116.1,20170300
2017-02-06,1114.4,20170600,1112.2,20170300
2017-02-07,1114.4,20170600,1108.5,20170300
2017-02-08,1114.4,20170600,1109.4,20170300
2017-02-09,1114.4,20170600,1117.7,20170300
2017-02-10,1114.4,20170600,1122.0,20170300
2017-02-13,1114.4,20170600,1128.7,20170300
2017-02-14,1114.4,20170600,1133.3,20170300
2017-02-15,1114.4,20170600,1138.8,20170300
2017-02-16,1114.4,20170600,1137.7,20170300
2017-02-17,1114.4,20170600,1138.0,20170300
2017-02-21,1114.4,20170600,1146.9,20170300
2017-02-22,1114.4,20170600,1144.7,20170300
2017-02-23,1114.4,20170600,1145.1,20170300
2017-02-24,1114.4,20170600,1144.4,20170300
2017-02-27,1114.4,20170600,1147.7,20170300
2017-02-28,1114.4,20170600,1145.4,20170300
2017-03-01,1114.4,20170600,1164.2,20170300
2017-03-02,1114.4,20170600,1152.6,20170300
2017-03-03,1114.4,20170600,1152.3,20170300
2017-03-06,1114.4,20170600,1149.9,20170300
2017-03-07,1114.4,20170600,1143.9,20170300
2017-03-08,1114.4,20170600,1138.2,20170300
2017-03-09,1114.4,20170600,1138.9,20170300
2017-03-10,1114.4,20170600,1142.0,20170300
2017-03-13,1139.0,20170900,1138.1,20170600
2017-03-15,1139.0,20170900,1147.8,20170600
2017-03-16,1139.0,20170900,1143.8,20170600
2017-03-17,1139.0,20170900,1141.8,20170600
2017-03-20,1139.0,20170900,1138.4,20170600
2017-03-21,1139.0,20170900,1120.3,20170600
2017-03-22,1139.0,20170900,1121.5,20170600
2017-03-23,1139.0,20170900,1121.4,20170600
2017-03-24,1139.0,20170900,1120.1,20170600
2017-03-27,1139.0,20170900,1118.3,20170600
2017-03-28,1139.0,20170900,1127.2,20170600
2017-03-29,1139.0,20170900,1127.7,20170600
2017-03-30,1139.0,20170900,1133.5,20170600
2017-03-31,1139.0,20170900,1130.3,20170600
2017-04-03,1139.0,20170900,1126.3,20170600
2017-04-04,1139.0,20170900,1127.4,20170600
2017-04-05,1139.0,20170900,1125.1,20170600
2017-04-06,1139.0,20170900,1127.3,20170600
2017-04-07,1139.0,20170900,1126.5,20170600
2017-04-10,1139.0,20170900,1127.1,20170600
2017-04-11,1139.0,20170900,1125.1,20170600
2017-04-12,1139.0,20170900,1120.4,20170600
2017-04-13,1139.0,20170900,1110.7,20170600
2017-04-17,1139.0,20170900,1116.7,20170600
2017-04-18,1139.0,20170900,1116.0,20170600
2017-04-19,1139.0,20170900,1111.9,20170600
2017-04-20,1139.0,20170900,1121.6,20170600
2017-04-21,1139.0,20170900,1115.2,20170600
2017-04-24,1139.0,20170900,1127.3,20170600
2017-04-25,1139.0,20170900,1135.2,20170600
2017-04-26,1139.0,20170900,1134.4,20170600
2017-04-27,1139.0,20170900,1131.6,20170600
2017-04-28,1139.0,20170900,1125.5,20170600
2017-05-01,1139.0,20170900,1126.8,20170600
2017-05-02,1139.0,20170900,1125.2,20170600
2017-05-03,1139.0,20170900,1125.7,20170600
2017-05-04,1139.0,20170900,1123.0,20170600
2017-05-05,1139.0,20170900,1129.4,20170600
2017-05-08,1139.0,20170900,1128.2,20170600
2017-05-09,1139.0,20170900,1125.1,20170600
2017-05-10,1139.0,20170900,1127.9,20170600
2017-05-11,1139.0,20170900,1123.6,20170600
2017-05-12,1139.0,20170900,1119.9,20170600
2017-05-15,1139.0,20170900,1126.9,20170600
2017-05-16,1139.0,20170900,1126.2,20170600
2017-05-17,1139.0,20170900,1106.6,20170600
2017-05-18,1139.0,20170900,1109.7,20170600
2017-05-19,1139.0,20170900,1116.8,20170600
2017-05-22,1139.0,20170900,1122.5,20170600
2017-05-23,1139.0,20170900,1125.5,20170600
2017-05-24,1139.0,20170900,1124.7,20170600
2017-05-25,1139.0,20170900,1127.3,20170600
2017-05-26,1139.0,20170900,1127.0,20170600
2017-05-30,1139.0,20170900,1126.0,20170600
2017-05-31,1139.0,20170900,1123.2,20170600
2017-06-01,1139.0,20170900,1132.3,20170600
2017-06-02,1139.0,20170900,1132.0,20170600
2017-06-05,1139.0,20170900,1131.5,20170600
2017-06-06,1139.0,20170900,1129.0,20170600
2017-06-07,1139.0,20170900,1128.4,20170600
2017-06-08,1139.0,20170900,1131.5,20170600
2017-06-09,1135.0,20171200,1136.3,20170900
2017-06-12,1135.0,20171200,1140.7,20170900
2017-06-13,1135.0,20171200,1143.9,20170900
2017-06-14,1135.0,20171200,1142.1,20170900
2017-06-15,1135.0,20171200,1139.7,20170900
2017-06-16,1135.0,20171200,1141.7,20170900
2017-06-19,1135.0,20171200,1148.1,20170900
2017-06-20,1135.0,20171200,1139.7,20170900
2017-06-21,1135.0,20171200,1135.2,20170900
2017-06-22,1135.0,20171200,1132.7,20170900
2017-06-23,1135.0,20171200,1134.0,20170900
2017-06-26,1135.0,20171200,1137.5,20170900
2017-06-27,1135.0,20171200,1133.1,20170900
2017-06-28,1135.0,20171200,1141.2,20170900
2017-06-29,1135.0,20171200,1136.8,20170900
2017-06-30,1135.0,20171200,1140.0,20170900
2017-07-03,1135.0,20171200,1145.7,20170900
2017-07-05,1135.0,20171200,1144.2,20170900
2017-07-06,1135.0,20171200,1134.5,20170900
2017-07-07,1135.0,20171200,1136.5,20170900
2017-07-10,1135.0,20171200,1135.0,20170900
2017-07-11,1135.0,20171200,1132.9,20170900
2017-07-12,1135.0,20171200,1138.7,20170900
2017-07-13,1135.0,20171200,1142.2,20170900
2017-07-14,1135.0,20171200,1144.2,20170900
2017-07-17,1135.0,20171200,1144.5,20170900
2017-07-18,1135.0,20171200,1143.0,20170900
2017-07-19,1135.0,20171200,1148.4,20170900
2017-07-20,1135.0,20171200,1148.3,20170900
2017-07-21,1135.0,20171200,1147.1,20170900
2017-07-24,1135.0,20171200,1145.5,20170900
2017-07-25,1135.0,20171200,1152.2,20170900
2017-07-26,1135.0,20171200,1149.0,20170900
2017-07-27,1135.0,20171200,1149.7,20170900
2017-07-28,1135.0,20171200,1149.6,20170900
2017-07-31,1135.0,20171200,1152.0,20170900
2017-08-01,1135.0,20171200,1154.8,20170900
2017-08-02,1135.0,20171200,1152.5,20170900
2017-08-03,1135.0,20171200,1149.3,20170900
2017-08-04,1135.0,20171200,1152.1,20170900
2017-08-07,1135.0,20171200,1151.3,20170900
2017-08-08,1135.0,20171200,1149.0,20170900
2017-08-09,1135.0,20171200,1147.3,20170900
2017-08-10,1135.0,20171200,1133.9,20170900
2017-08-11,1135.0,20171200,1132.0,20170900
2017-08-14,1135.0,20171200,1140.8,20170900
2017-08-15,1135.0,20171200,1139.9,20170900
2017-08-16,1135.0,20171200,1139.9,20170900
2017-08-17,1135.0,20171200,1124.6,20170900
2017-08-18,1135.0,20171200,1122.1,20170900
2017-08-21,1135.0,20171200,1123.6,20170900
2017-08-22,1135.0,20171200,1131.4,20170900
2017-08-23,1135.0,20171200,1129.8,20170900
2017-08-24,1135.0,20171200,1127.0,20170900
2017-08-25,1135.0,20171200,1132.1,20170900
2017-08-28,1135.0,20171200,1128.5,20170900
2017-08-29,1135.0,20171200,1128.0,20170900
2017-08-30,1135.0,20171200,1131.5,20170900
2017-08-31,1135.0,20171200,1137.1,20170900
2017-09-01,1135.0,20171200,1141.3,20170900
2017-09-05,1135.0,20171200,1129.4,20170900
