index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
1988-08-03,7.41,19880900,7.5,19881100
1988-08-04,7.4,19880900,7.55,19881100
1988-08-05,7.45,19880900,7.6,19881100
1988-08-08,7.420000999999999,19880900,7.55,19881100
1988-08-09,7.12,19880900,7.25,19881100
1988-08-10,7.0,19880900,7.16,19881100
1988-08-11,6.9,19880900,7.05,19881100
1988-08-12,6.9,19880900,7.05,19881100
1988-08-15,6.91,19880900,7.1,19881100
1988-08-16,6.93,19880900,7.1,19881100
1988-08-17,6.630000999999999,19880900,6.8,19881100
1988-08-18,6.53,19880900,6.68,19881100
1988-08-19,6.53,19880900,6.68,19881100
1988-08-22,6.53,19880900,6.68,19881100
1988-08-23,6.69,19880900,6.8,19881100
1988-08-24,6.83,19880900,6.98,19881100
1988-08-25,6.93,19880900,7.070001,19881100
1988-08-26,6.95,19880900,7.12,19881100
1988-08-29,6.835,19880900,6.98,19881100
1988-08-30,7.02,19880900,7.14,19881100
1988-08-31,7.05,19880900,7.2,19881100
1988-09-01,7.15,19880900,7.25,19881100
1988-09-02,7.3,19880900,7.35,19881100
1988-09-06,7.39,19880900,7.45,19881100
1988-09-07,7.14,19880900,7.27,19881100
1988-09-08,7.05,19880900,7.220001,19881100
1988-09-09,7.0,19880900,7.1,19881100
1988-09-12,6.78,19880900,6.95,19881100
1988-09-13,6.83,19880900,7.0,19881100
1988-09-14,7.05,19880900,7.18,19881100
1988-09-15,6.98,19880900,7.1,19881100
1988-09-16,6.9,19880900,7.0,19881100
1988-09-19,6.9,19880900,7.0,19881100
1988-09-20,6.9,19880900,7.03,19881100
1988-09-21,6.86,19880900,7.06,19881100
1988-09-22,,19880900,7.04,19881100
1988-09-23,,19880900,7.1,19881100
1988-09-26,,19880900,7.04,19881100
1988-09-27,,19880900,7.1,19881100
1988-09-28,,19880900,7.08,19881100
1988-09-29,,19880900,7.02,19881100
1988-09-30,,19880900,7.04,19881100
1988-10-03,,19880900,7.01,19881100
1988-10-04,7.1,19881100,7.28,19890100
1988-10-05,7.2,19881100,7.37,19890100
1988-10-06,7.25,19881100,7.41,19890100
1988-10-07,7.2,19881100,7.37,19890100
1988-10-10,7.2,19881100,7.35,19890100
1988-10-11,7.1,19881100,7.28,19890100
1988-10-12,7.0,19881100,7.15,19890100
1988-10-13,6.94,19881100,7.11,19890100
1988-10-14,6.94,19881100,7.11,19890100
1988-10-17,6.96,19881100,7.15,19890100
1988-10-18,6.95,19881100,7.14,19890100
1988-10-19,6.920000999999999,19881100,7.09,19890100
1988-10-20,6.95,19881100,7.12,19890100
1988-10-21,6.91,19881100,7.070001,19890100
1988-10-24,7.05,19881100,7.18,19890100
1988-10-25,7.05,19881100,7.19,19890100
1988-10-26,7.18,19881100,7.28,19890100
1988-10-27,7.11,19881100,7.21,19890100
1988-10-28,7.05,19881100,7.170000999999999,19890100
1988-10-31,6.96,19881100,7.08,19890100
1988-11-01,6.93,19881100,7.03,19890100
1988-11-02,6.98,19881100,7.06,19890100
1988-11-03,7.0,19881100,7.070001,19890100
1988-11-04,7.01,19881100,7.05,19890100
1988-11-07,7.02,19881100,7.08,19890100
1988-11-08,7.12,19881100,7.15,19890100
1988-11-09,7.02,19881100,7.09,19890100
1988-11-10,6.99,19881100,7.06,19890100
1988-11-11,7.1,19881100,7.15,19890100
1988-11-14,7.04,19881100,7.08,19890100
1988-11-15,6.98,19881100,7.06,19890100
1988-11-16,7.08,19881100,7.11,19890100
1988-11-17,7.0,19881100,7.02,19890100
1988-11-18,6.94,19881100,6.95,19890100
1988-11-21,,19881100,6.920000999999999,19890100
1988-11-22,,19881100,6.84,19890100
1988-11-23,,19881100,6.87,19890100
1988-11-25,,19881100,6.93,19890100
1988-11-28,,19881100,6.91,19890100
1988-11-29,,19881100,6.89,19890100
1988-11-30,,19881100,6.86,19890100
1988-12-01,,19881100,6.87,19890100
1988-12-02,6.87,19890100,7.01,19890300
1988-12-05,6.8,19890100,6.95,19890300
1988-12-06,6.78,19890100,6.93,19890300
1988-12-07,6.78,19890100,6.93,19890300
1988-12-08,6.8,19890100,6.94,19890300
1988-12-09,6.8,19890100,6.96,19890300
1988-12-12,6.76,19890100,6.920000999999999,19890300
1988-12-13,6.76,19890100,6.920000999999999,19890300
1988-12-14,6.720001,19890100,6.87,19890300
1988-12-15,6.66,19890100,6.84,19890300
1988-12-16,6.68,19890100,6.87,19890300
1988-12-19,6.68,19890100,6.86,19890300
1988-12-20,6.59,19890100,6.76,19890300
1988-12-21,6.54,19890100,6.7,19890300
1988-12-22,6.56,19890100,6.71,19890300
1988-12-23,6.58,19890100,6.71,19890300
1988-12-27,6.62,19890100,6.76,19890300
1988-12-28,6.64,19890100,6.78,19890300
1988-12-29,6.66,19890100,6.820001,19890300
1988-12-30,6.670000999999999,19890100,6.9,19890300
1989-01-03,6.720001,19890100,6.86,19890300
1989-01-04,6.77,19890100,6.880000999999999,19890300
1989-01-05,6.95,19890100,7.04,19890300
1989-01-06,6.86,19890100,6.96,19890300
1989-01-09,6.85,19890100,6.970001,19890300
1989-01-10,6.87,19890100,6.99,19890300
1989-01-11,6.87,19890100,6.91,19890300
1989-01-12,6.85,19890100,6.9,19890300
1989-01-13,6.89,19890100,6.970001,19890300
1989-01-16,6.87,19890100,6.99,19890300
1989-01-17,6.8,19890100,6.95,19890300
1989-01-18,6.78,19890100,6.920000999999999,19890300
1989-01-19,6.79,19890100,6.91,19890300
1989-01-20,6.77,19890100,6.880000999999999,19890300
1989-01-23,,19890100,6.87,19890300
