index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2015-03-11,,20150900,1205.5,20150600
2015-03-12,,20150900,1217.7,20150600
2015-03-13,,20150900,1233.8,20150600
2015-03-15,,20150900,1224.8,20150600
2015-03-16,,20150900,1228.4,20150600
2015-03-17,,20150900,1231.8,20150600
2015-03-18,,20150900,1237.1,20150600
2015-03-19,,20150900,1250.3,20150600
2015-03-20,,20150900,1253.9,20150600
2015-03-22,,20150900,1263.3,20150600
2015-03-23,,20150900,1261.1,20150600
2015-03-24,,20150900,1260.8,20150600
2015-03-25,,20150900,1260.7,20150600
2015-03-26,,20150900,1229.1,20150600
2015-03-27,,20150900,1229.8,20150600
2015-03-29,,20150900,1234.3,20150600
2015-03-30,,20150900,1238.1,20150600
2015-03-31,,20150900,1249.8,20150600
2015-04-01,,20150900,1241.4,20150600
2015-04-02,,20150900,1245.2,20150600
2015-04-03,,20150900,1252.3,20150600
2015-04-05,,20150900,1239.2,20150600
2015-04-06,,20150900,1239.5,20150600
2015-04-07,,20150900,1257.6,20150600
2015-04-08,,20150900,1248.5,20150600
2015-04-09,,20150900,1258.4,20150600
2015-04-10,,20150900,1259.0,20150600
2015-04-12,,20150900,1262.5,20150600
2015-04-13,,20150900,1260.2,20150600
2015-04-14,,20150900,1265.7,20150600
2015-04-15,,20150900,1261.2,20150600
2015-04-16,,20150900,1274.0,20150600
2015-04-17,,20150900,1266.6,20150600
2015-04-19,,20150900,1253.8,20150600
2015-04-20,,20150900,1255.4,20150600
2015-04-21,,20150900,1266.3,20150600
2015-04-22,,20150900,1262.4,20150600
2015-04-23,,20150900,1261.0,20150600
2015-04-24,,20150900,1267.0,20150600
2015-04-26,,20150900,1264.2,20150600
2015-04-27,,20150900,1265.0,20150600
2015-04-28,,20150900,1249.1,20150600
2015-04-29,,20150900,1258.0,20150600
2015-04-30,,20150900,1239.7,20150600
2015-05-01,,20150900,1223.6,20150600
2015-05-03,,20150900,1223.8,20150600
2015-05-04,,20150900,1221.7,20150600
2015-05-05,,20150900,1225.7,20150600
2015-05-06,,20150900,1214.3,20150600
2015-05-07,,20150900,1215.5,20150600
2015-05-08,,20150900,1226.8,20150600
2015-05-10,,20150900,1230.4,20150600
2015-05-11,,20150900,1228.9,20150600
2015-05-12,,20150900,1229.0,20150600
2015-05-13,,20150900,1233.8,20150600
2015-05-14,,20150900,1230.9,20150600
2015-05-15,,20150900,1245.7,20150600
2015-05-17,,20150900,1242.0,20150600
2015-05-18,,20150900,1239.7,20150600
2015-05-19,,20150900,1256.5,20150600
2015-05-20,,20150900,1256.0,20150600
2015-05-21,,20150900,1253.0,20150600
2015-05-22,,20150900,1256.8,20150600
2015-05-24,,20150900,1249.7,20150600
2015-05-25,,20150900,1250.3,20150600
2015-05-26,,20150900,1251.4,20150600
2015-05-27,,20150900,1239.1,20150600
2015-05-28,,20150900,1251.5,20150600
2015-05-29,,20150900,1250.8,20150600
2015-05-31,,20150900,1245.9,20150600
2015-06-01,,20150900,1248.0,20150600
2015-06-02,1246.1,20150900,1249.4,20150600
2015-06-03,1247.5,20150900,1253.1,20150600
2015-06-04,1257.0,20150900,1264.0,20150600
2015-06-05,1254.7,20150900,1251.2,20150600
2015-06-07,1253.5,20150900,1259.9,20150600
2015-06-08,1248.1,20150900,1260.3,20150600
2015-06-09,1246.6,20150900,1253.3,20150600
2015-06-10,1246.9,20150900,1252.8,20150600
2015-06-11,1261.0,20151200,1260.4,20150900
2015-06-12,,20151200,1261.4,20150900
2015-06-14,,20151200,1254.5,20150900
2015-06-15,,20151200,1255.9,20150900
2015-06-16,,20151200,1250.1,20150900
2015-06-17,,20151200,1267.3,20150900
2015-06-18,,20151200,1262.5,20150900
2015-06-19,,20151200,1281.1,20150900
2015-06-21,,20151200,1281.6,20150900
2015-06-22,,20151200,1284.3,20150900
2015-06-23,,20151200,1290.8,20150900
2015-06-24,,20151200,1291.3,20150900
2015-06-25,,20151200,1281.9,20150900
