index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2002-06-14,,20021200,0.10296,20020900
2002-06-17,,20021200,0.10368,20020900
2002-06-18,,20021200,0.10422,20020900
2002-06-19,,20021200,0.10473,20020900
2002-06-20,,20021200,0.10601,20020900
2002-06-21,,20021200,0.10646,20020900
2002-06-24,,20021200,0.10652,20020900
2002-06-25,,20021200,0.10719,20020900
2002-06-26,,20021200,0.10777,20020900
2002-06-27,,20021200,0.10812,20020900
2002-06-28,,20021200,0.1086099999999999,20020900
2002-07-01,,20021200,0.10783,20020900
2002-07-02,,20021200,0.1079,20020900
2002-07-03,,20021200,0.10707,20020900
2002-07-08,,20021200,0.10703,20020900
2002-07-09,,20021200,0.10728,20020900
2002-07-10,,20021200,0.10579,20020900
2002-07-11,,20021200,0.10615,20020900
2002-07-12,,20021200,0.10702,20020900
2002-07-15,,20021200,0.10781,20020900
2002-07-16,,20021200,0.10769,20020900
2002-07-17,,20021200,0.1083,20020900
2002-07-18,,20021200,0.1082,20020900
2002-07-19,,20021200,0.10775,20020900
2002-07-22,,20021200,0.10583,20020900
2002-07-23,,20021200,0.10386,20020900
2002-07-24,,20021200,0.10442,20020900
2002-07-25,,20021200,0.1057099999999999,20020900
2002-07-26,,20021200,0.10526,20020900
2002-07-29,,20021200,0.10522,20020900
2002-07-30,,20021200,0.10606,20020900
2002-07-31,,20021200,0.10507,20020900
2002-08-01,,20021200,0.10402,20020900
2002-08-02,,20021200,0.10386,20020900
2002-08-05,,20021200,0.10389,20020900
2002-08-06,,20021200,0.10316,20020900
2002-08-07,,20021200,0.10411,20020900
2002-08-08,,20021200,0.10389,20020900
2002-08-09,,20021200,0.10425,20020900
2002-08-12,,20021200,0.10536,20020900
2002-08-13,,20021200,0.10582,20020900
2002-08-14,,20021200,0.10609,20020900
2002-08-15,,20021200,0.10614,20020900
2002-08-16,,20021200,0.10644,20020900
2002-08-19,,20021200,0.10562,20020900
2002-08-20,,20021200,0.10638,20020900
2002-08-21,,20021200,0.10687,20020900
2002-08-22,,20021200,0.10529,20020900
2002-08-23,,20021200,0.1056,20020900
2002-08-26,,20021200,0.10627,20020900
2002-08-27,,20021200,0.10754,20020900
2002-08-28,,20021200,0.10712,20020900
2002-08-29,,20021200,0.10719,20020900
2002-08-30,,20021200,0.10635,20020900
2002-09-03,0.10606,20021200,0.10667,20020900
2002-09-04,0.1062099999999999,20021200,0.10682,20020900
2002-09-05,0.10653,20021200,0.10714,20020900
2002-09-06,0.10598,20021200,0.10659,20020900
2002-09-09,0.10584,20021200,0.10645,20020900
2002-09-10,0.1054599999999999,20021200,0.10607,20020900
2002-09-11,0.1057099999999999,20021200,0.10632,20020900
2002-09-12,0.10587,20021200,0.10648,20020900
2002-09-13,0.10486,20021200,0.10547,20020900
2002-09-16,,20030300,0.10602,20021200
2002-09-17,,20030300,0.10576,20021200
2002-09-18,,20030300,0.1066,20021200
2002-09-19,,20030300,0.10759,20021200
2002-09-20,,20030300,0.10779,20021200
2002-09-23,,20030300,0.10704,20021200
2002-09-24,,20030300,0.10723,20021200
2002-09-25,,20030300,0.10619,20021200
2002-09-26,,20030300,0.10614,20021200
2002-09-27,,20030300,0.10708,20021200
2002-09-30,,20030300,0.10709,20021200
2002-10-01,,20030300,0.10774,20021200
2002-10-02,,20030300,0.10784,20021200
2002-10-03,,20030300,0.10791,20021200
2002-10-04,,20030300,0.10791,20021200
2002-10-07,,20030300,0.10744,20021200
2002-10-08,,20030300,0.10605,20021200
2002-10-09,,20030300,0.10739,20021200
2002-10-10,,20030300,0.10738,20021200
2002-10-11,,20030300,0.10771,20021200
2002-10-15,,20030300,0.10764,20021200
2002-10-16,,20030300,0.10772,20021200
2002-10-17,,20030300,0.10601,20021200
2002-10-18,,20030300,0.10636,20021200
2002-10-21,,20030300,0.10697,20021200
2002-10-22,,20030300,0.1065,20021200
2002-10-23,,20030300,0.10651,20021200
2002-10-24,,20030300,0.10651,20021200
2002-10-25,,20030300,0.10676,20021200
2002-10-28,,20030300,0.10791,20021200
2002-10-29,,20030300,0.10788,20021200
2002-10-30,,20030300,0.1083,20021200
2002-10-31,,20030300,0.10875,20021200
2002-11-01,,20030300,0.10924,20021200
2002-11-04,,20030300,0.10897,20021200
2002-11-05,,20030300,0.10817,20021200
2002-11-06,,20030300,0.10957,20021200
2002-11-07,,20030300,0.11018,20021200
2002-11-08,,20030300,0.11106,20021200
2002-11-12,,20030300,0.11126,20021200
2002-11-13,,20030300,0.11069,20021200
2002-11-14,,20030300,0.11038,20021200
2002-11-15,,20030300,0.1111,20021200
2002-11-18,,20030300,0.11097,20021200
2002-11-19,,20030300,0.11029,20021200
2002-11-20,,20030300,0.11028,20021200
2002-11-21,,20030300,0.11117,20021200
2002-11-22,,20030300,0.11069,20021200
2002-11-25,,20030300,0.10963,20021200
2002-11-26,,20030300,0.10924,20021200
2002-11-27,,20030300,0.10901,20021200
2002-11-29,,20030300,0.11016,20021200
2002-12-02,0.10978,20030300,0.11046,20021200
2002-12-03,0.1093599999999999,20030300,0.11004,20021200
2002-12-04,0.1094,20030300,0.11008,20021200
2002-12-05,0.10979,20030300,0.11047,20021200
2002-12-06,0.11058,20030300,0.11126,20021200
2002-12-09,0.11049,20030300,0.11117,20021200
2002-12-10,0.11035,20030300,0.11103,20021200
2002-12-11,0.11017,20030300,0.11085,20021200
2002-12-12,0.11116,20030300,0.11184,20021200
2002-12-13,0.11111,20030300,0.11179,20021200
2002-12-16,,20030600,0.11182,20030300
2002-12-17,,20030600,0.1124,20030300
2002-12-18,,20030600,0.11234,20030300
2002-12-19,,20030600,0.11197,20030300
2002-12-20,,20030600,0.11125,20030300
2002-12-23,,20030600,0.1117,20030300
2002-12-24,,20030600,0.1121,20030300
2002-12-26,,20030600,0.11278,20030300
2002-12-27,,20030600,0.11317,20030300
2002-12-30,,20030600,0.11383,20030300
2002-12-31,,20030600,0.1147,20030300
2003-01-02,,20030600,0.1132,20030300
2003-01-03,,20030600,0.11389,20030300
2003-01-06,,20030600,0.11462,20030300
2003-01-07,,20030600,0.1143,20030300
2003-01-08,,20030600,0.1147,20030300
2003-01-09,,20030600,0.11439,20030300
