index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2020-10-19,1.3568,20201200,1.35685,20201100
2020-10-20,1.3575,20201200,1.3573,20201100
2020-10-21,1.3547,20201200,1.35475,20201100
2020-10-22,1.35735,20201200,1.35745,20201100
2020-10-23,1.3568,20201200,1.35685,20201100
2020-10-24,1.35855,20201200,1.3584,20201100
2020-10-26,1.3601,20201200,1.36015,20201100
2020-10-27,1.35965,20201200,1.36015,20201100
2020-10-28,1.35945,20201200,1.3627,20201100
2020-10-29,,20201200,1.36485,20201100
2020-10-30,1.36555,20201200,1.36585,20201100
2020-10-31,,20201200,1.36425,20201100
2020-11-02,1.36535,20201200,1.36535,20201100
2020-11-03,1.36185,20201200,1.36145,20201100
2020-11-04,1.3662,20201200,1.3666,20201100
2020-11-05,1.3563,20201200,1.3585,20201100
2020-11-06,1.3482,20201200,1.3485,20201100
2020-11-07,,20210100,1.3486,20201200
2020-11-09,,20210100,1.34325,20201200
2020-11-10,,20210100,1.3464,20201200
2020-11-11,,20210100,1.3487,20201200
2020-11-12,,20210100,1.34895,20201200
2020-11-13,,20210100,1.34955,20201200
2020-11-14,,20210100,1.3486,20201200
2020-11-16,,20210100,1.34645,20201200
2020-11-17,1.34665,20210100,1.3445,20201200
2020-11-18,1.34295,20210100,1.341,20201200
2020-11-19,,20210100,1.3465,20201200
2020-11-20,1.34295,20210100,1.3434,20201200
2020-11-23,1.3406,20210100,1.34065,20201200
2020-11-24,1.3434,20210100,1.34415,20201200
2020-11-25,1.3416,20210100,1.3427,20201200
2020-11-26,1.33885,20210100,1.3383,20201200
2020-11-27,,20210100,1.3382,20201200
2020-11-28,,20210100,1.33805,20201200
2020-11-30,,20210100,1.33705,20201200
2020-12-01,1.3411,20210100,1.34115,20201200
2020-12-02,,20210100,1.3403,20201200
2020-12-03,1.3372,20210100,1.3373,20201200
2020-12-04,1.3325,20210100,1.3321,20201200
2020-12-05,1.3329,20210100,1.333,20201200
2020-12-07,,20210200,1.33785,20210100
2020-12-08,1.33615,20210200,1.33725,20210100
2020-12-09,1.3361,20210200,1.3358,20210100
2020-12-10,,20210200,1.33705,20210100
2020-12-11,1.334,20210200,1.333,20210100
2020-12-12,,20210200,1.33685,20210100
2020-12-14,1.33225,20210200,1.33225,20210100
2020-12-15,1.3362,20210200,1.33625,20210100
2020-12-16,1.33145,20210200,1.33175,20210100
2020-12-17,1.32555,20210200,1.32575,20210100
2020-12-18,1.32685,20210200,1.3269,20210100
2020-12-19,,20210200,1.3278,20210100
2020-12-21,1.3382,20210200,1.33825,20210100
2020-12-22,1.3351,20210200,1.33435,20210100
2020-12-23,1.33555,20210200,1.33345,20210100
2020-12-24,1.33165,20210200,1.32835,20210100
2020-12-28,,20210200,1.3293,20210100
2020-12-29,,20210200,1.32845,20210100
2020-12-30,,20210200,1.32425,20210100
2020-12-31,,20210200,1.3217,20210100
2021-01-01,1.32105,20210200,,20210100
2021-01-04,1.31635,20210200,1.3164,20210100
2021-01-05,1.31895,20210200,1.3182,20210100
2021-01-06,1.31745,20210200,1.3169,20210100
2021-01-07,,20210300,1.32525,20210200
2021-01-08,,20210300,1.32435,20210200
2021-01-11,,20210300,1.3298,20210200
2021-01-12,,20210300,1.3284,20210200
2021-01-14,,20210300,1.3261,20210200
2021-01-16,,20210300,1.33,20210200
2021-01-18,,20210300,1.3324,20210200
2021-01-19,,20210300,1.3305,20210200
2021-01-20,,20210300,1.3256,20210200
2021-01-21,,20210300,1.32355,20210200
2021-01-22,,20210300,1.32685,20210200
2021-01-23,,20210300,1.32815,20210200
2021-01-25,1.32655,20210300,1.32655,20210200
2021-01-26,1.32895,20210300,1.32905,20210200
2021-01-27,1.32495,20210300,1.32595,20210200
2021-01-28,,20210300,1.33185,20210200
2021-01-29,1.32915,20210300,1.32985,20210200
2021-01-30,,20210300,1.32805,20210200
2021-02-01,,20210300,1.33155,20210200
2021-02-02,1.3315,20210300,1.33135,20210200
2021-02-03,,20210300,1.33405,20210200
2021-02-04,1.33325,20210300,1.3348,20210200
2021-02-08,,20210400,1.33535,20210300
2021-02-09,,20210400,1.3278,20210300
2021-02-11,,20210400,1.32505,20210300
2021-02-15,,20210400,1.3224,20210300
2021-02-16,1.32315,20210400,1.32325,20210300
2021-02-17,1.328,20210400,1.32865,20210300
2021-02-18,1.3303,20210400,1.32825,20210300
2021-02-19,,20210400,1.32585,20210300
2021-02-20,,20210400,1.32405,20210300
2021-02-22,1.3232,20210400,1.32295,20210300
2021-02-23,1.3199,20210400,1.32115,20210300
2021-02-24,1.3198,20210400,1.32035,20210300
2021-02-25,1.31925,20210400,1.3173,20210300
2021-02-26,1.32655,20210400,1.32825,20210300
2021-03-01,1.3322,20210400,1.3321,20210300
2021-03-02,1.33255,20210400,1.3335,20210300
2021-03-03,,20210400,1.3317,20210300
2021-03-04,,20210400,1.3311,20210300
2021-03-05,1.3416,20210400,1.3411,20210300
2021-03-06,1.34265,20210400,1.34325,20210300
2021-03-08,,20210500,1.3477,20210400
2021-03-09,,20210500,1.35,20210400
2021-03-11,,20210500,1.3404,20210400
2021-03-12,,20210500,1.3454,20210400
2021-03-13,,20210500,1.34435,20210400
2021-03-15,,20210500,1.3453,20210400
2021-03-16,,20210500,1.3455,20210400
2021-03-17,,20210500,1.3462,20210400
2021-03-18,,20210500,1.34255,20210400
2021-03-19,,20210500,1.34215,20210400
2021-03-20,,20210500,1.3425,20210400
2021-03-22,,20210500,1.34015,20210400
2021-03-23,,20210500,1.34285,20210400
2021-03-25,,20210500,1.3462,20210400
2021-03-26,,20210500,1.34855,20210400
2021-03-29,,20210500,1.3463,20210400
2021-03-30,1.34875,20210500,1.34805,20210400
2021-04-01,1.3469,20210500,1.3468,20210400
2021-04-06,1.345,20210500,1.34495,20210400
2021-04-08,,20210600,1.345,20210500
2021-04-12,,20210600,1.34045,20210500
2021-04-13,,20210600,1.34085,20210500
2021-04-16,1.33515,20210600,1.34085,20210500
2021-04-19,,20210600,1.33085,20210500
2021-04-21,,20210600,1.33035,20210500
2021-04-22,,20210600,1.32785,20210500
2021-04-23,,20210600,1.328,20210500
2021-04-24,,20210600,1.3277,20210500
2021-04-26,,20210600,1.3259,20210500
2021-04-27,,20210600,1.3257,20210500
2021-04-28,,20210600,1.3267,20210500
2021-04-29,,20210600,1.3254,20210500
2021-04-30,1.3268,20210600,1.32745,20210500
2021-05-01,,20210600,1.3282,20210500
2021-05-03,,20210600,1.33165,20210500
2021-05-04,1.33735,20210600,1.33655,20210500
2021-05-05,1.34205,20210600,1.3355,20210500
2021-05-07,,20210700,1.3395,20210600
2021-05-17,,20210700,1.33565,20210600
2021-05-18,1.3415,20210700,1.33055,20210600
2021-05-19,,20210700,1.33235,20210600
2021-05-20,1.33975,20210700,1.33275,20210600
2021-05-21,,20210700,1.3301,20210600
2021-05-24,1.33025,20210700,1.3301,20210600
2021-05-25,,20210700,1.3253,20210600
2021-05-26,,20210700,1.3234,20210600
2021-05-27,,20210700,1.32315,20210600
2021-05-28,1.33555,20210700,1.3234,20210600
2021-05-31,,20210700,1.32255,20210600
2021-06-01,,20210700,1.3225,20210600
2021-06-02,1.3237,20210700,1.32405,20210600
2021-06-11,,20210800,1.3229,20210700
2021-06-14,1.32695,20210800,1.32685,20210700
2021-06-15,1.32675,20210800,1.32695,20210700
2021-06-16,1.3279,20210800,1.32635,20210700
2021-06-17,1.33875,20210800,1.3399,20210700
2021-06-18,,20210800,1.3416,20210700
2021-06-19,1.3444,20210800,1.34445,20210700
2021-06-21,1.3447,20210800,1.34455,20210700
2021-06-22,1.3473,20210800,1.3462,20210700
2021-06-23,1.34555,20210800,1.34535,20210700
2021-06-24,1.34305,20210800,1.34345,20210700
2021-06-25,,20210800,1.3419,20210700
2021-06-28,,20210800,1.34405,20210700
2021-06-29,,20210800,1.3444,20210700
2021-06-30,,20210800,1.3438,20210700
2021-07-02,1.3503,20210800,1.34555,20210700
2021-07-05,,20210800,1.34505,20210700
2021-07-06,1.34355,20210800,,20210700
2021-07-07,1.34795,20210800,1.3474,20210700
2021-07-09,,20210900,1.35495,20210800
2021-07-14,,20210900,1.3551,20210800
2021-07-15,1.35405,20210900,1.35405,20210800
2021-07-16,1.35485,20210900,1.3551,20210800
2021-07-17,1.3562,20210900,1.3566,20210800
2021-07-19,1.36255,20210900,1.3625,20210800
2021-07-20,,20210900,1.3663,20210800
2021-07-22,,20210900,1.3624,20210800
2021-07-23,,20210900,1.3594,20210800
2021-07-26,1.3599,20210900,1.35985,20210800
2021-07-27,,20210900,1.36065,20210800
2021-07-28,,20210900,1.36005,20210800
2021-07-30,1.353,20210900,1.3544,20210800
2021-08-03,1.351,20210900,,20210800
2021-08-04,,20210900,1.3481,20210800
2021-08-05,1.35095,20210900,1.35105,20210800
2021-08-06,,20211000,1.35105,20210900
2021-08-07,,20211000,1.35495,20210900
2021-08-10,,20211000,1.3574,20210900
2021-08-11,,20211000,1.3595,20210900
2021-08-12,,20211000,1.35745,20210900
2021-08-13,1.35795,20211000,1.358,20210900
2021-08-14,,20211000,1.35535,20210900
2021-08-16,,20211000,1.3562,20210900
2021-08-17,1.35775,20211000,1.35775,20210900
2021-08-18,,20211000,1.3601,20210900
2021-08-19,,20211000,1.36425,20210900
2021-08-20,,20211000,1.36285,20210900
2021-08-21,,20211000,1.36165,20210900
2021-08-23,,20211000,1.3587,20210900
2021-08-24,,20211000,1.35605,20210900
2021-08-25,,20211000,1.3528,20210900
2021-08-26,,20211000,1.3521,20210900
2021-08-27,,20211000,1.35115,20210900
2021-08-28,,20211000,1.34795,20210900
2021-08-30,,20211000,1.34595,20210900
2021-08-31,,20211000,1.34365,20210900
2021-09-01,,20211000,1.34625,20210900
2021-09-02,,20211000,1.34375,20210900
2021-09-03,,20211000,1.34265,20210900
2021-09-06,,20211000,1.34255,20210900
2021-09-07,,20211000,1.3437,20210900
2021-09-08,,20211000,1.34535,20210900
2021-09-09,,20211000,1.34405,20210900
2021-09-10,,20211000,1.3389,20210900
2021-09-11,,20211000,1.34,20210900
2021-09-13,1.34355,20211000,1.3422,20210900
2021-09-14,1.3432,20211100,1.3432,20211000
2021-09-15,1.341,20211100,1.341,20211000
2021-09-16,,20211100,1.34335,20211000
2021-09-17,,20211100,1.3456,20211000
2021-09-18,,20211100,1.3478,20211000
2021-09-20,,20211100,1.3526,20211000
2021-09-21,1.3505,20211100,1.35085,20211000
2021-09-22,,20211100,1.35215,20211000
2021-09-23,1.35085,20211100,1.35105,20211000
2021-09-24,,20211100,1.35,20211000
2021-09-25,1.3534,20211100,1.3534,20211000
2021-09-27,,20211100,1.35405,20211000
2021-09-28,1.35515,20211100,1.357,20211000
2021-09-29,,20211100,1.35715,20211000
2021-09-30,,20211100,1.3607,20211000
2021-10-01,1.359,20211100,1.35765,20211000
2021-10-02,,20211100,1.3558,20211000
2021-10-04,1.3572,20211100,1.35715,20211000
2021-10-05,,20211100,1.35715,20211000
2021-10-06,1.36255,20211100,1.3623,20211000
2021-10-07,,20211200,1.3611,20211100
2021-10-08,,20211200,1.3572,20211100
2021-10-13,,20211200,1.35635,20211100
2021-10-14,1.34815,20211200,1.34805,20211100
2021-10-15,1.34835,20211200,1.34885,20211100
2021-10-18,1.34825,20211200,1.3491,20211100
2021-10-19,1.3478,20211200,1.3443,20211100
2021-10-20,1.3451,20211200,1.344,20211100
2021-10-21,,20211200,1.34725,20211100
2021-10-22,,20211200,1.34915,20211100
2021-10-25,,20211200,1.34635,20211100
2021-10-26,,20211200,1.347,20211100
