index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2007-12-05,104.195,20080600,104.01,20080300
2007-12-06,104.105,20080600,103.92,20080300
2007-12-07,103.835,20080600,103.65,20080300
2007-12-10,103.705,20080600,103.52,20080300
2007-12-11,103.77,20080600,103.585,20080300
2007-12-12,103.57,20080600,103.385,20080300
2007-12-13,103.6,20080600,103.415,20080300
2007-12-14,103.525,20080600,103.34,20080300
2007-12-17,103.535,20080600,103.35,20080300
2007-12-18,103.53,20080600,103.345,20080300
2007-12-19,103.565,20080600,103.38,20080300
2007-12-20,103.6,20080600,103.415,20080300
2007-12-21,103.51,20080600,103.325,20080300
2007-12-27,103.435,20080600,103.25,20080300
2007-12-28,103.54,20080600,103.355,20080300
2008-01-02,103.815,20080600,103.63,20080300
2008-01-03,103.875,20080600,103.69,20080300
2008-01-04,103.965,20080600,103.78,20080300
2008-01-07,103.92,20080600,103.76,20080300
2008-01-08,103.825,20080600,103.665,20080300
2008-01-09,104.04,20080600,103.84,20080300
2008-01-10,104.005,20080600,103.805,20080300
2008-01-11,104.04,20080600,103.84,20080300
2008-01-14,104.015,20080600,103.915,20080300
2008-01-15,104.125,20080600,103.995,20080300
2008-01-16,104.3,20080600,104.17,20080300
2008-01-17,104.37,20080600,104.24,20080300
2008-01-18,104.465,20080600,104.335,20080300
2008-01-21,104.675,20080600,104.545,20080300
2008-01-22,104.565,20080600,104.435,20080300
2008-01-23,104.88,20080600,104.75,20080300
2008-01-24,104.425,20080600,104.295,20080300
2008-01-25,104.56,20080600,104.36,20080300
2008-01-28,104.6,20080600,104.38,20080300
2008-01-29,104.52,20080600,104.295,20080300
2008-01-30,104.505,20080600,104.285,20080300
2008-01-31,104.735,20080600,104.51,20080300
2008-02-01,104.75,20080600,104.51,20080300
2008-02-04,104.67,20080600,104.45,20080300
2008-02-05,105.005,20080600,104.745,20080300
2008-02-06,104.96,20080600,104.7,20080300
2008-02-07,105.215,20080600,104.955,20080300
2008-02-08,105.235,20080600,104.97,20080300
2008-02-11,105.335,20080600,105.03,20080300
2008-02-12,105.175,20080600,104.85,20080300
2008-02-13,105.25,20080600,104.925,20080300
2008-02-14,105.155,20080600,104.83,20080300
2008-02-15,105.25,20080600,104.92,20080300
2008-02-18,105.09,20080600,104.76,20080300
2008-02-19,105.17,20080600,104.835,20080300
2008-02-20,105.05,20080600,104.72,20080300
2008-02-21,104.85,20080600,104.505,20080300
2008-02-22,104.87,20080600,104.515,20080300
2008-02-25,104.835,20080600,104.485,20080300
2008-02-26,104.785,20080600,104.435,20080300
2008-02-27,104.85,20080600,104.47,20080300
2008-02-28,105.07,20080600,104.65,20080300
2008-02-29,105.3,20080600,104.85,20080300
2008-03-03,105.28,20080600,104.77,20080300
2008-03-04,105.325,20080600,104.805,20080300
2008-03-05,104.825,20080900,105.175,20080600
2008-03-06,104.71,20080900,105.06,20080600
2008-03-07,105.265,20080900,105.165,20080600
