index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT
2014-03-12,,20140900,8180.0,20140600
2014-03-13,8092.0,20140900,8029.0,20140600
2014-03-14,7996.0,20140900,8002.0,20140600
2014-03-17,8040.0,20140900,8054.0,20140600
2014-03-18,8123.0,20140900,8136.5,20140600
2014-03-19,8060.0,20140900,8085.0,20140600
2014-03-20,8062.0,20140900,8131.0,20140600
2014-03-21,8148.0,20140900,8120.0,20140600
2014-03-24,8085.0,20140900,,20140600
2014-03-25,8200.0,20140900,8204.0,20140600
2014-03-26,8198.0,20140900,8185.0,20140600
2014-03-27,8194.0,20140900,8209.0,20140600
2014-03-28,8256.0,20140900,8249.0,20140600
2014-03-31,8328.0,20140900,8343.0,20140600
2014-04-01,8339.0,20140900,8353.0,20140600
2014-04-02,8389.0,20140900,8392.0,20140600
2014-04-03,8401.0,20140900,8395.0,20140600
2014-04-04,8392.0,20140900,,20140600
2014-04-07,8319.0,20140900,8301.0,20140600
2014-04-08,8320.0,20140900,8340.625,20140600
2014-04-09,8300.0,20140900,,20140600
2014-04-10,8270.0,20140900,8246.0,20140600
2014-04-11,8154.0,20140900,8161.0,20140600
2014-04-14,8256.0,20140900,8235.0,20140600
2014-04-15,8242.0,20140900,8251.0,20140600
2014-04-16,8284.0,20140900,8291.0,20140600
2014-04-17,8250.0,20140900,8360.0,20140600
2014-04-22,8432.0,20140900,8426.0,20140600
2014-04-23,8414.0,20140900,8404.0,20140600
2014-04-24,8365.0,20140900,8362.0,20140600
2014-04-25,8324.0,20140900,8332.0,20140600
2014-04-28,8346.0,20140900,8360.75,20140600
2014-04-29,8411.0,20140900,,20140600
2014-04-30,8428.0,20140900,8445.0,20140600
2014-05-02,8414.0,20140900,8411.0,20140600
2014-05-05,8383.0,20140900,8399.0,20140600
2014-05-06,8364.0,20140900,8374.0,20140600
2014-05-07,8400.0,20140900,8410.0,20140600
2014-05-08,8426.0,20140900,8420.0,20140600
2014-05-09,8500.0,20140900,8498.0,20140600
2014-05-12,8528.0,20140900,8549.0,20140600
2014-05-13,8525.0,20140900,8550.0,20140600
2014-05-14,8600.0,20140900,8591.0,20140600
2014-05-15,8610.0,20140900,8660.0,20140600
2014-05-16,8666.0,20140900,8684.0,20140600
2014-05-19,8640.0,20140900,8648.0,20140600
2014-05-20,8630.0,20140900,8629.0,20140600
2014-05-21,8654.0,20140900,8662.0,20140600
2014-05-22,8681.0,20140900,8691.0,20140600
2014-05-23,8697.0,20140900,8705.0,20140600
2014-05-26,8703.0,20140900,8710.0,20140600
2014-05-27,8709.0,20140900,8713.5,20140600
2014-05-28,8688.0,20140900,8696.0,20140600
